überlegungen	pensées	überlegungen	penser	V;NFIN	V;FEM;PL;PST;V.PTCP
zugeteilt	attribué	zuteilen	attribuer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
zugeteilt	assignée	zuteilen	assigné	V;V.PTCP	V;FEM;SG;PST;V.PTCP
zugeteilt	assignés	zuteilen	assigner	V;V.PTCP	V;MASC;PL;PST;V.PTCP
zugeteilt	affecté	zuteilen	affecter	V;V.PTCP	V;MASC;SG;PST;V.PTCP
zugeteilt	assignées	zuteilen	assigner	V;V.PTCP	V;FEM;PL;PST;V.PTCP
zugeteilt	assigné	zuteilen	assigner	V;V.PTCP	V;MASC;SG;PST;V.PTCP
zugeteilt	alloué	zuteilen	allouer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
zugeteilt	alloués	zuteilen	alloué	V;V.PTCP	V;MASC;PL;PST;V.PTCP
zugeteilt	allouée	zuteilen	alloué	V;V.PTCP	V;FEM;SG;PST;V.PTCP
zugeteilt	attribué	zuteilen	attribuer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
zugeteilt	alloués	zuteilen	alloué	V;V.PTCP	V;MASC;PL;PST;V.PTCP
zugeteilt	adjugé	zuteilen	adjuger	V;V.PTCP	V;MASC;SG;PST;V.PTCP
zugeteilt	alloué	zuteilen	allouer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
zugeteilt	attribué	zuteilen	attribuer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
geheimen	secrets	geheimen	secret	ADJ	ADJ;MASC;PL
geheimen	secret	geheimen	secret	ADJ	ADJ;MASC;SG
geheimen	secrète	geheimen	secret	ADJ	ADJ;FEM;SG
teilung	partition	teilung	partition	N;NOM;FEM;SG	N;FEM;SG
teilung	cloison	teilung	cloison	N;NOM;FEM;SG	N;FEM;SG
teilung	fossé	teilung	fossé	N;NOM;FEM;SG	N;MASC;SG
fremde	étrangers	fremd	étranger	ADJ;NOM;FEM;PL	ADJ;MASC;PL
fremde	etrangers	fremd	etranger	ADJ;NOM;FEM;PL	ADJ;MASC;PL
registriert	enregistrée	registrieren	enregistrer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
registriert	inscrits	registrieren	inscrire	V;V.PTCP	V;MASC;PL;PST;V.PTCP
registriert	enregistrés	registrieren	enregistrer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
registriert	enregistré	registrieren	enregistrer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
registriert	inscrit	registrieren	inscrire	V;V.PTCP	V;MASC;SG;PST;V.PTCP
verschwinden	disparaître	verschwinden	disparaître	V;NFIN	V;NFIN
verschwinden	disparaître	verschwinden	disparaître	V;NFIN	V;NFIN
verschwinden	disparaître	verschwinden	disparaître	V;NFIN	V;NFIN
verschwinden	disparaissent	verschwinden	disparaître	V;NFIN	V;IND;PL;3;PRS;FIN
verschwinden	disparaît	verschwinden	disparaître	V;NFIN	V;IND;SG;3;PRS;FIN
magdalena	madeleine	magdalena	madeleine	N;NOM;FEM;SG	N;FEM;SG
spenden	donner	spenden	donner	V;NFIN	V;NFIN
republikanischen	républicains	republikanisch	républicain	ADJ;NOM;MASC;PL	ADJ;MASC;PL
bestätigen	vérifie	bestätigen	vérifier	V;NFIN	V;IND;SG;3;PRS;FIN
