警部	лейтенант	警部	лейтенант	N	N;ANIM;NOM;MASC;SG
諸	лордов	諸	лорд	N	N;ANIM;GEN;MASC;PL
スキャンダル	скандал	スキャンダル	скандал	N	N;INAN;NOM;MASC;SG
テラス	терраса	テラス	терраса	N	N;INAN;NOM;FEM;SG
笑う	смеются	笑う	смеяться	V	V;IPFV;IND;PL;3;PRS;FIN;MID
笑う	смеётся	笑う	смеваться	V	V;IPFV;IND;SG;3;PRS;FIN;MID
笑う	смеяться	笑う	смеяться	V	V;IPFV;NFIN;MID
笑う	смеяться	笑う	смеяться	V	V;IPFV;NFIN;MID
剣術	кэндзюцу	剣術	кэндзюц	N	N;ANIM;DAT;MASC;SG
マインド	разум	マインド	разум	N	N;INAN;NOM;MASC;SG
マインド	ум	マインド	ум	N	N;INAN;NOM;MASC;SG
銘柄	бренд	銘柄	бренд	N	N;INAN;NOM;MASC;SG
銘柄	бренда	銘柄	бренд	N	N;INAN;GEN;MASC;SG
表彰	подиум	表彰	подиум	N	N;INAN;NOM;MASC;SG
表彰	трибуны	表彰	трибуна	N	N;INAN;NOM;FEM;PL
見通し	перспектива	見通し	перспектива	N	N;INAN;NOM;FEM;SG
見通し	проспект	見通し	проспект	N	N;INAN;NOM;MASC;SG
肺	пневмония	肺	пневмония	N	N;INAN;NOM;FEM;SG
三角形	треугольник	三角形	треугольник	N	N;INAN;NOM;MASC;SG
クジラ	китов	クジラ	кит	N	N;ANIM;GEN;MASC;PL
クジラ	кит	クジラ	кит	N	N;ANIM;NOM;MASC;SG
クジラ	кита	クジラ	кит	N	N;ANIM;ACC;MASC;SG
叫び	кричать	叫ぶ	кричать	V	V;IPFV;NFIN;ACT
叫び	кричит	叫ぶ	кричать	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
叫び	кричат	叫ぶ	кричать	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
叫び	кричать	叫ぶ	кричать	V	V;IPFV;NFIN;ACT
ハープ	арфе	ハープ	арф	N	N;INAN;NOM;FEM;SG
