kategória	kategorija	kategória	kategorija	N;NOM;FEM;SG	N;NOM;FEM;SG
ako	kako	ako	kako	ADV	ADV
bol	bil	byť	biti	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;V.PTCP
bol	bila	byť	biti	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;FEM;SG;V.PTCP
bol	bil	byť	biti	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;MASC;SG;V.PTCP
bol	bila	byť	biti	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;FEM;SG;V.PTCP
pozri	poglej	pozrieť	poglej	V;PFV;IMP;SG;2;POS;FIN	V;PFV;IMP;SG;2;FIN
obce	občine	obec	občina	N;NOM;FEM;PL	N;NOM;FEM;PL
obyvateľov	prebivalce	obyvateľ	prebivalec	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
obec	občina	obec	občina	N;NOM;FEM;SG	N;NOM;FEM;SG
obec	vasica	obec	vasica	N;NOM;FEM;SG	N;NOM;FEM;SG
bod	točka	bod	točka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
bod	point	bod	point	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
bola	bil	byť	biti	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;MASC;SG;V.PTCP
bola	bila	byť	biti	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;FEM;SG;V.PTCP
bola	bil	byť	biti	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;MASC;SG;V.PTCP
bola	bila	byť	biti	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;FEM;SG;V.PTCP
zoznam	spisek	zoznam	spisek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
zoznam	seznam	zoznam	seznam	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
odkazy	reference	odkaz	referenca	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
odkazy	sklicevanja	odkaz	sklicevanje	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
odkazy	povezave	odkaz	povezava	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
socorro	socorro	socorro	socorra	N;NOM;NEUT;SG	N;NOM;MASC;SG
externé	zunanji	externý	zunanji	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
externé	zunanja	externý	zunanji	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
ale	toda	ale	toda	CONJ	CONJ
ale	ampak	ale	ampak	CONJ	CONJ
ale	vendar	ale	vendar	CONJ	CONJ
počet	številka	počet	številka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
počet	število	počet	število	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
boli	bili	byť	biti	V;IPFV;MASC;PL;POS;PST;V.PTCP	V;MASC;PL;V.PTCP
miesto	spot	miesto	spot	N;NOM;NEUT;SG	N;NOM;MASC;SG
miesto	plac	miesto	plac	N;NOM;NEUT;SG	N;NOM;MASC;SG
miesto	kraj	miesto	kraj	N;NOM;NEUT;SG	N;NOM;MASC;SG
miesto	lokacija	miesto	lokacija	N;NOM;NEUT;SG	N;NOM;FEM;SG
miesto	prizorišče	miesto	prizorišče	N;NOM;NEUT;SG	N;NOM;NEUT;SG
bolo	bil	byť	biti	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;MASC;SG;V.PTCP
bolo	bila	byť	biti	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;FEM;SG;V.PTCP
obcí	občin	obec	občina	N;GEN;FEM;PL	N;GEN;FEM;PL
obcí	občin	obec	občina	N;GEN;FEM;PL	N;GEN;FEM;PL
jej	njej	ona	on	PRO;DAT;FEM;SG;3	PRO;DAT;FEM;SG;3
medzi	med	medzi	med	ADP;INS	ADP;INS
projekty	projekti	projekt	projekt	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
francúzska	francoščina	francúzsky	francoščina	N;NOM;FEM;SG	N;NOM;FEM;SG
francúzska	francija	francúzsky	francija	N;NOM;FEM;SG	N;NOM;FEM;SG
francúzska	france	francúzsky	franca	N;NOM;FEM;SG	N;NOM;MASC;SG
najvyšší	najvišjo	vysoký	visok	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;RL;NEUT;SG
