年	tahun	年	tahun	N	N;SG
月	rembulan	月	rembulan	N	N;SG
月	bulan	月	bulan	N	N;SG
月	bulan	月	bulan	N	N;SG
月	bulan	月	bulan	N	N;SG
村	kampung	村	kampung	N	N;SG
村	dusun	村	dusun	N	N;SG
村	desa	村	desa	N	N;SG
人	pria	人	pria	N	N;SG
人	manusia	人	manusia	N	N;SG
人	rakyat	人	rakyat	N	N;SG
人	orang	人	orang	N	N;SG
一	satu	一	satu	NUM	NUM
也	juga	也	juga	ADV	ADV
留言	pesan	留言	pesan	N	N;SG
市	kota	市	kota	N	N;SG
市	kotamadya	市	kotamadya	N	N;SG
市	munisipalitas	市	munisipalitas	N	N
站	stasiun	站	stasiun	N	N;SG
站	station	站	station	N	N
州	negara	州	negara	N	N;SG
州	keadaan	州	keadaan	N	N;SG
研究	belajar	研究	belajar	V	V;SG
三	tiga	三	tiga	NUM	NUM
家	rumah	家	rumah	N	N;SG
米	padi	米	padi	N	N;SG
米	nasi	米	nasi	N	N;SG
米	nyampe	米	nyampe	N	N
米	beras	米	beras	N	N;SG
米	meter	米	meter	N	N;SG
使用	menggunakan	使用	mengunakan	V	V;SG;ACT
使用	menggunakan	使用	mengunakan	V	V;SG;ACT
使用	gunakan	使用	gunakan	V	V;SG;ACT
使用	pakai	使用	pakai	V	V;SG;ACT
使用	digunakan	使用	digunakan	V	V;SG;PASS
使用	terpakai	使用	terpakai	V	V;SG;PASS
使用	dipakai	使用	dipakai	V	V;SG;PASS
公司	korporasi	公司	korporasi	N	N;SG
公司	perusahaan	公司	perusahaan	N	N;SG
公司	perusahaan	公司	perusahaan	N	N;SG
一	satu	一	satu	NUM	NUM
西	barat	西	barat	N	N;SG
省	propinsi	省	propinsi	N	N;SG
省	kegubernuran	省	kegubernuran	N	N;SG
度	derajat	度	derajat	N	N;SG
度	gelar	度	gelar	N	N;SG;ACT
度	ijazah	度	ijazah	N	N;SG
度	derajat	度	derajat	N	N;SG
二	dua	二	dua	NUM	NUM
區	zona	區	zona	N	N;SG
區	distrik	區	distrik	N	N;SG
區	kecamatan	區	kecamatan	N	N;SG
區	raionul	區	raionul	N	N
區	kabupaten	區	kabupaten	N	N;SG
區	daerah	區	daerah	N	N;SG
區	daerah	區	daerah	N	N;SG
區	wilayah	區	wilayah	N	N;SG
區	luas	區	luas	N	N;SG
區	kawasan	區	kawasan	N	N;SG
區	area	區	area	N	N;SG
人口	demografi	人口	demografi	N	N;SG
人口	demografis	人口	demografis	N	N
人口	demografi	人口	demografi	N	N;SG
人口	demografis	人口	demografis	N	N
人口	demografi	人口	demografi	N	N;SG
人口	penduduk	人口	penduduk	N	N;SG
人口	populasi	人口	populasi	N	N;SG
四	empat	四	empat	NUM	NUM
政府	pemerintah	政府	penperintah	N	N;SG
政府	pemerintahan	政府	penperintahan	N	N;SG
政府	pemerintah	政府	penperintah	N	N;SG
政府	pemerintahan	政府	penperintahan	N	N;SG
集	setel	集	setel	N	N;SG;ACT
集	episode	集	episode	N	N
世界	dunia	世界	dunia	N	N;SG
南	selatan	南	selatan	N	N;SG
路	jalan	路	jalan	N	N;SG;ACT
五	lima	五	lima	NUM	NUM
人民	rakyat	人民	rakyat	N	N;SG
人民	orang	人民	orang	N	N;SG
包括	disertakan	包括	disertakan	V	V
包括	termasuk	包括	termasuk	V	V
包括	menyertakan	包括	menyertakan	V	V
包括	diikutsertakan	包括	diikutsertakan	V	V;SG;PASS
包括	termasuk	包括	termasuk	V	V
包括	sertakan	包括	sertakan	V	V
包括	cantumkan	包括	cantumkan	V	V;SG;ACT
包括	menyertakan	包括	menyertakan	V	V
包括	termasuk	包括	termasuk	V	V
包括	termasuk	包括	termasuk	V	V
包括	sertakan	包括	sertakan	V	V
包括	mencakup	包括	mencakup	V	V;SG;ACT
包括	menyertakan	包括	menyertakan	V	V
位	berlokasi	位	berlokasi	V	V;SG;ACT
位	bertempat	位	bertempat	V	V;SG;ACT
位	terletak	位	terletak	V	V;SG;PASS
塔	pagoda	塔	pagoda	N	N
塔	sule	塔	sule	N	N
塔	tower	塔	tower	N	N
塔	menara	塔	menara	N	N;SG
縣	kabupaten	縣	kabupaten	N	N;SG
縣	daerah	縣	daerah	N	N;SG
縣	powiat	縣	powiat	N	N
第一	pertama	第一	pertama	NUM	NUM
時間	kali	時間	kali	N	N;SG
時間	waktu	時間	waktu	N	N;SG
時間	waktunya	時間	waktu	N	N;SG
六	enam	六	enam	NUM	NUM
城	kota	城	kota	N	N;SG
城	kastil	城	kastil	N	N
城	istana	城	istana	N	N;SG
城	benteng	城	benteng	N	N
中心	pusat	中心	pusat	N	N;SG
中心	pusat	中心	pusat	N	N;SG
中心	pusat	中心	pusat	N	N;SG
線	line	線	line	N	N
線	baris	線	baris	N	N;SG
線	baris	線	baris	N	N;SG
