med	koos	med	koos	ADV	ADV
der	seal	der	seal	ADV	ADV
var	oli	være	olema	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
var	olid	være	olema	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN;ACT
blev	sai	blive	saama	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
blev	oli	blive	olema	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
blev	jäin	blive	jääma	V;IND;PST;FIN;ACT	V;IND;SG;1;PST;FIN;ACT
blev	jäi	blive	jääma	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
blev	jäid	blive	jääma	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN;ACT
fra	alates	fra	alates	ADV	ADV
ikke	mitte	ikke	mitte	ADV	ADV;NEG
ikke	ei	ikke	ei	ADV	ADV
men	aga	men	aga	CONJ	CONJ
men	kuid	men	kuid	CONJ	CONJ
også	samuti	også	samuti	ADV	ADV
også	ka	også	ka	ADV	ADV
også	liiga	også	liiga	ADV	ADV
efter	pärast	efter	pärast	ADV	ADV
kan	oskab	kunne	oskama	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
kan	saab	kunne	saama	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
hvor	kus	hvor	kus	ADV	ADV
hvor	kuhu	hvor	kuhu	ADV	ADV
havde	oli	have	olema	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
under	all	under	all	ADV	ADV
under	allpool	under	all_pool	ADV	ADV
under	all	under	all	ADV	ADV
over	üle	over	üle	ADV	ADV
over	eespool	over	ees_pool	ADV	ADV
over	ülalpool	over	ülal_pool	ADV	ADV
over	ülal	over	ülal	ADV	ADV
første	esimene	første	esimene	ADJ	ADJ;NOM;SG
henvisninger	viited	henvisning	viide	N;INDF;MASC+FEM;PL	N;NOM;PL
dansk	taani	dansk	taani	ADJ;INDF;SG	ADJ
mod	julgus	mod	julgus	N;INDF;NEUT;SG	N;NOM;SG
mod	julgust	mod	julgus	N;INDF;NEUT;SG	N;PRT;SG
mod	vaprus	mod	vaprus	N;INDF;NEUT;SG	N;NOM;SG
mod	mod	mod	mod	N;INDF;NEUT;SG	N;NOM;SG
hun	ta	hun	tema	PRO;NOM;MASC+FEM;SG;3	PRO;NOM;SG;3
denne	see	denne	see	PRO;MASC+FEM;SG	PRO;NOM;SG
denne	selle	denne	see	PRO;MASC+FEM;SG	PRO;GEN;SG
denne	seda	denne	see	PRO;MASC+FEM;SG	PRO;PRT;SG
fik	sain	få	saama	V;IND;PST;FIN;ACT	V;IND;SG;1;PST;FIN;ACT
fik	sai	få	saama	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
del	del	del	del	N;INDF;MASC+FEM;SG	N;NOM;SG
del	osas	del	osa	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
del	share	del	share	N;INDF;MASC+FEM;SG	N;NOM;SG
født	sündis	føde	sündima	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
født	sündinud	føde	sündima	V;INDF;SG;PST;V.PTCP	V;PST;V.PTCP;ACT
dette	see	denne	see	PRO;NEUT;SG	PRO;NOM;SG
dette	selle	denne	see	PRO;NEUT;SG	PRO;GEN;SG
dette	seda	denne	see	PRO;NEUT;SG	PRO;PRT;SG
team	tiim	team	tiim	N;INDF;NEUT;SG	N;NOM;SG
team	meeskond	team	meeskond	N;INDF;NEUT;SG	N;NOM;SG
danske	taani	dansk	taani	ADJ;PL	ADJ
senere	hiljem	senere	hiljem	ADV;CMPR	ADV
kun	ainult	kun	ainult	ADV	ADV
dog	siiski	dog	siiski	ADV	ADV
dog	siiski	dog	siiski	ADV	ADV
tidligere	eelnevalt	tidligere	eelnevalt	ADV;CMPR	ADV
tidligere	varem	tidligere	varem	ADV;CMPR	ADV
tidligere	varem	tidligere	varem	ADV;CMPR	ADV
skal	peab	skulle	pidama	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
mere	rohkem	mere	rohkem	ADV;CMPR	ADV
store	suured	stor	suur	ADJ;PL	ADJ;NOM;PL
store	suured	stor	suur	ADJ;PL	ADJ;NOM;PL
sammen	koos	sammen	koos	ADV	ADV
sammen	üheskoos	sammen	ühes_koos	ADV	ADV
vil	tahad	ville	tahtma	V;IND;PRS;FIN;ACT	V;IND;SG;2;PRS;FIN;ACT
omkring	umbes	omkring	umbes	ADV	ADV
omkring	ümber	omkring	ümber	ADV	ADV
omkring	ringi	omkring	ringi	ADV	ADV
tre	kolm	tre	kolm	NUM	NUM;NOM;SG
byen	linn	by	linn	N;DEF;MASC+FEM;SG	N;NOM;SG
byen	linna	by	linn	N;DEF;MASC+FEM;SG	N;IN+ALL;LGSPEC1;SG
byen	linn	by	linn	N;DEF;MASC+FEM;SG	N;NOM;SG
byen	linna	by	linn	N;DEF;MASC+FEM;SG	N;IN+ALL;LGSPEC1;SG
byen	city	by	city	N;DEF;MASC+FEM;SG	N;NOM;SG
disse	need	denne	see	PRO;PL	PRO;NOM;PL
disse	neid	denne	see	PRO;PL	PRO;PRT;PL
nogle	mõned	nogen	mõni	PRO;PL	PRO;NOM;PL
maj	mai	maj	mai	N;INDF;MASC+FEM;SG	N;NOM;SG
andet	muu	anden	muu	PRO;NEUT;SG	PRO;NOM;SG
andet	muud	anden	muu	PRO;NEUT;SG	PRO;NOM;SG
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	N;NOM;SG
dag	päev	dag	päev	N;INDF;MASC+FEM;SG	N;NOM;SG
dag	päeva	dag	päev	N;INDF;MASC+FEM;SG	N;PRT;SG
her	siin	her	siin	ADV	ADV
tilbage	tagasi	tilbage	tagasi	ADV	ADV
kommune	kommuun	kommune	kommuun	N;INDF;MASC+FEM;SG	N;NOM;SG
kommune	omavalitsus	kommune	oma_valitsus	N;INDF;MASC+FEM;SG	N;NOM;SG
kommune	vald	kommune	vald	N;INDF;MASC+FEM;SG	N;NOM;SG
død	surma	død	surm	N;INDF;MASC+FEM;SG	N;PRT;SG
død	surm	død	surm	N;INDF;MASC+FEM;SG	N;NOM;SG
findes	eksisteerib	findes	eksisteerima	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
august	august	august	auk	N;INDF;MASC+FEM;SG	N;IN+ABL;SG
gang	kellaaeg	gang	kella_aeg	N;INDF;MASC+FEM;SG	N;NOM;SG
gang	aeg	gang	aeg	N;INDF;MASC+FEM;SG	N;NOM;SG
gang	aja	gang	aeg	N;INDF;MASC+FEM;SG	N;GEN;SG
gang	ajas	gang	aeg	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
gang	aega	gang	aeg	N;INDF;MASC+FEM;SG	N;PRT;SG
forskellige	erinevad	forskellig	erinev	ADJ;PL	ADJ;NOM;PL;PRS;V.PTCP;ACT
tid	kellaaeg	tid	kella_aeg	N;INDF;MASC+FEM;SG	N;NOM;SG
tid	aeg	tid	aeg	N;INDF;MASC+FEM;SG	N;NOM;SG
tid	aja	tid	aeg	N;INDF;MASC+FEM;SG	N;GEN;SG
tid	ajas	tid	aeg	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
tid	aega	tid	aeg	N;INDF;MASC+FEM;SG	N;PRT;SG
nye	uued	ny	uus	ADJ;PL	ADJ;NOM;PL
januar	jaanuar	januar	jaanuar	N;INDF;MASC+FEM;SG	N;NOM;SG
gennem	läbi	gennem	läbi	ADV	ADV
stor	suure	stor	suur	ADJ;INDF;MASC+FEM;SG	ADJ;GEN;SG
stor	suur	stor	suur	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;SG
stor	suure	stor	suur	ADJ;INDF;MASC+FEM;SG	ADJ;GEN;SG
stor	suur	stor	suur	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;SG
stor	suure	stor	suur	ADJ;INDF;MASC+FEM;SG	ADJ;GEN;SG
uden	ilma	uden	ilma	ADV	ADV
hold	hoia	holde	hoidma	V;IMP	V;IMP;SG;2;PRS;FIN;ACT
når	kui	når	kui	CONJ	CONJ
juni	juni	juni	juni	N;INDF;MASC+FEM;SG	N;NOM;SG
juni	juuni	juni	juuni	N;INDF;MASC+FEM;SG	N;NOM;SG
juni	june	juni	june	N;INDF;MASC+FEM;SG	N;NOM;SG
kendt	teadaolev	kendt	teada_olev	ADJ;INDF;SG	ADJ;NOM;SG;PRS;V.PTCP;ACT
kendt	tuntud	kendt	tuntud	ADJ;INDF;SG	ADJ;PST;V.PTCP;PASS
før	enne	før	enne	ADV	ADV
hvilket	mis	hvilken	mis	PRO;NEUT;SG	PRO;NOM;SG
sogn	vald	sogn	vald	N;INDF;NEUT;SG	N;NOM;SG
september	september	september	september	N;INDF;MASC+FEM;SG	N;NOM;SG
september	septembris	september	september	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
april	aprill	april	aprill	N;INDF;MASC+FEM;SG	N;NOM;SG
oktober	oktoober	oktober	oktoober	N;INDF;MASC+FEM;SG	N;NOM;SG
marts	märts	marts	märts	N;INDF;MASC+FEM;SG	N;NOM;SG
juli	juuli	juli	juuli	N;INDF;MASC+FEM;SG	N;NOM;SG
juli	juli	juli	juli	N;INDF;MASC+FEM;SG	N;NOM;SG
kirke	kiriku	kirke	kirik	N;INDF;MASC+FEM;SG	N;NOM;SG
kirke	kirik	kirke	kirik	N;INDF;MASC+FEM;SG	N;NOM;SG
række	rea	række	rida	N;INDF;MASC+FEM;SG	N;GEN;SG
række	rida	række	rida	N;INDF;MASC+FEM;SG	N;NOM;SG
derfor	seetõttu	derfor	see_tõttu	ADV	ADV
derfor	seepärast	derfor	see_pärast	ADV	ADV
navn	nimi	navn	nimi	N;INDF;NEUT;SG	N;NOM;SG
navn	nimetus	navn	nimetus	N;INDF;NEUT;SG	N;NOM;SG
navn	name	navn	name	N;INDF;NEUT;SG	N;NOM;SG
navn	nime	navn	nimi	N;INDF;NEUT;SG	N;PRT;SG
ofte	sageli	ofte	sageli	ADV	ADV
ofte	tihti	ofte	tihti	ADV	ADV
ofte	sageli	ofte	sageli	ADV	ADV
ofte	tihtipeale	ofte	tihti_peale	ADV	ADV
ofte	tihti	ofte	tihti	ADV	ADV
november	november	november	november	N;INDF;MASC+FEM;SG	N;NOM;SG
november	novembris	november	november	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
december	detsember	december	detsember	N;INDF;MASC+FEM;SG	N;NOM;SG
først	kõigepealt	først	kõige_pealt	ADV	ADV
først	esmalt	først	esmalt	ADV	ADV
mål	eesmärk	mål	ees_märk	N;INDF;NEUT;SG	N;NOM;SG
mål	siht	mål	siht	N;INDF;NEUT;SG	N;NOM;SG
mål	märklaud	mål	märk_laud	N;INDF;NEUT;SG	N;NOM;SG
mål	target	mål	targe	N;INDF;NEUT;SG	N;NOM;SG
mål	sihtmärk	mål	siht_märk	N;INDF;NEUT;SG	N;NOM;SG
mål	eesmärk	mål	ees_märk	N;INDF;NEUT;SG	N;NOM;SG
mål	eesmärk	mål	ees_märk	N;INDF;NEUT;SG	N;NOM;SG
film	filmid	film	film	N;INDF;MASC+FEM;PL	N;NOM;PL
film	filmid	film	film	N;INDF;MASC+FEM;PL	N;NOM;PL
sidste	viimasena	sidste	viimane	ADJ	ADJ;FRML;SG
sidste	viimane	sidste	viimane	ADJ	ADJ;NOM;SG
noget	midagi	nogen	miski	PRO;NEUT;SG	PRO;PRT;SG
tyske	saksa	tysk	saksa	ADJ;PL	ADJ
gik	läks	gå	minema	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
gik	kõndis	gå	kõndima	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
gik	jalutas	gå	jalutama	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
gik	kõndisid	gå	kõndima	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN;ACT
indtil	kuni	indtil	kuni	CONJ	CONJ
februar	veebruar	februar	veebruar	N;INDF;MASC+FEM;SG	N;NOM;SG
fire	neli	fire	neli	NUM	NUM;NOM;SG
vandt	võitsid	vinde	võitma	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN;ACT
vandt	võitis	vinde	võitma	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
inden	enne	inden	enne	ADV	ADV
mindre	vähem	mindre	vähem	ADV;CMPR	ADV
frem	ettepoole	frem	ette_poole	ADV	ADV
frem	edasi	frem	edasi	ADV	ADV
største	suurim	stor	suurim	ADJ;DEF;RL	ADJ;NOM;RL;SG
største	suurim	stor	suurim	ADJ;DEF;RL	ADJ;NOM;RL;SG
største	suurim	stor	suurim	ADJ;DEF;RL	ADJ;NOM;RL;SG
hjemmeside	koduleht	hjemmeside	kodu_leht	N;INDF;MASC+FEM;SG	N;NOM;SG
hjemmeside	veebileht	hjemmeside	veebi_leht	N;INDF;MASC+FEM;SG	N;NOM;SG
hjemmeside	veebisait	hjemmeside	veebi_sait	N;INDF;MASC+FEM;SG	N;NOM;SG
hjemmeside	kodulehekülg	hjemmeside	kodu_lehe_külg	N;INDF;MASC+FEM;SG	N;NOM;SG
hjemmeside	kodulehekülg	hjemmeside	kodu_lehe_külg	N;INDF;MASC+FEM;SG	N;NOM;SG
side	leht	side	leht	N;INDF;MASC+FEM;SG	N;NOM;SG
side	lehekülg	side	lehe_külg	N;INDF;MASC+FEM;SG	N;NOM;SG
side	page	side	page	N;INDF;MASC+FEM;SG	N;NOM;SG
side	lehekülje	side	lehe_külg	N;INDF;MASC+FEM;SG	N;GEN;SG
side	külg	side	külg	N;INDF;MASC+FEM;SG	N;NOM;SG
medlem	parlamendiliige	medlem	parlamendi_liige	N;INDF;NEUT;SG	N;NOM;SG
medlem	liige	medlem	liige	N;INDF;NEUT;SG	N;NOM;SG
større	suurem	stor	suurem	ADJ;CMPR	ADJ;NOM;CMPR;SG
større	suuremad	stor	suurem	ADJ;CMPR	ADJ;NOM;CMPR;PL
større	suurem	stor	suurem	ADJ;CMPR	ADJ;NOM;CMPR;SG
større	suuremad	stor	suurem	ADJ;CMPR	ADJ;NOM;CMPR;PL
større	suurem	stor	suurem	ADJ;CMPR	ADJ;NOM;CMPR;SG
spillede	mängis	spille	mängima	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
spillede	mänginud	spille	mängima	V;IND;PST;FIN;ACT	V;PST;V.PTCP;ACT
igen	uuesti	igen	uuesti	ADV	ADV
igen	taas	igen	taas	ADV	ADV
igen	jälle	igen	jälle	ADV	ADV
søn	poja	søn	poeg	N;INDF;MASC+FEM;SG	N;NOM;SG
søn	poeg	søn	poeg	N;INDF;MASC+FEM;SG	N;NOM;SG
grund	põhjus	grund	põhjus	N;INDF;NEUT;SG	N;NOM;SG
tog	võttis	tage	võtma	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
tog	võtsid	tage	võtma	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN;ACT
amerikansk	ameerika	amerikansk	ameerika	ADJ;INDF;SG	ADJ
lille	väike	lille	väike	ADJ;SG	ADJ;NOM;SG
lille	väike	lille	väike	ADJ;SG	ADJ;NOM;SG
hvad	mis	hvad	mis	PRO;SG	PRO;NOM;SG
hvad	mida	hvad	mis	PRO;SG	PRO;PRT;SG
nord	põhi	nord	põhi	N;INDF	N;NOM;SG
nord	põhja	nord	põhi	N;INDF	N;IN+ALL;LGSPEC1;SG
nord	põhjas	nord	põhi	N;INDF	N;IN+ESS;SG
nord	nord	nord	nord	N;INDF	N;NOM;SG
kort	lühike	kort	lühike	ADJ;INDF;SG	ADJ;NOM;SG
artikler	artiklid	artikel	artikkel	N;INDF;MASC+FEM;PL	N;NOM;PL
begyndte	alanud	begynde	algama	V;IND;PST;FIN;ACT	V;PST;V.PTCP;ACT
begyndte	algas	begynde	algama	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
begyndte	hakkas	begynde	hakkama	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
begyndte	alustas	begynde	alustama	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
begyndte	algas	begynde	algama	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
udgivet	vabanenud	udgive	vabanenud	V;INDF;SG;PST;V.PTCP	V;PST;V.PTCP;ACT
helt	täielikult	helt	täielikult	ADV	ADV
helt	täiesti	helt	täiesti	ADV	ADV
gamle	vanad	gammel	vana	ADJ;PL	ADJ;NOM;PL
gange	ajad	gang	aeg	N;INDF;MASC+FEM;PL	N;NOM;PL
bedste	parima	god	parim	ADJ;DEF;RL	ADJ;GEN;RL;SG
bedste	parimad	god	parim	ADJ;DEF;RL	ADJ;NOM;RL;PL
bedste	parim	god	parim	ADJ;DEF;RL	ADJ;NOM;RL;SG
døde	surnud	død	surnud	ADJ;PL	ADJ;PST;V.PTCP;ACT
amerikanske	ameerika	amerikansk	ameerika	ADJ;PL	ADJ
tysk	saksa	tysk	saksa	ADJ;INDF;SG	ADJ
gruppe	rühm	gruppe	rühm	N;INDF;MASC+FEM;SG	N;NOM;SG
gruppe	grupp	gruppe	grupp	N;INDF;MASC+FEM;SG	N;NOM;SG
gruppe	grupis	gruppe	grupp	N;INDF;MASC+FEM;SG	N;IN+ESS;SG
stedet	koht	sted	koht	N;DEF;NEUT;SG	N;NOM;SG
spillet	mängis	spille	mängima	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
spillet	mänginud	spille	mängima	V;INDF;SG;PST;V.PTCP	V;PST;V.PTCP;ACT
forbindelse	ühendus	forbindelse	ühendus	N;INDF;MASC+FEM;SG	N;NOM;SG
forbindelse	ühenduse	forbindelse	ühendus	N;INDF;MASC+FEM;SG	N;GEN;SG
allerede	juba	allerede	juba	ADV	ADV
historie	jutt	historie	jutt	N;INDF;MASC+FEM;SG	N;NOM;SG
historie	ajalugu	historie	aja_lugu	N;INDF;MASC+FEM;SG	N;NOM;SG
historie	ajaloo	historie	aja_lugu	N;INDF;MASC+FEM;SG	N;GEN;SG
engelsk	inglise	engelsk	inglise	ADJ;INDF;SG	ADJ
århundrede	sajandi	århundrede	sajand	N;INDF;NEUT;SG	N;GEN;SG
århundrede	sajand	århundrede	sajand	N;INDF;NEUT;SG	N;NOM;SG
stadig	ikkagi	stadig	ikkagi	ADV	ADV
stadig	ikka	stadig	ikka	ADV	ADV
sted	koht	sted	koht	N;INDF;NEUT;SG	N;NOM;SG
sted	asukoht	sted	asu_koht	N;INDF;NEUT;SG	N;NOM;SG
center	keskus	center	keskus	N;INDF;NEUT;SG	N;NOM;SG
center	center	center	center	N;INDF;NEUT;SG	N;NOM;SG
center	keskus	center	keskus	N;INDF;NEUT;SG	N;NOM;SG
forhold	suhtarv	forhold	suht_arv	N;INDF;NEUT;SG	N;NOM;SG
forhold	suhe	forhold	suhe	N;INDF;NEUT;SG	N;NOM;SG
forhold	suhe	forhold	suhe	N;INDF;NEUT;SG	N;NOM;SG
forhold	seos	forhold	seos	N;INDF;NEUT;SG	N;NOM;SG
spiller	mängib	spille	mängima	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
spiller	mängimas	spille	mängima	V;IND;PRS;FIN;ACT	V;IN+ESS;V.CVB;ACT
spiller	mängib	spille	mängima	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
spiller	mängivad	spille	mängima	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN;ACT
kommer	tuleb	komme	tulema	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
kommer	tulemas	komme	tulema	V;IND;PRS;FIN;ACT	V;IN+ESS;V.CVB;ACT
kommer	tuleb	komme	tulema	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
især	eriti	især	eriti	ADV	ADV
især	eriti	især	eriti	ADV	ADV
kampe	tikud	kamp	tikk	N;INDF;MASC+FEM;PL	N;NOM;PL
kampe	võitlused	kamp	võitlus	N;INDF;MASC+FEM;PL	N;NOM;PL
kampe	mängud	kamp	mäng	N;INDF;MASC+FEM;PL	N;NOM;PL
kampe	lahinguid	kamp	lahing	N;INDF;MASC+FEM;PL	N;PRT;PL
kampe	lahingud	kamp	lahing	N;INDF;MASC+FEM;PL	N;NOM;PL
