من	dari	مِن	dari	ADP	ADP
تصنيف	peringkat	تَصنِيف	peringkat	N;NOM;INDF;SG	N;SG
تصنيف	penilaian	تَصنِيف	pennilaian	N;NOM;INDF;SG	N;SG
تصنيف	rating	تَصنِيف	rating	N;NOM;INDF;SG	N
تصنيف	klasifikasi	تَصنِيف	klasifikasi	N;NOM;INDF;SG	N;SG
عن	tentang	عَن	tentang	ADP	ADP;SG;ACT
عن	sekitar	عَن	sekitar	ADP	ADP
عام	tahun	عَام	tahun	N;NOM;INDF;SG	N;SG
عام	publik	عَام	publik	N;NOM;INDF;SG	N
عام	jendral	عَام	jendral	N;NOM;INDF;SG	N
عام	jenderal	عَام	jenderal	N;NOM;INDF;SG	N;SG
اسم	nama	اِسم	nama	N;NOM;INDF;SG	N;SG
مع	dengan	مَعَ	dengan	ADP;ACC	ADP
المنطقة	daerah	مِنطَقَة	daerah	N;NOM;DEF;SG	N;SG
المنطقة	wilayah	مِنطَقَة	wilayah	N;NOM;DEF;SG	N;SG
المنطقة	region	مِنطَقَة	region	N;NOM;DEF;SG	N
المنطقة	kawasan	مِنطَقَة	kawasan	N;NOM;DEF;SG	N;SG
المنطقة	distrik	مِنطَقَة	distrik	N;NOM;DEF;SG	N;SG
المنطقة	kecamatan	مِنطَقَة	kecamatan	N;NOM;DEF;SG	N;SG
المنطقة	raionul	مِنطَقَة	raionul	N;NOM;DEF;SG	N
المنطقة	kabupaten	مِنطَقَة	kabupaten	N;NOM;DEF;SG	N;SG
المنطقة	daerah	مِنطَقَة	daerah	N;NOM;DEF;SG	N;SG
المنطقة	zona	مِنطَقَة	zona	N;NOM;DEF;SG	N;SG
المنطقة	daerah	مِنطَقَة	daerah	N;NOM;DEF;SG	N;SG
المنطقة	wilayah	مِنطَقَة	wilayah	N;NOM;DEF;SG	N;SG
المنطقة	luas	مِنطَقَة	luas	N;NOM;DEF;SG	N;SG
المنطقة	kawasan	مِنطَقَة	kawasan	N;NOM;DEF;SG	N;SG
المنطقة	area	مِنطَقَة	area	N;NOM;DEF;SG	N;SG
هو	nya	هُوَ	nya	PRO;NOM;MASC;SG;3	PRO
هي	nya	هُوَ	nya	PRO;NOM;FEM;SG;3	PRO
سنة	tahun	سَنَة	tahun	N;NOM;INDF;SG	N;SG
هذه	ini	هٰذَا	ini	DET;NOM;FEM;SG	DET
عدد	angka	عَدَد	angka	N;NOM;INDF;SG	N;SG
عدد	nomor	عَدَد	nomor	N;NOM;INDF;SG	N;SG
عدد	bilangan	عَدَد	bilangan	N;NOM;INDF;SG	N;SG
بعد	setelah	بَعدَ	setelah	ADP;NOM	ADP
هذا	ini	هٰذَا	ini	DET;NOM;MASC;SG	DET
هذا	itu	هٰذَا	itu	DET;NOM;MASC;SG	DET
لا	bukan	لَا	bukan	PART	PART;NEG
لا	tidak	لَا	tidak	PART	PART;NEG
بين	antara	بَينَ	antara	ADP;ACC	ADP
بين	diantara	بَينَ	diantara	ADP;ACC	ADP
تعليق	komen	تَعلِيق	komen	N;NOM;INDF;SG	N
تعليق	komentari	تَعلِيق	komentari	N;NOM;INDF;SG	N;SG
تعليق	komentar	تَعلِيق	komentar	N;NOM;INDF;SG	N;SG
تاريخ	tanggal	تَارِيخ	tanggal	N;NOM;INDF;SG	N;SG;ACT
تاريخ	riwayat	تَارِيخ	riwayat	N;NOM;INDF;SG	N
تاريخ	sejarah	تَارِيخ	sejarah	N;NOM;INDF;SG	N;SG
نوع	urut	نَوع	urut	N;NOM;INDF;SG	N;SG
نوع	jenis	نَوع	jenis	N;NOM;INDF;SG	N;SG
نوع	jenis	نَوع	jenis	N;NOM;INDF;SG	N;SG
نوع	tipe	نَوع	tipe	N;NOM;INDF;SG	N;SG
سطر	line	سِطر	line	N;NOM;INDF;SG	N
سطر	baris	سِطر	baris	N;NOM;INDF;SG	N;SG
خط	line	خَطّ	line	N;NOM;INDF;SG	N
خط	baris	خَطّ	baris	N;NOM;INDF;SG	N;SG
خط	font	خَطّ	font	N;NOM;INDF;SG	N
خط	huruf	خَطّ	huruf	N;NOM;INDF;SG	N;SG
التعداد	sensus	تَعدَاد	sensus	N;NOM;DEF;SG	N;SG
التعداد	enumerasi	تَعدَاد	enumerasi	N;NOM;DEF;SG	N
مدينة	kota	مَدِينَة	kota	N;NOM;INDF;SG	N;SG
المدينة	kotamadya	مَدِينَة	kotamadya	N;NOM;DEF;SG	N;SG
المدينة	kota	مَدِينَة	kota	N;NOM;DEF;SG	N;SG
المدينة	kota	مَدِينَة	kota	N;NOM;DEF;SG	N;SG
قبل	sebelum	قَبلَ	sebelum	ADP;ACC	ADP
كرة	bola	كُرَة	bola	N;NOM;INDF;SG	N;SG
كل	makan	كُلّ	makan	N;NOM;INDF;SG	N;SG;ACT
الله	tuhan	اَللّٰه	tuhan	N;NOM;DEF;SG	N;SG
غير	perubahan	غَير	perubahan	N;ACC;PSSD;SG	N;SG
مساحة	daerah	مِسَاحَة	daerah	N;NOM;INDF;SG	N;SG
مساحة	wilayah	مِسَاحَة	wilayah	N;NOM;INDF;SG	N;SG
مساحة	luas	مِسَاحَة	luas	N;NOM;INDF;SG	N;SG
مساحة	kawasan	مِسَاحَة	kawasan	N;NOM;INDF;SG	N;SG
مساحة	area	مِسَاحَة	area	N;NOM;INDF;SG	N;SG
مساحة	ruang	مِسَاحَة	ruang	N;NOM;INDF;SG	N;SG
مساحة	spasi	مِسَاحَة	spasi	N;NOM;INDF;SG	N
مساحة	angkasa	مِسَاحَة	angkasa	N;NOM;INDF;SG	N;SG
محافظة	propinsi	مُحَافَظَة	propinsi	N;NOM;INDF;SG	N;SG
محافظة	kegubernuran	مُحَافَظَة	kegubernuran	N;NOM;INDF;SG	N;SG
خلال	selama	خِلَالَ	selama	ADP;ACC	ADP
خلال	melalui	خِلَالَ	melalui	ADP;ACC	ADP
مثل	seperti	مِثلَ	seperti	ADP;NOM	ADP
خارجية	outdoor	خَارِجِيَّة	outdoor	N;NOM;INDF;SG	N
خارجية	eksternal	خَارِجِيَّة	eksternal	N;NOM;INDF;SG	N
خارجية	eksterior	خَارِجِيَّة	eksterior	N;NOM;INDF;SG	N
الصورة	gambar	صُورَة	gambar	N;NOM;DEF;SG	N;SG
الصورة	image	صُورَة	image	N;NOM;DEF;SG	N
الصورة	citra	صُورَة	citra	N;NOM;DEF;SG	N;SG
الصورة	gambar	صُورَة	gambar	N;NOM;DEF;SG	N;SG
علم	menyalin	عَلِم	mensalin	V;PFV;MASC;SG;3;ACT	V;SG;ACT
خريطة	peta	خَرِيطَة	peta	N;NOM;INDF;SG	N;SG
