mai	bolj	mai	bolj	ADV	ADV;CMPR
prin	skozi	prin	skozi	ADP;ACC	ADP;ACC
mare	velika	mare	velik	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
mare	velik	mare	velik	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
are	ima	avea	imeti	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
externe	zunanje	extern	zunanji	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;PL
locuitori	prebivalce	locuitor	prebivalec	N;INDF;MASC;PL	N;ACC;MASC;PL
locuitori	prebivalcev	locuitor	prebivalec	N;INDF;MASC;PL	N;GEN;MASC;PL
locuitori	prebivalci	locuitor	prebivalec	N;INDF;MASC;PL	N;NOM;MASC;PL
locuitori	stanovalci	locuitor	stanovalec	N;INDF;MASC;PL	N;NOM;MASC;PL
locuitori	prebivalcev	locuitor	prebivalec	N;INDF;MASC;PL	N;GEN;MASC;PL
locuitori	prebivalci	locuitor	prebivalec	N;INDF;MASC;PL	N;NOM;MASC;PL
legaturi	povezave	legatură	povezava	N;INDF;FEM;PL	N;NOM;FEM;PL
legaturi	povezave	legatură	povezava	N;INDF;FEM;PL	N;NOM;FEM;PL
legaturi	priključki	legatură	priključek	N;INDF;FEM;PL	N;NOM;MASC;PL
legaturi	povezave	legatură	povezava	N;INDF;FEM;PL	N;NOM;FEM;PL
dar	toda	dar	toda	CONJ;POS	CONJ
dar	ampak	dar	ampak	CONJ;POS	CONJ
dar	vendar	dar	vendar	CONJ;POS	CONJ
jpg	jpg	jpg	jpg	N	N;NOM;MASC;SG
nume	ime	nume	ime	N;INDF	N;NOM;NEUT;SG
ani	letih	an	leto	N;INDF;MASC;PL	N;ESS;NEUT;PL
ani	let	an	leto	N;INDF;MASC;PL	N;GEN;NEUT;PL
avea	imelo	avea	imeti	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;SG;V.PTCP
avea	imel	avea	imeti	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;SG;V.PTCP
avea	imela	avea	imeti	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;SG;V.PTCP
rege	kralj	rege	kralj	N;INDF;MASC;SG	N;NOM;MASC;SG
septembrie	september	septembrie	september	N;INDF;MASC;SG	N;NOM;MASC;SG
septembrie	septembra	septembrie	september	N;INDF;MASC;SG	N;GEN;MASC;SG
timp	čas	timp	čas	N;INDF;MASC;SG	N;NOM;MASC;SG
timp	časa	timp	čas	N;INDF;MASC;SG	N;GEN;MASC;SG
unde	kje	unde	kje	ADV	ADV
iunie	junij	iunie	junij	N;INDF;MASC;SG	N;NOM;MASC;SG
iunie	junija	iunie	junij	N;INDF;MASC;SG	N;GEN;MASC;SG
octombrie	oktobra	octombrie	oktober	N;INDF;MASC;SG	N;GEN;MASC;SG
octombrie	oktober	octombrie	oktober	N;INDF;MASC;SG	N;NOM;MASC;SG
august	avgusta	august	avgust	N;INDF;MASC;SG	N;GEN;MASC;SG
august	august	august	august	N;INDF;MASC;SG	N;NOM;MASC;SG
august	avgust	august	avgust	N;INDF;MASC;SG	N;NOM;MASC;SG
sat	vasi	sat	vas	N;INDF;MASC;SG	N;GEN;FEM;SG
sat	vasica	sat	vasica	N;INDF;MASC;SG	N;NOM;FEM;SG
sat	sat	sat	sat	N;INDF;MASC;SG	N;NOM;MASC;SG
martie	marec	martie	marec	N;INDF;MASC;SG	N;NOM;MASC;SG
martie	marca	martie	marec	N;INDF;MASC;SG	N;GEN;MASC;SG
martie	pohod	martie	pohod	N;INDF;MASC;SG	N;NOM;MASC;SG
fisier	datoteka	fisier	datoteka	N;INDF;MASC;SG	N;NOM;FEM;SG
fisier	datoteko	fisier	datoteka	N;INDF;MASC;SG	N;ACC;FEM;SG
fisier	datoteka	fisier	datoteka	N;INDF;MASC;SG	N;NOM;FEM;SG
fisier	datoteko	fisier	datoteka	N;INDF;MASC;SG	N;ACC;FEM;SG
decembrie	december	decembrie	december	N;INDF;MASC;SG	N;NOM;MASC;SG
decembrie	decembra	decembrie	december	N;INDF;MASC;SG	N;GEN;MASC;SG
ianuarie	januar	ianuarie	januar	N;INDF;MASC;SG	N;NOM;MASC;SG
ianuarie	januarja	ianuarie	januar	N;INDF;MASC;SG	N;GEN;MASC;SG
latns	latns	latns	latns		
latd	latd	latd	latd		
longd	longd	longd	longd		
noiembrie	november	noiembrie	november	N;INDF;MASC;SG	N;NOM;MASC;SG
noiembrie	novembra	noiembrie	november	N;INDF;MASC;SG	N;GEN;MASC;SG
cum	kako	cum	kako	ADV	ADV
lor	njihovi	lui	njihov	DET;3	DET;NOM;MASC;PL;3
lor	njihov	lui	njihov	DET;3	DET;NOM;MASC;SG;3
lor	njihovo	lui	njihov	DET;3	DET;NOM;NEUT;SG;3
lor	njihova	lui	njihov	DET;3	DET;NOM;FEM;SG;3
lor	njihove	lui	njihov	DET;3	DET;NOM;FEM;SG;3
avut	imelo	avea	imeti	V;MASC;SG;V.PTCP	V;IPFV;NEUT;SG;V.PTCP
avut	imel	avea	imeti	V;MASC;SG;V.PTCP	V;IPFV;MASC;SG;V.PTCP
avut	imela	avea	imeti	V;MASC;SG;V.PTCP	V;IPFV;FEM;SG;V.PTCP
nord	sever	nord	sever	N;INDF;MASC;SG	N;NOM;MASC;SG
sud	jug	sud	jug	N;INDF;MASC;SG	N;NOM;MASC;SG
aprilie	april	aprilie	april	N;INDF;MASC;SG	N;NOM;MASC;SG
aprilie	aprila	aprilie	april	N;INDF;MASC;SG	N;GEN;MASC;SG
loc	plac	loc	plac	N;INDF;MASC;SG	N;NOM;MASC;SG
loc	kraj	loc	kraj	N;INDF;MASC;SG	N;NOM;MASC;SG
iulie	julij	iulie	julij	N;INDF;MASC;SG	N;NOM;MASC;SG
iulie	julija	iulie	julij	N;INDF;MASC;SG	N;GEN;MASC;SG
februarie	februarja	februarie	februar	N;INDF;MASC;SG	N;GEN;MASC;SG
februarie	februar	februarie	februar	N;INDF;MASC;SG	N;NOM;MASC;SG
trei	tri	trei	trije	NUM;PL	NUM;NOM;FEM;PL
trei	trije	trei	trije	NUM;PL	NUM;NOM;MASC;PL
trei	tremi	trei	trije	NUM;PL	NUM;NOM;FEM;PL
asteroizi	asteroidi	asteroid	asteroid	N;INDF;MASC;PL	N;NOM;MASC;PL
lats	lats	lats	lats		
latm	latm	latm	latm		
foarte	zelo	foarte	zelo	ADV	ADV
departament	oddelek	departament	oddelek	N;INDF;MASC;SG	N;NOM;MASC;SG
apoi	potem	apoi	potem	ADV	ADV
grup	skupino	grup	skupina	N;INDF;MASC;SG	N;ACC;FEM;SG
grup	skupina	grup	skupina	N;INDF;MASC;SG	N;NOM;FEM;SG
oras	mestu	oras	mesto	N;INDF;MASC;SG	N;DAT;NEUT;SG
oras	mesto	oras	mesto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	mesto	oras	mesto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	mestu	oras	mesto	N;INDF;MASC;SG	N;DAT;NEUT;SG
oras	mestu	oras	mesto	N;INDF;MASC;SG	N;DAT;NEUT;SG
oras	mesto	oras	mesto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	mesto	oras	mesto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	mestu	oras	mesto	N;INDF;MASC;SG	N;DAT;NEUT;SG
oras	mestu	oras	mesto	N;INDF;MASC;SG	N;DAT;NEUT;SG
oras	mesto	oras	mesto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	mesto	oras	mesto	N;INDF;MASC;SG	N;NOM;NEUT;SG
oras	mestu	oras	mesto	N;INDF;MASC;SG	N;DAT;NEUT;SG
camp	taborišče	camp	taborišče	N;INDF;MASC;SG	N;NOM;NEUT;SG
camp	kamp	camp	kamp	N;INDF;MASC;SG	N;NOM;MASC;SG
camp	camp	camp	camp	N;INDF;MASC;SG	N;NOM;MASC;SG
camp	tabor	camp	tabor	N;INDF;MASC;SG	N;NOM;MASC;SG
