nie	لا	nie	لَا	PART;NEG	PART
przez	عبر	przez	عَبرَ	ADP	ADP;ACC
przez	خلال	przez	خِلَالَ	ADP	ADP;ACC
pod	تحت	pod	تَحتَ	ADP	ADP;ACC
dyskusja	مناقشة	dyskusja	مُنَاقَشَة	N;NOM;FEM;SG	N;NOM;INDF;SG
dyskusja	نقاش	dyskusja	نِقَاش	N;NOM;FEM;SG	N;NOM;INDF;SG
dyskusja	المناقشة	dyskusja	مُنَاقَشَة	N;NOM;FEM;SG	N;NOM;DEF;SG
miejsce	بقعة	miejsce	بقعة	N;NOM;NEUT;SG	N;NOM;INDF;SG
miejsce	البقعة	miejsce	بَقعَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
miejsce	مكان	miejsce	مَكَان	N;NOM;NEUT;SG	N;NOM;INDF;SG
miejsce	المكان	miejsce	مَكَان	N;NOM;NEUT;SG	N;NOM;DEF;SG
miejsce	المكان	miejsce	مَكَان	N;NOM;NEUT;SG	N;NOM;DEF;SG
polski	البولندية	polski	بُولَندِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
polski	البولندي	polski	بُولَندِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
linki	الوصلات	linka	وُصلَة	N;NOM;FEM;PL	N;NOM;DEF;PL
linki	الصلات	linka	صَلَة	N;NOM;FEM;PL	N;NOM;DEF;PL
linki	روابط	linka	روابط	N;NOM;FEM;PL	N;NOM;INDF;PL
linki	الروابط	linka	رَابِطَة	N;NOM;FEM;PL	N;NOM;DEF;PL
linki	وصلات	linka	وُصلَة	N;NOM;FEM;PL	N;NOM;INDF;PL
zewnętrzne	خارجي	zewnętrzny	خَارِجِيّ	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
podczas	اثناء	podczas	أَثنَاءَ	ADP	ADP;ACC
podczas	خلال	podczas	خِلَالَ	ADP	ADP;ACC
miejscowość	بلدة	miejscowość	بَلدَة	N;NOM;FEM;SG	N;NOM;INDF;SG
miejscowość	المدينة	miejscowość	مَدِينَة	N;NOM;FEM;SG	N;NOM;DEF;SG
miejscowość	البلدة	miejscowość	بَلدَة	N;NOM;FEM;SG	N;NOM;DEF;SG
miejscowość	مدينة	miejscowość	مَدِينَة	N;NOM;FEM;SG	N;NOM;INDF;SG
miejscowość	المدينة	miejscowość	مَدِينَة	N;NOM;FEM;SG	N;NOM;DEF;SG
stycznia	يناير	styczeń	يَنَايِر	N;GEN;MASC;SG	N;GEN;INDF;SG
października	اكتوبر	październik	أُكتُوبِر	N;GEN;MASC;SG	N;GEN;INDF;SG
sierpnia	اغسطس	sierpień	أَغُسطُس	N;GEN;MASC;SG	N;GEN;INDF;SG
rok	عام	rok	عَام	N;NOM;MASC;SG	N;NOM;INDF;SG
rok	العام	rok	عَام	N;NOM;MASC;SG	N;NOM;DEF;SG
rok	السنه	rok	سَنه	N;NOM;MASC;SG	N;NOM;DEF;SG
rok	سنة	rok	سَنَة	N;NOM;MASC;SG	N;NOM;INDF;SG
rok	سنه	rok	سنه	N;NOM;MASC;SG	N;NOM;INDF;SG
rok	السنة	rok	سَنَة	N;NOM;MASC;SG	N;NOM;DEF;SG
wieś	الريف	wieś	رِيف	N;NOM;FEM;SG	N;NOM;DEF;SG
wieś	قرية	wieś	قَريَة	N;NOM;FEM;SG	N;NOM;INDF;SG
wieś	القرية	wieś	قَريَة	N;NOM;FEM;SG	N;NOM;DEF;SG
listopada	نوفمبر	listopada	نُوفِمبِر	N;GEN;MASC;SG	N;GEN;INDF;SG
listopada	نوفمبر	listopada	نُوفِمبِر	N;GEN;MASC;SG	N;GEN;INDF;SG
czerwca	يونيو	czerwiec	يُونِيُو	N;GEN;MASC;SG	N;GEN;INDF;SG
przed	قبل	przed	قَبلَ	ADP	ADP;ACC
pierwszy	اول	pierwszy	أَوَّل	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
pierwszy	الاول	pierwszy	أَوَّل	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
pierwszy	الاولى	pierwszy	أَوَّل	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
można	يستطيع	można	اِستَطَاع	V;IND;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
można	يمكن	można	أَمكَن	V;IND;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
znajduje	يجد	znajdować	وَجَد	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
znajduje	يعثر	znajdować	عَثَر	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
znajduje	يخلص	znajdować	خَلَص	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
miasto	بلدة	miasto	بَلدَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
miasto	المدينة	miasto	مَدِينَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
miasto	البلدة	miasto	بَلدَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
miasto	مدينة	miasto	مَدِينَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
miasto	المدينة	miasto	مَدِينَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
lata	السنين	rok	سَنَة	N;NOM;MASC;PL	N;NOM;DEF;PL
lata	اعوام	rok	عَام	N;NOM;MASC;PL	N;NOM;INDF;PL
lata	سنين	rok	سَنَة	N;NOM;MASC;PL	N;NOM;INDF;PL
lata	السنوات	rok	سَنَة	N;NOM;MASC;PL	N;NOM;DEF;PL
lata	سنوات	rok	سَنَة	N;NOM;MASC;PL	N;NOM;INDF;PL
nazwa	اسم	nazwa	اِسم	N;NOM;FEM;SG	N;NOM;INDF;SG
nazwa	الاسم	nazwa	اِسم	N;NOM;FEM;SG	N;NOM;DEF;SG
liczba	عدد	liczba	عَدَد	N;NOM;FEM;SG	N;NOM;INDF;SG
liczba	العدد	liczba	عَدَد	N;NOM;FEM;SG	N;NOM;DEF;SG
liczba	الرقم	liczba	رَقم	N;NOM;FEM;SG	N;NOM;DEF;SG
liczba	رقم	liczba	رَقم	N;NOM;FEM;SG	N;NOM;INDF;SG
część	جزء	część	جُزء	N;NOM;FEM;SG	N;NOM;INDF;SG
część	الجزء	część	جُزء	N;NOM;FEM;SG	N;NOM;DEF;SG
między	بين	między	بَينَ	ADP	ADP;ACC
skład	التشكيل	skład	تَشكِيل	N;NOM;MASC;SG	N;NOM;DEF;SG
skład	تشكيل	skład	تَشكِيل	N;NOM;MASC;SG	N;NOM;INDF;SG
skład	تكوين	skład	تَكوِين	N;NOM;MASC;SG	N;NOM;INDF;SG
skład	التكوين	skład	تَكوِين	N;NOM;MASC;SG	N;NOM;DEF;SG
strona	صفحة	strona	صَفحَة	N;NOM;FEM;SG	N;NOM;INDF;SG
strona	الصفحة	strona	صَفحَة	N;NOM;FEM;SG	N;NOM;DEF;SG
udział	شاركت	udział	شَارَك	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
udział	شارك	udział	شَارَك	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;MASC;SG;3;ACT
zespół	فرقة	zespół	فِرقَة	N;NOM;MASC;SG	N;NOM;INDF;SG
zespół	الفرقة	zespół	فِرقَة	N;NOM;MASC;SG	N;NOM;DEF;SG
zespół	الفريق	zespół	فَرِيق	N;NOM;MASC;SG	N;NOM;DEF;SG
zespół	فريق	zespół	فَرِيق	N;NOM;MASC;SG	N;NOM;INDF;SG
kościół	كنيسة	kościół	كَنِيسَة	N;NOM;MASC;SG	N;NOM;INDF;SG
kościół	الكنيسة	kościół	كَنِيسَة	N;NOM;MASC;SG	N;NOM;DEF;SG
inne	اخرى	inny	آخَر	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;FEM;SG
tam	هناك	tam	هُنَاكَ	ADV	ADV
jeden	واحدة	jeden	وَاحِد	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
jeden	واحد	jeden	وَاحِد	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
wynik	الحصيلة	wynik	حَصِيلَة	N;NOM;MASC;SG	N;NOM;DEF;SG
wynik	النتيجة	wynik	نَتِيجَة	N;NOM;MASC;SG	N;NOM;DEF;SG
wynik	النتيجة	wynik	نَتِيجَة	N;NOM;MASC;SG	N;NOM;DEF;SG
lista	قائمة	list	قَائِمَة	N;NOM;FEM;SG	N;NOM;INDF;SG
lista	القائمة	list	قَائِمَة	N;NOM;FEM;SG	N;NOM;DEF;SG
album	الالبوم	album	أَلبُوم	N;NOM;MASC;SG	N;NOM;DEF;SG
rodziny	العائلات	rodzina	عَائِلَة	N;NOM;FEM;PL	N;NOM;DEF;PL
rodziny	الاسر	rodzina	أُسرَة	N;NOM;FEM;PL	N;NOM;DEF;PL
rodziny	العوائل	rodzina	عَائِلَة	N;NOM;FEM;PL	N;NOM;DEF;PL
rodziny	عائلات	rodzina	عَائِلَة	N;NOM;FEM;PL	N;NOM;INDF;PL
amerykański	امريكية	amerykański	أَمرِيكِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
amerykański	امريكي	amerykański	أَمرِيكِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
czas	وقت	czas	وَقت	N;NOM;MASC;SG	N;NOM;INDF;SG
czas	الزمن	czas	زَمَن	N;NOM;MASC;SG	N;NOM;DEF;SG
czas	الوقت	czas	وَقت	N;NOM;MASC;SG	N;NOM;DEF;SG
czas	زمن	czas	زَمَن	N;NOM;MASC;SG	N;NOM;INDF;SG
czas	الزمان	czas	زَمَان	N;NOM;MASC;SG	N;NOM;DEF;SG
pierwsze	اول	pierwszy	أَوَّل	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
pierwsze	الاول	pierwszy	أَوَّل	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
pierwsze	الاولى	pierwszy	أَوَّل	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;FEM;SG
źródło	المصدر	źródło	مَصدَر	N;NOM;NEUT;SG	N;NOM;DEF;SG
źródło	مصدر	źródło	مَصدَر	N;NOM;NEUT;SG	N;NOM;INDF;SG
strony	صفحات	strona	صَفحَة	N;NOM;FEM;PL	N;NOM;INDF;PL
strony	الصفحات	strona	صَفحَة	N;NOM;FEM;PL	N;NOM;DEF;PL
gęstość	كثافة	gęstość	كَثَافَة	N;NOM;FEM;SG	N;NOM;INDF;SG
gęstość	الكثافة	gęstość	كَثَّافَة	N;NOM;FEM;SG	N;NOM;DEF;SG
kariera	مسير	kariera	مَسِير	N;NOM;FEM;SG	N;NOM;INDF;SG
