hän	тя	hän	аз	PRO;NOM;SG;3	PRO;NOM;FEM;SG;3
vuonna	година	vuosi	година	N;FRML;SG	N;INDF;FEM;SG
vuonna	годината	vuosi	година	N;FRML;SG	N;DEF;FEM;SG
myös	също	myös	също	ADV	ADV
joka	което	joka	който	PRO;NOM;SG	PRO;NOM;NEUT;SG
joka	която	joka	който	PRO;NOM;SG	PRO;NOM;FEM;SG
kello	часовник	kello	часовник	N;NOM;SG	N;INDF;MASC;SG
että	че	että	че	CONJ	CONJ
ovat	са	olla	съм	V;IND;PL;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
mutta	но	mutta	но	CONJ	CONJ
vuoden	година	vuosi	година	N;GEN;SG	N;INDF;FEM;SG
vuoden	годината	vuosi	година	N;GEN;SG	N;DEF;FEM;SG
muualla	другаде	muualla	другаде	ADV	ADV
kuin	като	kuin	като	CONJ	CONJ
vain	само	vain	само	ADV	ADV
vain	единствено	vain	единствено	ADV	ADV
vain	просто	vain	просто	ADV	ADV
vain	само	vain	само	ADV	ADV
olivat	бяха	olla	съм	V;IND;PL;3;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
lisäksi	също	lisäksi	също	ADV	ADV
lisäksi	плюс	lisäksi	плюс	ADV	ADV
hänet	него	hän	аз	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
yksi	една	yksi	един	NUM;NOM;SG	NUM;INDF;FEM;SG
yksi	един	yksi	един	NUM;NOM;SG	NUM;INDF;MASC;SG
yksi	едно	yksi	един	NUM;NOM;SG	NUM;INDF;NEUT;SG
voitti	спечели	voittaa	спечеля	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
tulos	развръзка	tulos	развръзка	N;NOM;SG	N;INDF;FEM;SG
tulos	изход	tulos	изход	N;NOM;SG	N;INDF;MASC;SG
tulos	резултат	tulos	резултат	N;NOM;SG	N;INDF;MASC;SG
tulos	резултат	tulos	резултат	N;NOM;SG	N;INDF;MASC;SG
tulos	резултата	tulos	резултат	N;NOM;SG	N;DEF;MASC;SG
