antropología	ανθρωπολογία	antropología	ανθρωπολογία	N;FEM;SG	N;NOM;FEM;SG
favorable	ευνοϊκή	favorable	ευνοϊκός	ADJ;SG	ADJ;NOM;FEM;SG
bizantino	βυζαντινή	bizantino	βυζαντινός	ADJ;MASC;SG	ADJ;NOM;FEM;SG
significativa	σημαντική	significativo	σημαντικός	ADJ;FEM;SG	ADJ;NOM;FEM;SG
fiel	πιστός	fiel	πιστός	ADJ;SG	ADJ;NOM;MASC;SG
fiel	πιστό	fiel	πιστός	ADJ;SG	ADJ;NOM;NEUT;SG
fiel	πιστή	fiel	πιστός	ADJ;SG	ADJ;NOM;FEM;SG
rodaje	γύρισμα	rodaje	γύρισμα	N;MASC;SG	N;NOM;NEUT;SG
rodaje	πυροβολισμός	rodaje	πυροβολισμός	N;MASC;SG	N;NOM;MASC;SG
rodaje	πυροβολισμό	rodaje	πυροβολισμός	N;MASC;SG	N;ACC;MASC;SG
escalera	σκάλα	escalera	σκάλα	N;FEM;SG	N;NOM;FEM;SG
escalera	κλιμακοστάσιο	escalera	κλιμακοστάσιο	N;FEM;SG	N;NOM;NEUT;SG
escalera	σκάλα	escalera	σκάλα	N;FEM;SG	N;NOM;FEM;SG
escalera	κλιμακοστάσιο	escalera	κλιμακοστάσιο	N;FEM;SG	N;NOM;NEUT;SG
escalera	σκάλα	escalera	σκάλα	N;FEM;SG	N;NOM;FEM;SG
escalera	σκάλα	escalera	σκάλα	N;FEM;SG	N;NOM;FEM;SG
reglamento	κανονισμός	reglamento	κανονισμός	N;MASC;SG	N;NOM;MASC;SG
reglamento	κανονισμού	reglamento	κανονισμός	N;MASC;SG	N;GEN;MASC;SG
gigantes	γίγαντες	gigante	γίγα	N;PL	N;NOM;MASC;PL
experimentos	πειράματα	experimento	πείραμα	N;MASC;PL	N;NOM;NEUT;PL
paisajes	σκηνικά	paisaje	σκηνικά	N;MASC;PL	N;NOM;NEUT;PL
paisajes	τοπία	paisaje	τοπία	N;MASC;PL	N;NOM;NEUT;PL
mito	μύθο	mito	μύθος	N;MASC;SG	N;NOM;MASC;SG
mito	μύθος	mito	μύθος	N;MASC;SG	N;NOM;MASC;SG
dispuesto	πρόθυμος	dispuesto	πρόθυμος	ADJ;MASC;SG;V.PTCP	ADJ;NOM;MASC;SG
dispuesto	πρόθυμο	dispuesto	πρόθυμο	ADJ;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG
dispuesto	πρόθυμη	dispuesto	πρόθυμος	ADJ;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG
robot	ρομπότ	robot	ρομπότ	N;MASC;SG	N;NOM;NEUT;SG
cuota	αμοιβή	cuota	αμοιβός	N;FEM;SG	N;NOM;FEM;SG
cuota	ποσόστωση	cuota	ποσόστωση	N;FEM;SG	N;NOM;FEM;SG
cuota	ποσόστωσης	cuota	ποσόστωση	N;FEM;SG	N;GEN;FEM;SG
obreros	εργαζόμενοι	obrero	εργαζόμενος	N;MASC;PL	N;NOM;MASC;PL
obreros	εργαζομένων	obrero	εργαζόμενος	N;MASC;PL	N;GEN;MASC;PL
obreros	εργάτες	obrero	εργάτης	N;MASC;PL	N;NOM;MASC;PL
sagrada	ιερός	sagrado	ιερός	ADJ;FEM;SG	ADJ;NOM;MASC;SG
sagrada	ιερή	sagrado	ιερός	ADJ;FEM;SG	ADJ;NOM;FEM;SG
interpretaciones	ερμηνείες	interpretación	ερμηνεία	N;FEM;PL	N;NOM;FEM;PL
hembra	γυναίκα	hembra	γυναίκα	N;FEM;SG	N;NOM;FEM;SG
hembra	θηλυκό	hembra	θηλυκός	N;FEM;SG	N;NOM;NEUT;SG
empresarial	εταιρική	empresarial	εταιρικός	ADJ;SG	ADJ;NOM;FEM;SG
añadió	πρόσθεσε	añadir	προσθέτω	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
añadió	προστέθηκε	añadir	προσθέτω	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;3;PST;FIN;PASS
gold	χρυσός	gold	χρυσός	N	N;NOM;MASC;SG
gold	χρυσο	gold	χρύσος	N	N;NOM;NEUT;SG
gold	χρυσάφι	gold	χρυσάφι	N	N;NOM;NEUT;SG
