ve	oraz	ve	oraz	CONJ	CONJ
daha	bardziej	daha	bardzo	ADV	ADV;CMPR
daha	więcej	daha	dużo	ADV	ADV;CMPR
sonra	wtedy	sonra	wtedy	ADV	ADV
sonra	później	sonra	późno	ADV	ADV;CMPR
utc	utc	utc	utco		
çok	much	çok	much		
yer	miejsce	yer	miejsce	N;NOM;SG;3	N;NOM;NEUT;SG
yer	miejsce	yer	miejsce	N;NOM;SG;3	N;NOM;NEUT;SG
yer	lokalizacja	yer	lokalizacja	N;NOM;SG;3	N;NOM;FEM;SG
yer	położenie	yer	położenie	N;NOM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
gibi	like	gibi	lik		
dış	dis	dış	dis		
büyük	big	büyük	big		
bağlantılar	połączenia	bağlantı	połączenie	N;NOM;PL;3	N;NOM;NEUT;PL
bağlantılar	linki	bağlantı	linka	N;NOM;PL;3	N;NOM;FEM;PL
bağlantılar	kontakty	bağlantı	kontakt	N;NOM;PL;3	N;NOM;MASC;PL
iki	iki	iki	ikny		
ancak	jakkolwiek	ancak	jakkolwiek		
ancak	jednakże	ancak	jednakże		
center	środek	center	środek	N;NOM;SG;3	N;NOM;MASC;SG
center	ośrodek	center	ośrodek	N;NOM;SG;3	N;NOM;MASC;SG
türk	turecka	türk	turecka	ADJ	ADJ;NOM;FEM;SG
türk	tureckie	türk	turecki	ADJ	ADJ;NOM;NEUT;SG
türk	turecki	türk	turecka	ADJ	ADJ;NOM;MASC;SG
diğer	innych	diğer	inny	ADJ	ADJ;GEN;MASC;PL
diğer	inne	diğer	inny	ADJ	ADJ;NOM;NEUT;SG
diğer	inny	diğer	inny	ADJ	ADJ;NOM;MASC;SG
yeni	nowe	yeni	nowy	ADJ	ADJ;NOM;NEUT;SG
yeni	nowy	yeni	nowy	ADJ	ADJ;NOM;MASC;SG
un	mąka	un	mąkać		
un	mąki	un	mąk		
her	każda	her	każdy	DET	DET;NOM;FEM;SG
her	każdy	her	każdy	DET	DET;NOM;MASC;SG
kulüp	club	kul	club		
iyi	dobre	iyi	dobry		
ne	co	ne	co		
ilgili	istotna	ilgili	istotny	ADJ	ADJ;NOM;FEM;SG
ilgili	stosowne	ilgili	stosowny	ADJ	ADJ;NOM;NEUT;SG
ilgili	odpowiednich	ilgili	odpowiedni	ADJ	ADJ;GEN;MASC;PL
ilgili	zainteresowanych	ilgili	zainteresować	ADJ	ADJ;PFV;ACC;MASC;PL;POS;V.PTCP;PASS
ilgili	zainteresowane	ilgili	zainteresować	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ilgili	zainteresowani	ilgili	zainteresować	ADJ	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
ilgili	zainteresowana	ilgili	zainteresować	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
ilgili	zainteresowany	ilgili	zainteresować	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ilgili	powiązany	ilgili	powiązać	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ilgili	powiązanych	ilgili	powiązać	ADJ	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
ilgili	powiązane	ilgili	powiązać	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
son	last	son	last		
son	ostatnia	son	ostatni		
