dorme	sueño	dorme	sueño	N	N;MASC;SG
gañas	ganar	gañar	ganar	V	V;NFIN
gañas	gana	gañar	ganar	V	V;IND;SG;3;PRS;FIN
gañas	gane	gañar	ganar	V	V;IMP;SG;3;FIN
gañas	gano	gañar	ganar	V	V;IND;SG;1;PRS;FIN
marrón	brown	marrón	brown	N	N;MASC;SG
marrón	moreno	marrón	moreno	N	N;MASC;SG
marrón	marrones	marrón	marrón	N	N;MASC;PL
marrón	light	marrón	light	N	N
marrón	luz	marrón	luz	N	N;FEM;SG
utilizar	usar	utilizar	usar	V	V;NFIN
utilizar	utilizar	utilizar	utilizar	V	V;NFIN
poda	pueden	podar	poder	V	V;IND;PL;3;PRS;FIN
poda	puedo	podar	poder	V	V;IND;SG;1;PRS;FIN
poda	puede	podar	poder	V	V;IND;SG;3;PRS;FIN
xamón	jamones	xamón	jamón	N	N;MASC;PL
xamón	jamón	xamón	jamón	N	N;MASC;SG
xamón	ham	xamón	hamer	N	N;MASC;SG
experimentos	experimentos	experimento	experimento	N	N;MASC;PL
falsas	falsa	falso	falso	ADJ	ADJ;FEM;SG
falsas	falso	falso	falso	ADJ	ADJ;MASC;SG
falsas	falsos	falso	falso	ADJ	ADJ;MASC;PL
falsas	falsas	falso	falso	ADJ	ADJ;FEM;PL
diagnose	diagnósticos	diagnose	diagnóstico	N	N;MASC;PL
diagnose	diagnostico	diagnose	diagnostico	N	N;MASC;SG
diagnose	diagnóstico	diagnose	diagnóstico	N	N;MASC;SG
sabendo	sabiendo	saber	saber	V	V;V.MSDR
sabendo	conociendo	saber	conocer	V	V;V.MSDR
arredores	around	arredor	around	N	N
aldeas	pueblos	aldea	pueblo	N	N;MASC;PL
aldeas	aldeas	aldea	aldea	N	N;FEM;PL
torta	pastel	torta	pastel	N	N;MASC;SG
torta	bizcocho	torta	bizcocho	N	N;MASC;SG
torta	torta	torta	torta	N	N;FEM;SG
torta	tarta	torta	tarta	N	N;FEM;SG
moeda	divisa	moeda	divisa	N	N;FEM;SG
moeda	moneda	moeda	moneda	N	N;FEM;SG
moeda	divisas	moeda	divisa	N	N;FEM;PL
moeda	monedas	moeda	moneda	N	N;FEM;PL
moeda	moneda	moeda	moneda	N	N;FEM;SG
xanela	ventana	xanela	ventana	N	N;FEM;SG
xanela	ventanilla	xanela	ventanilla	N	N;FEM;SG
xanela	window	xanela	window	N	N
xanela	escaparate	xanela	escaparate	N	N;MASC;SG
xenio	genio	xenio	genio	N	N;MASC;SG
xenio	genialidad	xenio	genialidad	N	N;FEM;SG
xenio	genios	xenio	genio	N	N;MASC;PL
loitou	lucharon	loitar	luchar	V	V;IND;PL;3;PST;FIN
loitou	luchó	loitar	luchar	V	V;IND;SG;3;PST;FIN
adestramento	formación	adestramento	formación	N	N;FEM;SG
adestramento	adiestramiento	adestramento	adiestramiento	N	N;MASC;SG
adestramento	entrenamiento	adestramento	entrenamiento	N	N;MASC;SG
adestramento	capacitación	adestramento	capacitación	N	N;FEM;SG
turco	turco	turco	turco	N	N;MASC;SG
turco	turcos	turco	turco	N	N;MASC;PL
turco	turco	turco	turco	N	N;MASC;SG
turco	turquía	turco	turquía	N	N;FEM;SG
procurar	mirando	procurar	mirar	V	V;V.MSDR
procurar	buscando	procurar	buscar	V	V;V.MSDR
crecer	crecen	crecer	crecer	V	V;IND;PL;3;PRS;FIN
crecer	crecer	crecer	crecer	V	V;NFIN
crecer	crece	crecer	crecer	V	V;IND;SG;3;PRS;FIN
presta	gustar	prestar	gustar	V	V;NFIN
brilla	brilla	brilla	brillar	V	V;IND;SG;3;PRS;FIN
poetas	poetas	poeta	poeta	N	N;MASC;PL
buratos	huecos	burato	hueco	N	N;MASC;PL
buratos	agujeros	burato	agujero	N	N;MASC;PL
buratos	hoyos	burato	hoyo	N	N;MASC;PL
cá	than	cá	than	N	N
saberán	conozca	saber	conocer	V	V;IMP;SG;3;FIN
saberán	saber	saber	saber	V	V;NFIN
saberán	sepa	saber	saber	V	V;IMP;SG;3;FIN
saberán	sé	saber	saber	V	V;IND;SG;1;PRS;FIN
senso	sentido	senso	sentido	N	N;MASC;SG
patada	kick	patada	kick	N	N;MASC;SG
canle	canal	canle	canal	N	N;MASC;SG
canle	canales	canle	canal	N	N;MASC;PL
canle	channel	canle	channel	N	N;SG
canle	canal	canle	canal	N	N;MASC;SG
gases	gases	gas	gas	N	N;MASC;PL
gases	gasolina	gas	gasolina	N	N;FEM;SG
gases	gas	gas	gas	N	N;MASC;SG
gases	gases	gas	gas	N	N;MASC;PL
comparación	comparación	comparación	comparación	N	N;FEM;SG
comparación	comparaciones	comparación	comparación	N	N;FEM;PL
vantaxe	provecho	vantaxe	provecho	N	N;MASC;SG
vantaxe	ventaja	vantaxe	ventaja	N	N;FEM;SG
morrera	murió	morrera	morir	V	V;IND;SG;3;PST;FIN
morrera	murio	morrera	murio	V	V;IND;SG;1;PRS;FIN
morrera	murieron	morrera	morir	V	V;IND;PL;3;PST;FIN
morrera	tenía	morrera	tener	V	V;IND;SG;3;IPFV;FIN
morrera	tuvo	morrera	tener	V	V;IND;SG;3;PST;FIN
reclamar	reclamar	reclamar	reclamar	V	V;NFIN
cortinas	cortinas	cortina	cortina	N	N;FEM;PL
cortinas	cortina	cortina	cortina	N	N;FEM;SG
vasos	naves	vaso	nave	N	N;FEM;PL
vasos	barcos	vaso	barco	N	N;MASC;PL
vasos	buques	vaso	buque	N	N;MASC;PL
vasos	vasos	vaso	vaso	N	N;MASC;PL
vasos	recipientes	vaso	recipiente	N	N;PL
vasos	embarcaciones	vaso	embarcación	N	N;FEM;PL
vasos	lentes	vaso	lente	N	N;MASC;PL
vasos	vidrios	vaso	vidrio	N	N;MASC;PL
vasos	gafas	vaso	gafas	N	N;FEM;PL
vasos	vasos	vaso	vaso	N	N;MASC;PL
vasos	copas	vaso	copa	N	N;FEM;PL
detén	detiene	detén	detener	V	V;IND;SG;3;PRS;FIN
detén	pare	detén	parir	V	V;SBJV;SG;3;PRS;FIN
detén	detener	detén	detener	V	V;NFIN
detén	parar	detén	parar	V	V;NFIN
faltaba	estaba	faltar	estar	V	V;IND;SG;3;IPFV;FIN
ventre	estómagos	ventrar	estómago	N	N;MASC;PL
ventre	estomago	ventrar	estomago	N	N;MASC;SG
ventre	estómago	ventrar	estómago	N	N;MASC;SG
ventre	tripa	ventrar	tripa	N	N;FEM;SG
ventre	panza	ventrar	panza	N	N;FEM;SG
ventre	vientre	ventrar	vientre	N	N;MASC;SG
ventre	barriga	ventrar	barriga	N	N;FEM;SG
ventre	útero	ventrar	útero	N	N;MASC;SG
ventre	vientre	ventrar	vientre	N	N;MASC;SG
esixe	requiere	esixir	requerir	V	V;IND;SG;3;PRS;FIN
febles	débiles	feble	débil	ADJ	ADJ;PL
febles	débil	feble	débil	ADJ	ADJ;SG
conduta	comportamiento	conduta	comportamiento	N	N;MASC;SG
conduta	comportamientos	conduta	comportamiento	N	N;MASC;PL
conduta	conducta	conduta	conducta	N	N;FEM;SG
corren	corran	currir	correr	V	V;IMP;PL;3;FIN
corren	correr	currir	correr	V	V;NFIN
corren	corre	currir	correr	V	V;IND;SG;3;PRS;FIN
corren	ejecutar	currir	ejecutar	V	V;NFIN
gañaches	win	gañaches	win	N	N
gañaches	triunfo	gañaches	triunfo	N	N;MASC;SG
bóla	bola	bóla	bola	N	N;FEM;SG
bóla	balón	bóla	balón	N	N;MASC;SG
bóla	pelota	bóla	pelota	N	N;FEM;SG
bóla	ball	bóla	ball	N	N;MASC;SG
alerta	alerta	alertar	alerta	N	N;FEM;SG
alerta	alertas	alertar	alerta	N	N;FEM;PL
puxeches	hizo	puxeche	hacer	V	V;IND;SG;3;PST;FIN
puxeches	pon	puxeche	pon	V	V;IND;SG;2;PRS;FIN
puxeches	poner	puxeche	poner	V	V;NFIN
puxeches	ponga	puxeche	poner	V	V;SBJV;SG;3;PRS;FIN
debate	debate	debate	debate	N	N;MASC;SG
amos	masters	aro	master	N	N;MASC;PL
amos	máster	aro	máster	N	N;MASC;SG
amos	maestros	aro	maestro	N	N;MASC;PL
amos	propietarios	aro	propietario	N	N;MASC;PL
amos	dueños	aro	dueño	N	N;MASC;PL
lexión	legión	lexión	legión	N	N;FEM;SG
parados	parados	parado	parado	N	N;MASC;PL
parados	desempleados	parado	desempleado	N	N;MASC;PL
parados	parados	parado	parado	N	N;MASC;PL
xornada	día	xornada	día	N	N;MASC;SG
xornada	dia	xornada	diar	N	N;MASC;SG
balbordo	alboroto	balbordo	alboroto	N	N;MASC;SG
loitei	lucharon	loitei	luchar	V	V;IND;PL;3;PST;FIN
loitei	luchó	loitei	luchar	V	V;IND;SG;3;PST;FIN
tiros	tiro	tiro	tiro	N	N;MASC;SG
tiros	shot	tiro	shot	N	N
tiros	disparo	tiro	disparo	N	N;MASC;SG
tiros	tomas	tiro	toma	N	N;FEM;PL
tiros	disparos	tiro	disparo	N	N;MASC;PL
tiros	tiros	tiro	tiro	N	N;MASC;PL
tiros	chupitos	tiro	chupito	N	N;MASC;PL
axudala	ayuda	axudala	ayuda	N	N;FEM;SG
axudala	her	axudala	her	N	N
mariñeiro	marinero	mariñeiro	marinero	N	N;MASC;SG
mariñeiro	marinera	mariñeiro	marinero	N	N;FEM;SG
mariñeiro	marino	mariñeiro	marino	N	N;MASC;SG
durmo	duerma	durmo	duerma	V	V;SBJV;SG;3;FIN
durmo	duerme	durmo	dormir	V	V;IND;SG;3;PRS;FIN
durmo	dormir	durmo	dormir	V	V;NFIN
trouxeron	trajo	trouxer	traer	V	V;IND;SG;3;PST;FIN
trouxeron	traido	trouxer	trair	V	V;MASC;SG;PST;V.PTCP
honorable	honorable	honorable	honorable	ADJ	ADJ;SG
honorable	honorables	honorable	honorable	ADJ	ADJ;PL
vagóns	coches	vagón	coche	N	N;MASC;PL
vagóns	automóviles	vagón	automóvil	N	N;MASC;PL
vagóns	carros	vagón	carro	N	N;MASC;PL
vagóns	autos	vagón	auto	N	N;MASC;PL
vagóns	train	vagón	train	N	N
vagóns	trenes	vagón	tren	N	N;MASC;PL
vagóns	entreno	vagón	entreno	N	N;MASC;SG
vagóns	tren	vagón	tren	N	N;MASC;SG
coroación	coronación	coroación	coronación	N	N;FEM;SG
quedes	quédate	quedes	quédate	V	V;IND;SG;2;PRS;FIN
quedes	quedo	quedes	quedar	V	V;IND;SG;1;PRS;FIN
quedes	quedate	quedes	quedate	V	V;IND;SG;2;PRS;FIN
douche	dar	douche	dar	V	V;NFIN
pódolle	lata	pódoller	lata	N	N;FEM;SG
maletas	envase	maleta	envase	N	N;MASC;SG
maletas	paquete	maleta	paquete	N	N;SG
maletas	manada	maleta	manada	N	N;FEM;SG
maletas	pack	maleta	pack	N	N;MASC;SG
maletas	estuches	maleta	estuche	N	N;MASC;PL
maletas	cases	maleta	case	N	N
maletas	casos	maleta	caso	N	N;MASC;PL
marchen	marchen	marchar	marchen	V	V;IMP;PL;3;FIN
atreves	atreves	atrever	atreves	V	V;IND;SG;2;PRS;FIN
atreves	dare	atrever	dar	V	V;IMP;SG;3;FIN
choro	grito	choro	grito	N	N;MASC;SG
choro	cry	choro	cry	N	N
choro	llanto	choro	llanto	N	N;MASC;SG
impórtache	mente	impórtache	mente	N	N;FEM;SG
toleaches	crazy	toleache	crazy	N	N;MASC;SG
toleaches	locura	toleache	locura	N	N;FEM;SG
cortes	establos	corte	establo	N	N;MASC;PL
cortes	establo	corte	establo	N	N;MASC;SG
católico	católico	católico	católico	ADJ	ADJ;MASC;SG
católico	católica	católico	católico	ADJ	ADJ;FEM;SG
sacerdote	sacerdote	sacerdote	sacerdote	N	N;MASC;SG
sacerdote	cura	sacerdote	cura	N	N;MASC;SG
sacerdote	predicador	sacerdote	predicador	N	N;MASC;SG
sacerdote	pastor	sacerdote	pastor	N	N;MASC;SG
ficas	quédate	fica	quédate	V	V;IND;SG;2;PRS;FIN
ficas	quedo	fica	quedar	V	V;IND;SG;1;PRS;FIN
ficas	quedate	fica	quedate	V	V;IND;SG;2;PRS;FIN
indios	indios	indio	indio	N	N;MASC;PL
delegados	delegados	delegado	delegado	N	N;MASC;PL
brancas	blancas	branco	blanco	ADJ	ADJ;FEM;PL
brancas	blanca	branco	blanco	ADJ	ADJ;FEM;SG
brancas	blanco	branco	blanco	ADJ	ADJ;MASC;SG
erguédevos	mejores	erguédevo	mejor	ADJ	ADJ;PL
irmandade	fraternidad	irmandade	fraternidad	N	N;FEM;SG
irmandade	hermandad	irmandade	hermandad	N	N;FEM;SG
irmandade	hermandad	irmandade	hermandad	N	N;FEM;SG
compaña	compañia	compaña	compañia	N	N;FEM;SG
compaña	empresa	compaña	empresa	N	N;FEM;SG
compaña	compañía	compaña	compañía	N	N;FEM;SG
compaña	companía	compaña	companía	N	N;FEM;SG
cabana	cabaña	cabanar	cabaña	N	N;FEM;SG
cabana	camarote	cabanar	camarote	N	N;MASC;SG
cabana	cabina	cabanar	cabina	N	N;FEM;SG
berres	grito	berre	grito	N	N;MASC;SG
