vorn	μπροστά	vorn	μπροστά	ADV	ADV
wohnen	ζώντας	wohnen	ζών	V;NFIN	V;IPFV;V.CVB;ACT
wohnen	ζήσε	wohnen	ζώ	V;NFIN	V;PFV;IND;SG;1;PST;FIN;ACT
wohnen	ζω	wohnen	ζω	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
wohnen	ζήσω	wohnen	ζώ	V;NFIN	V;PFV;IND;SG;1;FIN;ACT
zeichnen	επιστήσω	zeichnen	εφιστώ	V;NFIN	V;PFV;IND;SG;1;FIN;ACT
marianne	μαριάν	marianne	μαριάν	N;NOM;FEM;SG	N
österreichisch	αυστριακός	österreichisch	αυστριακός	ADJ	ADJ;NOM;MASC;SG
österreichisch	αυστριακό	österreichisch	αυστριακός	ADJ	ADJ;NOM;NEUT;SG
österreichisch	αυστριακές	österreichisch	αυστριακός	ADJ	ADJ;NOM;FEM;PL
österreichisch	αυστριακή	österreichisch	αυστριακός	ADJ	ADJ;NOM;FEM;SG
klarer	σαφέστερη	klar	σαφής	ADJ	ADJ;NOM;CMPR;FEM;SG
anfangen	ξεκινήστε	anfangen	ξεκινώ	V;NFIN	V;PFV;IND;PL;2;FIN;ACT
anfangen	ξεκίνα	anfangen	ξεκίνα	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
anfangen	αρχίστε	anfangen	αρχίζω	V;NFIN	V;PFV;IMP;PL;2;FIN;ACT
anfangen	ξεκινήστε	anfangen	ξεκινώ	V;NFIN	V;PFV;IND;PL;2;FIN;ACT
mörder	δολοφόνοι	mörder	δολοφόνος	ADJ	ADJ;NOM;MASC;PL
mörder	δολοφόνους	mörder	δολοφόνος	ADJ	ADJ;NOM;MASC;PL
mörder	δολοφόνος	mörder	δολοφόνος	ADJ	ADJ;NOM;MASC;SG
mörder	δολοφόνος	mörder	δολοφόνος	ADJ	ADJ;NOM;MASC;SG
mörder	δολοφόνοι	mörder	δολοφόνος	ADJ	ADJ;NOM;MASC;PL
mörder	δολοφόνος	mörder	δολοφόνος	ADJ	ADJ;NOM;MASC;SG
verändern	αλλάζει	verändern	αλλάζω	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
verändern	αλλάζω	verändern	αλλάζω	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
stürmer	επιθετικός	stürm	επιθετικός	ADJ	ADJ;NOM;MASC;SG
befreit	απελευθερωμένη	befreien	απελευθερώνω	V;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
befreit	εξαιρείται	befreien	εξαίρω	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
befreit	εξαιρούνται	befreien	εξαιρώ	V;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;PASS
befreit	απαλλάσσονται	befreien	απαλλάσσω	V;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;PASS
erteilt	εκδόθηκε	erteilen	εκδίδω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
erteilt	εξέδωσε	erteilen	εκδίδω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
erteilt	εκδίδεται	erteilen	εκδίδω	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
nordischen	σκανδιναβικές	nordisch	σκανδιναβικός	ADJ	ADJ;NOM;FEM;PL
gebeten	ρώτησε	bitten	ρωτώ	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
gebeten	ζήτησε	bitten	ζητώ	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
renoviert	ανακαινισμένο	renovieren	ανακαινίζω	V;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
renoviert	ανακαινισμένο	renovieren	ανακαινίζω	V;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
renoviert	αποκαταστάθηκε	renovieren	αποκαθιστώ	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
renoviert	αποκατασταθεί	renovieren	αποκαθιστώ	V;V.PTCP	V;PFV;NFIN;PASS
kritisierte	επέκρινε	kritisieren	επικρίνω	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
jemals	ποτέ	jemals	ποτέ	ADV	ADV
verschwunden	έφυγε	verschwinden	φεύγω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
verschwunden	εφυγε	verschwinden	φύγω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
verschwunden	εξαφανίστηκαν	verschwinden	εξαφανίζω	V;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
verschwunden	εξαφανίστηκε	verschwinden	εξαφανίζω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
aufeinander	διαδοχικά	aufeinander	διαδοχικά	ADV	ADV
aufeinander	διαδοχικά	aufeinander	διαδοχικά	ADV	ADV
startet	ξεκινά	starten	ξεκινός	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
startet	ξεκινάει	starten	ξεκινώ	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
startet	αρχίζει	starten	αρχίζω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
