弾道	trajektorii	弾道	trajektoria	N	N;GEN;FEM;SG
ベット	zakłady	ベット	zakład	N	N;NOM;MASC;PL
ベット	zakładów	ベット	zakład	N	N;GEN;MASC;PL
ベット	zakład	ベット	zakład	N	N;NOM;MASC;SG
ソープ	mydła	ソープ	mydło	N	N;NOM;NEUT;SG
解像	postanowienia	解像	postanowienie	N	N;NOM;NEUT;PL
解像	uchwały	解像	uchwała	N	N;ACC;FEM;PL
解像	rezolucje	解像	rezolucja	N	N;NOM;FEM;PL
解像	rozdzielczość	解像	rozdzielczość	N	N;ACC;FEM;SG
解像	rezolucja	解像	rezolucja	N	N;NOM;FEM;SG
解像	rozdzielczości	解像	rozdzielczość	N	N;GEN;FEM;SG
解像	rezolucji	解像	rezolucja	N	N;GEN;FEM;SG
支配	menadżer	支配	menadżer	N	N;NOM;MASC;SG
支配	kierownik	支配	kierownik	N	N;NOM;MASC;SG
支配	menedżer	支配	menedżer	N	N;NOM;MASC;SG
支配	zarządca	支配	zarządca	N	N;NOM;MASC;SG
クリニック	kliniki	クリニック	klinika	N	N;GEN;FEM;SG
クリニック	klinik	クリニック	klinika	N	N;GEN;FEM;PL
クリニック	kliniki	クリニック	klinika	N	N;GEN;FEM;SG
クリニック	klinice	クリニック	klinika	N	N;DAT;FEM;SG
キッチン	kuchnia	キッチン	kuchniać	N	N;NOM;FEM;SG
キッチン	kuchni	キッチン	kuchnia	N	N;GEN;FEM;SG
キッチン	kuchnie	キッチン	kuchnąć	N	N;NOM;FEM;PL
レイプ	gwałtu	レイプ	gwałt	N	N;GEN;MASC;SG
赤外線	podczerwień	赤外線	podczerwienie	N	N;NOM;NEUT;SG
スカート	spódnicę	スカート	spódnica	N	N;ACC;FEM;SG
スカート	spódnicy	スカート	spódnik	N	N;GEN;FEM;SG
チャリティー	dobroczynność	チャリティー	dobroczynność	N	N;NOM;FEM;SG
ノリ	nori	ノリ	norić		
隕石	meteoryt	隕石	meteoryt	N	N;NOM;MASC;SG
岩石	skały	岩石	skała	N	N;ACC;FEM;PL
岩石	kamienie	岩石	kamień	N	N;NOM;MASC;PL
買う	kupić	買う	kupić	V	V;PFV;NFIN;ACT
買う	kup	買う	kup	V	V;PFV;IMP;SG;2;FIN;ACT
投げる	rzuć	投げる	rzuć	V	V;PFV;IMP;SG;2;FIN;ACT
盗賊	bandyta	盗賊	bandyta	N	N;NOM;MASC;SG
盗賊	rabusie	盗賊	rabuś	N	N;NOM;MASC;PL
盗賊	bandyci	盗賊	bandyta	N	N;NOM;MASC;PL
親戚	krewni	親戚	krewnić	N	N;NOM;MASC;PL
親戚	krewny	親戚	krewny	N	N;NOM;MASC;SG
親戚	krewni	親戚	krewnić	N	N;NOM;MASC;PL
親戚	krewnych	親戚	krewny	N	N;ACC;MASC;PL
イルカ	delfiny	イルカ	delfin	N	N;ACC;MASC;PL
