emosi	emozione	emosi	emozione	N;SG	N;FEM;SG
debu	polvere	debu	polvere	N;SG	N;FEM;SG
drummer	batterista	drummer	batterista	N	N;SG
drummer	batteristi	drummer	batterista	N	N;MASC;PL
penyusunan	redazione	pensusunan	redazione	N;SG	N;FEM;SG
penalti	rigore	penalti	rigore	N;SG	N;MASC;SG
penalti	penalità	penalti	penalità	N;SG	N;FEM
penalti	penalità	penalti	penalità	N;SG	N;FEM
percakapan	conversazione	percakapan	conversazione	N;SG	N;FEM;SG
parasit	parassita	parasit	parassito	N	N;MASC;SG
parasit	parassiti	parasit	parassito	N	N;MASC;PL
parasit	parassita	parasit	parassito	N	N;MASC;SG
parasit	parassiti	parasit	parassito	N	N;MASC;PL
kelaparan	fame	kelaparan	fame	N;SG	N;FEM;SG
ajaib	miracoloso	ajaib	miracoloso	ADJ;SG	ADJ;MASC;SG
ajaib	miracolosa	ajaib	miracoloso	ADJ;SG	ADJ;FEM;SG
ajaib	magica	ajaib	magico	ADJ;SG	ADJ;FEM;SG
ajaib	magico	ajaib	magico	ADJ;SG	ADJ;MASC;SG
ajaib	magico	ajaib	magico	ADJ;SG	ADJ;MASC;SG
ajaib	magica	ajaib	magico	ADJ;SG	ADJ;FEM;SG
didik	pupillo	didik	pupillo	N;SG	N;MASC;SG
dirayakan	celebrata	dirayakan	celebrare	V;SG;PASS	V;FEM;SG;PST;V.PTCP
dirayakan	celebrato	dirayakan	celebrare	V;SG;PASS	V;MASC;SG;PST;V.PTCP
dirayakan	festeggiato	dirayakan	festeggiare	V;SG;PASS	V;MASC;SG;PST;V.PTCP
filosofi	filosofia	filosofi	filosofia	N;SG	N;FEM;SG
gamelan	gamelan	gamelan	gamelan	N	N;MASC
mandat	mandato	mandat	mandato	N;SG	N;MASC;SG
mainan	toy	mainan	toy	N;SG	N
mainan	giocattolo	mainan	giocattolo	N;SG	N;MASC;SG
kewarganegaraan	cittadinanza	kewarganegaraan	cittadinanza	N;SG	N;FEM;SG
kewarganegaraan	nazionalità	kewarganegaraan	nazionalità	N;SG	N;FEM
kewarganegaraan	nazionalità	kewarganegaraan	nazionalità	N;SG	N;FEM
kewarganegaraan	cittadinanza	kewarganegaraan	cittadinanza	N;SG	N;FEM;SG
kecenderungan	predisposizione	kecenderungan	predisposizione	N;SG	N;FEM;SG
kecenderungan	tendenza	kecenderungan	tendenza	N;SG	N;FEM;SG
diduduki	occupato	diduduki	occupare	V;SG;PASS	V;MASC;SG;PST;V.PTCP
diduduki	occupata	diduduki	occupare	V;SG;PASS	V;FEM;SG;PST;V.PTCP
topi	cappello	topi	cappello	N;SG	N;MASC;SG
topi	cappello	topi	cappello	N;SG	N;MASC;SG
topi	cappellino	topi	cappellino	N;SG	N;MASC;SG
topi	hat	topi	hat	N;SG	N
kesetiaan	fedeltà	kesetiaan	fedeltà	N;SG	N;FEM
kapoor	kapoor	kapoor	kapoor	N	N;MASC
buddhisme	buddhismo	buddhisme	buddhismo	N	N;MASC;SG
buddhisme	buddismo	buddhisme	buddismo	N	N;MASC;SG
