この	هذا	この	هٰذَا	DET	DET;NOM;MASC;SG
この	هذه	この	هٰذَا	DET	DET;NOM;FEM;SG
もの	اشياء	もの	شَيء	N	N;NOM;INDF;PL
もの	الاشياء	もの	شَيء	N	N;NOM;DEF;PL
もの	امور	もの	أَمر	N	N;NOM;INDF;SG
大学	جامعات	大学	جَامِعَة	N	N;NOM;INDF;PL
大学	الجامعات	大学	جَامِعَة	N	N;NOM;DEF;PL
大学	جامعة	大学	جَامِعَة	N	N;NOM;INDF;SG
大学	الجامعة	大学	جَامِعَة	N	N;NOM;DEF;SG
大学	كلية	大学	كُلِّيَّة	N	N;NOM;INDF;SG
大学	الكلية	大学	كُلِّيَّة	N	N;NOM;DEF;SG
大学	الجامعة	大学	جَامِعَة	N	N;NOM;DEF;SG
大学	الكليات	大学	كُلِّيَّة	N	N;NOM;DEF;PL
大学	كليات	大学	كُلِّيَّة	N	N;NOM;INDF;PL
テレビ	تلفاز	テレビ	تَلفَاز	N	N;NOM;INDF;SG
テレビ	التلفاز	テレビ	تَلَفُّز	N	N;NOM;DEF;SG
テレビ	تلفزيون	テレビ	تِلفِزيُون	N	N;NOM;INDF;SG
テレビ	التلفزيون	テレビ	تِلفِزيُون	N	N;NOM;DEF;SG
削除	حذفت	削除	حَذَف	V	V;PFV;FEM;SG;3;ACT
削除	احذف	削除	أَحذَف	V	V;PFV;MASC;SG;3;ACT
削除	يحذف	削除	حَذَف	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
削除	احذف	削除	أَحذَف	V	V;PFV;MASC;SG;3;ACT
削除	تحذف	削除	حَذَف	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
削除	حذف	削除	حَذف	V	V;PFV;MASC;SG;3;ACT
現在	التيار	現在	تَيَّار	N	N;NOM;DEF;SG
現在	تيار	現在	تَيَّار	N	N;NOM;INDF;SG
現在	هدية	現在	هَدِيَّة	N	N;NOM;INDF;SG
学校	مدارس	学校	مَدرَسَة	N	N;NOM;INDF;PL
学校	المدارس	学校	مَدرَسَة	N	N;NOM;DEF;PL
学校	مدرسة	学校	مَدرَسَة	N	N;NOM;INDF;SG
学校	المدرسة	学校	مَدرَسَة	N	N;NOM;DEF;SG
学校	المدارس	学校	مَدرَسَة	N	N;NOM;DEF;PL
世界	عالم	世界	عَالَم	N	N;NOM;INDF;SG
世界	الدنيا	世界	دِنِّيَا	N	N;NOM;DEF;SG
世界	العالم	世界	عَالَم	N	N;NOM;DEF;SG
について	حول	について	حَولَ	ADP	ADP;ACC
について	عن	について	عَن	ADP	ADP
作品	اشغال	作品	شُغل	N	N;NOM;INDF;PL
時代	عصر	時代	عَصر	N	N;NOM;INDF;SG
時代	عهد	時代	عَهد	N	N;NOM;INDF;SG
時代	حقبة	時代	حِقبَة	N	N;NOM;INDF;SG
時代	العصر	時代	عَصر	N	N;NOM;DEF;SG
時代	الحقبة	時代	حِقبَة	N	N;NOM;DEF;SG
映画	الفيلم	映画	فِيلم	N	N;NOM;DEF;SG
映画	فيلم	映画	فِيلم	N	N;NOM;INDF;SG
映画	الفلم	映画	فَلَّم	N	N;NOM;DEF;SG
映画	السينما	映画	سِينَمَا	N	N;NOM;DEF;SG
映画	الفيلم	映画	فِيلم	N	N;NOM;DEF;SG
映画	فيلم	映画	فِيلم	N	N;NOM;INDF;SG
映画	الافلام	映画	فِيلم	N	N;NOM;DEF;PL
映画	افلام	映画	فِيلم	N	N;NOM;INDF;PL
監督	مديرة	監督	مُدِيرَة	N	N;NOM;INDF;SG
監督	مدير	監督	مُدِير	N	N;NOM;INDF;SG
監督	المديرة	監督	مُدِير	N	N;NOM;DEF;SG
監督	المدير	監督	مُدِير	N	N;NOM;DEF;SG
監督	المخرج	監督	مُخرِج	N	N;NOM;DEF;SG
監督	مخرج	監督	مَخرَج	N	N;NOM;INDF;SG
監督	الاشراف	監督	إِشرَاف	N	N;NOM;DEF;SG
使用	استعمل	使用	اِستَعمَل	V	V;PFV;MASC;SG;3;ACT
使用	استخدم	使用	اِستَخدَم	V	V;PFV;MASC;SG;3;ACT
時間	الساعات	時間	سَاعَة	N	N;NOM;DEF;PL
時間	ساعات	時間	سَاعَة	N	N;NOM;INDF;PL
時間	الساعة	時間	سَاعَة	N	N;NOM;DEF;SG
時間	ساعة	時間	سَاعَة	N	N;NOM;INDF;SG
時間	وقت	時間	وَقت	N	N;NOM;INDF;SG
時間	الزمن	時間	زَمَن	N	N;NOM;DEF;SG
時間	الوقت	時間	وَقت	N	N;NOM;DEF;SG
時間	زمن	時間	زَمَن	N	N;NOM;INDF;SG
時間	الزمان	時間	زَمَان	N	N;NOM;DEF;SG
シリーズ	مسلسل	シリーズ	مُسَلسَل	N	N;NOM;INDF;SG
シリーズ	سلسلة	シリーズ	سِلسِلَة	N	N;NOM;INDF;SG
シリーズ	السلسلة	シリーズ	سِلسِلَة	N	N;NOM;DEF;SG
シリーズ	مسلسلات	シリーズ	مُسلِسِلّ	N	N;NOM;INDF;PL
記事	مقالة	記事	مَقَالَة	N	N;NOM;INDF;SG
記事	مقال	記事	مَقَال	N	N;NOM;INDF;SG
記事	المقالة	記事	مُقَال	N	N;NOM;DEF;SG
記事	المادة	記事	مَادَّة	N	N;NOM;DEF;SG
記事	قصة	記事	قِصَّة	N	N;NOM;INDF;SG
記事	حكاية	記事	حِكَايَة	N	N;NOM;INDF;SG
記事	القصة	記事	قِصَّة	N	N;NOM;DEF;SG
記事	احداث	記事	حَدَث	N	N;NOM;INDF;PL
記事	القصص	記事	قِصَّة	N	N;NOM;DEF;PL
記事	حكايات	記事	حِكَايَة	N	N;NOM;INDF;PL
記事	قصص	記事	قِصَّة	N	N;NOM;INDF;PL
記事	مقالات	記事	مَقَالَة	N	N;NOM;INDF;PL
記事	المقالات	記事	المقالات	N	N;NOM;DEF;PL
選手	اللاعبين	選手	لَاعِب	N	N;NOM;DEF;PL
選手	اللاعبون	選手	لَاعِب	N	N;NOM;DEF;PL
選手	لاعبين	選手	لَاعِب	N	N;NOM;INDF;PL
選手	رياضيين	選手	رِيَاضِيّ	N	N;NOM;INDF;PL
研究	بحث	研究	بَحَث	V	V;PFV;MASC;SG;3;ACT
大会	الاتفاقية	大会	اِتِّفَاقِيَّة	N	N;NOM;DEF;SG
大会	اتفاقية	大会	اِتِّفَاقِيَّة	N	N;NOM;INDF;SG
チーム	الفرق	チーム	فِرقَة	N	N;NOM;DEF;SG
チーム	فرق	チーム	فِرقَة	N	N;NOM;INDF;PL
チーム	الفريق	チーム	فَرِيق	N	N;NOM;DEF;SG
チーム	فريق	チーム	فَرِيق	N	N;NOM;INDF;SG
作詞	كلمات	作詞	كَلِمَة	N	N;NOM;INDF;PL
所属	تنتمي	所属	اِنتَمَى	V	V;IPFV;FEM;IND;SG;3;FIN;ACT
一部	البعض	一部	بَعض	N	N;NOM;DEF;SG
一部	بعض	一部	بَعض	N	N;NOM;INDF;SG
結果	نتيجة	結果	نَتِيجَة	N	N;ACC;INDF;SG
結果	النتيجة	結果	نَتِيجَة	N	N;NOM;DEF;SG
結果	النتائج	結果	نَتِيجَة	N	N;NOM;DEF;PL
結果	نتائج	結果	نَتِيجَة	N	N;NOM;INDF;PL
アルバム	الالبوم	アルバム	أَلبُوم	N	N;NOM;DEF;SG
アルバム	البومات	アルバム	البومات	N	N;NOM;DEF;PL
アルバム	الالبومات	アルバム	أَلبُومَة	N	N;NOM;DEF;PL
ゲーム	لعبة	ゲーム	لُعبَة	N	N;NOM;INDF;SG
ゲーム	مباراة	ゲーム	مُبَارَاة	N	N;NOM;INDF;SG
ゲーム	المباراة	ゲーム	مُبَارَاة	N	N;NOM;DEF;SG
ゲーム	اللعبة	ゲーム	لَعبَة	N	N;NOM;DEF;SG
ゲーム	المباريات	ゲーム	مُبَارَاة	N	N;NOM;DEF;PL
ゲーム	الالعاب	ゲーム	لَعب	N	N;NOM;DEF;PL
ゲーム	مباريات	ゲーム	مُبَارَاة	N	N;NOM;INDF;PL
問題	المسالة	問題	مَسأَلَة	N	N;NOM;DEF;SG
問題	اصدار	問題	إِصدَار	N	N;NOM;INDF;SG
問題	مشكلة	問題	مُشكِلَة	N	N;NOM;INDF;SG
問題	المشكلة	問題	مُشكِلَة	N	N;NOM;DEF;SG
問題	مشكل	問題	مُشكِلَة	N	N;NOM;INDF;SG
問題	مشاكل	問題	مُشكِلَة	N	N;NOM;INDF;PL
問題	مشكلات	問題	مُشكِلَة	N	N;NOM;INDF;PL
問題	المشكلات	問題	مُشكِلَة	N	N;NOM;DEF;PL
問題	المشاكل	問題	مُشكِلَة	N	N;NOM;DEF;PL
問題	المسائل	問題	مَسأَلَة	N	N;NOM;DEF;PL
問題	قضايا	問題	قَضِيَّة	N	N;NOM;INDF;PL
問題	القضايا	問題	قَضِيَّة	N	N;NOM;DEF;PL
問題	مسائل	問題	مَسأَلَة	N	N;NOM;INDF;PL
問題	مشكلات	問題	مُشكِلَة	N	N;NOM;INDF;PL
リーグ	الدوري	リーグ	دَورِيّ	N	N;NOM;DEF;SG
事業	العمل	事業	عَمَل	N	N;NOM;DEF;SG
事業	الاعمال	事業	عَمَل	N	N;NOM;DEF;PL
事業	عمل	事業	عَمَل	N	N;NOM;INDF;SG
音楽	موسيقى	音楽	مُوسِيقِيّ	N	N;NOM;INDF;SG
音楽	موسيقي	音楽	مُوسِيقِيّ	N	N;NOM;INDF;SG
音楽	الموسيقى	音楽	الموسيقى	N	N;NOM;DEF;SG
情報	المعلومات	情報	مَعلُومَة	N	N;NOM;DEF;PL
情報	معلومات	情報	مَعلُومَة	N	N;NOM;INDF;PL
情報	الاعلام	情報	إِعلَام	N	N;NOM;DEF;SG
情報	المعلومات	情報	مَعلُومَة	N	N;NOM;DEF;PL
情報	معلومات	情報	مَعلُومَة	N	N;NOM;INDF;PL
公式	رسمي	公式	رَسمِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
公式	الرسمي	公式	رَسمِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
公式	رسمية	公式	رَسمِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
参加	انضموا	参加	اِنضَمّ	V	V;PFV;MASC;PL;3;ACT
参加	انضم	参加	اِنضَمّ	V	V;PFV;MASC;SG;3;ACT
地域	مناطق	地域	مِنطَقَة	N	N;NOM;INDF;PL
地域	المناطق	地域	مِنطَقَة	N	N;NOM;DEF;PL
地域	منطقة	地域	مِنطَقَة	N	N;NOM;INDF;SG
地域	المنطقة	地域	مِنطَقَة	N	N;NOM;DEF;SG
変更	تعدل	変更	عَدَّل	V	V;IPFV;FEM;IND;SG;3;FIN;ACT
編曲	ترتيب	編曲	تَرتِيب	N	N;NOM;INDF;SG
編曲	الترتيبات	編曲	تَرتِيب	N	N;NOM;DEF;PL
編曲	الترتيب	編曲	تَرتِيب	N	N;NOM;DEF;SG
編曲	ترتيبات	編曲	تَرتِيب	N	N;NOM;INDF;PL
サイト	مواقع	サイト	مَوقِع	N	N;NOM;INDF;PL
サイト	المواقع	サイト	مَوقِع	N	N;NOM;DEF;PL
記録	يسجل	記録	سَجَّل	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
記録	سجل	記録	سَجَّل	V	V;PFV;MASC;SG;3;ACT
関係	علاقات	関係	عَلَاقَة	N	N;NOM;INDF;PL
関係	العلاقات	関係	عَلَاقَة	N	N;NOM;DEF;PL
クラブ	النادي	クラブ	نَادِي	N	N;NOM;DEF;SG
クラブ	ناد	クラブ	نَادِي	N	N;NOM;INDF;SG
クラブ	نوادي	クラブ	نوادي	N	N;NOM;INDF;PL
クラブ	اندية	クラブ	نَادِي	N	N;NOM;INDF;PL
クラブ	الاندية	クラブ	نَادِي	N	N;NOM;DEF;PL
クラブ	النوادي	クラブ	نَادِي	N	N;NOM;DEF;PL
中央	الوسطى	中央	أَوسَط	N	N;NOM;DEF;SG
中央	وسط	中央	وَسط	N	N;NOM;INDF;SG
中央	المركز	中央	مَركَز	N	N;NOM;DEF;SG
中央	المنتصف	中央	مُنتَصَف	N	N;NOM;DEF;SG
中央	الوسط	中央	وَسط	N	N;NOM;DEF;SG
中央	مركز	中央	مَركَز	N	N;NOM;INDF;SG
中央	المركز	中央	مَركَز	N	N;NOM;DEF;SG
中央	مركز	中央	مَركَز	N	N;NOM;INDF;SG
設立	انشئت	設立	أَنشَأ	V	V;PFV;FEM;SG;3;PASS
考え	تفكر	考える	فَكَّر	V	V;IPFV;MASC;IND;SG;2;FIN;ACT
教育	تعليم	教育	تَعلِيم	N	N;NOM;INDF;SG
教育	التربية	教育	تَربِيَة	N	N;NOM;DEF;SG
教育	التعليم	教育	تَعلِيم	N	N;NOM;DEF;SG
小学校	ابتدائي	小学校	اِبتِدَائِيّ	N	N;ACC;INDF;SG
編集	حرر	編集	حَرَّر	V	V;PFV;MASC;SG;3;ACT
編集	تعدل	編集	عَدَّل	V	V;IPFV;FEM;IND;SG;3;FIN;ACT
シーズン	موسم	シーズン	مَوسِم	N	N;NOM;INDF;SG
シーズン	الموسم	シーズン	مَوسِم	N	N;NOM;DEF;SG
シーズン	الفصول	シーズン	فَصل	N	N;NOM;DEF;PL
シーズン	مواسم	シーズン	مَوسِم	N	N;NOM;INDF;PL
ファイル	ملفات	ファイル	مِلَفَّة	N	N;NOM;INDF;PL
ファイル	الملفات	ファイル	مِلَفَّة	N	N;NOM;DEF;PL
ファイル	ملف	ファイル	مِلَفّ	N	N;NOM;INDF;SG
ファイル	الملف	ファイル	مِلَفّ	N	N;NOM;DEF;SG
都市	مدينة	都市	مَدِينَة	N	N;NOM;INDF;SG
都市	المدينة	都市	مَدِينَة	N	N;NOM;DEF;SG
都市	المدن	都市	مَدِينَة	N	N;NOM;DEF;PL
都市	مدن	都市	مَدِينَة	N	N;NOM;INDF;PL
会社	شركة	会社	شَرِكَة	N	N;NOM;INDF;SG
会社	الشركة	会社	شَرِكَة	N	N;NOM;DEF;SG
会社	شركة	会社	شَرِكَة	N	N;NOM;INDF;SG
会社	الشركة	会社	شَرِكَة	N	N;NOM;DEF;SG
会社	رفقة	会社	رِفقَة	N	N;NOM;INDF;SG
会社	الشركات	会社	شَرِكَة	N	N;NOM;DEF;PL
会社	شركات	会社	شَرِكَة	N	N;NOM;INDF;PL
世紀	القرون	世紀	قَرن	N	N;NOM;DEF;PL
世紀	قرون	世紀	قَرن	N	N;NOM;INDF;PL
世紀	قرن	世紀	قَرن	N	N;NOM;INDF;SG
世紀	القرن	世紀	قَرن	N	N;NOM;DEF;SG
ノート	ملاحظة	ノート	مُلَاحِظَة	N	N;NOM;INDF;SG
ノート	الملاحظة	ノート	مُلَاحَظَة	N	N;NOM;DEF;SG
ノート	دفاتر	ノート	دَفتَر	N	N;NOM;INDF;PL
ノート	الملاحظات	ノート	مُلَاحَظَة	N	N;NOM;DEF;PL
ノート	ملاحظات	ノート	مُلَاحَظَة	N	N;NOM;INDF;PL
社会	مجتمع	社会	مُجتَمَع	N	N;NOM;INDF;SG
社会	المجتمع	社会	مُجتَمَع	N	N;NOM;DEF;SG
社会	الجمعية	社会	جَمعِيَّة	N	N;NOM;DEF;SG
社会	مجتمعات	社会	مُجتَمَع	N	N;NOM;INDF;PL
