raskrižje	تقاطع	raskrižje	تقاطع	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
vakuum	خلا	vakuum	خلا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
vjerna	صحیح	vjeran	صحیح	ADJ;NOM;DEF;FEM;SG	ADJ
vjerna	درست	vjeran	درست	ADJ;NOM;DEF;FEM;SG	ADJ
jarak	نالہ	jarak	نالہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
jarak	نالی	jarak	نالی	N;NOM;MASC;SG	N;NOM;FEM;SG;3
jarak	خندق	jarak	خندق	N;NOM;MASC;SG	N;NOM;MASC;SG;3
jarak	نالہ	jarak	نالہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
jarak	نالی	jarak	نالی	N;NOM;MASC;SG	N;NOM;FEM;SG;3
slana	شور	slan	شور	N;NOM;FEM;SG	N;NOM;MASC;SG;3
trap	منہ	trap	منہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trap	منہ	trap	منہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
odani	وفاداری	odan	وفاداری	ADJ;NOM;DEF;MASC;PL	ADJ
odani	وفادار	odan	وفادار	ADJ;NOM;DEF;MASC;PL	ADJ
neprijateljstvo	عداوت.	neprijateljstvo	عداوت.	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
neprijateljstvo	نزاع	neprijateljstvo	نزاع	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
neprijateljstvo	مخالفت	neprijateljstvo	مخالفت	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
neprijateljstvo	عداوت	neprijateljstvo	عداوت	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
neprijateljstvo	نزاع	neprijateljstvo	نزاع	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
neprijateljstvo	مخالفت	neprijateljstvo	مخالفت	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
privlačna	دلفریب	privlačan	دلفریب	ADJ;NOM;DEF;FEM;SG	ADJ
privlačna	دلچسپ	privlačan	دلچسپ	ADJ;NOM;DEF;FEM;SG	ADJ
privlačna	پُرکشش	privlačan	پُرکشش	ADJ;NOM;DEF;FEM;SG	ADJ
privlačna	دلفریب	privlačan	دلفریب	ADJ;NOM;DEF;FEM;SG	ADJ
privlačna	دلچسپ	privlačan	دلچسپ	ADJ;NOM;DEF;FEM;SG	ADJ
privlačna	پُرکشش	privlačan	پُرکشش	ADJ;NOM;DEF;FEM;SG	ADJ
misterija	رازداری	misterija	رازداری	N;NOM;FEM;SG	N;NOM;MASC;SG;3
misterija	خفیہ	misterija	خفیہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
misterija	رمزیت	misterija	رمزیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
misterija	رازداری	misterija	رازداری	N;NOM;FEM;SG	N;NOM;MASC;SG;3
misterija	خفیہ	misterija	خفیہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
misterija	راز	misterija	راز	N;NOM;FEM;SG	N;NOM;MASC;SG;3
misterija	رمزیت	misterija	رمزیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
panika	دہشت	panika	دہشت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bijesan	متشدّد.	bijesan	متشدّد.	ADJ;NOM;INDF;MASC;SG	ADJ
sos	گستاخی	sos	گستاخی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sos	اچار	sos	اچار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sos	سالن	sos	سالن	N;NOM;MASC;SG	N;NOM;MASC;SG;3
vlaga	رطوبت	vlaga	رطوبت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
vlaga	رطوبت	vlaga	رطوبت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
vlaga	نمی	vlaga	نمی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
vlaga	رطوبت	vlaga	رطوبت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
kriminalac	مجرم	kriminalac	مجرم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
ljepotica	روپ	ljepotica	روپ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ljepotica	روپ	ljepotica	روپ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
manekenka	وضع	manekenka	وضع	N;NOM;FEM;SG	N;NOM;MASC;SG;3
manekenka	نقشہ	manekenka	نقشہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
manekenka	مٹی	manekenka	مٹی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
elementarne	لازمی	elementaran	لازمی	ADJ;NOM;DEF;FEM;PL	ADJ
elementarne	بنیادی	elementaran	بنیادی	ADJ;NOM;DEF;FEM;PL	ADJ
elementarne	ناگزیر	elementaran	ناگزیر	ADJ;NOM;DEF;FEM;PL	ADJ
kalež	پیمانہ	kalež	پیمانہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
prigovor	گرفت	prigovor	گرفت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
prigovor	اعتراض	prigovor	اعتراض	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rukovanje	مصافحہ	rukovanje	مصافحہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
cache	دولت	cache	دولت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
povlastica	مفاد	povlastica	مفاد	N;NOM;FEM;SG	N;NOM;MASC;SG;3
povlastica	استثنا	povlastica	استثنا	N;NOM;FEM;SG	N;NOM;MASC;SG;3
sotona	شیطان	soton	شیطان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
crva	کیڑا	crv	کیڑا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sklad	آہنگ	sklad	آہنگ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
spilja	غار	spilje	غار	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ozbiljni	اہم	ozbiljan	اہم	ADJ;NOM;DEF;MASC;PL	ADJ
ozbiljni	معقول.	ozbiljan	معقول.	ADJ;NOM;DEF;MASC;PL	ADJ
ozbiljni	معتبر	ozbiljan	معتبر	ADJ;NOM;DEF;MASC;PL	ADJ
ozbiljni	اہم	ozbiljan	اہم	ADJ;NOM;DEF;MASC;PL	ADJ
ozbiljni	معقول.	ozbiljan	معقول.	ADJ;NOM;DEF;MASC;PL	ADJ
ozbiljni	معتبر	ozbiljan	معتبر	ADJ;NOM;DEF;MASC;PL	ADJ
ozbiljni	سنجیدہ	ozbiljan	سنجیدہ	ADJ;NOM;DEF;MASC;PL	ADJ
precizan	مماثل	precizati	مماثل	ADJ;NOM;INDF;MASC;SG	ADJ
priznavanje	شناخت	priznavanje	شناخت	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
organska	منظم	organski	منظم	ADJ;NOM;DEF;FEM;SG	ADJ
organska	موروثی	organski	موروثی	ADJ;NOM;DEF;FEM;SG	ADJ
organska	آئینی	organski	آئینی	ADJ;NOM;DEF;FEM;SG	ADJ
organska	مربوط	organski	مربوط	ADJ;NOM;DEF;FEM;SG	ADJ
izlet	یلغار	izlet	یلغار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
predrasuda	مطالبے	predrasuda	مطالبہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
proširi	بچھانا	prošir	بچھا	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
epski	بہادرانہ.	epski	بہادرانہ.	ADJ;NOM;MASC;SG	ADJ
epski	زبردست	epski	زبردست	ADJ;NOM;MASC;SG	ADJ
epski	بہادرانہ.	epski	بہادرانہ.	ADJ;NOM;MASC;SG	ADJ
epski	زبردست	epski	زبردست	ADJ;NOM;MASC;SG	ADJ
trgovanje	کاروبار	trgovanje	کاروبار	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
deficit	خسارہ	deficit	خسارہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sjajni	صاف	sjajan	صاف	ADJ;NOM;DEF;MASC;PL	ADJ
virusne	ذعافی	virusan	ذعافی	ADJ;NOM;DEF;FEM;PL	ADJ
trkač	وصولی	trkač	وصولی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
posjedovati	ماننا	posjedovati	مان	V;NFIN	V;MASC;SG;NFIN
inteligentan	ذہین	inteligentan	ذہین	ADJ;NOM;INDF;MASC;SG	ADJ
ispuni	بھرنا	ispuniti	بھر	V;IND;SG;3;PRS;FIN	V;SG;NFIN;ACT
crven	اشتراکی	crven	اشتراکی	ADJ;NOM;INDF;MASC;SG	ADJ
crven	سرخ	crven	سرخ	ADJ;NOM;INDF;MASC;SG	ADJ
crven	روسی	crven	روسی	ADJ;NOM;INDF;MASC;SG	ADJ
neuspješni	ناکام	neuspješan	ناکام	ADJ;NOM;DEF;MASC;SG	ADJ
zamak	حصار	zamak	حصار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
zamak	حصار	zamak	حصار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
smiješno	دلچسپ	smiješan	دلچسپ	ADJ;NOM;DEF;NEUT;SG	ADJ
smiješno	پُرلطف	smiješan	پُرلطف	ADJ;NOM;DEF;NEUT;SG	ADJ
smiješno	عجیب	smiješan	عجیب	ADJ;NOM;DEF;NEUT;SG	ADJ
ribnjak	جوہڑ	ribnjak	جوہڑ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
diskusija	مباحثہ	diskusija	مباحثہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
diskusija	گفتگو	diskusija	گفتگو	N;NOM;FEM;SG	N;NOM;MASC;SG;3
diskusija	مباحثہ	diskusija	مباحثہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
diskusija	گفتگو	diskusija	گفتگو	N;NOM;FEM;SG	N;NOM;MASC;SG;3
diskusija	بحث	diskusija	بحث	N;NOM;FEM;SG	N;NOM;MASC;SG;3
mučeništvo	شہادت	mučeništvo	شہادت	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
zavojnica	تار	zavojnica	تار	N;NOM;FEM;SG	N;NOM;MASC;SG;3
optužnica	مواخذہ	optužnica	مواخذہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
tipkovnica	مشین	tipkovnica	مشین	N;NOM;FEM;SG	N;NOM;MASC;SG;3
meteorološke	موسمیاتی	meteorološki	موسمیاتی	ADJ;NOM;DEF;FEM;PL	ADJ;NOM
rasne	نسلی	rasti	نسلی	ADJ;NOM;DEF;FEM;PL	ADJ
motivacija	ترغیب	motivacija	ترغیب	N;NOM;FEM;SG	N;NOM;MASC;SG;3
idealan	ذہنی	idealan	ذہنی	ADJ;NOM;INDF;MASC;SG	ADJ
hraniti	کھانا	hraniti	کھا	V;NFIN	V;MASC;SG;NFIN;ACT
hraniti	کھلانا.	hraniti	کھلاناؤ	V;NFIN	V;MASC;SG;V.PTCP;ACT
hraniti	چراگاہ	hraniti	چراگاہ	V;NFIN	V;MASC;SG;3;ACT
roditelj	موجد	roditelj	موجد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
roditelj	جڑ	roditelj	جڑ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
donacija	عطیہ	donacija	عطیہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
isparavanje	تبخیر	isparavanje	تبخیر	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
kapsula	خلاصہ	kapsula	خلاصہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
zamišljeno	متفکر	zamišljen	متفکر	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS	ADJ
partnerica	ساتھی	partnerica	ساتھی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
partnerica	ساتھی	partnerica	ساتھی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nadir	انحطاط	nadir	انحطاط	N;NOM;MASC;SG	N;NOM;MASC;SG;3
nadir	زوال	nadir	زوال	N;NOM;MASC;SG	N;NOM;MASC;SG;3
autentičnost	صداقت	autentičnost	صداقت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
autentičnost	تصدیق	autentičnost	تصدیق	N;NOM;FEM;SG	N;NOM;MASC;SG;3
barut	سفوف	barut	سفوف	N;NOM;MASC;SG	N;NOM;MASC;SG;3
glasina	افواہ	glasina	افواہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ravnateljica	سربراہ	ravnateljica	سربراہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
