oli	hatte	olema	haben	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
eesti	estnische	eesti	estnisch	ADJ	ADJ;NOM;FEM;PL
eesti	estnischen	eesti	estnisch	ADJ	ADJ;NOM;MASC;PL
eesti	estnischer	eesti	estnisch	ADJ	ADJ
eesti	estnisch	eesti	estnisch	ADJ	ADJ
eesti	estnische	eesti	estnisch	ADJ	ADJ;NOM;FEM;PL
ning	sowie	ning	sowie	CONJ	CONJ
ning	und	ning	und	CONJ	CONJ
kui	wenn	kui	wenn	CONJ	CONJ
aasta	jahr	aasta	Jahr	N;NOM;SG	N;NOM;NEUT;SG
aasta	jahres	aasta	jahres	N;NOM;SG	N;NOM;NEUT;SG
see	dieser	see	dies	PRO;NOM;SG	PRO;NOM;MASC;SG
see	diese	see	dies	PRO;NOM;SG	PRO;NOM;FEM;SG
see	das	see	der	PRO;NOM;SG	PRO;NOM;NEUT;SG
see	das	see	der	PRO;NOM;SG	PRO;NOM;NEUT;SG
tema	ihr	tema	ihr	PRO;NOM;SG;3	PRO;NOM;MASC;SG
kuid	aber	kuid	aber	CONJ	CONJ
aga	aber	aga	aber	CONJ	CONJ
pärast	danach	pärast	danach	ADV	ADV
pärast	nachher	pärast	nachher	ADV	ADV
kus	wo	kus	wo	ADV	ADV
kus	wohin	kus	wohin	ADV	ADV
välja	draußen	välja	draußen	ADV	ADV
välja	raus	välja	raus	ADV	ADV
ehk	möglicherweise	ehk	möglicherweise	ADV	ADV
ehk	eventuell	ehk	eventuell	ADV	ADV
ehk	vielleicht	ehk	vielleicht	ADV	ADV
ehk	möglicherweise	ehk	möglicherweise	ADV	ADV
ehk	eventuell	ehk	eventuell	ADV	ADV
ehk	vielleicht	ehk	vielleicht	ADV	ADV
üle	vorbei	üle	vorbei	ADV	ADV
saksa	deutschen	saksa	deutsch	ADJ	ADJ
saksa	deutscher	saksa	deutsch	ADJ	ADJ
saksa	deutsche	saksa	deutsch	ADJ	ADJ;NOM;FEM;PL
saksa	deutsch	saksa	deutsch	ADJ	ADJ
siis	dann	siis	dann	ADV	ADV
siis	damals	siis	damals	ADV	ADV
siis	danach	siis	danach	ADV	ADV
inglise	englisch	inglise	englisch	ADJ	ADJ
inglise	englische	inglise	englisch	ADJ	ADJ;NOM;FEM;PL
inglise	deutsch	inglise	deutsch	ADJ	ADJ
vaata	sehen	vaatama	sehen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vaata	siehe	vaatama	sehen	V;IMP;SG;2;PRS;FIN;ACT	V;IMP;SG;FIN
vaata	ansehen	vaatama	ansehen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vaata	beobachten	vaatama	beobachten	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vaata	ansehen	vaatama	ansehen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vaata	anschauen	vaatama	anschauen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vaata	schauen	vaatama	schauen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
üks	einer	üks	ein	PRO;NOM;SG	PRO;NOM;INDF;MASC;SG
vene	russisch	vene	russisch	ADJ	ADJ
vene	russischen	vene	russisch	ADJ	ADJ;NOM;MASC;PL
vastu	dagegen	vastu	dagegen	ADV	ADV
vald	pfarrkirche	vald	pfarrkirche	N;NOM;SG	N;NOM;FEM;SG
vald	gemeinde	vald	gemeinde	N;NOM;SG	N;NOM;FEM;SG
vald	gemeinde	vald	gemeinde	N;NOM;SG	N;NOM;FEM;SG
vald	kommune	vald	kommun	N;NOM;SG	N;NOM;FEM;SG
koos	zusammen	koos	zusammen	ADV	ADV
sündinud	geboren	sündima	gebären	V;PST;V.PTCP;ACT	V;V.PTCP
sündinud	geb	sündima	geb	V;PST;V.PTCP;ACT	V;V.PTCP
ameerika	amerikanische	ameerika	amerikanisch	ADJ	ADJ;NOM;FEM;PL
ameerika	amerikaner	ameerika	amerikaner	ADJ	ADJ
ameerika	amerikanischen	ameerika	amerikanisch	ADJ	ADJ;NOM;PL
ameerika	amerikanisches	ameerika	amerikanisch	ADJ	ADJ;NOM;NEUT;SG
ameerika	amerikanisch	ameerika	amerikanisch	ADJ	ADJ
ameerika	mittelamerika	ameerika	mittelamerika	ADJ	ADJ
ameerika	nordamerika	ameerika	nordamerika	ADJ	ADJ
asub	lokalisiert	asuma	lokalisieren	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
esimene	erster	esimene	erst	ADJ;NOM;SG	ADJ;NOM;MASC;SG
hiljem	nachher	hiljem	nachher	ADV	ADV
kaks	zwei	kaks	zwei	NUM;NOM;SG	NUM
rootsi	schwedisch	rootsi	schwedisch	ADJ	ADJ
rootsi	schwedische	rootsi	schwedisch	ADJ	ADJ;NOM;FEM;PL
rootsi	schwedischen	rootsi	schwedisch	ADJ	ADJ;NOM
umbes	etwa	umbes	etwa	ADV	ADV
küla	dorf	küla	dorf	N;NOM;SG	N;NOM;NEUT;SG
vahel	manchmal	vahel	manchmal	ADV	ADV
vahel	mitunter	vahel	mitunter	ADV	ADV
vahel	zuweilen	vahel	zuweilen	ADV	ADV
vahel	dazwischen	vahel	dazwischen	ADV	ADV
samuti	ausserdem	samuti	ausserdem	ADV	ADV
samuti	ebenso	samuti	ebenso	ADV	ADV
samuti	außerdem	samuti	außerdem	ADV	ADV
samuti	ebenfalls	samuti	ebenfalls	ADV	ADV
samuti	auch	samuti	auch	ADV	ADV
soome	finnischen	soome	finnisch	ADJ	ADJ
soome	finnische	soome	finnisch	ADJ	ADJ;NOM;FEM;PL
soome	finnisch	soome	finnisch	ADJ	ADJ
soome	finnischer	soome	finnisch	ADJ	ADJ
maakond	landkreis	maakond	landkreis	N;NOM;SG	N
all	darunter	all	darunter	ADV	ADV
all	unten	all	unten	ADV	ADV
väga	sehr	väga	sehr	ADV	ADV
väga	äußerst	väga	äußerst	ADV	ADV
juba	schon	juba	schon	ADV	ADV
juba	bereits	juba	bereits	ADV	ADV
ainult	lediglich	ainult	lediglich	ADV	ADV
ainult	nur	ainult	nur	ADV	ADV
sest	weil	sest	weil	CONJ	CONJ
kuna	weil	kuna	weil	CONJ	CONJ
kell	uhr	kell	uhr	N;NOM;SG	N;NOM;FEM;SG
kokku	insgesamt	kokku	insgesamt	ADV	ADV
alla	hinunter	alla	hinunter	ADV	ADV
alla	abwärts	alla	abwärts	ADV	ADV
alla	unten	alla	unten	ADV	ADV
seal	dort	seal	dort	ADV	ADV
seal	dorthin	seal	dorthin	ADV	ADV
