من	od	مِن	od	ADP	ADP;GEN
تصنيف	hodnocení	تَصنِيف	hodnocení	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
تصنيف	rating	تَصنِيف	rating	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
تصنيف	třídění	تَصنِيف	třídění	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
تصنيف	zařazení	تَصنِيف	zařazení	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
تصنيف	klasifikace	تَصنِيف	klasifikace	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
عام	rok	عَام	rok	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
عام	ročník	عَام	ročník	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
عام	veřejnost	عَام	veřejnost	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
اسم	jméno	اِسم	jméno	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
اسم	jmeno	اِسم	jmeno	N;NOM;INDF;SG	N;NOM;MASC;SG;POS
اسم	name	اِسم	můj	N;NOM;INDF;SG	N;NOM;MASC;SG;POS
اسم	název	اِسم	název	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
المنطقة	region	مِنطَقَة	region	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
المنطقة	oblast	مِنطَقَة	oblast	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
المنطقة	kraj	مِنطَقَة	kraj	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
المنطقة	okres	مِنطَقَة	okres	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
المنطقة	okrsek	مِنطَقَة	okrsek	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
المنطقة	pásmo	مِنطَقَة	pásmo	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
المنطقة	zóna	مِنطَقَة	zóna	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
المنطقة	oblast	مِنطَقَة	oblast	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
المنطقة	plocha	مِنطَقَة	plocha	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
هي	ona	هُوَ	on	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
سنة	rok	سَنَة	rok	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
سنة	ročník	سَنَة	ročník	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
كان	bylo	كَان	být	V;PFV;MASC;SG;3;ACT	V;NEUT;SG;POS;PST;V.PTCP;ACT
كان	byl	كَان	být	V;PFV;MASC;SG;3;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
اختياري	nepovinné	اِختِيَارِيّ	povinný	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG;NEG
اختياري	volitelné	اِختِيَارِيّ	volitelný	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS
هذه	tento	هٰذَا	tento	DET;NOM;FEM;SG	DET;NOM;MASC;SG
هذه	toto	هٰذَا	tento	DET;NOM;FEM;SG	DET;NOM;NEUT;SG
هذه	tohle	هٰذَا	tenhle	DET;NOM;FEM;SG	DET;NOM;NEUT;SG
عدد	číslo	عَدَد	číslo	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
عدد	počet	عَدَد	počet	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
هذا	tento	هٰذَا	tento	DET;NOM;MASC;SG	DET;NOM;MASC;SG
هذا	toto	هٰذَا	tento	DET;NOM;MASC;SG	DET;NOM;NEUT;SG
هذا	tohle	هٰذَا	tenhle	DET;NOM;MASC;SG	DET;NOM;NEUT;SG
هذا	to	هٰذَا	ten	DET;NOM;MASC;SG	DET;NOM;NEUT;SG
لا	ne	لَا	ne	PART	PART
بين	mezi	بَينَ	mezi	ADP;ACC	ADP;ACC
تعليق	komentář	تَعلِيق	komentář	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
تاريخ	datum	تَارِيخ	datum	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
تاريخ	rande	تَارِيخ	rande	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
تاريخ	dějepis	تَارِيخ	dějepis	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
تاريخ	historie	تَارِيخ	historie	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
نوع	druh	نَوع	druh	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
نوع	druh	نَوع	druh	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
نوع	typ	نَوع	typ	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
نوع	type	نَوع	typ	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
سطر	čára	سِطر	čára	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
سطر	řádek	سِطر	řádek	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
سطر	linka	سِطر	linka	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
سطر	linie	سِطر	linie	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
المتحدة	united	مُتَّحِد	united	ADJ;NOM;DEF;FEM;SG	ADJ;POS
خط	čára	خَطّ	čára	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
خط	řádek	خَطّ	řádek	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
خط	linka	خَطّ	linka	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
خط	linie	خَطّ	linie	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
خط	písmo	خَطّ	písmo	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
التوقيت	načasování	تَوقِيت	načasování	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
التوقيت	časování	تَوقِيت	časování	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
كانت	bylo	كَان	být	V;PFV;FEM;SG;3;ACT	V;NEUT;SG;POS;PST;V.PTCP;ACT
كانت	byl	كَان	být	V;PFV;FEM;SG;3;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
التعداد	sčítání	تَعدَاد	sčítání	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
التعداد	výčet	تَعدَاد	výčet	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
المسؤول	správce	مَسؤُول	správce	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG;POS
مدينة	město	مَدِينَة	město	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
المدينة	město	مَدِينَة	město	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
المدينة	městečko	مَدِينَة	městečko	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
المدينة	město	مَدِينَة	město	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
تم	udělal	تَمّ	udělat	V;PFV;MASC;SG;3;ACT	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
كرة	míč	كُرَة	míč	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
كرة	míček	كُرَة	míček	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
كرة	ples	كُرَة	ples	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
كل	vse	كُلّ	vse	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
الله	bůh	اَللّٰه	bůh	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG;POS
الله	alláh	اَللّٰه	alláha	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG;POS
حتى	dokonce	حَتَّى	dokonce	ADV	ADV
مساحة	oblast	مِسَاحَة	oblast	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
مساحة	plocha	مِسَاحَة	plocha	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
مساحة	vesmír	مِسَاحَة	vesmír	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
مساحة	prostor	مِسَاحَة	prostor	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
محافظة	provincie	مُحَافَظَة	provincie	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
محافظة	gubernie	مُحَافَظَة	gubernie	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
خلال	přes	خِلَالَ	přes	ADP;ACC	ADP;ACC
الولايات	státy	وِلَايَة	stát	N;NOM;DEF;PL	N;INAN;NOM;MASC;PL;POS
توقيت	načasování	تَوقِيت	načasování	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
توقيت	časování	تَوقِيت	časování	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
الصورة	fotografie	صُورَة	fotografie	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الصورة	foto	صُورَة	foto	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
الصورة	fotka	صُورَة	fotka	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الصورة	obrázek	صُورَة	obrázek	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
الصورة	image	صُورَة	image	N;NOM;DEF;SG	N;FEM;POS
الصورة	obraz	صُورَة	obraz	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
الصورة	obrázek	صُورَة	obrázek	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
الصورة	fotka	صُورَة	fotka	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
علم	zkopírovat	عَلِم	zkopírovat	V;PFV;MASC;SG;3;ACT	V;PFV;POS;NFIN
خريطة	mapě	خَرِيطَة	mapa	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
خريطة	mapa	خَرِيطَة	mapa	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
فرق	týmy	فِرقَة	tým	N;NOM;INDF;PL	N;INAN;NOM;MASC;PL;POS
العربية	arabský	عَرَبِيّ	arabský	ADJ;NOM;DEF;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
العربية	arabský	عَرَبِيّ	arabský	ADJ;NOM;DEF;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
قائمة	menu	قَائِمَة	menu	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
قائمة	seznam	قَائِمَة	seznam	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
مقاطعة	hrabství	مُقَاطَعَة	hrabství	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
مقاطعة	okres	مُقَاطَعَة	okres	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
مقاطعة	provincie	مُقَاطَعَة	provincie	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
مقاطعة	bojkot	مُقَاطَعَة	bojkot	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
تقسيم	split	تَقسِيم	split	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
العالم	svět	عَالَم	svět	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
العالم	vědec	عَالَم	vědec	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG;POS
القرن	roh	قَرن	roh	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
القرن	století	قَرن	století	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
الموقع	místo	مَوقِع	místo	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
الموقع	poloha	مَوقِع	poloha	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الموقع	umístění	مَوقِع	umístění	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
الموقع	lokalita	مَوقِع	lokalita	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الثاني	druhé	ثَانِي	druhý	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
الثاني	druhá	ثَانِي	druhý	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
الثاني	druhý	ثَانِي	druhý	ADJ;NOM;DEF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
القدم	noha	قَدَم	noha	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
القدم	noha	قَدَم	noha	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
القدم	etapa	قَدَم	etapa	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
منطقة	region	مِنطَقَة	region	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
منطقة	oblast	مِنطَقَة	oblast	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
منطقة	kraj	مِنطَقَة	kraj	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
منطقة	okres	مِنطَقَة	okres	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
منطقة	okrsek	مِنطَقَة	okrsek	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
