din	從	din	從	ADP;ACC	ADP
care	誰	care	誰	PRO;3	PRO
mai	更	mai	更	ADV	ADV
lui	他	el	他	PRO;3	PRO;3
sit	網站	sit	網站	N;INDF;MASC;SG	N
sit	工地	sit	工地	N;INDF;MASC;SG	N
prin	透過	prin	透過	ADP;ACC	ADP
prin	通過	prin	通過	ADP;ACC	ADP
regiunea	區域	regiune	區域	N;DEF;FEM;SG	N
mare	偉大	mare	偉大	ADJ;INDF;MASC;SG	ADJ
anul	年度	an	年度	N;DEF;MASC;SG	N
anul	年份	an	年份	N;DEF;MASC;SG	N
anul	年	an	年	N;DEF;MASC;SG	N
locuitori	居民	locuitor	居民	N;INDF;MASC;PL	N
legături	人脈	legătură	人脈	N;INDF;FEM;PL	N
vezi	見	vedea	見	V;IND;SG;2;PRS;FIN	V
populație	人口	populație	人口	N;INDF;FEM;SG	N
jpg	jpg	jpg	jpg	N	N
lista	名單	listă	名單	N;DEF;FEM;SG	N
lista	清單	listă	清單	N;DEF;FEM;SG	N
nume	名字	nume	名字	N;INDF	N
nume	名稱	nume	名稱	N;INDF	N
nume	姓名	nume	姓名	N;INDF	N
ani	歲	an	歲	N;INDF;MASC;PL	N
ani	年份	an	年份	N;INDF;MASC;PL	N
până	直到	până	直到	ADP;ACC	ADP
comuna	市	comună	市	N;DEF;FEM;SG	N
comuna	通用	comună	通用	N;DEF;FEM;SG	N
poate	或	poate	或	ADV	ADV
poate	也	poate	也	ADV	ADV
poate	或	poate	或	ADV	ADV
două	兩	doi	兩	NUM;FEM;PL	NUM
două	兩	doi	兩	NUM;FEM;PL	NUM
două	二	doi	二	NUM;FEM;PL	NUM
rege	國王	rege	國王	N;INDF;MASC;SG	N
alte	其他	alt	其他	DET;FEM;PL;3	DET
regiune	區域	regiune	區域	N;INDF;FEM;SG	N
anii	歲	an	歲	N;DEF;MASC;PL	N
anii	年份	an	年份	N;DEF;MASC;PL	N
județul	郡	județ	郡	N;DEF;MASC;SG	N
județul	縣	județ	縣	N;DEF;MASC;SG	N
centura	腰帶	centură	腰帶	N;DEF;FEM;SG	N
centura	皮帶	centură	皮帶	N;DEF;FEM;SG	N
dinastia	朝代	dinastie	朝代	N;DEF;FEM;SG	N
dinastia	王朝	dinastie	王朝	N;DEF;FEM;SG	N
timp	時光	timp	時光	N;INDF;MASC;SG	N
timp	時間	timp	時間	N;INDF;MASC;SG	N
despre	關於	despre	關於	ADP;ACC	ADP
densitate	密度	densitate	密度	N;INDF;FEM;SG	N
limbă	舌頭	limbă	舌頭	N;INDF;FEM;SG	N
limbă	舌	limbă	舌	N;INDF;FEM;SG	N
limbă	語言	limbă	語言	N;INDF;FEM;SG	N
limbă	語	limbă	語	N;INDF;FEM;SG	N
limbă	語文	limbă	語文	N;INDF;FEM;SG	N
sat	村	sat	村	N;INDF;MASC;SG	N
sat	鄉村	sat	鄉村	N;INDF;MASC;SG	N
sat	村	sat	村	N;INDF;MASC;SG	N
sat	村落	sat	村落	N;INDF;MASC;SG	N
sat	村子	sat	村子	N;INDF;MASC;SG	N
sat	週六	sat	週六	N;INDF;MASC;SG	N
biserica	教會	biserică	教會	N;DEF;FEM;SG	N
