분류	klasifikasi	분류	klasifikasi	N	N;SG
선수	pemain	선수	penmain	N	N;SG
선수	player	선수	player	N	N
선수	pemain	선수	penmain	N	N;SG
선수	pemutar	선수	penputar	N	N;SG
축구	sepakbola	축구	sepakbola	N	N;SG
축구	sepakbola	축구	sepakbola	N	N;SG
영화	film	영화	film	N	N;SG
영화	bioskop	영화	bioskop	N	N
영화	film	영화	film	N	N;SG
영화	bioskop	영화	bioskop	N	N
영화	sinema	영화	sinema	N	N;SG
영화	film	영화	film	N	N;SG
영화	bioskop	영화	bioskop	N	N
영화	film	영화	film	N	N;SG
다른	lain	다르+ㄴ	lain	ADJ	ADJ;SG
현재	arus	현재	arus	N	N;SG
사람	orang	사람	orang	N	N;SG
사람	pria	사람	pria	N	N;SG
사람	manusia	사람	manusia	N	N;SG
사람	rakyat	사람	rakyat	N	N;SG
사람	orang	사람	orang	N	N;SG
배우	aktor	배우	aktor	N	N;SG
배우	aktris	배우	aktris	N	N;SG
배우	aktor	배우	aktor	N	N;SG
그리고	dan	그리고	dan	CONJ	CONJ
동문	alumni	동문	alumni	N	N;SG
동문	antariksa	동문	antariksa	N	N;SG
동문	alumnus	동문	alumnus	N	N;SG
그의	nya	그+의	nya	PRO	PRO
보기	melihat	보+기	menlihat	V	V;SG;ACT
보기	melihat	보+기	menlihat	V	V;SG;ACT
보기	lihat	보+기	lihat	V	V;SG;ACT
파일	berkas	파일	berkas	N	N;SG
파일	file	파일	file	N	N;SG
파일	berkas	파일	berkas	N	N;SG
파일	file	파일	file	N	N;SG
올림픽	olimpiade	올림픽	olimpiade	N	N;SG
다시	lagi	다시	lagi	ADV	ADV
리그	liga	리그	liga	N	N;SG
리그	liga	리그	liga	N	N;SG
공식	formula	공식	formula	N	N
공식	rumus	공식	rumus	N	N;SG
세기	abad	세기	abad	N	N;SG
방송	siaran	방송	siaran	N	N;SG
방송	penyiaran	방송	pensiaran	N	N;SG
방송	siaran	방송	siaran	N	N;SG
방송	penyiaran	방송	pensiaran	N	N;SG
세계	dunia	세계	dunia	N	N;SG
세계	dunia	세계	dunia	N	N;SG
작품	karya	작품	karya	N	N;SG
게임	permainan	게임	permainan	N	N;SG
게임	game	게임	game	N	N;SG
게임	permainan	게임	permainan	N	N;SG
게임	game	게임	game	N	N;SG
게임	permainan	게임	permainan	N	N;SG
게임	game	게임	game	N	N;SG
텔레비전	televisi	텔레비전	televisi	N	N;SG
텔레비전	televisi	텔레비전	televisi	N	N;SG
감독	sutradara	감독	sutradara	N	N;SG
감독	direktur	감독	direktur	N	N;SG
감독	sutradara	감독	sutradara	N	N;SG
관련	relevan	관련	relevan	N	N;SG
