dari	din	dari	din	ADP	ADP;ACC
dengan	cu	dengan	cu	ADP	ADP;ACC
adalah	sunt	adalah	fi	V	V;IND;PL;3;PRS;FIN
untuk	pentru	untuk	pentru	ADP	ADP;ACC
tahun	anul	tahun	an	N;SG	N;DEF;MASC;SG
tahun	an	tahun	an	N;SG	N;INDF;MASC;SG
tidak	nu	tidak	nu	PART;NEG	PART;NEG
menjadi	devenind	menjadi	deveni	V;SG;ACT	V;V.MSDR
bagian	sectiune	bagian	sectiune	N;SG	N;INDF;FEM;SG
bagian	sectiunea	bagian	sectiune	N;SG	N;DEF;FEM;SG
bagian	sectiune	bagian	sectiune	N;SG	N;INDF;FEM;SG
bagian	sectiune	bagian	sectiune	N;SG	N;INDF;FEM;SG
bagian	sectiunea	bagian	sectiune	N;SG	N;DEF;FEM;SG
bagian	parte	bagian	parte	N;SG	N;INDF;FEM;SG
bagian	partea	bagian	parte	N;SG	N;DEF;FEM;SG
spesies	specie	spesies	specie	N;SG	N;INDF;FEM;SG
spesies	specia	spesies	specie	N;SG	N;DEF;FEM;SG
orang	persoana	orang	persoană	N;SG	N;DEF;FEM;SG
orang	persoana	orang	persoană	N;SG	N;DEF;FEM;SG
mereka	ei	mereka	el	PRO;PL;3	PRO;MASC;PL;3
mereka	ei	mereka	el	PRO;PL;3	PRO;MASC;PL;3
mereka	ele	mereka	el	PRO;PL;3	PRO;FEM;PL;3
satu	unu	satu	unu	NUM	NUM;MASC;SG
memiliki	are	menmiliki	avea	V;SG;ACT	V;IND;SG;3;PRS;FIN
kota	oras	kota	oras	N;SG	N;INDF;MASC;SG
kota	oras	kota	oras	N;SG	N;INDF;MASC;SG
kota	orasul	kota	oras	N;SG	N;DEF;MASC;SG
kota	oras	kota	oras	N;SG	N;INDF;MASC;SG
kota	city	kota	city	N;SG	N;INDF;MASC;SG
kota	oras	kota	oras	N;SG	N;INDF;MASC;SG
kota	oras	kota	oras	N;SG	N;INDF;MASC;SG
kota	oras	kota	oras	N;SG	N;INDF;MASC;SG
kota	orasul	kota	oras	N;SG	N;DEF;MASC;SG
kota	orasul	kota	oras	N;SG	N;DEF;MASC;SG
kota	kota	kota	kota	N;SG	N;DEF;FEM;SG
pranala	legatura	pranala	legatură	N;SG	N;DEF;FEM;SG
pranala	legatura	pranala	legatură	N;SG	N;DEF;FEM;SG
pranala	link	pranala	link	N;SG	N;INDF;MASC;SG
pranala	linkul	pranala	link	N;SG	N;DEF;MASC;SG
pranala	hyperlink	pranala	hyperlink	N;SG	N;INDF;MASC;SG
karena	deoarece	karena	deoarece	CONJ	CONJ;POS
desa	satul	desa	sat	N;SG	N;DEF;MASC;SG
desa	satului	desa	sat	N;SG	N;DEF;MASC;SG
desa	sat	desa	sat	N;SG	N;INDF;MASC;SG
lebih	mai	lebih	mai	ADV	ADV
nama	nume	nama	nume	N;SG	N;INDF
nama	numele	nama	nume	N;SG	N;DEF;MASC;SG
nama	denumire	nama	denumire	N;SG	N;INDF;FEM;SG
kayu	lemn	kayu	lemn	N;SG	N;INDF;MASC;SG
kayu	lemnul	kayu	lemn	N;SG	N;DEF;MASC;SG
kayu	cherestea	kayu	chereste	N;SG	N;DEF;FEM;SG
kayu	cherestea	kayu	chereste	N;SG	N;DEF;FEM;SG
bahasa	limba	bahasa	limbă	N;SG	N;DEF;FEM;SG
bahasa	limba	bahasa	limbă	N;SG	N;DEF;FEM;SG
bahasa	limbaj	bahasa	limbaj	N;SG	N;INDF;MASC;SG
bahasa	limbajul	bahasa	limbaj	N;SG	N;DEF;MASC;SG
asteroid	asteroizi	asteroid	asteroid	N	N;INDF;MASC;PL
besar	mare	besar	mare	ADJ;SG	ADJ;INDF;MASC;SG
besar	mare	besar	mare	ADJ;SG	ADJ;INDF;MASC;SG
film	film	film	film	N;SG	N;INDF;MASC;SG
film	pelicula	film	pelicula	N;SG	N;DEF;FEM;SG
film	film	film	film	N;SG	N;INDF;MASC;SG
saat	saat	saat	saat	N;SG	N;INDF;MASC
kelas	clasa	kelas	clasă	N;SG	N;DEF;FEM;SG
kelas	clasa	kelas	clasă	N;SG	N;DEF;FEM;SG
kecamatan	districtul	kecamatan	district	N;SG	N;DEF;MASC;SG
kecamatan	district	kecamatan	district	N;SG	N;INDF;MASC;SG
negara	tara	negara	tară	N;SG	N;DEF;FEM;SG
