for	für	for	für	ADP	ADP
der	dort	der	dort	ADV	ADV
der	dorthin	der	dorthin	ADV	ADV
der	da	der	da	ADV	ADV
blev	blieben	blive	bleiben	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
blev	geblieben	blive	bleiben	V;IND;PST;FIN;ACT	V;V.PTCP
blev	blieb	blive	bleiben	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
har	verfügt	have	verfügen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
har	hat	have	haben	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
har	haben	have	haben	V;IND;PRS;FIN;ACT	V;IND;PL;3;FIN
ved	weiß	vide	wissen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ved	kenn	vide	kenn	V;IND;PRS;FIN;ACT	V;IND;SG;3;FIN
ved	wissen	vide	wissen	V;IND;PRS;FIN;ACT	V;NFIN
ved	kennen	vide	kennen	V;IND;PRS;FIN;ACT	V;NFIN
men	aber	men	aber	CONJ	CONJ
også	ausserdem	også	ausserdem	ADV	ADV
også	ebenso	også	ebenso	ADV	ADV
også	außerdem	også	außerdem	ADV	ADV
også	ebenfalls	også	ebenfalls	ADV	ADV
også	auch	også	auch	ADV	ADV
også	ebenfalls	også	ebenfalls	ADV	ADV
også	auch	også	auch	ADV	ADV
efter	danach	efter	danach	ADV	ADV
efter	nachher	efter	nachher	ADV	ADV
hvor	wo	hvor	wo	ADV	ADV
hvor	wohin	hvor	wohin	ADV	ADV
havde	hatten	have	haben	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
havde	hatte	have	haben	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
under	darunter	under	darunter	ADV	ADV
under	unten	under	unten	ADV	ADV
hans	seinem	hans	sein	DET;3	DET;DAT;MASC;SG
hans	seinen	hans	sein	DET;3	DET;ACC;MASC;SG
hans	seine	hans	sein	DET;3	DET;NOM;FEM;SG
hans	sein	hans	sein	DET;3	DET;NOM;MASC;SG
hans	seiner	hans	sein	DET;3	DET;NOM;MASC;SG
over	vorbei	over	vorbei	ADV	ADV
over	oben	over	oben	ADV	ADV
over	oberhalb	over	oberhalb	ADV	ADV
første	erste	første	erst	ADJ	ADJ;NOM;FEM;PL
første	erster	første	erst	ADJ	ADJ;NOM;MASC;SG
første	ersten	første	erst	ADJ	ADJ;NOM;PL
dansk	dänisch	dansk	dänisch	ADJ;INDF;SG	ADJ
dansk	dänischer	dansk	dänisch	ADJ;INDF;SG	ADJ
dansk	dänischen	dansk	dänisch	ADJ;INDF;SG	ADJ;MASC
mod	mut	mod	mut	N;INDF;NEUT;SG	N
hun	sie	hun	sie	PRO;NOM;MASC+FEM;SG;3	PRO;NOM;FEM;SG;3
denne	dieser	denne	dies	PRO;MASC+FEM;SG	PRO;NOM;MASC;SG
denne	diese	denne	dies	PRO;MASC+FEM;SG	PRO;NOM;FEM;SG
denne	das	denne	der	PRO;MASC+FEM;SG	PRO;NOM;NEUT;SG
født	geboren	føde	gebären	V;INDF;SG;PST;V.PTCP	V;V.PTCP
født	geb	føde	geb	V;INDF;SG;PST;V.PTCP	V;V.PTCP
mellem	zwischen	mellem	zwischen	ADP	ADP
flere	mehrfache	mange	mehrfach	ADJ;CMPR;PL	ADJ;NOM;FEM;PL
flere	multiple	mange	multipl	ADJ;CMPR;PL	ADJ;NOM;FEM;PL
flere	mehrfach	mange	mehrfach	ADJ;CMPR;PL	ADJ
flere	weitere	mange	weit	ADJ;CMPR;PL	ADJ;NOM;FEM;PL
dette	dieser	denne	dies	PRO;NEUT;SG	PRO;NOM;MASC;SG
dette	diese	denne	dies	PRO;NEUT;SG	PRO;NOM;FEM;SG
dette	das	denne	der	PRO;NEUT;SG	PRO;NOM;NEUT;SG
deres	ihre	deres	ihr	DET;3	DET;NOM;FEM;SG
deres	ihrer	deres	ihr	DET;3	DET;NOM;MASC;SG
deres	ihren	deres	ihr	DET;3	DET;ACC;MASC;SG
mange	viele	mange	viel	ADJ;PL	ADJ;NOM;INDF;PL
mange	zahlreiche	mange	zahlreich	ADJ;PL	ADJ;NOM;FEM;PL
mange	vielen	mange	viel	ADJ;PL	ADJ;ACC;INDF;MASC;PL
team	team	team	team	N;INDF;NEUT;SG	N;NOM;NEUT;SG
danske	dänisch	dansk	dänisch	ADJ;PL	ADJ
danske	dänische	dansk	dänisch	ADJ;PL	ADJ;NOM;FEM;PL
danske	dänischer	dansk	dänisch	ADJ;PL	ADJ
danske	dänischen	dansk	dänisch	ADJ;PL	ADJ;MASC
senere	nachher	senere	nachher	ADV;CMPR	ADV
kun	lediglich	kun	lediglich	ADV	ADV
kun	nur	kun	nur	ADV	ADV
dog	allerdings	dog	allerdings	ADV	ADV
dog	jedoch	dog	jedoch	ADV	ADV
dog	dennoch	dog	dennoch	ADV	ADV
dog	allerdings	dog	allerdings	ADV	ADV
dog	jedoch	dog	jedoch	ADV	ADV
tidligere	zuvor	tidligere	zuvor	ADV;CMPR	ADV
tidligere	vorher	tidligere	vorher	ADV;CMPR	ADV
tidligere	bisher	tidligere	bisher	ADV;CMPR	ADV
tidligere	zuvor	tidligere	zuvor	ADV;CMPR	ADV
tidligere	zuvor	tidligere	zuvor	ADV;CMPR	ADV
siden	seitdem	siden	seitdem	ADV	ADV
have	garten	have	garten	V;NFIN;ACT	V;NFIN
have	haben	have	haben	V;NFIN;ACT	V;IND;PL;3;FIN
mere	mehr	mere	mehr	ADV;CMPR	ADV
store	großen	stor	groß	ADJ;PL	ADJ;PL
store	große	stor	groß	ADJ;PL	ADJ;NOM;FEM;PL
store	groß	stor	groß	ADJ;PL	ADJ
store	großer	stor	groß	ADJ;PL	ADJ
store	großen	stor	groß	ADJ;PL	ADJ;PL
store	große	stor	groß	ADJ;PL	ADJ;NOM;FEM;PL
store	groß	stor	groß	ADJ;PL	ADJ
sammen	zusammen	sammen	zusammen	ADV	ADV
bliver	bleiben	blive	bleiben	V;IND;PRS;FIN;ACT	V;NFIN
samme	gleiche	samme	gleich	ADJ	ADJ;NOM;FEM;PL
samme	gleichen	samme	gleich	ADJ	ADJ;NOM;MASC;PL
ham	ihn	han	er	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;MASC;SG;3
omkring	etwa	omkring	etwa	ADV	ADV
omkring	rund	omkring	rund	ADV	ADV
omkring	herum	omkring	herum	ADV	ADV
kom	kommen	komme	kommen	V;IND;PST;FIN;ACT	V;NFIN
kom	gekommen	komme	kommen	V;IND;PST;FIN;ACT	V;V.PTCP
kom	kamen	komme	kommen	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
kom	kam	komme	kommen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
tre	drei	tre	drei	NUM	NUM
nogle	einige	nogen	einige	PRO;PL	PRO;NOM;INDF;PL
nogle	manche	nogen	manch	PRO;PL	PRO;NOM;INDF;PL
nogle	einigen	nogen	einige	PRO;PL	PRO;ACC;INDF;PL
mens	während	mens	während	CONJ	CONJ
dag	tag	dag	tagen	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
dag	tages	dag	tagen	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
her	hierher	her	hierher	ADV	ADV
her	hier	her	hier	ADV	ADV
tilbage	zurück	tilbage	zurück	ADV	ADV
tilbage	wieder	tilbage	wieder	ADV	ADV
tilbage	hinten	tilbage	hinten	ADV	ADV
kommune	gemeinde	kommune	gemeinde	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kommune	kommune	kommune	kommun	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kommune	gemeinde	kommune	gemeinde	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kommune	kommune	kommune	kommun	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
død	todesstrafe	død	todesstraf	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
findes	existieren	findes	existieren	V;IND;PRS;FIN;ACT	V;NFIN
findes	existiert	findes	existieren	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
findes	existieren	findes	existieren	V;IND;PRS;FIN;ACT	V;NFIN
findes	existiert	findes	existieren	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
forskellige	verschieden	forskellig	verschieden	ADJ;PL	ADJ
forskellige	verschiedenen	forskellig	verschieden	ADJ;PL	ADJ;NOM;PL
forskellige	unterschiedliche	forskellig	unterschiedlich	ADJ;PL	ADJ;NOM;FEM;PL
forskellige	unterschiedlich	forskellig	unterschiedlich	ADJ;PL	ADJ
forskellige	verschiedene	forskellig	verschieden	ADJ;PL	ADJ;NOM;FEM;PL
forskellige	verschieden	forskellig	verschieden	ADJ;PL	ADJ
forskellige	verschiedenen	forskellig	verschieden	ADJ;PL	ADJ;NOM;PL
forskellige	verschiedene	forskellig	verschieden	ADJ;PL	ADJ;NOM;FEM;PL
nye	neuer	ny	neu	ADJ;PL	ADJ
nye	neue	ny	neu	ADJ;PL	ADJ;NOM;FEM;PL
nye	neu	ny	neu	ADJ;PL	ADJ
stor	groß	stor	groß	ADJ;INDF;MASC+FEM;SG	ADJ
stor	großer	stor	groß	ADJ;INDF;MASC+FEM;SG	ADJ
stor	groß	stor	groß	ADJ;INDF;MASC+FEM;SG	ADJ
stor	großes	stor	groß	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
stor	toll	stor	toll	ADJ;INDF;MASC+FEM;SG	ADJ
stor	großartig	stor	großartig	ADJ;INDF;MASC+FEM;SG	ADJ
stor	groß	stor	groß	ADJ;INDF;MASC+FEM;SG	ADJ
hold	halten	holde	halten	V;IMP	V;NFIN
hold	festhalten	holde	festhalten	V;IMP	V;NFIN
når	wenn	når	wenn	CONJ	CONJ
kendt	bekannter	kendt	bekannter	ADJ;INDF;SG	ADJ
kendt	bekannt	kendt	bekennen	ADJ;INDF;SG	ADJ
kendt	berühmter	kendt	berühmt	ADJ;INDF;SG	ADJ
kendt	berühmt	kendt	berühmt	ADJ;INDF;SG	ADJ
før	zuvor	før	zuvor	ADV	ADV
før	davor	før	davor	ADV	ADV
før	vorher	før	vorher	ADV	ADV
sogn	pfarrkirche	sogn	pfarrkirche	N;INDF;NEUT;SG	N;NOM;FEM;SG
sogn	gemeinde	sogn	gemeinde	N;INDF;NEUT;SG	N;NOM;FEM;SG
mest	meist	mest	meist	ADV;RL	ADV
hele	ganzes	hel	ganz	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
derfor	deshalb	derfor	deshalb	ADV	ADV
derfor	somit	derfor	somit	ADV	ADV
derfor	daher	derfor	daher	ADV	ADV
derfor	deshalb	derfor	deshalb	ADV	ADV
derfor	darum	derfor	darum	ADV	ADV
derfor	somit	derfor	somit	ADV	ADV
derfor	daher	derfor	daher	ADV	ADV
navn	name	navn	Name	N;INDF;NEUT;SG	N;NOM;SG
ofte	oft	ofte	oft	ADV	ADV
ofte	oft	ofte	oft	ADV	ADV
ofte	oftmals	ofte	oftmals	ADV	ADV
først	zuerst	først	zuerst	ADV	ADV
mål	ziel	mål	ziel	N;INDF;NEUT;SG	N;NOM;NEUT;SG
mål	ziel	mål	ziel	N;INDF;NEUT;SG	N;NOM;NEUT;SG
mål	ziel	mål	ziel	N;INDF;NEUT;SG	N;NOM;NEUT;SG
mål	ziel	mål	ziel	N;INDF;NEUT;SG	N;NOM;NEUT;SG
film	folien	film	folien	N;INDF;MASC+FEM;PL	N;NOM;PL
sidste	letzte	sidste	letzt	ADJ	ADJ;NOM;FEM;SG
sidste	letzter	sidste	letzt	ADJ	ADJ;NOM;MASC;SG
sidste	letzten	sidste	letzt	ADJ	ADJ;PL
sidste	letztes	sidste	letzt	ADJ	ADJ;NOM;NEUT;SG
tyske	deutschen	tysk	deutsch	ADJ;PL	ADJ
tyske	deutscher	tysk	deutsch	ADJ;PL	ADJ
tyske	deutsche	tysk	deutsch	ADJ;PL	ADJ;NOM;FEM;PL
tyske	deutsch	tysk	deutsch	ADJ;PL	ADJ
gik	gingen	gå	gehen	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
gik	gegangen	gå	gehen	V;IND;PST;FIN;ACT	V;V.PTCP
gik	ging	gå	gehen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
gik	gelaufen	gå	laufen	V;IND;PST;FIN;ACT	V;V.PTCP
gik	ging	gå	gehen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
gik	lief	gå	laufen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
fire	vier	fire	vier	NUM	NUM
vandt	gewonnen	vinde	gewinnen	V;IND;PST;FIN;ACT	V;V.PTCP
vandt	gewann	vinde	gewinnen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
inden	zuvor	inden	zuvor	ADV	ADV
inden	davor	inden	davor	ADV	ADV
inden	vorher	inden	vorher	ADV	ADV
mindre	weniger	mindre	weniger	ADV;CMPR	ADV
frem	vorwärts	frem	vorwärts	ADV	ADV
største	größter	stor	groß	ADJ;DEF;RL	ADJ
største	größte	stor	groß	ADJ;DEF;RL	ADJ;NOM;FEM;SG
største	grösste	stor	groß	ADJ;DEF;RL	ADJ;NOM;SG
største	größten	stor	groß	ADJ;DEF;RL	ADJ;NOM;MASC;SG
største	größtes	stor	groß	ADJ;DEF;RL	ADJ;NOM;NEUT;SG
største	größte	stor	groß	ADJ;DEF;RL	ADJ;NOM;FEM;SG
største	größten	stor	groß	ADJ;DEF;RL	ADJ;NOM;MASC;SG
største	größter	stor	groß	ADJ;DEF;RL	ADJ
største	größte	stor	groß	ADJ;DEF;RL	ADJ;NOM;FEM;SG
største	grösste	stor	groß	ADJ;DEF;RL	ADJ;NOM;SG
største	größten	stor	groß	ADJ;DEF;RL	ADJ;NOM;MASC;SG
største	größtes	stor	groß	ADJ;DEF;RL	ADJ;NOM;NEUT;SG
hjemmeside	website	hjemmeside	websit	N;INDF;MASC+FEM;SG	N;SG
side	seite	side	seit	N;INDF;MASC+FEM;SG	N
side	seite	side	seit	N;INDF;MASC+FEM;SG	N
større	größer	stor	groß	ADJ;CMPR	ADJ
større	größere	stor	groß	ADJ;CMPR	ADJ;NOM;FEM;PL
større	größer	stor	groß	ADJ;CMPR	ADJ
større	grösser	stor	groß	ADJ;CMPR	ADJ
større	grössere	stor	groß	ADJ;CMPR	ADJ;NOM;FEM;PL
større	größeren	stor	groß	ADJ;CMPR	ADJ
større	größere	stor	groß	ADJ;CMPR	ADJ;NOM;FEM;PL
større	größer	stor	groß	ADJ;CMPR	ADJ
større	grössere	stor	groß	ADJ;CMPR	ADJ;NOM;FEM;PL
større	grösser	stor	groß	ADJ;CMPR	ADJ
større	größere	stor	groß	ADJ;CMPR	ADJ;NOM;FEM;PL
spillede	spielte	spille	spielen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
spillede	gespielt	spille	spielen	V;IND;PST;FIN;ACT	V;V.PTCP
spillede	abgespielt	spille	abspielen	V;IND;PST;FIN;ACT	V;V.PTCP
igen	wieder	igen	wieder	ADV	ADV
søn	sohn	søn	sohnen	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tog	trainieren	tage	trainieren	V;IND;PST;FIN;ACT	V;NFIN
tog	nahm	tage	nehmen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
tog	nahmen	tage	nehmen	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
tog	bahnen	tage	bahnen	V;IND;PST;FIN;ACT	V;NFIN
amerikansk	amerikaner	amerikansk	amerikaner	ADJ;INDF;SG	ADJ
amerikansk	amerikanisches	amerikansk	amerikanisch	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
