for	pre	for	pre	ADP	ADP;ACC
med	so	med	s	ADP	ADP;INS
har	má	ha	mať	V;IND;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
har	mať	ha	mať	V;IND;PRS;FIN	V;IPFV;POS;NFIN
har	majú	ha	mať	V;IND;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
også	takisto	også	takisto	ADV	ADV
også	taktiež	også	taktiež	ADV	ADV
også	príliš	også	príliš	ADV	ADV
men	ale	men	ale	CONJ	CONJ
etter	po	etter	po	ADP	ADP;ESS
lenker	putá	lank	puto	N;INDF;FEM;PL	N;NOM;NEUT;PL
lenker	okovy	lank	okova	N;INDF;FEM;PL	N;INAN;NOM;MASC;PL
lenker	reťaze	lank	reťaz	N;INDF;FEM;PL	N;NOM;FEM;PL
lenker	reťazce	lank	reťazec	N;INDF;FEM;PL	N;INAN;NOM;MASC;PL
lenker	spojenia	lank	spojenie	N;INDF;FEM;PL	N;NOM;NEUT;PL
lenker	väzby	lank	väzba	N;INDF;FEM;PL	N;NOM;FEM;PL
lenker	prepojenia	lank	prepojenie	N;INDF;FEM;PL	N;NOM;NEUT;PL
lenker	odkazy	lank	odkaz	N;INDF;FEM;PL	N;INAN;NOM;MASC;PL
lenker	linky	lank	linka	N;INDF;FEM;PL	N;NOM;FEM;PL
under	pod	under	pod	ADP	ADP;INS
under	pod	under	pod	ADP	ADP;INS
under	podľa	under	podľa	ADP	ADP;GEN
kan	môžu	kunne	môcť	V;IND;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
kan	môže	kunne	môcť	V;IND;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
hadde	malo	ha	mať	V;IND;PST;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
hadde	nemal	ha	mať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;NEG;PST;V.PTCP
hadde	mali	ha	mať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
