اِبتدائی	liht	اِبتدائی	liht	N;NOM;MASC;SG;3	N;NOM;SG
اِبتدائیات	põhitõed	اِبتدائیات	põhi_tõe	N;NOM;MASC;PL;3	N;NOM;PL
ابتر	armetu	ابتر	armetu	ADJ	ADJ;NOM;SG
ابتر	õnnetu	ابتر	õnnetu	ADJ	ADJ;NOM;SG
ابتر	hajutatud	ابتر	hajuta=tud	ADJ	ADJ;PST;V.PTCP;PASS
ابتر	rikutud	ابتر	rikkuma	ADJ	ADJ;PST;V.PTCP;PASS
ابتر	rikutud	ابتر	rikkuma	ADJ	ADJ;PST;V.PTCP;PASS
ابجد	algus	ابجد	algus	N;NOM;MASC;SG;3	N;NOM;SG
اُبلنا	keema	اُبل	keema	V;MASC;SG;NFIN;ACT	V;IN+ALL;V.CVB;ACT
اُبلنا	tõuse	اُبل	tõusma	V;MASC;SG;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
ابواب	maksud	ابواب	maks	N;NOM;MASC;PL;3	N;NOM;PL
ابواب	uksed	ابواب	uks	N;NOM;MASC;PL;3	N;NOM;PL
ابواب	peatükid	ابواب	pea_tükk	N;NOM;MASC;PL;3	N;NOM;PL
اُبھارنا	veenda	اُبھارنا	veenma	V;NFIN;ACT	V;NFIN
اُبھارنا	veena	اُبھارنا	vesi	V;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اُبھارنا	tõsta	اُبھارنا	tõstma	V;NFIN;ACT	V;NFIN
اُبھارنا	tõstan	اُبھارنا	tõstma	V;NFIN;ACT	V;IND;SG;1;PRS;FIN;ACT
اُبھرنا	tõuse	اُبھرنا	tõusma	V;SG;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اُبھرنا	kasvab	اُبھرنا	kasvama	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN;ACT
اُبھرنا	kasvama	اُبھرنا	kasvama	V;SG;NFIN;ACT	V;IN+ALL;V.CVB;ACT
اُبھرنا	kasva	اُبھرنا	kasvama	V;SG;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اُبھرنا	õitseda	اُبھرنا	õitsema	V;SG;NFIN;ACT	V;NFIN
اپنا	oma	اپنا	oma	PRO;NOM;SG;3	PRO;NOM;SG
اپنا	oma	اپنا	oma	PRO;NOM;SG;3	PRO;NOM;SG
اُتار	laskumine	اُتار	laskumine	N;NOM;MASC;SG;3	N;NOM;SG
اُتار	kalle	اُتار	kalle	N;NOM;MASC;SG;3	N;NOM;SG
اُتار	vähenemine	اُتار	vähenemine	N;NOM;MASC;SG;3	N;NOM;SG
اُتار	kukkumine	اُتار	kukkumine	N;NOM;MASC;SG;3	N;NOM;SG
اُتار	kuku	اُتار	kuku	N;NOM;MASC;SG;3	N;NOM;SG
اُتار	vähendamine	اُتار	vähendamine	N;NOM;MASC;SG;3	N;NOM;SG
اُتار	vähenemine	اُتار	vähenemine	N;NOM;MASC;SG;3	N;NOM;SG
اُتار	langus	اُتار	langus	N;NOM;MASC;SG;3	N;NOM;SG
اُتار	ebb	اُتار	ebb	N;NOM;MASC;SG;3	N;NOM;SG
اُتارنا	paljastavad	اُتار	paljasta=v	V;NFIN;ACT	V;IND;PL;3;PRS;FIN;ACT
اُتارنا	paljastavad	اُتار	paljasta=v	V;NFIN;ACT	V;IND;PL;3;PRS;FIN;ACT
اُترنا	vähenda	اُتر	vähendama	V;MASC;SG;ACT	V;IMP;SG;2;PRS;FIN;ACT
اِتّفاقاً	juhuslikult	اِتّفاقاً	juhuslikult	ADV	ADV
اِتّفاقی	juhuslik	اِتّفاقی	juhuslik	ADJ;NOM	ADJ;NOM;SG
اٹکلنا	arva	اٹکل	arvama	V;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اٹکنا	peata	اٹک	pea	V;NFIN;ACT	V;IMP;2;NFIN
اٹکنا	lõpeta	اٹک	lõpetama	V;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اُٹھا	tõuseb	اُٹھ	tõusma	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN;ACT
اُٹھانا	tõsta	اُٹھا	tõstma	V;MASC;SG;NFIN;ACT	V;NFIN
اُٹھانا	tõstan	اُٹھا	tõstma	V;MASC;SG;NFIN;ACT	V;IND;SG;1;PRS;FIN;ACT
اُٹھانا	röövida	اُٹھا	röövima	V;MASC;SG;NFIN;ACT	V;NFIN
اُٹھانا	eemalda	اُٹھا	eemaldama	V;MASC;SG;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اُٹھانا	varasta	اُٹھا	varastama	V;MASC;SG;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اُٹھانا	varastada	اُٹھا	varastama	V;MASC;SG;NFIN;ACT	V;NFIN
اُٹھانا	varastama	اُٹھا	varastama	V;MASC;SG;NFIN;ACT	V;IN+ALL;V.CVB;ACT
اُٹھانا	kanda	اُٹھا	kandma	V;MASC;SG;NFIN;ACT	V;NFIN
اُٹھتا	õitseb	اُٹھ	õitsema	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN;ACT
اُٹھتا	tõuseb	اُٹھ	tõusma	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN;ACT
اُٹھنا	tõuse	اُٹھ	tõusma	V;MASC;SG;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اُٹھنا	jäta	اُٹھ	jätma	V;MASC;SG;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اثاثہ	kaup	اثاثہ	kaup	N;NOM;MASC;SG;3	N;NOM;SG
اثاثہ	mõju	اثاثہ	mõju	N;NOM;MASC;SG;3	N;NOM;SG
اثاثہ	toime	اثاثہ	toime	N;NOM;MASC;SG;3	N;NOM;SG
اثاثہ	rikkus	اثاثہ	rikkus	N;NOM;MASC;SG;3	N;NOM;SG
اثاثہ	omadus	اثاثہ	omadus	N;NOM;MASC;SG;3	N;NOM;SG
اثاثہ	omand	اثاثہ	omand	N;NOM;MASC;SG;3	N;NOM;SG
اثر	efekt	اثر	efekt	N;NOM;MASC;SG;3	N;NOM;SG
اثر	mõju	اثر	mõju	N;NOM;MASC;SG;3	N;NOM;SG
اثر	toime	اثر	toime	N;NOM;MASC;SG;3	N;NOM;SG
اثر	mõju	اثر	mõju	N;NOM;MASC;SG;3	N;NOM;SG
اثر	tagajärg	اثر	taga_järg	N;NOM;MASC;SG;3	N;NOM;SG
اثرورسوخ	mõju	اثرورسوخ	mõju	N;NOM;MASC;SG;3	N;NOM;SG
اثنا	kellaaeg	اثنا	kella_aeg	N;NOM;MASC;SG;3	N;NOM;SG
اثنا	aeg	اثنا	aeg	N;NOM;MASC;SG;3	N;NOM;SG
اثنا	periood	اثنا	periood	N;NOM;MASC;SG;3	N;NOM;SG
اثنا	ajavahemik	اثنا	aja_vahemik	N;NOM;MASC;SG;3	N;NOM;SG
اثنا	kellaaeg	اثنا	kella_aeg	N;NOM;MASC;SG;3	N;NOM;SG
اثنا	aeg	اثنا	aeg	N;NOM;MASC;SG;3	N;NOM;SG
اثنا	periood	اثنا	periood	N;NOM;MASC;SG;3	N;NOM;SG
اثنا	ajavahemik	اثنا	aja_vahemik	N;NOM;MASC;SG;3	N;NOM;SG
اُجاڑنا	hävita	اُجاڑنا	hävitama	V;SG;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اُجاڑنا	hävitada	اُجاڑنا	hävitama	V;SG;NFIN;ACT	V;NFIN
اِجازت	luba	اِجازت	luba	N;NOM;MASC;SG;3	N;NOM;SG
اِجازت	liberty	اِجازت	liberty	N;NOM;MASC;SG;3	N;NOM;SG
اِجازت	vabadus	اِجازت	vabadus	N;NOM;MASC;SG;3	N;NOM;SG
اِجازت	litsents	اِجازت	litsents	N;NOM;MASC;SG;3	N;NOM;SG
اُجاگر	manifesti	اُجاگر	manifest	N;NOM;MASC;SG;3	N;NOM;SG
اُجاگر	hele	اُجاگر	hele	N;NOM;MASC;SG;3	N;NOM;SG
اِجتماعی	kollektiivse	اِجتماعی	kollektiivne	ADJ	ADJ;GEN;SG
اِجتماعی	kollektiivne	اِجتماعی	kollektiivne	ADJ	ADJ;NOM;SG
اجر	tasu	اجر	tasu	N;NOM;MASC;SG;3	N;NOM;SG
اجر	tasu	اجر	tasu	N;NOM;MASC;SG;3	N;NOM;SG
اجر	hüvitis	اجر	hüvitis	N;NOM;MASC;SG;3	N;NOM;SG
اجر	tasu	اجر	tasu	N;NOM;MASC;SG;3	N;NOM;SG
اجر	töötasu	اجر	töö_tasu	N;NOM;MASC;SG;3	N;NOM;SG
اجر	hüvitis	اجر	hüvitis	N;NOM;MASC;SG;3	N;NOM;SG
اجر	hüvitamine	اجر	hüvitamine	N;NOM;MASC;SG;3	N;NOM;SG
اُجرت	tasu	اُجرت	tasu	N;NOM;MASC;SG;3	N;NOM;SG
اُجرت	tasu	اُجرت	tasu	N;NOM;MASC;SG;3	N;NOM;SG
اُجرت	hüvitis	اُجرت	hüvitis	N;NOM;MASC;SG;3	N;NOM;SG
اُجرت	tasu	اُجرت	tasu	N;NOM;MASC;SG;3	N;NOM;SG
اُجرت	töötasu	اُجرت	töö_tasu	N;NOM;MASC;SG;3	N;NOM;SG
اُجرت	palk	اُجرت	palk	N;NOM;MASC;SG;3	N;NOM;SG
اُجرت	töötasu	اُجرت	töö_tasu	N;NOM;MASC;SG;3	N;NOM;SG
اِجمالاً	lühidalt	اِجمالاً	lühidalt	ADV	ADV
اجناس	kaubad	جنس	kaup	N;NOM;MASC;PL;3	N;NOM;PL
اجناس	liigid	جنس	liik	N;NOM;MASC;PL;3	N;NOM;PL
اجناس	terad	جنس	tera	N;NOM;MASC;PL;3	N;NOM;PL
اجنبی	teadmata	اجنبی	teadma	V;SG;V.PTCP;ACT	V;PRIV;V.CVB;ACT
اجنبی	teadmata	اجنبی	teadma	V;SG;V.PTCP;ACT	V;PRIV;V.CVB;ACT
اجیرن	raskel	اجیرن	raske	ADJ	ADJ;AT+ESS
;SG
اجیرن	keeruline	اجیرن	keeruline	ADJ	ADJ;NOM;SG
اجیرن	raske	اجیرن	raske	ADJ	ADJ;NOM;SG
اجیرن	tülikas	اجیرن	tülikas	ADJ	ADJ;NOM;SG
اُچانا	tõsta	اُچا	tõstma	V;MASC;SG;NFIN;ACT	V;NFIN
اُچانا	tõstan	اُچا	tõstma	V;MASC;SG;NFIN;ACT	V;IND;SG;1;PRS;FIN;ACT
اچانک	ootamatult	اچانک	ootamatult	ADV	ADV
اچانک	äkitselt	اچانک	äkitselt	ADV	ADV
اُچکنا	haara	اُچک	haarama	V;SG;ACT	V;IMP;SG;2;PRS;FIN;ACT
اُچھالنا	edendada	اُچھال	edendama	V;SG;NFIN;ACT	V;NFIN
اُچھلنا	tõuse	اُچھل	tõusma	V;SG;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
اُچھلنا	rõõmustada	اُچھل	rõõmustama	V;SG;NFIN;ACT	V;NFIN
اِحاطہ	piir	اِحاطہ	piir	N;NOM;MASC;SG;3	N;NOM;SG
اِحتمالی	ebakindlad	اِحتمالی	eba_kindel	ADJ	ADJ;NOM;PL
اِحتمالی	tõenäoline	اِحتمالی	tõe_näoline	ADJ	ADJ;NOM;SG
اِحتمالی	tõenäoline	اِحتمالی	tõe_näoline	ADJ	ADJ;NOM;SG
اِحتمالی	hüpoteetiline	اِحتمالی	hüpoteetiline	ADJ	ADJ;NOM;SG
اِحتمالی	kahtlane	اِحتمالی	kahtlane	ADJ	ADJ;NOM;SG
اِحتمالی	kaheldav	اِحتمالی	kaheldav	ADJ	ADJ;NOM;SG;PRS;V.PTCP;ACT
اِحتیاطی	ennetav	اِحتیاطی	ennetav	ADJ;NOM	ADJ;NOM;SG;PRS;V.PTCP;ACT
احکام	käsud	حکم	käsk	N;NOM;MASC;PL;3	N;NOM;PL
احکام	korraldused	حکم	korraldus	N;NOM;MASC;PL;3	N;NOM;PL
احکام	käsud	حکم	käsk	N;NOM;MASC;PL;3	N;NOM;PL
احکام	tellimused	حکم	tellimus	N;NOM;MASC;PL;3	N;NOM;PL
احکام	dekreedid	حکم	dekreet	N;NOM;MASC;PL;3	N;NOM;PL
احمقانہ	rumal	احمقانہ	rumal	ADJ	ADJ;NOM;SG
احوال	riik	احوال	riik	N;NOM;MASC;SG;3	N;NOM;SG
احوال	olek	احوال	olek	N;NOM;MASC;SG;3	N;NOM;SG
احوال	osariik	احوال	osa_riik	N;NOM;MASC;SG;3	N;NOM;SG
احوال	seisukord	احوال	seisu_kord	N;NOM;MASC;SG;3	N;NOM;SG
احوال	tingimus	احوال	tingimus	N;NOM;MASC;SG;3	N;NOM;SG
احوال	seisund	احوال	seisund	N;NOM;MASC;SG;3	N;NOM;SG
احیاناً	mõnikord	احیاناً	mõni_kord	ADV	ADV
احیاناً	vahel	احیاناً	vahel	ADV	ADV
احیاناً	vahest	احیاناً	vahest	ADV	ADV
اخبار	ajaleht	اخبار	aja_leht	N;NOM;MASC;SG;3	N;NOM;SG
اخبار	news	اخبار	news	N;NOM;MASC;SG;3	N;NOM;SG
