arsenal	οπλοστάσιο	arsenal	οπλοστάσιο	N;NOM;SG	N;NOM;NEUT;SG
seikkailu	περιπέτεια	seikkailu	περιπέτεια	N;NOM;SG	N;NOM;FEM;SG
silmä	μάτι	silmä	μάτι	N;NOM;SG	N;NOM;NEUT;SG
silmä	ματι	silmä	ματι	N;NOM;SG	N;NOM;NEUT;SG
silmä	οφθαλμός	silmä	οφθαλμός	N;NOM;SG	N;NOM;MASC;SG
kokemus	πείρα	kokemus	πείρα	N;NOM;SG	N;NOM;FEM;SG
katto	ταβάνι	katto	ταβάνι	N;NOM;SG	N;NOM;NEUT;SG
katto	σκεπή	katto	σκεπή	N;NOM;SG	N;NOM;FEM;SG
katto	στέγη	katto	στέγος	N;NOM;SG	N;NOM;FEM;SG
haltija	φύλακας	haltija	φύλακα	N;NOM;SG	N;NOM;MASC;SG
haltija	κάτοχος	haltija	κάτοχος	N;NOM;SG	N;NOM;MASC;SG
kirjaimet	γράμματα	kirjain	γράμμα	N;NOM;PL	N;NOM;NEUT;PL
kirjaimet	επιστολές	kirjain	επιστολή	N;NOM;PL	N;NOM;FEM;PL
kirjaimet	γραμματα	kirjain	γράμμα	N;NOM;PL	N;NOM;NEUT;PL
maila	νυχτερίδα	maila	νυχτερίδα	N;NOM;SG	N;NOM;FEM;SG
maila	ρόπαλο	maila	ρόπαλο	N;NOM;SG	N;NOM;NEUT;SG
riippumaton	ανεξάρτητο	riippumaton	ανεξάρτητος	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
riippumaton	ανεξάρτητος	riippumaton	ανεξάρτητος	ADJ;NOM;SG	ADJ;NOM;MASC;SG
riippumaton	ανεξάρτητη	riippumaton	ανεξάρτητος	ADJ;NOM;SG	ADJ;NOM;FEM;SG
asemat	θέσεις	asema	θέση	N;NOM;PL	N;NOM;FEM;PL
asemat	θεσεις	asema	θεση	N;NOM;PL	N;NOM;FEM;PL
asemat	σταθμοί	asema	σταθμός	N;NOM;PL	N;NOM;MASC;PL
pysähtyi	σταμάτησε	pysähtyä	σταματώ	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
nalle	αρκουδάκι	nalle	αρκουδάκι	N;NOM;SG	N;NOM;NEUT;SG
nalle	αρκούδα	nalle	αρκούδα	N;NOM;SG	N;NOM;FEM;SG
nalle	αρκούδος	nalle	αρκούδος	N;NOM;SG	N;NOM;MASC;SG
valvoo	επιβλέπει	valvoa	επιβλέπω	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
lane	λωρίδα	lane	λωρίδα	N;NOM;SG	N;NOM;FEM;SG
turvallisuus	ασφάλεια	turvallisuus	ασφάλεια	N;NOM;SG	N;NOM;FEM;SG
turvallisuus	ασφάλεια	turvallisuus	ασφάλεια	N;NOM;SG	N;NOM;FEM;SG
ihme	θαύμα	ihme	θαύμα	N;NOM;SG	N;NOM;NEUT;SG
ihme	θαύμα	ihme	θαύμα	N;NOM;SG	N;NOM;NEUT;SG
turbo	τούρμπο	turbo	τούρμπο	N;NOM;SG	N;NOM;FEM;SG
lasku	παρακμή	lasku	παρακμή	N;NOM;SG	N;NOM;FEM;SG
lasku	τιμολόγιο	lasku	τιμολόγιο	N;NOM;SG	N;NOM;NEUT;SG
ketju	αλυσίδα	ketju	αλυσίδα	N;NOM;SG	N;NOM;FEM;SG
rikki	θειάφι	rikki	θειάφι	N;NOM;SG	N;NOM;NEUT;SG
rikki	θείο	rikki	θείο	N;NOM;SG	N;NOM;NEUT;SG
rikki	απένταρος	rikki	απένταρος	N;NOM;SG	N;NOM;MASC;SG
rikki	θειάφι	rikki	θειάφι	N;NOM;SG	N;NOM;NEUT;SG
rikki	θείο	rikki	θείο	N;NOM;SG	N;NOM;NEUT;SG
vaihtoehtoisesti	εναλλακτικά	vaihto#ehtoisesti	εναλλακτικά	ADV	ADV
tiedemies	επιστήμων	tiede#mies	επίστημα	N;NOM;SG	N;NOM;MASC;SG
tiedemies	επιστήμονας	tiede#mies	επιστήμονας	N;NOM;SG	N;NOM;MASC;SG
afc	εκα	afc	εκα	N;NOM;SG	N
vartalo	σωμα	vartalo	σωμα	N;NOM;SG	N;NOM;NEUT;SG
vartalo	πτώμα	vartalo	πτώμα	N;NOM;SG	N;NOM;NEUT;SG
vartalo	κορμί	vartalo	κορμί	N;NOM;SG	N;NOM;NEUT;SG
vartalo	σώμα	vartalo	σώμα	N;NOM;SG	N;NOM;NEUT;SG
vartalo	κορμός	vartalo	κορμός	N;NOM;SG	N;NOM;MASC;SG
isäntä	ξενιστής	isäntä	ξενιστής	N;NOM;SG	N;NOM;MASC;SG
isäntä	παρουσιαστής	isäntä	παρουσιαστής	N;NOM;SG	N;NOM;MASC;SG
isäntä	οικοδεσπότης	isäntä	οικοδεσπότης	N;NOM;SG	N;NOM;MASC;SG
suostuu	συναινεί	suostua	συναίνω	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
laajuus	πεδίο	laajuus	πεδίο	N;NOM;SG	N;NOM;NEUT;SG
piirteet	χαρακτηριστικά	piirre	χαρακτηριστικός	N;NOM;PL	N;NOM;NEUT;PL
piirteet	χαρακτηριστικά	piirre	χαρακτηριστικός	N;NOM;PL	N;NOM;NEUT;PL
ilmainen	ελεύθερος	ilmainen	ελεύθερος	ADJ;NOM;SG	ADJ;NOM;MASC;SG
