اتھاہ	깊게	اتھاہ	깊+게		
اِبا	거절	اِبا	거절		
اِبا	불복종	اِبا	불복종		
اِبتدائی	초기	اِبتدائی	초기	N;NOM;MASC;SG;3	N
اِبتدائی	초등	اِبتدائی	초등	N;NOM;MASC;SG;3	N
ابحاث	인자	ابحاث	인자	N;NOM;MASC;SG;3	N
ابس	약한	ابس	약하+ㄴ		
ابس	약해	ابس	약하+어		
ابعاد	크기	ابعاد	크기		
اِبل	카멜	اِبل	카멜		
ابلا	약한	ابلا	약하+ㄴ		
ابلا	약해	ابلا	약하+어		
ابلا	여인	ابلا	여인		
ابواب	세금	ابواب	세금	N;NOM;MASC;PL;3	N
اُبھارنا	올리기	اُبھارنا	올리+기	V;NFIN;ACT	V
اپاہج	비활성화	اپاہج	비활+성화	N;NOM;MASC;SG;3	N
اپت	모욕	اپت	모욕		
اپج	위키드	اپج	위키드		
اُپج	프로듀스	اُپج	프로듀스		
اپنا	우리의	اپنا	우리+의	PRO;NOM;SG;3	PRO
اپنا	우리의	اپنا	우리+의	PRO;NOM;SG;3	PRO
اپنا	우리의	اپنا	우리+의	PRO;NOM;SG;3	PRO
اپنا	우리의	اپنا	우리+의	PRO;NOM;SG;3	PRO
اپیل	항소	اپیل	항소	N;NOM;MASC;SG;3	N
اپھر	오만	اپھر	오만		
اپھر	부어	اپھر	붓+어		
اُتار	경사	اُتار	경사	N;NOM;MASC;SG;3	N
اُتار	감소	اُتار	감소	N;NOM;MASC;SG;3	N
اُتار	거부	اُتار	거부	N;NOM;MASC;SG;3	N
اُتار	쇠퇴	اُتار	쇠퇴	N;NOM;MASC;SG;3	N
اُترنا	줄이기	اُتر	줄이+기	V;MASC;SG;ACT	V
اُتسَو	엑스터시	اُتسَو	엑스터시		
اُتھلنا	떨어지지	اُتھلنا	떨어지+지	V;SG;NFIN;ACT	V
اُتھلنا	떨어지는	اُتھلنا	떨어지+는	V;SG;NFIN;ACT	V
اٹکل	추측	اٹک	추측		
اٹکل	추측	اٹک	추측		
اٹکن	링크	اٹکن	링크		
اٹکنا	멈추기	اٹک	멈추+기	V;NFIN;ACT	V
اُٹھانا	올리기	اُٹھا	올리+기	V;MASC;SG;NFIN;ACT	V
اُٹھانا	지우기	اُٹھا	지우+기	V;MASC;SG;NFIN;ACT	V
اُٹھانا	삭제하기	اُٹھا	삭제+하+기	V;MASC;SG;NFIN;ACT	V
اُٹھانا	훔쳐	اُٹھا	훔치+어	V;MASC;SG;NFIN;ACT	V
اُٹھنا	떠나기	اُٹھ	떠나+기	V;MASC;SG;NFIN;ACT	V
اثاثہ	상품	اثاثہ	상품	N;NOM;MASC;SG;3	N
اثاثہ	물품	اثاثہ	물품	N;NOM;MASC;SG;3	N
اثاثہ	영향	اثاثہ	영향	N;NOM;MASC;SG;3	N
اثاثہ	효과	اثاثہ	효과	N;NOM;MASC;SG;3	N
اثاثہ	재산	اثاثہ	재산	N;NOM;MASC;SG;3	N
اثاثہ	자산	اثاثہ	자산	N;NOM;MASC;SG;3	N
اثاثہ	재산권	اثاثہ	재산권	N;NOM;MASC;SG;3	N
اثاثہ	속성	اثاثہ	속성	N;NOM;MASC;SG;3	N
اثاثہ	재산	اثاثہ	재산	N;NOM;MASC;SG;3	N
اِثبات	확인	اِثبہ	확인	N;NOM;MASC;PL;3	N
اِثبات	인식	اِثبہ	인식	N;NOM;MASC;PL;3	N
اِثبات	검증	اِثبہ	검증	N;NOM;MASC;PL;3	N
اثر	영향	اثر	영향	N;NOM;MASC;SG;3	N
اثر	효과	اثر	효과	N;NOM;MASC;SG;3	N
اثنا	시간	اثنا	시간	N;NOM;MASC;SG;3	N
اثنا	기간	اثنا	기간	N;NOM;MASC;SG;3	N
اثنا	시대	اثنا	시대	N;NOM;MASC;SG;3	N
اثنا	시간	اثنا	시간	N;NOM;MASC;SG;3	N
اثنا	기간	اثنا	기간	N;NOM;MASC;SG;3	N
اثنا	시대	اثنا	시대	N;NOM;MASC;SG;3	N
اُجاڑ	황무지	اُجاڑ	황무지		
اِجازت	제재	اِجازت	제재	N;NOM;MASC;SG;3	N
اِجازت	허가	اِجازت	허+가	N;NOM;MASC;SG;3	N
اِجازت	라이선스	اِجازت	라이선스	N;NOM;MASC;SG;3	N
اِجازت	면허	اِجازت	면허	N;NOM;MASC;SG;3	N
اجداد	선조	جد	선조	N;NOM;MASC;SG;3	N
اجَر	영원	اجَر	영원		
اجر	요금	اجر	요금	N;NOM;MASC;SG;3	N
اجر	수수료	اجر	수수료	N;NOM;MASC;SG;3	N
اجر	고용	اجر	고용	N;NOM;MASC;SG;3	N
اجر	운임	اجر	운임	N;NOM;MASC;SG;3	N
اجر	결제	اجر	결제	N;NOM;MASC;SG;3	N
اجر	보상	اجر	보상	N;NOM;MASC;SG;3	N
اجر	보상	اجر	보상	N;NOM;MASC;SG;3	N
اُجرت	요금	اُجرت	요금	N;NOM;MASC;SG;3	N
اُجرت	수수료	اُجرت	수수료	N;NOM;MASC;SG;3	N
اُجرت	운임	اُجرت	운임	N;NOM;MASC;SG;3	N
اُجرت	보상	اُجرت	보상	N;NOM;MASC;SG;3	N
اجزا	원소	اجزا	원소	N;NOM;MASC;SG;3	N
اجزا	부품	اجزا	부품	N;NOM;MASC;SG;3	N
اجزا	부분	اجزا	부분	N;NOM;MASC;SG;3	N
اجزا	분열	اجزا	분열	N;NOM;MASC;SG;3	N
اجزا	재료	اجزا	재료	N;NOM;MASC;SG;3	N
اجزا	성분	اجزا	성분	N;NOM;MASC;SG;3	N
اجزا	섹션	اجزا	섹션	N;NOM;MASC;SG;3	N
اجناس	상품	جنس	상품	N;NOM;MASC;PL;3	N
اجناس	물품	جنس	물품	N;NOM;MASC;PL;3	N
اجناس	종족	جنس	종족	N;NOM;MASC;PL;3	N
اجناس	곡식	جنس	곡식	N;NOM;MASC;PL;3	N
اجناس	곡물	جنس	곡물	N;NOM;MASC;PL;3	N
اجنبی	이상한	اجنبی	이상+하+ㄴ	V;SG;V.PTCP;ACT	V
اجنبی	이상하다	اجنبی	이상+하+다	V;SG;V.PTCP;ACT	V
اجنبی	외계인	اجنبی	외계+이+ㄴ	V;SG;V.PTCP;ACT	V
اجنبی	이상한	اجنبی	이상+하+ㄴ	V;SG;V.PTCP;ACT	V
اجنبی	이상하다	اجنبی	이상+하+다	V;SG;V.PTCP;ACT	V
اجیرن	어려운	اجیرن	어렵+ㄴ	ADJ	ADJ
اچار	피클	اچار	피클	N;NOM;MASC;SG;3	N
اُچان	높이	اُچان	높이		
اُچان	고도	اُچان	고도		
اُچانا	올리기	اُچا	올리+기	V;MASC;SG;NFIN;ACT	V
اچانک	갑자기	اچانک	갑자기	ADV	ADV
اُچک	높이	اُچک	높이		
اُچک	고도	اُچک	고도		
اُچکنا	날치기	اُچک	날치+기	V;SG;ACT	V
اُچھالنا	홍보하기	اُچھال	홍보+하+기	V;SG;NFIN;ACT	V
اِحاطہ	경계	اِحاطہ	경계	N;NOM;MASC;SG;3	N
احسن	최고	احسن	최고	N;NOM;MASC;SG;3	N
احسن	베스트	احسن	베스트	N;NOM;MASC;SG;3	N
احکام	명령	حکم	명령	N;NOM;MASC;PL;3	N
احکام	명령어	حکم	명령+어	N;NOM;MASC;PL;3	N
احکام	주문	حکم	주문	N;NOM;MASC;PL;3	N
احوال	상태	احوال	상태	N;NOM;MASC;SG;3	N
احوال	국가	احوال	국가	N;NOM;MASC;SG;3	N
احوال	조건	احوال	조건	N;NOM;MASC;SG;3	N
احوال	조건	احوال	조건	N;NOM;MASC;SG;3	N
احوال	이벤트	احوال	이벤트	N;NOM;MASC;SG;3	N
احوال	행사	احوال	행사	N;NOM;MASC;SG;3	N
احیاناً	가끔	احیاناً	가끔	ADV	ADV
احیاناً	때때로	احیاناً	때때로	ADV	ADV
احیاناً	가끔	احیاناً	가끔	ADV	ADV
احیاناً	때때로	احیاناً	때때로	ADV	ADV
اخ	오빠	اخ	오빠		
اخ	아우	اخ	아우		
اخبار	이벤트	اخبار	이벤트	N;NOM;MASC;SG;3	N
اخبار	행사	اخبار	행사	N;NOM;MASC;SG;3	N
اخبار	신문	اخبار	신문	N;NOM;MASC;SG;3	N
اخبار	뉴스	اخبار	뉴스	N;NOM;MASC;SG;3	N
اخبار	소식	اخبار	소식	N;NOM;MASC;SG;3	N
اخبار	이벤트	اخبار	이벤트	N;NOM;MASC;SG;3	N
اخبار	행사	اخبار	행사	N;NOM;MASC;SG;3	N
اخبار	신문	اخبار	신문	N;NOM;MASC;SG;3	N
اخبار	뉴스	اخبار	뉴스	N;NOM;MASC;SG;3	N
اخبار	소식	اخبار	소식	N;NOM;MASC;SG;3	N
اخپخ	지혜	اخپخ	지혜		
اُخت	언니	اُخت	언니		
اُخت	누나	اُخت	누나+아		
اِختباری	실험	اِختباری	실험	N;NOM;MASC;SG;3	N
