この	cette	この	ce	DET	DET;FEM;SG
もの	choses	もの	chose	N	N;FEM;PL
大学	universités	大学	université	N	N;FEM;PL
大学	université	大学	université	N	N;FEM;SG
大学	collège	大学	collège	N	N;MASC;SG
大学	université	大学	université	N	N;FEM;SG
大学	collèges	大学	collège	N	N;MASC;PL
テレビ	télévisions	テレビ	télévision	N	N;FEM;PL
テレビ	téléviseurs	テレビ	téléviseur	N	N;MASC;PL
テレビ	téléviseur	テレビ	téléviseur	N	N;MASC;SG
テレビ	télévision	テレビ	télévision	N	N;FEM;SG
テレビ	télé	テレビ	télé	N	N;FEM;SG
放送	diffuser	放送	diffuser	V	V;NFIN
削除	supprimé	削除	supprimer	V	V;MASC;SG;PST;V.PTCP
削除	supprimée	削除	supprimer	V	V;FEM;SG;PST;V.PTCP
削除	effacé	削除	effacer	V	V;MASC;SG;PST;V.PTCP
削除	supprimés	削除	supprimer	V	V;MASC;PL;PST;V.PTCP
削除	supprimées	削除	supprimer	V	V;FEM;PL;PST;V.PTCP
削除	supprimant	削除	supprimer	V	V;PRS;V.PTCP
削除	supprimer	削除	supprimer	V	V;NFIN
削除	enlever	削除	enlever	V	V;NFIN
削除	retirer	削除	retirer	V	V;NFIN
削除	enlèvent	削除	enlever	V	V;IND;PL;3;PRS;FIN
削除	supprimez	削除	supprimer	V	V;IMP;PL;2;PRS;FIN
削除	supprimer	削除	supprimer	V	V;NFIN
削除	supprimez	削除	supprimer	V	V;IMP;PL;2;PRS;FIN
削除	supprime	削除	supprimer	V	V;IND;SG;3;PRS;FIN
削除	effacer	削除	effacer	V	V;NFIN
学校	école	学校	école	N	N;FEM;SG
学校	ecoles	学校	ecole	N	N;FEM;PL
学校	écoles	学校	école	N	N;FEM;PL
学校	ecole	学校	ecole	N	N;FEM;SG
学校	école	学校	école	N	N;FEM;SG
これ	ceci	これ	ceci	PRO	PRO;SG
これ	cet	これ	ce	PRO	PRO;SG;3
これ	cela	これ	cela	PRO	PRO;SG
これ	ce	これ	ce	PRO	PRO;SG;3
世界	monde	世界	monde	N	N;MASC;SG
でも	mais	でも	mais	CONJ	CONJ
作品	travaux	作品	travail	N	N;MASC;PL
作品	œuvres	作品	œuvre	N	N;FEM;PL
作品	oeuvres	作品	oeuvre	N	N;FEM;PL
作品	discographie	作品	discographie	N	N;FEM;SG
時代	eer	時代	eer	N	N;MASC;SG
時代	époque	時代	époque	N	N;FEM;SG
映画	film	映画	film	N	N;MASC;SG
