css	css	css	css	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
level	nivo	level	nivo	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
level	stopnja	level	stopnja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
level	raven	level	raven	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
indbygget	zgradil	indbygge	zgraditi	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
enorm	ogromen	enorm	ogromen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
guderne	bogovi	gud	bog	N;DEF;MASC+FEM;PL	N;NOM;MASC;PL
guderne	bogov	gud	bog	N;DEF;MASC+FEM;PL	N;GEN;MASC;PL
billedtekst	napis	billedtekst	napis	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tilbagetrækning	preklic	tilbagetrækning	preklic	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tilbagetrækning	umik	tilbagetrækning	umik	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tilbagetrækning	odvzem	tilbagetrækning	odvzem	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tilbagetrækning	odstop	tilbagetrækning	odstop	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
algeriet	alžirija	algeri	alžirija	N;DEF;NEUT;SG	N;NOM;FEM;SG
mus	miši	mus	miša	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mus	miš	mus	miš	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mus	mišek	mus	mišek	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
virkelighed	resničnost	virkelighed	resničnost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
virkelighed	realnost	virkelighed	realnost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
virkelighed	stvarnost	virkelighed	stvarnost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
grundloven	ustava	grundlov	ustava	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
kemiker	kemik	kemike	kemik	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
beretninger	poročila	beretning	poročilo	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
planerne	načrte	plan	načrt	N;DEF;MASC+FEM;PL	N;ACC;MASC;PL
planerne	načrti	plan	načrt	N;DEF;MASC+FEM;PL	N;NOM;MASC;PL
juventus	juventus	juventus	juventus	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
gravsted	grob	gravsted	grob	N;INDF;NEUT;SG	N;NOM;MASC;SG
gravsted	groba	gravsted	grob	N;INDF;NEUT;SG	N;NOM;MASC;SG
vanskelig	težka	vanskelig	težek	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
vanskelig	težavna	vanskelig	težaven	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
vanskelig	težko	vanskelig	težek	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
skyldig	kriv	skyldig	kriv	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
skyldig	kriva	skyldig	kriv	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
teknikker	tehnikami	teknik	tehnika	N;INDF;MASC+FEM;PL	N;DAT;FEM;PL
teknikker	tehnike	teknik	tehnika	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
marker	polji	mark	polje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
marker	polja	mark	polje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
marker	parcele	mark	parcela	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
marker	parcel	mark	parcel	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
marker	paketi	mark	paketi	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
marker	mark	mark	marka	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
baseball	baseball	baseball	basebalel	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fabrikant	proizvajalec	fabrikant	proizvajalec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fabrikant	proizvajalca	fabrikant	proizvajalec	N;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;SG
fabrikant	izdelovalec	fabrikant	izdelovalec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
reducere	zmanjšati	reducere	zmanjšati	V;NFIN;ACT	V;PFV;NFIN
enkel	preprost	enkel	preprosto	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
enkel	preprosta	enkel	preprost	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
svaret	odgovor	svar	odgovor	N;DEF;NEUT;SG	N;NOM;MASC;SG
dæk	pnevmatike	dæk	pnevmatika	N;INDF;NEUT;PL	N;NOM;FEM;PL
dæk	gum	dæk	gum	N;INDF;NEUT;PL	N;GEN;FEM;PL
dæk	pnevmatike	dæk	pnevmatika	N;INDF;NEUT;PL	N;NOM;FEM;PL
dæk	gume	dæk	guma	N;INDF;NEUT;PL	N;NOM;FEM;PL
dæk	pnevmatike	dæk	pnevmatika	N;INDF;NEUT;PL	N;NOM;FEM;PL
nhl	nhl	nhl	nhl	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
metropolitan	metropolitan	metropolitan	metropolitan	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
drømme	sanje	drøm	sanja	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
drømme	sanje	drøm	sanja	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
drømme	sanj	drøm	sanja	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
kanten	robu	kant	rob	N;DEF;MASC+FEM;SG	N;DAT;MASC;SG
kanten	rob	kant	rob	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
kanten	ostrino	kant	ostrina	N;DEF;MASC+FEM;SG	N;ACC;FEM;SG
discipliner	disciplin	disciplin	disciplina	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
hjulpet	pomagala	hjælpe	pomagati	V;INDF;SG;PST;V.PTCP	V;FEM;SG;V.PTCP
hjulpet	pomagal	hjælpe	pomagati	V;INDF;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
hjulpet	pomagalo	hjælpe	pomagati	V;INDF;SG;PST;V.PTCP	V;NEUT;SG;V.PTCP
opdeling	razčlenitev	opdeling	razčlenitev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
opdeling	razdelitev	opdeling	razdelitev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
opdeling	razdelek	opdeling	razdelek	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
opdeling	delitev	opdeling	delitev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
opdeling	deljenje	opdeling	deljenje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
opdeling	oddelek	opdeling	oddelek	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
opdeling	divizija	opdeling	divizija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kansler	kanclerja	kansel	kancler	N;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;SG
kansler	kancler	kansel	kancler	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kaffe	kavo	kaffe	kava	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
kaffe	kava	kaffe	kava	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
godser	posestva	gods	posestvo	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
gulvet	nadstropje	gulv	nadstropje	N;DEF;NEUT;SG	N;NOM;NEUT;SG
markeder	tržnice	marked	tržnica	N;INDF;NEUT;PL	N;NOM;FEM;PL
markeder	trgi	marked	trg	N;INDF;NEUT;PL	N;NOM;MASC;PL
markeder	tržišča	marked	tržišče	N;INDF;NEUT;PL	N;NOM;NEUT;PL
estisk	estonski	estisk	estonski	ADJ;INDF;SG	ADJ;NOM;MASC;SG
bemærkelsesværdige	opaznih	bemærkelsesværdig	opazen	ADJ;PL	ADJ;GEN;MASC;PL
skulpturer	kipi	skulptur	kipa	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
skulpturer	skulpture	skulptur	skulptura	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
skulpturer	kipi	skulptur	kipa	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
brande	požari	brand	požar	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
partikler	delce	partikel	delce	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
partikler	delci	partikel	delec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
partikler	delci	partikel	delec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
faktum	dejstvo	faktum	dejstvo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
sjæl	duša	sjæl	duša	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
sjæl	soul	sjæl	soul	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sjæl	dušo	sjæl	duša	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
flot	lep	flot	lep	ADJ;INDF;SG	ADJ;NOM;INDF;MASC;SG
flot	prijetno	flot	prijeten	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
flot	lepo	flot	lep	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
flot	lep	flot	lep	ADJ;INDF;SG	ADJ;NOM;INDF;MASC;SG
flot	čeden	flot	čeden	ADJ;INDF;SG	ADJ;NOM;INDF;MASC;SG
kritiserede	kritiziral	kritisere	kritizirati	V;IND;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
kritiserede	kritiziral	kritisere	kritizirati	V;IND;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
kritiserede	kritizirali	kritisere	kritizirati	V;IND;PST;FIN;ACT	V;IPFV;MASC;PL;V.PTCP
bella	bello	bella	bello	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
bella	bella	bella	bell	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
menighed	kongregacija	menighed	kongregacija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
aktion	akcija	aktion	akcija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
aktion	dejanje	aktion	dejanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
aktion	ukrepanje	aktion	ukrepanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
tung	težka	tung	težek	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
tung	težko	tung	težek	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
opfylde	zadovolji	opfylde	zadovolja	V;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
opfylde	izpolnil	opfylde	izpolniti	V;NFIN;ACT	V;PFV;MASC;SG;V.PTCP
trænet	treniral	træne	trenirati	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
trænet	treniral	træne	trenirati	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
byzantinske	bizantinski	byzantinsk	bizantinski	ADJ;PL	ADJ;NOM;MASC;PL
måner	lune	måne	luna	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
sigt	meri	sigt	mera	N;INDF;MASC+FEM;SG	N;DAT;FEM;SG
sigt	nameri	sigt	namera	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
lodret	navpična	loder	navpičen	ADJ;INDF;SG	ADJ;NOM;FEM;SG
indslag	segmenta	indslag	segment	N;INDF;NEUT;SG	N;NOM;MASC;SG
