پھانٹنا	暗戀	پھانٹنا	暗戀	V;NFIN;ACT	V
پھانسی	環	پھانسی	環	N;NOM;FEM;SG;3	N
پھانسی	迴圈	پھانسی	迴圈	N;NOM;FEM;SG;3	N
پھانکنا	切片	پھانکنا	切片	V;NFIN;ACT	V
پھانکنا	營業	پھانکنا	營業	V;NFIN;ACT	V
پھانکنا	開啟	پھانکنا	開啟	V;NFIN;ACT	V
پھانکنا	開放	پھانکنا	開放	V;NFIN;ACT	V
پھپکنا	萌芽	پھپک	萌芽	V;SG;ACT	V
پھٹا	分割	پھٹا	分割	V;PFV;MASC;SG;V.PTCP;ACT	V
پِھٹکارنا	詛咒	پرھٹکار	詛咒	V;NFIN;ACT	V
پِھٹکارنا	譴責	پرھٹکار	譴責	V;NFIN;ACT	V
پِھٹکارنا	斥責	پرھٹکار	斥責	V;NFIN;ACT	V
پُھٹکر	分布	پُھٹکر	分布	V;V.CVB;ACT	V
پُھٹکر	改變	پُھٹکر	改變	V;V.CVB;ACT	V
پُھٹکر	變更	پُھٹکر	變更	V;V.CVB;ACT	V
پُھٹکر	變	پُھٹکر	變	V;V.CVB;ACT	V
پُھٹکر	分居	پُھٹکر	分居	V;V.CVB;ACT	V
پِھرتا	返回	پِھرتا	返回	V;IPFV;MASC;SG;V.PTCP;ACT	V
پِھرتا	回歸	پِھرتا	回歸	V;IPFV;MASC;SG;V.PTCP;ACT	V
پِھرتا	散步	پِھرتا	散步	V;IPFV;MASC;SG;V.PTCP;ACT	V
پِھرتا	行走	پِھرتا	行走	V;IPFV;MASC;SG;V.PTCP;ACT	V
پِھرتا	走路	پِھرتا	走路	V;IPFV;MASC;SG;V.PTCP;ACT	V
پُھرتی	敏捷	پُھرتی	敏捷	ADJ	ADJ
پِھرنا	返回	پِھر	返回	V;MASC;SG;NFIN;ACT	V
پِھرنا	回歸	پِھر	回歸	V;MASC;SG;NFIN;ACT	V
پِھرنا	反抗	پِھر	反抗	V;MASC;SG;NFIN;ACT	V
پِھرنا	改變	پِھر	改變	V;MASC;SG;NFIN;ACT	V
پِھرنا	變更	پِھر	變更	V;MASC;SG;NFIN;ACT	V
پِھرنا	變	پِھر	變	V;MASC;SG;NFIN;ACT	V
پِھرنا	流通	پِھر	流通	V;MASC;SG;NFIN;ACT	V
پُھسلانا	引誘	پُھسلانا	引誘	V;MASC;SG;V.PTCP;ACT	V
پُھکنا	燒錄	پُھک	燒錄	V;NFIN;ACT	V
پُھکنا	燃燒	پُھک	燃燒	V;NFIN;ACT	V
پُھکنا	燒死	پُھک	燒死	V;NFIN;ACT	V
پھل	盈利	پھل	盈利	N;NOM;MASC;SG;3	N
پھل	營利	پھل	營利	N;NOM;MASC;SG;3	N
پھل	特效	پھل	特效	N;NOM;MASC;SG;3	N
پھل	效果	پھل	效果	N;NOM;MASC;SG;3	N
پھل	效應	پھل	效應	N;NOM;MASC;SG;3	N
پھل	兒童	پھل	兒童	N;NOM;MASC;SG;3	N
پھل	後代	پھل	後代	N;NOM;MASC;SG;3	N
پھل	增益	پھل	增益	N;NOM;MASC;SG;3	N
پھل	獎勵	پھل	獎勵	N;NOM;MASC;SG;3	N
پھل	獎賞	پھل	獎賞	N;NOM;MASC;SG;3	N
پھل	賞金	پھل	賞金	N;NOM;MASC;SG;3	N
پھل	賞	پھل	賞	N;NOM;MASC;SG;3	N
پھل	果實	پھل	果實	N;NOM;MASC;SG;3	N
پھل	水果	پھل	水果	N;NOM;MASC;SG;3	N
پھل	果	پھل	果	N;NOM;MASC;SG;3	N
پھل	後果	پھل	後果	N;NOM;MASC;SG;3	N
پھلانگ	跳躍	پھلانگ	跳躍	V;ACT	V
پھلانگ	跳躍	پھلانگ	跳躍	V;ACT	V
پھلی	刀鋒	پھلا	刀鋒	N;NOM;MASC;SG;3	N
پھلی	刀片	پھلا	刀片	N;NOM;MASC;SG;3	N
پھلی	環	پھلا	環	N;NOM;MASC;SG;3	N
پھلی	迴圈	پھلا	迴圈	N;NOM;MASC;SG;3	N
پھلی	盾牌	پھلا	盾牌	N;NOM;MASC;SG;3	N
پُھوٹنا	升起	پُھوٹنا	升起	V;NFIN;ACT	V
پُھوٹنا	上升	پُھوٹنا	上升	V;NFIN;ACT	V
پُھوٹنا	拍攝	پُھوٹنا	拍攝	V;NFIN;ACT	V
پُھوٹنا	拍	پُھوٹنا	拍	V;NFIN;ACT	V
پُھوٹنا	傳播	پُھوٹنا	傳播	V;NFIN;ACT	V
پُھوٹنا	散播	پُھوٹنا	散播	V;NFIN;ACT	V
پُھوٹنا	說	پُھوٹنا	說	V;NFIN;ACT	V
پُھوٹنا	分離	پُھوٹنا	分離	V;NFIN;ACT	V
پُھوٹنا	分割	پُھوٹنا	分割	V;NFIN;ACT	V
پھوڑنا	分割	پھوڑ	分割	V;NFIN;ACT	V
پھوڑنا	中斷	پھوڑ	中斷	V;NFIN;ACT	V
پھوڑنا	休息	پھوڑ	休息	V;NFIN;ACT	V
پھوڑنا	打破	پھوڑ	打破	V;NFIN;ACT	V
پھیٹنا	搭配	پھیٹ	搭配	V;SG;NFIN;ACT	V
پھیٹنا	混合	پھیٹ	混合	V;SG;NFIN;ACT	V
پھیر	返回	پھیر	返回	V;ACT	V
پھیر	回歸	پھیر	回歸	V;ACT	V
پھیر	發條	پھیر	發條	V;ACT	V
پھیر	改變	پھیر	改變	V;ACT	V
