ve	ja	ve	ja	CONJ	CONJ
daha	lisää	daha	lisää	ADV	ADV
daha	enemmän	daha	enemmän	ADV	ADV
sonra	sitten	sonra	sitten	ADV	ADV
sonra	jälkeen	sonra	jälkeen	ADV	ADV
sonra	myöhemmin	sonra	myöhemmin	ADV	ADV
yer	paikka	yer	paikka	N;NOM;SG;3	N;NOM;SG
yer	sijainti	yer	sijainti	N;NOM;SG;3	N;NOM;SG
bağlantılar	yhteydet	bağlantı	yhteys	N;NOM;PL;3	N;NOM;PL
bağlantılar	liitännät	bağlantı	liitää	N;NOM;PL;3	N;NOM;PL
bağlantılar	linkit	bağlantı	linkki	N;NOM;PL;3	N;NOM;PL
bağlantılar	yhteydet	bağlantı	yhteys	N;NOM;PL;3	N;NOM;PL
bağlantılar	yhteystiedot	bağlantı	yhteys#tieto	N;NOM;PL;3	N;NOM;PL
center	keskus	center	keskus	N;NOM;SG;3	N;NOM;SG
center	keskusta	center	keskusta	N;NOM;SG;3	N;NOM;SG
center	center	center	center	N;NOM;SG;3	N;NOM;SG
türk	turkkilainen	türk	turkki#lainen	ADJ	ADJ;NOM;SG
türk	turkkilainen	türk	turkki#lainen	ADJ	ADJ;NOM;SG
yeni	uudet	yeni	uusi	ADJ	ADJ;NOM;PL
yeni	uusi	yeni	uusi	ADJ	ADJ;NOM;SG
yeni	uutta	yeni	uusi	ADJ	ADJ;PRT;SG
yeni	uusia	yeni	uusi	ADJ	ADJ;PRT;PL
ilgili	merkityksellinen	ilgili	merkityksellinen	ADJ	ADJ;NOM;SG
alan	alan	al	alkaa	V;PFV;IND;POS;PRS;V.PTCP	V;IND;SG;1;PRS;FIN;ACT
madde	aine	madde	aine	N;NOM;SG;3	N;NOM;SG
madde	lauseke	madde	lauseke	N;NOM;SG;3	N;NOM;SG
madde	materiaali	madde	materiaali	N;NOM;SG;3	N;NOM;SG
madde	aineisto	madde	aineisto	N;NOM;SG;3	N;NOM;SG
madde	momentti	madde	momentti	N;NOM;SG;3	N;NOM;SG
madde	artikkeli	madde	artikkeli	N;NOM;SG;3	N;NOM;SG
madde	artikla	madde	artikla	N;NOM;SG;3	N;NOM;SG
sağlık	hyvinvointi	sağlık	hyvin#vointi	N;NOM;SG;3	N;NOM;SG
sağlık	terveys	sağlık	terveys	N;NOM;SG;3	N;NOM;SG
sağlık	terveydenhuolto	sağlık	terveyden#huolto	N;NOM;SG;3	N;NOM;SG
sağlık	terveydenhoito	sağlık	terveyden#hoito	N;NOM;SG;3	N;NOM;SG
genel	yleinen	genel	yleinen	ADJ	ADJ;NOM;SG
genel	yleiset	genel	yleinen	ADJ	ADJ;NOM;PL
genel	yleistä	genel	yleinen	ADJ	ADJ;PRT;SG
adı	nimi	ad	nimi	N;NOM;SG;3	N;NOM;SG
ama	mutta	ama	mutta	CONJ	CONJ
ikinci	toisena	ikinci	toinen	ADJ	ADJ;FRML;SG
ikinci	toiseksi	ikinci	toinen	ADJ	ADJ;TRANS;SG
içinde	sisältä	içinde	sisältä	ADV	ADV
içinde	sisään	içinde	sisään	ADV	ADV
içinde	sisällä	içinde	sisällä	ADV	ADV
üniversitesi	korkeakoulu	üniversitesi	korkea#koulu	N;NOM;SG;3	N;NOM;SG
üniversitesi	yliopisto	üniversitesi	yli#opisto	N;NOM;SG;3	N;NOM;SG
zaman	aika	zaman	aika	N;NOM;SG;3	N;NOM;SG
aralık	joulukuu	aralık	joulukuu	N;NOM;SG;3	N;NOM;SG
aralık	joulukuu	aralık	joulukuu	N;NOM;SG;3	N;NOM;SG
aralık	väli	aralık	väli	N;NOM;SG;3	N;NOM;SG
yüksek	korkea	yüksek	korkea	ADJ	ADJ;NOM;SG
yüksek	korkeat	yüksek	korkea	ADJ	ADJ;NOM;PL
yüksek	korkealla	yüksek	korkea	ADJ	ADJ;AT+ESS
;SG
yüksek	korkeampi	yüksek	korkea	ADJ	ADJ;NOM;CMPR;SG
yüksek	suurempi	yüksek	suuri	ADJ	ADJ;NOM;CMPR;SG
sadece	ainoastaan	sadece	ainoastaan	ADV	ADV
