스쿼시	squash	스쿼시	squash	N	N;NOM;MASC;SG
냉각	hlađenja	냉각	hlađenje	N	N;NOM;NEUT;PL
냉각	hlađenje	냉각	hlađenje	N	N;NOM;NEUT;SG
레즈비언	lezbijka	레즈비언	lezbijka	N	N;NOM;FEM;SG
레즈비언	lezba	레즈비언	lezba	N	N;NOM;FEM;SG
레즈비언	lezbijke	레즈비언	lezbijka	N	N;NOM;FEM;PL
램프	lampu	램프	lampa	N	N;ACC;FEM;SG
램프	svjetiljka	램프	svjetiljka	N	N;NOM;FEM;SG
램프	lampa	램프	lampa	N	N;NOM;FEM;SG
램프	svjetiljke	램프	svjetiljka	N	N;NOM;FEM;PL
램프	lampe	램프	lampa	N	N;NOM;FEM;PL
포격	granatiranja	포격	granatiranje	N	N;NOM;NEUT;PL
포격	bombardiranje	포격	bombardiranje	N	N;NOM;NEUT;SG
콴타스	qantas	콴타스	qantas	N	N;NOM;FEM;SG
영화관	kazališta	영화관	kazalište	N	N;NOM;NEUT;PL
영화관	kazališta	영화관	kazalište	N	N;NOM;NEUT;PL
영화관	teatar	영화관	teatar	N	N;NOM;MASC;SG
영화관	kazalište	영화관	kazalište	N	N;NOM;NEUT;SG
레지옹	legija	레지옹	legija	N	N;NOM;FEM;SG
풀기	riješi	풀+기	riješiti	V	V;IND;SG;3;PRS;FIN
풀기	riješiti	풀+기	riješiti	V	V;NFIN
마스터즈	masters	마스터즈	masters	N	N;NOM;MASC;SG
마스터즈	gazde	마스터즈	gazda	N	N;NOM;MASC;PL
마스터즈	gospodari	마스터즈	gospodar	N	N;NOM;MASC;PL
마스터즈	majstori	마스터즈	majstor	N	N;NOM;MASC;PL
표본	uzorak	표본	uzorak	N	N;NOM;MASC;SG
표본	uzorci	표본	uzorak	N	N;NOM;MASC;PL
보내기	šaljem	보내+기	slati	V	V;IND;SG;1;PRS;FIN
보내기	pošaljite	보내+기	posaljiti	V	V;IMP;PL;2;FIN
보내기	šalji	보내+기	slati	V	V;IMP;SG;2;FIN
보내기	pošalji	보내+기	poslati	V	V;IMP;SG;2;FIN
황소자리	tauri	황소자리	taura	N	N;NOM;FEM;SG
황소자리	bik	황소자리	bik	N	N;NOM;MASC;SG
황소자리	taurus	황소자리	taurus	N	N;NOM;MASC;SG
위조	krivotvorenje	위조	krivotvorenje	N	N;NOM;NEUT;SG
위조	krivotvorenje	위조	krivotvorenje	N	N;NOM;NEUT;SG
마사시	masashi	마사시	masash		
가슴이	grudi	가슴+이	grud	N	N;NOM;FEM;PL
가슴이	prsa	가슴+이	prsa	N	N;NOM;NEUT;SG
가슴이	prsima	가슴+이	prsimati	N	N;DAT;MASC;PL
가슴이	škrinja	가슴+이	škrinje	N	N;NOM;FEM;SG
인용된	citirao	인용+되+ㄴ	citirati	V	V;MASC;SG;PST;V.PTCP;ACT
패치	zakrpe	패치	zakrp	N	N;NOM;FEM;PL
패치	patch	패치	patch	N	N;NOM;MASC;SG
탐험	istraživanje	탐험	istraživanje	N	N;NOM;NEUT;SG
탐험	istraživač	탐험	istraživač	N	N;NOM;MASC;SG
탐험	ekspedicija	탐험	ekspedicija	N	N;NOM;FEM;SG
탐험	ekspedicije	탐험	ekspedicija	N	N;NOM;FEM;PL
탐험	istraživanje	탐험	istraživanje	N	N;NOM;NEUT;SG
탐험	istraživači	탐험	istraživač	N	N;NOM;MASC;PL
예언자	prorok	예언자	prorok	N	N;NOM;MASC;SG
예언자	poslanik	예언자	poslanik	N	N;NOM;MASC;SG
예언자	proroci	예언자	proroc	N	N;NOM;MASC;PL
자동화	automatizacije	자동화	automatizacija	N	N;NOM;FEM;PL
나카이	nakai	나카이	naka		
백조자리	cygnus	백조+자리	cygnus	N	N;NOM;MASC;SG
강좌	tečajeve	강좌	tečaj	N	N;ACC;MASC;PL
쿠키	kolači	쿠키	kolač	N	N;NOM;MASC;PL
쿠키	kolačiće	쿠키	kolačić	N	N;ACC;MASC;PL
쿠키	keksi	쿠키	keks	N	N;NOM;MASC;PL
쿠키	cookie	쿠키	cooki	N	N;NOM;MASC;SG
쿠키	kolačić	쿠키	kolačić	N	N;NOM;MASC;SG
복잡도	složenosti	복잡+도	složenost	N	N;NOM;FEM;PL
발명	izum	발명	izum	N	N;NOM;MASC;SG
발명	izumi	발명	izum	N	N;NOM;MASC;PL
발명	izume	발명	izum	N	N;ACC;MASC;PL
발명	izmišljanje	발명	izmišljanje	N	N;NOM;NEUT;SG
발명	izumitelj	발명	izumitelj	N	N;NOM;MASC;SG
편견	pristranost	편견	pristranost	N	N;NOM;FEM;SG
편견	predrasuda	편견	predrasuda	N	N;NOM;FEM;SG
편견	predrasude	편견	predrasuda	N	N;NOM;FEM;PL
버퍼	tampon	버퍼	tampon	N	N;NOM;MASC;SG
증인	svjedoci	증인	svjedok	N	N;NOM;MASC;PL
증인	svjedok	증인	svjedok	N	N;NOM;MASC;SG
응답하라	odgovorite	응답+하+라	odgovoriti	V	V;IMP;PL;2;FIN
이웃집	susjed	이웃집	susjed	N	N;NOM;MASC;SG
이웃집	susjeda	이웃집	susjed	N	N;ANIM;ACC;MASC;SG
부서	odjel	부서	odjel	N	N;NOM;MASC;SG
노드	čvor	노드	čvor	N	N;NOM;MASC;SG
박해	progon	박해	progon	N	N;NOM;MASC;SG
박해	ugnjetavanja	박해	ugnjetavanje	N	N;NOM;NEUT;SG
발전기	generatora	발전기	generator	N	N;ACC;MASC;SG
발전기	generatori	발전기	generator	N	N;NOM;MASC;PL
발전기	generator	발전기	generator	N	N;NOM;MASC;SG
욕구	žudnja	욕구	žudnji	N	N;NOM;FEM;SG
욕구	želju	욕구	želja	N	N;ACC;FEM;SG
욕구	želja	욕구	želja	N	N;NOM;FEM;SG
욕구	želje	욕구	želja	N	N;NOM;FEM;PL
흡혈귀	vampir	흡혈귀	vampir	N	N;NOM;MASC;SG
흡혈귀	vampiru	흡혈귀	vampir	N	N;DAT;MASC;SG
흡혈귀	vampira	흡혈귀	vampirati	N	N;ACC;MASC;SG
스케치	skice	스케치	skica	N	N;NOM;FEM;PL
스케치	skeč	스케치	skeč	N	N;NOM;MASC;SG
스케치	skica	스케치	skica	N	N;NOM;FEM;SG
자극	poticaja	자극	poticaj	N	N;GEN;MASC;SG
자극	stimulacije	자극	stimulacija	N	N;NOM;FEM;PL
자극	iritacija	자극	iritacija	N	N;NOM;FEM;SG
역사학	historiografija	역사학	historiografija	N	N;NOM;FEM;SG
장례	pokop	장례	pokop	N	N;NOM;MASC;SG
장례	sprovod	장례	sprovod	N	N;NOM;MASC;SG
장례	pokop	장례	pokop	N	N;NOM;MASC;SG
장례	sahrana	장례	sahran	N	N;NOM;FEM;SG
장례	pogreb	장례	pogreb	N	N;NOM;MASC;SG
아라키	araki	아라키	arak		
셔틀	shuttle	셔틀	shuttli	N	N;NOM;MASC;SG
순교자	mučenici	순교자	mučenik	N	N;NOM;MASC;PL
순교자	mučenika	순교자	mučenik	N	N;ACC;MASC;SG
순교자	mučenik	순교자	mučenik	N	N;NOM;MASC;SG
정밀	preciznost	정밀	preciznost	N	N;NOM;FEM;SG
에이전시	agencije	에이전시	agencija	N	N;NOM;FEM;PL
에이전시	agencija	에이전시	agencija	N	N;NOM;FEM;SG
아토스	athos	아토스	athos		
디렉터리	direktorij	디렉터리	direktorij	N	N;NOM;MASC;SG
디렉터리	imenik	디렉터리	imenik	N	N;NOM;MASC;SG
디렉터리	mape	디렉터리	mapa	N	N;NOM;FEM;PL
디렉터리	direktorij	디렉터리	direktorij	N	N;NOM;MASC;SG
열정	entuzijazma	열정	entuzijazam	N	N;GEN;MASC;SG
열정	oduševljenje	열정	oduševljenje	N	N;NOM;NEUT;SG
열정	entuzijazam	열정	entuzijazam	N	N;NOM;MASC;SG
열정	strast	열정	strast	N	N;NOM;FEM;SG
열정	strasti	열정	strast	N	N;NOM;FEM;PL
열정	strasti	열정	strast	N	N;NOM;FEM;PL
예배	klanjanje	예배	klanjanje	N	N;NOM;NEUT;SG
예배	obožavanje	예배	obožavanje	N	N;NOM;NEUT;SG
예배	obožavanje	예배	obožavanje	N	N;NOM;NEUT;SG
아이패드	ipad	아이패드	ipad	N	N;NOM;MASC;SG
무작위로	nasumično	무작위+로	nasumično	ADV	ADV
무작위로	nasumično	무작위+로	nasumično	ADV	ADV
배경색	pozadina	배경색	pozadina	N	N;NOM;FEM;SG
우울	melankolija	우울	melankolija	N	N;NOM;FEM;SG
우울	melankolija	우울	melankolija	N	N;NOM;FEM;SG
클론	klonovi	클론	klon	N	N;NOM;MASC;PL
클론	klon	클론	klon	N	N;NOM;MASC;SG
우지	uji	우+지	uji		
샐리	sali	샐리	sal	N	N;NOM;MASC;SG
스와	suwa	스+와	suwa		
교정	korekcija	교정	korekcija	N	N;NOM;FEM;SG
교정	ispravak	교정	ispravak	N	N;NOM;MASC;SG
교정	proteza	교정	protez	N	N;NOM;FEM;SG
교정	protezu	교정	protez	N	N;ACC;FEM;SG
교정	proteze	교정	protez	N	N;NOM;FEM;PL
변동이	varijacija	변동+이	varijacija	N	N;NOM;FEM;SG
변동이	varijacije	변동+이	varijacija	N	N;NOM;FEM;PL
장례식	sprovod	장례식	sprovod	N	N;NOM;MASC;SG
장례식	pokop	장례식	pokop	N	N;NOM;MASC;SG
장례식	sahrana	장례식	sahran	N	N;NOM;FEM;SG
장례식	pogreb	장례식	pogreb	N	N;NOM;MASC;SG
장례식	sahrane	장례식	sahrana	N	N;NOM;FEM;PL
장학금	stipendije	장학금	stipendija	N	N;NOM;FEM;PL
장학금	stipendije	장학금	stipendija	N	N;NOM;FEM;PL
장학금	stipendiju	장학금	stipendija	N	N;ACC;FEM;SG
장학금	stipendija	장학금	stipendija	N	N;NOM;FEM;SG
해석학	analize	해석학	analiza	N	N;NOM;FEM;PL
해석학	analiza	해석학	analiza	N	N;NOM;FEM;SG
어디로	gdje	어디+로	gdje	ADV	ADV
소음	buka	소음	buka	N	N;NOM;FEM;SG
소음	buku	소음	buka	N	N;ACC;FEM;SG
소음	buke	소음	bika	N	N;NOM;FEM;PL
소음	zvukovi	소음	zvuk	N	N;NOM;MASC;PL
공백	prostorima	공백	prostor	N	N;DAT;MASC;PL
공백	prostore	공백	prostor	N	N;ACC;MASC;PL
제조사	prodavač	제조사	prodavač	N	N;NOM;MASC;SG
