से	vom	से	vom		
श्रेणी	kategorie	श्रेणी	kategorie	N;NOM;FEM;SG;3	N;NOM;FEM;SG
श्रेणी	serie	श्रेणी	serie	N;NOM;FEM;SG;3	N;NOM;FEM;SG
श्रेणी	kategorie	श्रेणी	kategorie	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भी	zu	भी	zu	PART	PART
किया	tat	कर	tun	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
किया	erledigt	कर	erledigen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
किया	getan	कर	tun	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
किया	gemacht	कर	machen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
किया	geschafft	कर	schaffen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
हैं	sind	है	sein	V;IND;PL;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
रूप	form	रूप	form	N;NOM;MASC;SG;3	N;SG
कर	steuern	कर	steuern	V;ACT	V;NFIN
कर	steuern	कर	steuern	V;ACT	V;NFIN
कर	abgaben	कर	abgeben	V;ACT	V;FIN
नहीं	nicht	नहीं	nicht	PART;NEG	PART;NEG
गया	gegangen	जा	gehen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
गया	ging	जा	gehen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
साथ	zusammen	साथ	zusammen	ADV;NOM;MASC;SG;3	ADV
पूर्व	osten	पूर्व	osten	ADV;NOM;MASC;SG;3	ADV
होता	gäbe	हो	geben	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
बाद	nachher	बाद	nachher	ADV;NOM;MASC;SG;3	ADV
बाद	danach	बाद	danach	ADV;NOM;MASC;SG;3	ADV
बाद	nachher	बाद	nachher	ADV;NOM;MASC;SG;3	ADV
अपने	ihr	अपना	ihr	PRO;NOM;MASC	PRO;NOM;MASC;SG
अपने	dein	अपना	dein	PRO;NOM;MASC	PRO;NOM;MASC;SG
अपने	deine	अपना	dein	PRO;NOM;MASC	PRO;NOM;MASC;SG
