pentru	pre	pentru	pre	ADP;ACC	ADP;ACC
sit	stránka	sit	stránka	N;INDF;MASC;SG	N;NOM;FEM;SG
sit	lokalita	sit	lokalita	N;INDF;MASC;SG	N;NOM;FEM;SG
sit	mieste	sit	miesto	N;INDF;MASC;SG	N;NOM;NEUT;SG
sit	miesto	sit	miesto	N;INDF;MASC;SG	N;NOM;NEUT;SG
prin	cez	prin	cez	ADP;ACC	ADP;ACC
mare	skvelé	mare	skvelý	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
mare	veľký	mare	veľký	ADJ;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
mare	veľké	mare	veľký	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
mare	veľká	mare	veľký	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
mare	morská	mare	morský	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
are	má	avea	mať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
locuitori	obyvatelia	locuitor	obyvateľ	N;INDF;MASC;PL	N;ANIM;NOM;MASC;PL
locuitori	obyvateľov	locuitor	obyvateľ	N;INDF;MASC;PL	N;ANIM;ACC;MASC;PL
locuitori	obyvateľom	locuitor	obyvateľ	N;INDF;MASC;PL	N;ANIM;DAT;MASC;PL
locuitori	obyvatelia	locuitor	obyvateľ	N;INDF;MASC;PL	N;ANIM;NOM;MASC;PL
locuitori	obyvateľov	locuitor	obyvateľ	N;INDF;MASC;PL	N;ANIM;ACC;MASC;PL
locuitori	obyvateľom	locuitor	obyvateľ	N;INDF;MASC;PL	N;ANIM;DAT;MASC;PL
legaturi	spojenia	legatură	spojenie	N;INDF;FEM;PL	N;NOM;NEUT;PL
legaturi	väzby	legatură	väzba	N;INDF;FEM;PL	N;NOM;FEM;PL
legaturi	prepojenia	legatură	prepojenie	N;INDF;FEM;PL	N;NOM;NEUT;PL
legaturi	odkazy	legatură	odkaz	N;INDF;FEM;PL	N;INAN;NOM;MASC;PL
legaturi	linky	legatură	linka	N;INDF;FEM;PL	N;NOM;FEM;PL
legaturi	spojenia	legatură	spojenie	N;INDF;FEM;PL	N;NOM;NEUT;PL
legaturi	pripojenia	legatură	pripojenie	N;INDF;FEM;PL	N;NOM;NEUT;PL
legaturi	spojenia	legatură	spojenie	N;INDF;FEM;PL	N;NOM;NEUT;PL
legaturi	väzby	legatură	väzba	N;INDF;FEM;PL	N;NOM;FEM;PL
legaturi	prepojenia	legatură	prepojenie	N;INDF;FEM;PL	N;NOM;NEUT;PL
legaturi	odkazy	legatură	odkaz	N;INDF;FEM;PL	N;INAN;NOM;MASC;PL
legaturi	linky	legatură	linka	N;INDF;FEM;PL	N;NOM;FEM;PL
vezi	vidíš	vedea	vidieť	V;IND;SG;2;PRS;FIN	V;IPFV;IND;SG;2;POS;PRS;FIN
vezi	vidieť	vedea	vidieť	V;IND;SG;2;PRS;FIN	V;IPFV;POS;NFIN
dar	ale	dar	ale	CONJ;POS	CONJ
fiind	byť	fi	byť	V;V.MSDR	V;IPFV;POS;NFIN
nume	názov	nume	názov	N;INDF	N;INAN;NOM;MASC;SG
nume	meno	nume	meno	N;INDF	N;NOM;NEUT;SG
ani	roky	an	rok	N;INDF;MASC;PL	N;INAN;NOM;MASC;PL
ani	rokov	an	rok	N;INDF;MASC;PL	N;INAN;GEN;MASC;PL
rege	kráľ	rege	kráľ	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
rege	kráľa	rege	kráľ	N;INDF;MASC;SG	N;ANIM;ACC;MASC;SG
rege	král	rege	král	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
septembrie	september	septembrie	september	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
septembrie	septembra	septembrie	september	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
septembrie	septembri	septembrie	september	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
timp	dobe	timp	dobe	N;INDF;MASC;SG	N;DAT;FEM;SG
timp	čas	timp	čas	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
timp	doba	timp	doba	N;INDF;MASC;SG	N;NOM;FEM;SG
unde	kde	unde	kde	ADV	ADV
unde	kam	unde	kam	ADV	ADV
iunie	júni	iunie	jún	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
iunie	júna	iunie	jún	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
octombrie	októbra	octombrie	október	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
octombrie	október	octombrie	október	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
august	auguste	august	augusta	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
august	august	august	august	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
august	augusta	august	augusta	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
sat	dedinka	sat	dedinka	N;INDF;MASC;SG	N;NOM;FEM;SG
