que	你	que	你	PRO	PRO;2
por	為	por	為	ADP	ADP
por	為	por	為	ADP	ADP
da	來	da	來	V	V
máis	更	máis	更	ADV	ADV
máis	大多	máis	大多	ADV	ADV
máis	大	máis	大	ADV	ADV
todo	全部	todo	全部	DET	DET
todo	所有	todo	所有	DET	DET
todo	一切	todo	一切	DET	DET
cando	你	cando	你	PRO	PRO;2
xa	已經	xa	已經	ADV	ADV
só	只	só	只	ADV	ADV
só	只	só	只	ADV	ADV
moi	非常	moi	非常	ADV	ADV
así	就	así	就	ADV	ADV
¿	如何	¿	如何		
¿	為何	¿	為何		
isto	這	isto	這	PRO	PRO
esta	這	este	這	DET	DET
quen	誰	quen	誰	PRO	PRO
todos	全部	todo	全部	DET	DET
todos	所有	todo	所有	DET	DET
todos	每個	todo	每個	DET	DET
todos	每	todo	每	DET	DET
todos	每個	todo	每個	DET	DET
este	這	este	這	DET	DET
este	那	este	那	DET	DET
lle	你	lle	你	PRO	PRO;2
lle	她	lle	她	PRO	PRO;3
vai	將	ir	將	V	V;CAUS
tamén	還	tamén	還	ADV	ADV
tamén	也	tamén	也	ADV	ADV
tamén	太	tamén	太	ADV	ADV
te	你	te	你	PRO	PRO;2
casa	屋	casa	屋	N	N
casa	房屋	casa	房屋	N	N
casa	房子	casa	房子	N	N
casa	家	casa	家	N	N
casa	住家	casa	住家	N	N
anos	歲	ano	歲	N	N
anos	年份	ano	年份	N	N
anos	老了	ano	老了	N	N
xente	人	xente	人	N	N
xente	人們	xente	人	N	N;PL
xente	人民	xente	人民	N	N
vez	時光	vez	時光	N	N
vez	時間	vez	時間	N	N
señor	先生	señor	先生	N	N
tempo	時光	tempo	時光	N	N
tempo	時間	tempo	時間	N	N
tempo	久	tempo	久	N	N
día	白天	día	白天	N	N
día	早晨	día	早晨	N	N
día	早上	día	早上	N	N
día	上午	día	上午	N	N
vida	生命	vida	生命	N	N
vida	人生	vida	人生	N	N
ver	見	ver	見	V	V
dicir	說	dicir	說	V	V
sobre	關於	sobre	關於	ADP	ADP
aínda	仍然	aínda	仍然	ADV	ADV
aínda	依然	aínda	依然	ADV	ADV
aínda	甚至	aínda	甚至	ADV	ADV
aínda	然而	aínda	然而	ADV	ADV
ela	她	el	她	PRO	PRO;3
ela	她	el	她	PRO	PRO;3
moito	非常	moito	非常	ADV	ADV
nunca	從來	nunca	從來	ADV	ADV
mundo	世界	mundo	世界	N	N
túa	你	teu	你	PRO	PRO;2
túa	你	teu	你	PRO	PRO;2
home	人	home	人	N	N
home	男人	home	男人	N	N
home	丈夫	home	丈夫	N	N
cousas	事情	cousa	事情	N	N
mellor	更好	mellor	更好	ADJ	ADJ
mellor	最好	mellor	最好	ADJ	ADJ
noite	夜晚	noite	夜晚	N	N
noite	晚上	noite	晚上	N	N
noite	夜	noite	夜	N	N
noite	今夜	noite	今夜	N	N
noite	今晚	noite	今晚	N	N
noite	晚間	noite	晚間	N	N
noite	晚上	noite	晚上	N	N
noite	傍晚	noite	傍晚	N	N
traballo	工作	traballo	工作	N	N
traballo	工作	traballo	工作	N	N
outra	其他	outro	其他	DET	DET
pai	父親	pai	父親	N	N
pai	神父	pai	神父	N	N
