村	마을	村	마을	N	N
人	남자	人	남자	N	N
人	남성	人	남성	N	N
人	사람	人	사람	N	N
人	국민	人	국민	N	N
人	사람	人	사람	N	N
人	사람들	人	사람+들	N	N
拉	뽑기	拉	뽑+기		
拉	당겨	拉	당기+어		
拉	당기	拉	당기		
市	도시	市	도시	N	N
站	스탠드	站	스탠드	N	N
州	상태	州	상태	N	N
州	국가	州	국가	N	N
研究	공부해	研究	공부+하+어	V	V
研究	공부하기	研究	공부+하+기	V	V
前	이전	前	이전	N	N
近	근처	近	근처		
使用	사용하기	使用	사용+하+기	V	V
使用	이용하기	使用	이용+하+기	V	V
使用	사용하기	使用	사용+하+기	V	V
使用	사용함	使用	사용+하+ㅁ	V	V
使用	사용됨	使用	사용+되+ㄴ	V	V
公司	기업	公司	기업	N	N
公司	회사	公司	회사	N	N
公司	기업	公司	기업	N	N
公司	회사	公司	회사	N	N
度	학위	度	학위	N	N
相似	비슷함	相似	비슷하+ㅁ	V	V
相似	유사한	相似	유사+하+ㄴ	V	V
相似	비슷한	相似	비슷+하+ㄴ	V	V
區	지대	區	지대	N	N
區	영역	區	영역	N	N
區	구역	區	구역	N	N
區	영역	區	영역	N	N
區	지역	區	지역	N	N
人口	인구순	人口	인구순	N	N
人口	인구	人口	인구	N	N
政府	정부	政府	정부	N	N
集	집합	集	집합	N	N
集	설정	集	설정	N	N
世界	세상	世界	세상	N	N
世界	세계	世界	세계	N	N
五	다섯	五	다섯	NUM	NUM
人民	국민	人民	국민	N	N
人民	사람	人民	사람	N	N
人民	사람들	人民	사람+들	N	N
包括	포함됨	包括	포함+되+ㄴ	V	V
包括	포함됨	包括	포함+되+ㄴ	V	V
時間	시간	時間	시간	N	N
城	도시	城	도시	N	N
中心	중앙	中心	중앙	N	N
中心	중심	中心	중심	N	N
中心	중앙	中心	중앙	N	N
線	스레드	線	스레드	N	N
線	대화	線	대화	N	N
第二	둘째	第二	둘째	NUM	NUM
山	산악	山	산악	N	N
太空	공간	太空	공간	N	N
太空	우주	太空	우주	N	N
內	내부	內	내부	N	N
管理	관리하기	管理	관리+하+기	V	V
性	성교	性	성교	N	N
性	섹스	性	섹스	N	N
性	성관계	性	성관계	N	N
性	성별	性	성별	N	N
代表	대표자	代表	대표자	N	N
大學	대학	大學	대학	N	N
大學	대학교	大學	대학교	N	N
大學	대학	大學	대학	N	N
大學	대학교	大學	대학교	N	N
大學	대학	大學	대학	N	N
版	버전	版	버전	N	N
工作	직업	工作	직업	N	N
工作	직장	工作	직장	N	N
工作	작업	工作	작업	N	N
工作	작업	工作	작업	N	N
工作	일자리	工作	일자리	N	N
工作	직업	工作	직업	N	N
北	북부	北	북부	N	N
北	북쪽	北	북+쪽	N	N
政治	정치	政治	정치	N	N
政治	정치학	政治	정치학	N	N
政治	정치	政治	정치	N	N
政治	정치적	政治	정치+적	N	N
星	항성	星	항성	N	N
星	항성	星	항성	N	N
她	그녀는	她	그녀+는	PRO;3	PRO
他	그의	他	그+의	PRO;3	PRO
作品	작동	作品	작동	N	N
作品	작품	作品	작품	N	N
文化	문화	文化	문화	N	N
文化	문화	文化	문화	N	N
條目	항목	條目	항목	N	N
馬	말들	馬	말+들	N	N
電影	영화	電影	영화	N	N
電影	영화	電影	영화	N	N
電影	필름	電影	필름	N	N
電影	영화	電影	영화	N	N
電影	영화	電影	영화	N	N
季	계절	季	계절	N	N
季	계절	季	계절	N	N
女	여자	女	여자	N	N
女	여성	女	여성	N	N
女	여성	女	여성	N	N
正式	공식적으로	正式	공식+적+으로	ADV	ADV
外	바깥	外	바깥	N	N
不同	다르다	不同	다르+다	ADJ	ADJ
足球	축구	足球	축구	N	N
足球	축구	足球	축구	N	N
足球	미식축구	足球	미식+축구	N	N
足球	풋볼	足球	풋볼	N	N
目前	현재	目前	현재	N	N
目前	전류	目前	전류	N	N
目前	현재	目前	현재	N	N
部分	부분적	部分	부분+적	N	N
部分	부분	部分	부분	N	N
國家	나라	國家	나라	N	N
國家	국가	國家	국가	N	N
國家	상태	國家	상태	N	N
國家	국가	國家	국가	N	N
國家	국립	國家	국립	N	N
國家	국민	國家	국민	N	N
街	거리가	街	거리+가	N	N
街	거리	街	거리	N	N
城市	도시	城市	도시	N	N
城市	도시	城市	도시	N	N
水	물이	水	물+이	N	N
人物	성격	人物	성격	N	N
人物	문자	人物	문자	N	N
人物	인물	人物	인물	N	N
軍	육군	軍	육군	N	N
軍	군대	軍	군대	N	N
加入	참여하기	加入	참여+하+기	V	V
加入	가입하기	加入	가입+하+기	V	V
加入	가입했습니다	加入	가입+하+었+습니다	V	V
第三	셋째	第三	셋째	NUM	NUM
魚	물고기	魚	물고기	N	N
波	파동	波	파동	N	N
你	당신은	你	당신+은	PRO;2	PRO
你	당신	你	당신	PRO;2	PRO
話	방언	話	방언	N	N
東	동부	東	동부	N	N
石	석기	石	석기	N	N
事件	이벤트	事件	이벤트	N	N
事件	행사	事件	행사	N	N
事件	이벤트	事件	이벤트	N	N
建立	만들기	建立	만들+기	V	V
教育	교육	教育	교육	N	N
教育	교육학	教育	교육학	N	N
教育	교육	教育	교육	N	N
教育	학력	教育	학력	N	N
獎	수상	獎	수상	N	N
完成	완료되었습니다	完成	완료+되+었+습니다	V	V
完成	끝내기	完成	끝내+기	V	V
音樂	음악	音樂	음악	N	N
音樂	뮤직	音樂	뮤직	N	N
音樂	뮤지컬	音樂	껍지+ㄴ	N	N
他們	그들이	他	그+들+이	PRO;PL;3	PRO
他們	그들은	他	그+들+은	PRO;PL;3	PRO
可能	가능	可能	가능	N	N
地區	영역	地區	영역	N	N
地區	구역	地區	구역	N	N
地區	영역	地區	영역	N	N
地區	지역	地區	지역	N	N
車	자동차	車	자동차	N	N
車	차량	車	차량	N	N
車	자동차	車	자동차	N	N
車	차량	車	차량	N	N
官	책임자	官	책임자	N	N
官	경관	官	경관	N	N
官	경찰관	官	경찰관	N	N
官	장교	官	장교	N	N
獲得	받기	獲得	받+기	V	V
工程	공학	工程	공학	N	N
工程	작동	工程	작동	N	N
工程	작품	工程	작품	N	N
最後	마지막	最後	마지막	N	N
提交	제출합니다	提交	제출+하+ㅂ니다	V	V
一般	일반적으로	一般	일반+적+으로	ADV	ADV
需要	필요함	需要	필요함	V	V
地方	장소	地方	장소	N	N
地方	음식점	地方	음식점	N	N
地方	장소	地方	장소	N	N
電視	텔레비전	電視	텔레비전	N	N
黑	어둠	黑	어둠	N	N
花	꽃이	花	꽃+이	N	N
花	꽃이	花	꽃+이	N	N
遊戲	게임	遊戲	게임	N	N
遊戲	경기	遊戲	경기	N	N
遊戲	게임	遊戲	게임	N	N
要求	요청하기	要求	요청+하+기	V	V
版本	버전	版本	버전	N	N
版本	버전	版本	버전	N	N
發現	찾았다	發現	찾+았+다	V	V
發現	찾았습니다	發現	찾+았+습니다	V	V
發現	발견됨	發現	발견+되+ㄴ	V	V
發現	찾기	發現	찾+기	V	V
語	언어	語	언어	N	N
