serena	serena	serna	serena	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
přístupné	tillgängligt	přístupný	tillgänglig	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG
hrdinové	hjältar	hrdina	hjälta	N;ANIM;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
islám	islam	islám	islam	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
ověřit	bekräfta	ověřit	bekräfta	V;PFV;POS;NFIN	V;IMP;FIN;ACT
ověřit	verifiera	ověřit	verifiera	V;PFV;POS;NFIN	V;IMP;FIN;ACT
reaguje	reagerar	reagovat	reagera	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
molekuly	molekyler	molekula	molekyl	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
loděnice	yard	loděnice	yard	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
loděnice	varvet	loděnice	varv	N;NOM;FEM;SG;POS	N;NOM;DEF;NEUT;SG
loděnice	varv	loděnice	varv	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
loděnice	skeppsvarv	loděnice	skeppsvarv	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
loděnice	varv	loděnice	varv	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
loděnice	skeppsvarv	loděnice	skeppsvarv	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
uvězněn	inspärrad	uvězněný	inspärrad	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
uvězněn	fångad	uvězněný	fånga	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
uvězněn	instängd	uvězněný	instängd	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
oprava	reparation	oprava	reparation	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
oprava	lagning	oprava	lagning	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
oprava	rättelse	oprava	rättelse	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
oprava	korrigering	oprava	korrigering	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
složité	knepig	složitý	knepig	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
složité	knepigt	složitý	knepig	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG
složité	komplext	složitý	komplext	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG
složité	komplicerad	složitý	komplicerad	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
složité	komplex	složitý	komplex	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG
složité	komplicerat	složitý	komplicerad	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
složité	krångligt	složitý	krånglig	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG
