dan	oraz	dan	oraz	CONJ	CONJ
dari	od	dari	od	ADP	ADP
untuk	dla	untuk	dla	ADP	ADP
tahun	roku	tahun	rok	N;SG	N;GEN;MASC;SG
tahun	rok	tahun	rok	N;SG	N;NOM;MASC;SG
tidak	nie	tidak	nie	PART;NEG	PART;NEG
menjadi	będąc	menjadi	być	V;SG;ACT	V;IPFV;PRS;V.CVB;ACT
bagian	sekcję	bagian	sekcja	N;SG	N;ACC;FEM;SG
bagian	sekcji	bagian	sekcja	N;SG	N;GEN;FEM;SG
bagian	dział	bagian	dziać	N;SG	N;NOM;MASC;SG
bagian	sekcja	bagian	sekcja	N;SG	N;NOM;FEM;SG
bagian	część	bagian	część	N;SG	N;NOM;FEM;SG
spesies	gatunek	spesies	gatunek	N;SG	N;NOM;MASC;SG
orang	osoba	orang	osoba	N;SG	N;NOM;FEM;SG
mereka	je	mereka	on	PRO;PL;3	PRO;ACC;NEUT;PL;3
mereka	ich	mereka	on	PRO;PL;3	PRO;GEN;MASC;PL;3
mereka	im	mereka	on	PRO;PL;3	PRO;DAT;MASC;PL;3
mereka	oni	mereka	on	PRO;PL;3	PRO;NOM;MASC;PL;3
memiliki	posiada	menmiliki	posiadać	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
memiliki	ma	menmiliki	mieć	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
memiliki	posiadać	menmiliki	posiadać	V;SG;ACT	V;IPFV;NFIN;ACT
memiliki	mieć	menmiliki	mieć	V;SG;ACT	V;IPFV;NFIN;ACT
kota	miasta	kota	miasto	N;SG	N;GEN;NEUT;SG
kota	miejscowość	kota	miejscowość	N;SG	N;NOM;FEM;SG
kota	miasto	kota	miasto	N;SG	N;NOM;NEUT;SG
kota	miejscowość	kota	miejscowość	N;SG	N;NOM;FEM;SG
kota	miasta	kota	miasto	N;SG	N;GEN;NEUT;SG
kota	miasto	kota	miasto	N;SG	N;NOM;NEUT;SG
kota	miasta	kota	miasto	N;SG	N;GEN;NEUT;SG
kota	kota	kota	kot	N;SG	N;ACC;MASC;SG
pranala	odnośnik	pranala	odnośnik	N;SG	N;ACC;MASC;SG
karena	bo	karena	bo	CONJ	CONJ
desa	wioski	desa	wioska	N;SG	N;ACC;FEM;SG
desa	wiosce	desa	wioska	N;SG	N;DAT;FEM;SG
desa	wioska	desa	wioska	N;SG	N;NOM;FEM;SG
desa	village	desa	village	N;SG	N;NOM;MASC;SG
desa	wioski	desa	wioska	N;SG	N;ACC;FEM;SG
desa	wieś	desa	wieś	N;SG	N;NOM;FEM;SG
ada	istnieje	ada	istnieć	V;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
lebih	bardziej	lebih	bardzo	ADV	ADV;CMPR
lebih	więcej	lebih	dużo	ADV	ADV;CMPR
nama	nazwisko	nama	nazwisko	N;SG	N;NOM;NEUT;SG
nama	imię	nama	imię	N;SG	N;NOM;NEUT;SG
nama	nazwa	nama	nazwa	N;SG	N;NOM;FEM;SG
kayu	drewno	kayu	drewno	N;SG	N;NOM;NEUT;SG
kayu	drewno	kayu	drewno	N;SG	N;NOM;NEUT;SG
bahasa	język	bahasa	język	N;SG	N;NOM;MASC;SG
bahasa	języku	bahasa	język	N;SG	N;ACC;MASC;SG
lain	inne	lain	inny	ADJ;SG	ADJ;NOM;NEUT;SG
lain	inny	lain	inny	ADJ;SG	ADJ;NOM;MASC;SG
lain	inne	lain	inny	ADJ;SG	ADJ;NOM;NEUT;SG
besar	duża	besar	duży	ADJ;SG	ADJ;NOM;FEM;SG
besar	duży	besar	duży	ADJ;SG	ADJ;NOM;MASC;SG
besar	duże	besar	duży	ADJ;SG	ADJ;NOM;NEUT;SG
besar	duża	besar	duży	ADJ;SG	ADJ;NOM;FEM;SG
besar	duże	besar	duży	ADJ;SG	ADJ;NOM;NEUT;SG
besar	wielka	besar	wielki	ADJ;SG	ADJ;NOM;FEM;SG
besar	duży	besar	duży	ADJ;SG	ADJ;NOM;MASC;SG
besar	wielki	besar	wielki	ADJ;SG	ADJ;NOM;MASC;SG
besar	świetne	besar	świetny	ADJ;SG	ADJ;NOM;NEUT;SG
film	filmu	film	film	N;SG	N;GEN;MASC;SG
film	film	film	film	N;SG	N;ACC;MASC;SG
film	folia	film	folia	N;SG	N;NOM;FEM;SG
film	film	film	film	N;SG	N;ACC;MASC;SG
kelas	klasy	kelas	klasa	N;SG	N;GEN;FEM;SG
kelas	klasy	kelas	klasa	N;SG	N;GEN;FEM;SG
beberapa	wiele	beberapa	wiele	DET	DET;ACC;MASC;PL
beberapa	wielu	beberapa	wiele	DET	DET;ACC;MASC;PL
beberapa	kilkanaście	beberapa	kilkanaście	DET	DET;ACC;MASC;PL
beberapa	kilka	beberapa	kilka	DET	DET;ACC;MASC;PL
beberapa	kilku	beberapa	kilka	DET	DET;ACC;MASC;PL
beberapa	niektóre	beberapa	niektóry	DET	DET;NOM;MASC;SG
beberapa	niektórzy	beberapa	niektóry	DET	DET;NOM;MASC;PL
kecamatan	okręg	kecamatan	okręg	N;SG	N;NOM;MASC;SG
kecamatan	dzielnicy	kecamatan	dzielnica	N;SG	N;GEN;FEM;SG
kecamatan	dystrykt	kecamatan	dystrykt	N;SG	N;NOM;MASC;SG
kecamatan	dzielnica	kecamatan	dzielnica	N;SG	N;NOM;FEM;SG
kecamatan	rejon	kecamatan	rejon	N;SG	N;NOM;MASC;SG
negara	ojczyzna	negara	ojczyzna	N;SG	N;NOM;FEM;SG
negara	kraju	negara	kraj	N;SG	N;GEN;MASC;SG
negara	kraj	negara	kraj	N;SG	N;NOM;MASC;SG
negara	państwo	negara	państwo	N;SG	N;NOM;NEUT;SG
negara	stan	negara	stan	N;SG	N;NOM;MASC;SG
negara	państwo	negara	państwo	N;SG	N;NOM;NEUT;SG
biasanya	normalnie	biasanya	normalnie	ADV	ADV
kemudian	wtedy	kemudian	wtedy	ADV	ADV
kemudian	później	kemudian	późno	ADV	ADV;CMPR
banyak	dużo	banyak	dużo	ADV	ADV
kabupaten	regency	kabupaten	regenka	N;SG	N;NOM;MASC;SG
