kegubernuran	gubernie	kegubernuran	gubernie	N;SG	N;NOM;FEM;SG;POS
poros	šachta	poros	šachta	N;SG	N;NOM;FEM;SG;POS
ekologi	ekologie	ekologi	ekologie	N;SG	N;NOM;FEM;SG;POS
melampaui	překročit	menlampaui	překročit	V;SG;ACT	V;PFV;POS;NFIN
skema	schéma	skema	schéma	N;SG	N;NOM;NEUT;SG;POS
skema	režim	skema	režim	N;SG	N;INAN;NOM;MASC;SG;POS
uzbekistan	uzbekistánu	uzbekistan	uzbekistán	N	N;INAN;DAT;MASC;SG;POS
mendefinisikan	definovat	mendefinisikan	definovat	V;SG;ACT	V;POS;NFIN
mendefinisikan	vymezuje	mendefinisikan	vymezovat	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
mendefinisikan	definuje	mendefinisikan	definovat	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
sumbu	os	sumbu	os	N;SG	N;NOM;MASC;SG;POS
sumbu	osa	sumbu	osa	N;SG	N;NOM;FEM;SG;POS
sumbu	osu	sumbu	osu	N;SG	N;NOM;FEM;SG;POS
lidah	jazyk	lidah	jazyk	N;SG	N;INAN;NOM;MASC;SG;POS
sup	polévku	sup	polévka	N;SG	N;ACC;FEM;SG;POS
sup	polévka	sup	polévka	N;SG	N;NOM;FEM;SG;POS
demam	horečka	demam	horečka	N;SG	N;NOM;FEM;SG;POS
demam	horečku	demam	horečka	N;SG	N;ACC;FEM;SG;POS
pengujian	test	penujian	test	N;SG	N;INAN;NOM;MASC;SG;POS
pengujian	zkouška	penujian	zkouška	N;SG	N;NOM;FEM;SG;POS
pengujian	testování	penujian	testování	N;SG	N;NOM;NEUT;SG;POS
pengujian	zkoušení	penujian	zkoušení	N;SG	N;NOM;NEUT;SG;POS
pengujian	zkouška	penujian	zkouška	N;SG	N;NOM;FEM;SG;POS
hilangnya	zmizení	hilang	zmizení	N;SG	N;NOM;NEUT;SG;POS
email	email	email	email	N	N;INAN;NOM;MASC;SG;POS
sertifikat	osvědčení	sertifikat	osvědčení	N;SG	N;NOM;NEUT;SG;POS
sertifikat	certifikát	sertifikat	certifikát	N;SG	N;INAN;NOM;MASC;SG;POS
sertifikat	potvrzení	sertifikat	potvrzení	N;SG	N;NOM;NEUT;SG;POS
sertifikat	osvědčení	sertifikat	osvědčení	N;SG	N;NOM;NEUT;SG;POS
paralel	paralely	paralel	paralela	N	N;INAN;NOM;MASC;PL;POS
kuburan	pohřebiště	kuburan	pohřebiště	N;SG	N;NOM;NEUT;SG;POS
kuburan	hřbitov	kuburan	hřbitov	N;SG	N;INAN;NOM;MASC;SG;POS
kuburan	hřbitov	kuburan	hřbitov	N;SG	N;INAN;NOM;MASC;SG;POS
kuburan	hrobu	kuburan	hrob	N;SG	N;INAN;GEN;MASC;SG;POS
kuburan	hrob	kuburan	hrob	N;SG	N;INAN;NOM;MASC;SG;POS
benih	osiva	benih	osivo	N;SG	N;NOM;NEUT;SG;POS
benih	semeno	benih	semeno	N;SG	N;NOM;NEUT;SG;POS
benih	osivo	benih	osivo	N;SG	N;NOM;NEUT;SG;POS
benih	osiva	benih	osivo	N;SG	N;NOM;NEUT;SG;POS
benih	osivo	benih	osivo	N;SG	N;NOM;NEUT;SG;POS
penolakan	zamítnutí	pentolakan	zamítnutí	N;SG	N;NOM;NEUT;SG;POS
penolakan	odmítnutí	pentolakan	odmítnutí	N;SG	N;NOM;NEUT;SG;POS
penolakan	odmítání	pentolakan	odmítání	N;SG	N;NOM;NEUT;SG;POS
interior	interiér	interior	interiér	N;SG	N;INAN;NOM;MASC;SG;POS
interior	vnitra	interior	vnitro	N;SG	N;NOM;NEUT;SG;POS
enterprise	podnik	enterprise	podnik	N	N;INAN;NOM;MASC;SG;POS
enterprise	podnikání	enterprise	podnikání	N	N;NOM;NEUT;SG;POS
enterprise	enterprise	enterprise	enterpris	N	N;NOM;MASC;SG;POS
berpengalaman	zažil	berpengalaman	zažít	V;SG;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
integrasi	integraci	integrasi	integrace	N;SG	N;ACC;FEM;SG;POS
integrasi	začlenění	integrasi	začlenění	N;SG	N;NOM;NEUT;SG;POS
integrasi	integrace	integrasi	integrace	N;SG	N;NOM;FEM;SG;POS
staff	personál	staff	personál	N	N;INAN;NOM;MASC;SG;POS
staff	zaměstnanci	staff	zaměstnanec	N	N;ANIM;NOM;MASC;PL;POS
output	výstup	output	výstup	N	N;INAN;NOM;MASC;SG;POS
output	výstupy	output	výstup	N	N;INAN;NOM;MASC;PL;POS
output	výstupů	output	výstup	N	N;INAN;GEN;MASC;PL;POS
mengkritik	kritizovat	menkritik	kritizovat	V;SG;ACT	V;IPFV;POS;NFIN
fisiologi	fyziologie	fisiologi	fyziologie	N	N;NOM;FEM;SG;POS
mengingatkan	připomněl	meningatkan	připomenout	V;SG;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
mengingatkan	připomenout	meningatkan	připomenout	V;SG;ACT	V;POS;NFIN
dinamis	dynamický	dinamis	dynamický	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS
dinamis	dynamická	dinamis	dynamický	ADJ;SG	ADJ;NOM;FEM;SG;POS
dinamis	dynamické	dinamis	dynamický	ADJ;SG	ADJ;NOM;NEUT;SG;POS
animation	animace	animation	animace	N	N;NOM;FEM;SG;POS
cacing	červ	cacing	červ	N;SG	N;ANIM;NOM;MASC;SG;POS
highland	highland	highland	highland	N	N;INAN;NOM;MASC;SG;POS
orangtua	rodič	orangtua	rodič	N;SG	N;ANIM;NOM;MASC;SG;POS
gandum	obilí	gandum	obilí	N;SG	N;NOM;NEUT;SG;POS
gandum	pšenice	gandum	pšenice	N;SG	N;NOM;FEM;SG;POS
krim	smetana	krim	smetana	N;SG	N;NOM;FEM;SG;POS
krim	krém	krim	krém	N;SG	N;INAN;NOM;MASC;SG;POS
cerah	bystrá	cerah	bystrý	ADJ;SG	ADJ;NOM;FEM;SG;POS
cerah	slunečný	cerah	slunečný	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS
rupanya	zřejmě	rupa	zřejmě	ADV;SG	ADV;POS
rupanya	zjevně	rupa	zjevně	ADV;SG	ADV;POS
rupanya	očividně	rupa	očividně	ADV;SG	ADV;POS
transformasi	proměna	transformasi	proměna	N;SG	N;NOM;FEM;SG;POS
transformasi	přeměna	transformasi	přeměna	N;SG	N;NOM;FEM;SG;POS
transformasi	transformace	transformasi	transformace	N;SG	N;NOM;FEM;SG;POS
transformasi	transformace	transformasi	transformace	N;SG	N;NOM;FEM;SG;POS
kekacauan	chaosu	kekacauan	chaos	N;SG	N;INAN;GEN;MASC;SG;POS
kekacauan	chaos	kekacauan	chaos	N;SG	N;INAN;NOM;MASC;SG;POS
pilih	vybrat	pilih	vybrat	V;SG;ACT	V;POS;NFIN
pilih	vybrat	pilih	vybrat	V;SG;ACT	V;POS;NFIN
impor	import	impor	import	N;SG;ACT	N;INAN;NOM;MASC;SG;POS
impor	dovoz	impor	dovoz	N;SG;ACT	N;INAN;NOM;MASC;SG;POS
impor	dovoz	impor	dovoz	N;SG;ACT	N;INAN;NOM;MASC;SG;POS
kesan	zobrazení	kesan	zobrazení	N;SG	N;NOM;NEUT;SG;POS
kesan	dojem	kesan	dojem	N;SG	N;INAN;NOM;MASC;SG;POS
marsekal	maršál	marsekal	maršál	N	N;ANIM;NOM;MASC;SG;POS
marsekal	maršálové	marsekal	maršál	N	N;ANIM;NOM;MASC;PL;POS
acak	náhodný	acak	náhodný	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS
acak	náhodná	acak	náhodný	ADJ;SG	ADJ;NOM;FEM;SG;POS
acak	náhodné	acak	náhodný	ADJ;SG	ADJ;NOM;NEUT;SG;POS
botol	lahev	botol	lahev	N;SG	N;NOM;FEM;SG;POS
