com	مع	com	مَعَ	ADP	ADP;ACC
também	ايضا	também	أَيضًا	ADV	ADV
também	ايضا	também	أَيضًا	ADV	ADV
ele	هو	ele	هُوَ	PRO;NOM;MASC;SG;3	PRO;NOM;MASC;SG;3
discussão	مناقشة	discussão	مُنَاقَشَة	N;FEM;SG	N;NOM;INDF;SG
discussão	نقاش	discussão	نِقَاش	N;FEM;SG	N;NOM;INDF;SG
discussão	المناقشة	discussão	مُنَاقَشَة	N;FEM;SG	N;NOM;DEF;SG
entre	بين	entre	بَينَ	ADP	ADP;ACC
anos	السنين	ano	سَنَة	N;MASC;PL	N;NOM;DEF;PL
anos	اعوام	ano	عَام	N;MASC;PL	N;NOM;INDF;PL
anos	سنين	ano	سَنَة	N;MASC;PL	N;NOM;INDF;PL
anos	السنوات	ano	سَنَة	N;MASC;PL	N;NOM;DEF;PL
anos	سنوات	ano	سَنَة	N;MASC;PL	N;NOM;INDF;PL
era	كانت	ser	كَان	V;IND;SG;3;IPFV;FIN	V;PFV;FEM;SG;3;ACT
era	كان	ser	كَان	V;IND;SG;3;IPFV;FIN	V;PFV;MASC;SG;3;ACT
sobre	حول	sobre	حَولَ	ADP	ADP;ACC
sobre	عن	sobre	عَن	ADP	ADP
até	حتى	até	حَتَّى	ADV	ADV
cidade	بلدة	cidade	بَلدَة	N;FEM;SG	N;NOM;INDF;SG
cidade	المدينة	cidade	مَدِينَة	N;FEM;SG	N;NOM;DEF;SG
cidade	البلدة	cidade	بَلدَة	N;FEM;SG	N;NOM;DEF;SG
cidade	مدينة	cidade	مَدِينَة	N;FEM;SG	N;NOM;INDF;SG
cidade	المدينة	cidade	مَدِينَة	N;FEM;SG	N;NOM;DEF;SG
janeiro	يناير	janeiro	يَنَايِر	N;MASC;SG	N;GEN;INDF;SG
grande	كبيرة	grande	كَبِير	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
grande	الكبير	grande	كَبِير	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
grande	كبيرة	grande	كَبِير	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
grande	كبير	grande	كَبِير	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
grande	عظيم	grande	عظيم	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
grande	عظيمة	grande	عَظِيمَة	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
grande	العظيم	grande	عَظِيم	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
rio	النهر	rio	نَهر	N;MASC;SG	N;NOM;DEF;SG
rio	نهر	rio	نَهر	N;MASC;SG	N;NOM;INDF;SG
depois	اذن	depois	إِذَن	ADV	ADV
estado	الوضع	estado	وَضع	N;MASC;SG	N;NOM;DEF;SG
estado	الحالة	estado	حَالَة	N;MASC;SG	N;NOM;DEF;SG
estado	حالة	estado	حَالَة	N;MASC;SG	N;NOM;INDF;SG
estado	الولاية	estado	وِلَايَة	N;MASC;SG	N;NOM;DEF;SG
estado	دولة	estado	دَولَة	N;MASC;SG	N;NOM;INDF;SG
estado	ولاية	estado	وِلَايَة	N;MASC;SG	N;NOM;INDF;SG
estado	الحالة	estado	حَالَة	N;MASC;SG	N;NOM;DEF;SG
estado	الدولة	estado	دَولَة	N;MASC;SG	N;NOM;DEF;SG
estado	حالة	estado	حَالَة	N;MASC;SG	N;NOM;INDF;SG
estado	شرط	estado	شَرط	N;MASC;SG	N;NOM;INDF;SG
estado	الحالة	estado	حَالَة	N;MASC;SG	N;NOM;DEF;SG
estado	الشرط	estado	شَرط	N;MASC;SG	N;NOM;DEF;SG
ano	عام	ano	عَام	N;MASC;SG	N;NOM;INDF;SG
ano	العام	ano	عَام	N;MASC;SG	N;NOM;DEF;SG
ano	السنه	ano	سَنه	N;MASC;SG	N;NOM;DEF;SG
ano	سنة	ano	سَنَة	N;MASC;SG	N;NOM;INDF;SG
ano	سنه	ano	سنه	N;MASC;SG	N;NOM;INDF;SG
ano	السنة	ano	سَنَة	N;MASC;SG	N;NOM;DEF;SG
após	بعد	após	بَعدَ	ADP	ADP;NOM
pode	يستطيع	poder	اِستَطَاع	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
pode	يمكن	poder	أَمكَن	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
durante	اثناء	durante	أَثنَاءَ	ADP	ADP;ACC
durante	خلال	durante	خِلَالَ	ADP	ADP;ACC
ligações	الصلات	ligação	صَلَة	N;FEM;PL	N;NOM;DEF;PL
ligações	الارتباطات	ligação	اِرتِبَاط	N;FEM;PL	N;NOM;DEF;PL
ligações	الوصلات	ligação	وُصلَة	N;FEM;PL	N;NOM;DEF;PL
ligações	الصلات	ligação	صَلَة	N;FEM;PL	N;NOM;DEF;PL
ligações	روابط	ligação	روابط	N;FEM;PL	N;NOM;INDF;PL
ligações	الروابط	ligação	رَابِطَة	N;FEM;PL	N;NOM;DEF;PL
ligações	وصلات	ligação	وُصلَة	N;FEM;PL	N;NOM;INDF;PL
parte	جزء	parte	جُزء	N;FEM;SG	N;NOM;INDF;SG
parte	الجزء	parte	جُزء	N;FEM;SG	N;NOM;DEF;SG
este	هذا	este	هٰذَا	DET;MASC;SG	DET;NOM;MASC;SG
este	هذه	este	هٰذَا	DET;MASC;SG	DET;NOM;FEM;SG
primeira	اول	primeiro	أَوَّل	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
primeira	اولا	primeiro	أَوَّل	ADJ;FEM;SG	ADJ;ACC;INDF;MASC;SG
primeira	الاول	primeiro	أَوَّل	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
primeira	الاولى	primeiro	أَوَّل	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
nome	اسم	nome	اِسم	N;MASC;SG	N;NOM;INDF;SG
nome	الاسم	nome	اِسم	N;MASC;SG	N;NOM;DEF;SG
ela	هي	ela	هُوَ	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
ela	هي	ela	هُوَ	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
dia	اليوم	dia	يَوم	N;MASC;SG	N;ACC;DEF;SG
dia	يوم	dia	يَوم	N;MASC;SG	N;NOM;INDF;SG
dois	اثنين	dois	اِثنَان	NUM	NUM;NOM;INDF;MASC
dois	اثنتان	dois	اِثنَان	NUM	NUM;NOM;INDF;FEM
região	منطقة	região	مِنطَقَة	N;FEM;SG	N;NOM;INDF;SG
região	المنطقة	região	مِنطَقَة	N;FEM;SG	N;NOM;DEF;SG
artigo	مقالة	artigo	مَقَالَة	N;MASC;SG	N;NOM;INDF;SG
artigo	مقال	artigo	مَقَال	N;MASC;SG	N;NOM;INDF;SG
artigo	المقالة	artigo	مُقَال	N;MASC;SG	N;NOM;DEF;SG
artigo	المادة	artigo	مَادَّة	N;MASC;SG	N;NOM;DEF;SG
apenas	فقط	apenas	فَقَط	ADV	ADV
apenas	فقط	apenas	فَقَط	ADV	ADV
julho	يوليو	julho	يُولِيُو	N;MASC;SG	N;GEN;INDF;SG
julho	تموز	julho	تَمُّوز	N;MASC;SG	N;GEN;INDF;SG
área	مساحة	área	مِسَاحَة	N;FEM;SG	N;NOM;INDF;SG
área	المساحة	área	مِسَاحَة	N;FEM;SG	N;NOM;DEF;SG
área	منطقة	área	مِنطَقَة	N;FEM;SG	N;NOM;INDF;SG
área	المنطقة	área	مِنطَقَة	N;FEM;SG	N;NOM;DEF;SG
agosto	اغسطس	agosto	أَغُسطُس	N;MASC;SG	N;GEN;INDF;SG
agosto	اغسطس	agosto	أَغُسطُس	N;MASC;SG	N;GEN;INDF;SG
lista	قائمة	lista	قَائِمَة	N;FEM;SG	N;NOM;INDF;SG
lista	القائمة	lista	قَائِمَة	N;FEM;SG	N;NOM;DEF;SG
maio	مايو	maio	مَايُو	N;MASC;SG	N;GEN;INDF;SG
maio	ايار	maio	أَيَّار	N;MASC;SG	N;NOM;INDF;SG
março	المسيرة	março	مَسِيرَة	N;MASC;SG	N;NOM;DEF;SG
março	مارس	março	مَارِس	N;MASC;SG	N;GEN;INDF;SG
março	مسيرة	março	مَسِيرَة	N;MASC;SG	N;NOM;INDF;SG
março	اذار	março	آذَار	N;MASC;SG	N;NOM;INDF;SG
norte	شمال	norte	شَمَال	N;MASC;SG	N;NOM;INDF;SG
norte	شمالا	norte	شَمَال	N;MASC;SG	N;ACC;INDF;SG
norte	الشمال	norte	شَمَال	N;MASC;SG	N;NOM;DEF;SG
norte	شمال	norte	شَمَال	N;MASC;SG	N;NOM;INDF;SG
família	عائلة	família	عَائِلَة	N;FEM;SG	N;NOM;INDF;SG
família	الاسرة	família	أُسرَة	N;FEM;SG	N;NOM;DEF;SG
família	اسرة	família	أُسرَة	N;FEM;SG	N;NOM;INDF;SG
família	العائلة	família	عَائِلَة	N;FEM;SG	N;NOM;DEF;SG
abril	ابريل	abril	أَبرِيل	N;MASC;SG	N;GEN;INDF;SG
abril	نيسان	abril	نِيسَان	N;MASC;SG	N;NOM;INDF;SG
sul	جنوب	sul	جَنُوب	N;MASC;SG	N;NOM;INDF;SG
sul	جنوبا	sul	جَنُوب	N;MASC;SG	N;ACC;INDF;SG
sul	الجنوب	sul	جَنُوب	N;MASC;SG	N;NOM;DEF;SG
sul	جنوب	sul	جَنُوب	N;MASC;SG	N;NOM;INDF;SG
grupo	مجموعة	grupo	مَجمُوعَة	N;MASC;SG	N;NOM;INDF;SG
grupo	المجموعة	grupo	مَجمُوعَة	N;MASC;SG	N;NOM;DEF;SG
setembro	ايلول	setembro	أَيلُول	N;MASC;SG	N;NOM;INDF;SG
setembro	سبتمبر	setembro	سِبتَمبِر	N;MASC;SG	N;GEN;INDF;SG
ver	ترى	ver	رَأَى	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
outubro	اكتوبر	outubro	أُكتُوبِر	N;MASC;SG	N;GEN;INDF;SG
maior	الاكبر	grande	أَكبَر	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
maior	اضخم	grande	ضَخم	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
nova	جديد	novo	جَدِيد	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
