sonra	اذن	sonra	إِذَن	ADV	ADV
yer	المكان	yer	مَكَان	N;NOM;SG;3	N;NOM;DEF;SG
yer	مكان	yer	مَكَان	N;NOM;SG;3	N;NOM;INDF;SG
yer	المكان	yer	مَكَان	N;NOM;SG;3	N;NOM;DEF;SG
yer	موقع	yer	مَوقِع	N;NOM;SG;3	N;NOM;INDF;SG
yer	الموقع	yer	مَوقِع	N;NOM;SG;3	N;NOM;DEF;SG
yer	المكان	yer	مَكَان	N;NOM;SG;3	N;NOM;DEF;SG
bağlantılar	الصلات	bağlantı	صَلَة	N;NOM;PL;3	N;NOM;DEF;PL
bağlantılar	الارتباطات	bağlantı	اِرتِبَاط	N;NOM;PL;3	N;NOM;DEF;PL
bağlantılar	الوصلات	bağlantı	وُصلَة	N;NOM;PL;3	N;NOM;DEF;PL
bağlantılar	الصلات	bağlantı	صَلَة	N;NOM;PL;3	N;NOM;DEF;PL
bağlantılar	روابط	bağlantı	روابط	N;NOM;PL;3	N;NOM;INDF;PL
bağlantılar	الروابط	bağlantı	رَابِطَة	N;NOM;PL;3	N;NOM;DEF;PL
bağlantılar	وصلات	bağlantı	وُصلَة	N;NOM;PL;3	N;NOM;INDF;PL
bağlantılar	الاتصالات	bağlantı	اِتِّصَال	N;NOM;PL;3	N;NOM;DEF;PL
bağlantılar	اتصالات	bağlantı	اِتِّصَال	N;NOM;PL;3	N;NOM;INDF;PL
center	المركز	center	مَركَز	N;NOM;SG;3	N;NOM;DEF;SG
center	المنتصف	center	مُنتَصَف	N;NOM;SG;3	N;NOM;DEF;SG
center	الوسط	center	وَسط	N;NOM;SG;3	N;NOM;DEF;SG
center	مركز	center	مَركَز	N;NOM;SG;3	N;NOM;INDF;SG
türk	التركية	türk	تُركِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
türk	تركية	türk	تُركِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
diğer	اخرى	diğer	آخَر	ADJ	ADJ;NOM;INDF;FEM;SG
yeni	جديد	yeni	جَدِيد	ADJ	ADJ;NOM;INDF;MASC;SG
yeni	جديدة	yeni	جَدِيد	ADJ	ADJ;NOM;INDF;FEM;SG
yeni	الجديد	yeni	جَدِيد	ADJ	ADJ;NOM;DEF;MASC;SG
ilgili	مهتمة	ilgili	مُهتَمّ	ADJ	ADJ;NOM;INDF;FEM;SG
ilgili	مهتم	ilgili	مهتم	ADJ	ADJ;NOM;INDF;MASC;SG
ilgili	مهتما	ilgili	مُهتَمّ	ADJ	ADJ;ACC;INDF;MASC;SG
madde	مادة	madde	مَادَّة	N;NOM;SG;3	N;NOM;INDF;SG
madde	بند	madde	بَند	N;NOM;SG;3	N;NOM;INDF;SG
madde	مادة	madde	مَادَّة	N;NOM;SG;3	N;NOM;INDF;SG
madde	المادة	madde	مَادَّة	N;NOM;SG;3	N;NOM;DEF;SG
madde	مسالة	madde	مَسأَلَة	N;NOM;SG;3	N;NOM;INDF;SG
madde	المسالة	madde	مَسأَلَة	N;NOM;SG;3	N;NOM;DEF;SG
madde	مقالة	madde	مَقَالَة	N;NOM;SG;3	N;NOM;INDF;SG
madde	مقال	madde	مَقَال	N;NOM;SG;3	N;NOM;INDF;SG
madde	المقالة	madde	مُقَال	N;NOM;SG;3	N;NOM;DEF;SG
madde	المادة	madde	مَادَّة	N;NOM;SG;3	N;NOM;DEF;SG
sağlık	العافية	sağlık	عَافِيَة	N;NOM;SG;3	N;NOM;DEF;SG
sağlık	عافية	sağlık	عَافِيَة	N;NOM;SG;3	N;NOM;INDF;SG
sağlık	طبي	sağlık	طِبِّيّ	N;NOM;SG;3	N;NOM;INDF;SG
sağlık	الصحة	sağlık	صِحَّة	N;NOM;SG;3	N;NOM;DEF;SG
sağlık	صحة	sağlık	صِحَّة	N;NOM;SG;3	N;NOM;INDF;SG
genel	عامة	genel	عَامّ	ADJ	ADJ;NOM;INDF;FEM;SG
adı	اسم	ad	اِسم	N;NOM;SG;3	N;NOM;INDF;SG
adı	الاسم	ad	اِسم	N;NOM;SG;3	N;NOM;DEF;SG
ikinci	ثانيا	ikinci	ثَانِي	ADJ	ADJ;ACC;INDF;MASC;SG
ikinci	الثاني	ikinci	ثَانِي	ADJ	ADJ;NOM;DEF;MASC;SG
ikinci	الثانية	ikinci	ثَانِي	ADJ	ADJ;NOM;DEF;FEM;SG
üniversitesi	جامعة	üniversitesi	جَامِعَة	N;NOM;SG;3	N;NOM;INDF;SG
üniversitesi	الجامعة	üniversitesi	جَامِعَة	N;NOM;SG;3	N;NOM;DEF;SG
zaman	وقت	zaman	وَقت	N;NOM;SG;3	N;NOM;INDF;SG
zaman	الزمن	zaman	زَمَن	N;NOM;SG;3	N;NOM;DEF;SG
zaman	الوقت	zaman	وَقت	N;NOM;SG;3	N;NOM;DEF;SG
zaman	زمن	zaman	زَمَن	N;NOM;SG;3	N;NOM;INDF;SG
zaman	الزمان	zaman	زَمَان	N;NOM;SG;3	N;NOM;DEF;SG
yüksek	عالي	yüksek	عَالِي	ADJ	ADJ;NOM;INDF;MASC;SG
yüksek	مرتفع	yüksek	مُرتَفِع	ADJ	ADJ;NOM;INDF;MASC;SG
yüksek	عالية	yüksek	عَالِي	ADJ	ADJ;NOM;INDF;FEM;SG
yüksek	عاليا	yüksek	عَالِي	ADJ	ADJ;ACC;INDF;MASC;SG
yüksek	الاعلى	yüksek	أَعلَى	ADJ	ADJ;NOM;DEF;MASC;SG
sadece	فقط	sadece	فَقَط	ADV	ADV
sadece	فقط	sadece	فَقَط	ADV	ADV
bilgi	الاعلام	bilgi	إِعلَام	N;NOM;SG;3	N;NOM;DEF;SG
bilgi	معرفة	bilgi	مَعرِفَة	N;NOM;SG;3	N;NOM;INDF;SG
bilgi	المعرفة	bilgi	مَعرِفَة	N;NOM;SG;3	N;NOM;DEF;SG
devlet	الولاية	devlet	وِلَايَة	N;NOM;SG;3	N;NOM;DEF;SG
devlet	دولة	devlet	دَولَة	N;NOM;SG;3	N;NOM;INDF;SG
devlet	ولاية	devlet	وِلَايَة	N;NOM;SG;3	N;NOM;INDF;SG
devlet	الحالة	devlet	حَالَة	N;NOM;SG;3	N;NOM;DEF;SG
devlet	الدولة	devlet	دَولَة	N;NOM;SG;3	N;NOM;DEF;SG
devlet	الحكومة	devlet	حُكُومَة	N;NOM;SG;3	N;NOM;DEF;SG
devlet	حكومة	devlet	حُكُومَة	N;NOM;SG;3	N;NOM;INDF;SG
üç	ثلاثة	üç	ثَلَاثَة	NUM	NUM;NOM;INDF;MASC
üç	ثلاث	üç	ثَلَاثَة	NUM	NUM;NOM;INDF;FEM
başladı	بدات	başla	بَدَأ	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;3;ACT
başladı	بدا	başla	بَدَا	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;3;ACT
