정체성	identitas	정체성	identitas	N	N;SG
희생	pengorbanan	희생	penorbanan	N	N;SG
희생	kurban	희생	kurban	N	N
희생	pengorbanan	희생	penorbanan	N	N;SG
희생	pengorbanannya	희생	penorbanan	N	N;SG
발급	klaim	발급	klaim	N	N;SG
유학생	pelajar	유학생	pelajar	N	N;SG
유학생	santri	유학생	santri	N	N;SG
유학생	mahasiswa	유학생	mahasiswa	N	N;SG
유학생	murid	유학생	murid	N	N;SG
유학생	siswa	유학생	siswa	N	N;SG
테러리스트	teroris	테러리스트	teroris	N	N;SG
테러리스트	teroris	테러리스트	teroris	N	N;SG
잠재적	potensi	잠재+적	potensi	N	N;SG
잠재적	potensial	잠재+적	potensial	N	N;SG
풍자	sarkasme	풍자	sarkasme	N	N
풍자	satir	풍자	satir	N	N
풍자	satir	풍자	satir	N	N
풍자	sindiran	풍자	sindiran	N	N;SG
가속	akselerasi	가속	akselerasi	N	N;SG
가속	percepatan	가속	percepatan	N	N;SG
상속	pewaris	상속	penwaris	N	N;SG
상속	waris	상속	waris	N	N;SG
상속	warisan	상속	warisan	N	N;SG
맞춤법	ejaan	맞춤법	ejaan	N	N
맞춤법	spelling	맞춤법	spelling	N	N
스노보드	snowboard	스노보드	snowboard	N	N
인스턴트	seketika	인스턴트	seketika		
정치국	politbiro	정치국	politbiro	N	N
단말기	perangkat	단말기	perangkat	N	N;SG
단말기	peranti	단말기	peranti	N	N;SG
묘사	uraian	묘사	uraian	N	N;SG
묘사	deskripsi	묘사	deskripsi	N	N;SG
묘사	keterangan	묘사	keterangan	N	N;SG
묘사	penggambaran	묘사	pengambaran	N	N;SG
몰락	kejatuhan	몰락	kejatuhan	N	N;SG
논리학	logika	논리학	logika	N	N;SG
간섭	intervensi	간섭	intervensi	N	N;SG
간섭	interferensi	간섭	interferensi	N	N;SG
간섭	gangguan	간섭	gangguan	N	N;SG
손상	kerusakan	손상	kerusakan	N	N;SG
호흡	napas	호흡	napas	N	N
호흡	pernapasan	호흡	pernapasan	N	N;SG
호흡	pernafasan	호흡	pernafasan	N	N;SG
호흡	pernapasan	호흡	pernapasan	N	N;SG
호흡	respirasi	호흡	respirasi	N	N
침대	tidur	침대	tidur	N	N;SG;ACT
휴식	istirahat	휴식	istirahat	N	N;SG
휴식	istirahat	휴식	istirahat	N	N;SG
휴식	relaksasi	휴식	relaksasi	N	N;SG
퀄컴	qualcomm	퀄컴	qualcomm	N	N
학술지	jurnal	학술지	jurnal	N	N;SG
냉방	pendingin	냉방	pendingin	N	N;SG
냉방	pendinginan	냉방	pendinginan	N	N;SG
시체	bodi	시체	bodi	N	N;SG
시체	tubuh	시체	tubuh	N	N;SG
시체	badan	시체	badan	N	N;SG
시체	mayat	시체	mayat	N	N;SG
시체	mayat	시체	mayat	N	N;SG
시체	jenasah	시체	jenasah	N	N;SG
시체	jenazah	시체	jenazah	N	N;SG
시체	mayat	시체	mayat	N	N;SG
시체	jenazah	시체	jenazah	N	N;SG
거미	laba	거미	laba	N	N;SG
모델링	pemodelan	모델링	penmodelan	N	N;SG
모델링	pemodelan	모델링	penmodelan	N	N;SG
가축	peternakan	가축	peternakan	N	N;SG
가축	beternak	가축	beternak	N	N
가축	ternak	가축	ternak	N	N;SG
가축	sapi	가축	sapi	N	N;SG
가축	ternak	가축	ternak	N	N;SG
웨딩	pernikahan	웨딩	pernikahan	N	N;SG
상점	ruko	상점	ruko	N	N
상점	toko	상점	toko	N	N;SG
상점	belanja	상점	belanja	N	N;SG
상점	toko	상점	toko	N	N;SG
상점	toko	상점	toko	N	N;SG
상점	simpan	상점	simpan	N	N;SG;ACT
상점	toko	상점	toko	N	N;SG
부재	ketidakhadiran	부재	ketidakhadiran	N	N;SG
부재	ketiadaan	부재	ketiadaan	N	N;SG
부재	absen	부재	absen	N	N;SG
바꾸기	ganti	바꾸+기	ganti	V	V;SG;ACT
바꾸기	mengganti	바꾸+기	menganti	V	V;SG;ACT
바꾸기	menggantikan	바꾸+기	mengantikan	V	V;SG;ACT
바꾸기	gantikan	바꾸+기	gantikan	V	V;SG;ACT
바꾸기	beralih	바꾸+기	beralih	V	V;SG;ACT
바꾸기	berubah	바꾸+기	berrubah	V	V;SG;ACT
바꾸기	ganti	바꾸+기	ganti	V	V;SG;ACT
바꾸기	mengubah	바꾸+기	menubah	V	V;SG;ACT
바꾸기	ubah	바꾸+기	ubah	V	V;SG;ACT
할당된	ditugaskan	할당+되+ㄴ	ditugaskan	V	V;SG;PASS
할당된	ditetapkan	할당+되+ㄴ	ditetapkan	V	V;SG;PASS
말하기	berbicara	말하+기	berbicara	V	V;SG;ACT
말하기	berbicara	말하+기	berbicara	V	V;SG;ACT
말하기	bicaralah	말하+기	bicaralah	V	V;SG;ACT
산술	aritmetik	산술	aritmetik	N	N
산술	aritmatika	산술	aritmatika	N	N
의자	ketua	의자	ketua	N	N;SG
의자	kursi	의자	kursi	N	N;SG
