van	از	van	از	ADP	ADP
voor	برای	voor	برای	ADP	ADP
met	با	met	با	ADP	ADP
uit	از	uit	از	ADP	ADP
score	نمره	score	نمره	N;MASC+FEM;SG	N;SG
score	امتیاز	score	امتیاز	N;MASC+FEM;SG	N;SG
tot	تا	tot	تا	ADP	ADP
naam	نام	naam	نام	N;MASC+FEM;SG	N;SG
soort	تیپ	soort	None	N;SG	N;SG
soort	نوع	soort	نوع	N;SG	N;SG
soort	تایپ	soort	تایپ	N;SG	N;SG
soort	گونه	soort	گونه	N;SG	N;SG
familie	فامیل	familie	فامیل	N;MASC+FEM;SG	N;SG
familie	خانوادگی	familie	خانوادگی	N;MASC+FEM;SG	N;SG
familie	خانواده	familie	خانواده	N;MASC+FEM;SG	N;SG
deze	اینها	deze	این	PRO	PRO;PL
maar	ولی	maar	ولی	CONJ	CONJ
maar	اما	maar	اما	CONJ	CONJ
wordt	گردد	worden	گشت#گرد	V;SG;PRS;FIN	V;SBJV;SG;3;PRS
geldig	معتبر	geldig	معتبر	ADJ	ADJ
over	درباره	over	درباره	ADP	ADP
over	دربارۀ	over	دربارۀ	ADP	ADP
heeft	دارد	hebben	داشت#دار	V;SG;PRS;FIN	V;SG;3;PRS
dan	پس	dan	پس	ADV	ADV
plaats	محل	plaats	محل	N;MASC+FEM;SG	N;SG
plaats	مکانی	plaats	مکان	N;MASC+FEM;SG	N;SG
plaats	مکان	plaats	مکان	N;MASC+FEM;SG	N;SG
plaats	جای	plaats	جا	N;MASC+FEM;SG	N;SG
plaats	جایی	plaats	جا	N;MASC+FEM;SG	N;SG
onder	زیر	onder	زیر	ADP	ADP
onder	تحت	onder	تحت	ADP	ADP
onder	زیر	onder	زیر	ADP	ADP
team	جوخه	team	جوخه	N;NEUT;SG	N;SG
team	تیم	team	تیم	N;NEUT;SG	N;SG
team	تیمی	team	تیم	N;NEUT;SG	N;SG
nog	همچنان	nog	همچنان	ADV	ADV
nog	هنوزم	nog	هنوزم	ADV	ADV
