krateret	cráter	kratere	cráter	N;DEF;NEUT;SG	N;MASC;SG
årgang	vintage	årgang	vintage	N;INDF;MASC+FEM;SG	N;MASC;SG
årgang	vendimia	årgang	vendimia	N;INDF;MASC+FEM;SG	N;FEM;SG
årgang	cosecha	årgang	cosecha	N;INDF;MASC+FEM;SG	N;FEM;SG
besøger	visitando	besøge	visitar	V;IND;PRS;FIN;ACT	V;V.MSDR
besøger	visitar	besøge	visitar	V;IND;PRS;FIN;ACT	V;NFIN
etnisk	étnico	etnisk	étnico	ADJ;INDF;SG	ADJ;MASC;SG
etnisk	étnica	etnisk	étnico	ADJ;INDF;SG	ADJ;FEM;SG
hat	gorro	hat	gorro	N;INDF;MASC+FEM;SG	N;MASC;SG
hat	sombrero	hat	sombrero	N;INDF;MASC+FEM;SG	N;MASC;SG
hat	hat	hat	haber	N;INDF;MASC+FEM;SG	N
hat	gorra	hat	gorra	N;INDF;MASC+FEM;SG	N;FEM;SG
reklamer	anuncios	reklame	anuncio	N;INDF;MASC+FEM;PL	N;MASC;PL
reklamer	anuncios	reklame	anuncio	N;INDF;MASC+FEM;PL	N;MASC;PL
clemens	clemens	cleme	clemens	N;INDF;MASC+FEM;SG	N;MASC;SG
flyder	flotando	flyde	flotar	V;IND;PRS;FIN;ACT	V;V.MSDR
flyder	flotar	flyde	flotar	V;IND;PRS;FIN;ACT	V;NFIN
flyder	flotar	flyde	flotar	V;IND;PRS;FIN;ACT	V;NFIN
flyder	fluye	flyde	fluir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
flyder	fluyendo	flyde	fluir	V;IND;PRS;FIN;ACT	V;V.MSDR
mekanisk	mecánicamente	mekanisk	mecánicamente	ADV	ADV
forvaltning	gerencia	forvaltning	gerencia	N;INDF;MASC+FEM;SG	N;FEM;SG
forvaltning	gestión	forvaltning	gestión	N;INDF;MASC+FEM;SG	N;FEM;SG
forvaltning	dirección	forvaltning	dirección	N;INDF;MASC+FEM;SG	N;FEM;SG
forvaltning	administración	forvaltning	administración	N;INDF;MASC+FEM;SG	N;FEM;SG
forvaltning	administración	forvaltning	administración	N;INDF;MASC+FEM;SG	N;FEM;SG
forvaltning	gobernanza	forvaltning	gobernanza	N;INDF;MASC+FEM;SG	N;FEM;SG
forvaltning	gobernación	forvaltning	gobernación	N;INDF;MASC+FEM;SG	N;FEM;SG
forvaltning	gobierno	forvaltning	gobierno	N;INDF;MASC+FEM;SG	N;MASC;SG
forvaltning	gobernabilidad	forvaltning	gobernabilidad	N;INDF;MASC+FEM;SG	N;FEM;SG
curling	curling	curling	curling	N;INDF;MASC+FEM;SG	N;MASC;SG
venter	esperándote	vente	esperándote	V;IND;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
venter	esperando	vente	esperar	V;IND;PRS;FIN;ACT	V;V.MSDR
venter	esperar	vente	esperar	V;IND;PRS;FIN;ACT	V;NFIN
venter	esperando	vente	esperar	V;IND;PRS;FIN;ACT	V;V.MSDR
tegne	suscribirse	tegne	suscribir	V;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
tegne	suscribir	tegne	suscribir	V;NFIN;ACT	V;NFIN
tegne	dibujar	tegne	dibujar	V;NFIN;ACT	V;NFIN
tegne	dibuja	tegne	dibuja	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
tegne	dibujar	tegne	dibujar	V;NFIN;ACT	V;NFIN
tegne	dibujando	tegne	dibujar	V;NFIN;ACT	V;V.MSDR
selvbiografi	autobiografía	selvbiografi	autobiografía	N;INDF;MASC+FEM;SG	N;FEM;SG
kontorer	oficinas	kontor	oficina	N;INDF;MASC+FEM;PL	N;FEM;PL
kontorer	despachos	kontor	despacho	N;INDF;MASC+FEM;PL	N;MASC;PL
besøge	visite	besøge	visitar	V;NFIN;ACT	V;IMP;SG;3;FIN
besøge	visitar	besøge	visitar	V;NFIN;ACT	V;NFIN
introduktion	introducción	introduktion	introducción	N;INDF;MASC+FEM;SG	N;FEM;SG
introduktion	intro	introduktion	intro	N;INDF;MASC+FEM;SG	N;FEM;SG
introduktion	introducción	introduktion	introducción	N;INDF;MASC+FEM;SG	N;FEM;SG
forstærkninger	refuerzos	forstærkning	refuerzo	N;INDF;MASC+FEM;PL	N;MASC;PL
forstærkninger	refuerzos	forstærkning	refuerzo	N;INDF;MASC+FEM;PL	N;MASC;PL
cello	chelo	cello	chelo	N;INDF;MASC+FEM;SG	N;MASC;SG
cello	violonchelo	cello	violonchelo	N;INDF;MASC+FEM;SG	N;MASC;SG
territorier	territorios	territori	territorio	N;INDF;MASC+FEM;PL	N;MASC;PL
svag	débil	svag	débil	ADJ;INDF;MASC+FEM;SG	ADJ;SG
løve	león	løve	león	N;INDF;MASC+FEM;SG	N;MASC;SG
sejler	navegando	sejle	navegar	V;IND;PRS;FIN;ACT	V;V.MSDR
sejler	navegar	sejle	navegar	V;IND;PRS;FIN;ACT	V;NFIN
indtage	ingerir	indtage	ingerir	V;NFIN;ACT	V;NFIN
sikrer	asegura	sikre	asegurar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
operationen	operación	operation	operación	N;DEF;MASC+FEM;SG	N;FEM;SG
operationen	funcionamiento	operation	funcionamiento	N;DEF;MASC+FEM;SG	N;MASC;SG
aftaler	ofertas	aftale	oferta	N;INDF;MASC+FEM;PL	N;FEM;PL
aftaler	contratos	aftale	contrato	N;INDF;MASC+FEM;PL	N;MASC;PL
aftaler	citas	aftale	cita	N;INDF;MASC+FEM;PL	N;FEM;PL
aftaler	designaciones	aftale	designación	N;INDF;MASC+FEM;PL	N;FEM;PL
aftaler	nombramientos	aftale	nombramiento	N;INDF;MASC+FEM;PL	N;MASC;PL
aftaler	convenios	aftale	convenio	N;INDF;MASC+FEM;PL	N;MASC;PL
aftaler	acuerdos	aftale	acuerdo	N;INDF;MASC+FEM;PL	N;MASC;PL
spænding	emoción	spænding	emoción	N;INDF;MASC+FEM;SG	N;FEM;SG
spænding	entusiasmo	spænding	entusiasmo	N;INDF;MASC+FEM;SG	N;MASC;SG
spænding	excitación	spænding	excitación	N;INDF;MASC+FEM;SG	N;FEM;SG
spænding	tensión	spænding	tensión	N;INDF;MASC+FEM;SG	N;FEM;SG
spænding	suspense	spænding	suspense	N;INDF;MASC+FEM;SG	N;MASC;SG
spænding	suspenso	spænding	suspenso	N;INDF;MASC+FEM;SG	N;MASC;SG
spænding	voltaje	spænding	voltaje	N;INDF;MASC+FEM;SG	N;MASC;SG
spænding	tensión	spænding	tensión	N;INDF;MASC+FEM;SG	N;FEM;SG
kontrakten	contrato	kontrakt	contrato	N;DEF;MASC+FEM;SG	N;MASC;SG
planlægning	programación	planlægning	programación	N;INDF;MASC+FEM;SG	N;FEM;SG
planlægning	planificación	planlægning	planificación	N;INDF;MASC+FEM;SG	N;FEM;SG
planlægning	planeación	planlægning	planeación	N;INDF;MASC+FEM;SG	N;FEM;SG
planlægning	planeamiento	planlægning	planeamiento	N;INDF;MASC+FEM;SG	N;MASC;SG
planlægning	programación	planlægning	programación	N;INDF;MASC+FEM;SG	N;FEM;SG
ubåde	submarinos	ubåd	submarino	N;INDF;MASC+FEM;PL	N;MASC;PL
ubåde	submarinos	ubåd	submarino	N;INDF;MASC+FEM;PL	N;MASC;PL
fløjte	silbato	fløjte	silbato	N;INDF;MASC+FEM;SG	N;MASC;SG
fløjte	silbido	fløjte	silbido	N;INDF;MASC+FEM;SG	N;MASC;SG
fløjte	flauta	fløjte	flauta	N;INDF;MASC+FEM;SG	N;FEM;SG
racen	raza	race	raza	N;DEF;MASC+FEM;SG	N;FEM;SG
racen	mestizo	race	mestizo	N;DEF;MASC+FEM;SG	N;MASC;SG
romantiske	románticas	romantisk	romántico	ADJ;PL	ADJ;FEM;PL
delstater	länder	delstat	länder	N;INDF;MASC+FEM;PL	N;MASC;PL
delstater	länder	delstat	länder	N;INDF;MASC+FEM;PL	N;MASC;PL
tykke	gruesos	tyk	grueso	ADJ;PL	ADJ;MASC;PL
sammenlægning	fusión	sammenlægning	fusión	N;INDF;MASC+FEM;SG	N;FEM;SG
sammenlægning	agregación	sammenlægning	agregación	N;INDF;MASC+FEM;SG	N;FEM;SG
zoo	zoológico	zoo	zoológico	N;INDF;MASC+FEM;SG	N;MASC;SG
zoo	zoo	zoo	zoo	N;INDF;MASC+FEM;SG	N;MASC;SG
tjekkisk	checa	tjekkisk	checo	ADJ;INDF;SG	ADJ;FEM;SG
opbakning	respaldo	opbakning	respaldo	N;INDF;MASC+FEM;SG	N;MASC;SG
indsigt	perspicacia	indsigt	perspicacia	N;INDF;MASC+FEM;SG	N;FEM;SG
blåt	azul	blå	azul	ADJ;INDF;NEUT;SG	ADJ;SG
jennifer	jennifer	jennif	jennifer	N;INDF;MASC+FEM;SG	N;FEM;SG
glemt	olvidé	glemme	olvidar	V;INDF;SG;PST;V.PTCP	V;IND;SG;1;PST;FIN
glemt	olvidó	glemme	olvidar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
meddelelser	avisos	meddelelse	aviso	N;INDF;MASC+FEM;PL	N;MASC;PL
meddelelser	notificaciones	meddelelse	notificación	N;INDF;MASC+FEM;PL	N;FEM;PL
meddelelser	mensajes	meddelelse	mensaje	N;INDF;MASC+FEM;PL	N;MASC;PL
meddelelser	comunicaciones	meddelelse	comunicación	N;INDF;MASC+FEM;PL	N;FEM;PL
luke	luke	luke	luke	N;INDF;MASC+FEM;SG	N
måne	luna	måne	luna	N;INDF;MASC+FEM;SG	N;FEM;SG
måne	moon	måne	moon	N;INDF;MASC+FEM;SG	N
krydsede	cruzó	krydse	cruzar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
regn	lluvia	regn	lluvia	N;INDF;MASC+FEM;SG	N;FEM;SG
nedbør	precipitación	nedbør	precipitación	N;INDF;MASC+FEM;SG	N;FEM;SG
nedbør	precipitación	nedbør	precipitación	N;INDF;MASC+FEM;SG	N;FEM;SG
bibliografi	bibliografía	bibliografi	bibliografía	N;INDF;MASC+FEM;SG	N;FEM;SG
kræft	cancer	kræft	cancer	N;INDF;MASC+FEM;SG	N
kræft	cáncer	kræft	cáncer	N;INDF;MASC+FEM;SG	N;MASC;SG
strækninger	tramos	strækning	tramo	N;INDF;MASC+FEM;PL	N;MASC;PL
strækninger	líneas	strækning	línea	N;INDF;MASC+FEM;PL	N;FEM;PL
strækninger	lines	strækning	lín	N;INDF;MASC+FEM;PL	N
strækninger	lineas	strækning	linea	N;INDF;MASC+FEM;PL	N;FEM;PL
strækninger	secciones	strækning	sección	N;INDF;MASC+FEM;PL	N;FEM;PL
