per	för	per	för	ADP	ADP
con	med	con	med	ADP	ADP
come	hur	come	hur	ADV	ADV
sono	är	essere	vara	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
più	mera	più	mycket	ADV	ADV;CMPR
più	mer	più	mycket	ADV	ADV;CMPR
anche	även	anche	även	ADV	ADV
anche	också	anche	också	ADV	ADV
anche	även	anche	även	ADV	ADV
team	laget	team	lag	N;MASC	N;NOM;DEF;NEUT;SG
team	lag	team	lag	N;MASC	N;NOM;INDF;MASC+FEM;SG
team	team	team	team	N;MASC	N;NOM;INDF;NEUT;SG
due	två	due	två	NUM	NUM;NOM
tra	bland	tra	bland	ADP	ADP
tra	emellan	tra	emellan	ADP	ADP
tra	mellan	tra	mellan	ADP	ADP
dopo	efteråt	dopo	efteråt	ADV	ADV
dopo	senare	dopo	sen	ADV	ADV;CMPR
prima	förut	prima	förut	ADV	ADV
prima	först	prima	först	ADV	ADV
parte	delen	parte	del	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
parte	del	parte	del	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
altri	andra	altro	annan	PRO;MASC;PL	PRO;INDF;PL
altri	andra	altro	annan	PRO;MASC;PL	PRO;INDF;PL
bar	bar	bar	ba	N;MASC	N;NOM;INDF;NEUT;SG
anni	åratal	anno	åratal	N;MASC;PL	N;NOM;INDF;NEUT;PL
anni	åren	anno	år	N;MASC;PL	N;NOM;DEF;NEUT;PL
italiano	italienskt	italiano	italiensk	ADJ;MASC;SG	ADJ;NOM;INDF;NEUT;SG
italiano	italiensk	italiano	italiensk	ADJ;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
esterni	yttre	esterno	yttre	ADJ;MASC;PL	ADJ;NOM;CMPR
esterni	yttre	esterno	yttre	ADJ;MASC;PL	ADJ;NOM;CMPR
collegamenti	anslutningar	collegamento	anslutning	N;MASC;PL	N;NOM;INDF;MASC+FEM;PL
collegamenti	förbindelser	collegamento	förbindelse	N;MASC;PL	N;NOM;INDF;MASC+FEM;PL
collegamenti	kopplingar	collegamento	koppling	N;MASC;PL	N;NOM;INDF;MASC+FEM;PL
collegamenti	länkar	collegamento	länka	N;MASC;PL	N;NOM;INDF;MASC+FEM;PL
serie	serier	serie	serie	N;FEM	N;NOM;INDF;MASC+FEM;PL
serie	serie	serie	serie	N;FEM	N;NOM;INDF;MASC+FEM;SG
serie	serien	serie	serien	N;FEM	N;NOM;DEF;MASC+FEM;SG
serie	serie	serie	serie	N;FEM	N;NOM;INDF;MASC+FEM;SG
film	filmer	film	filma	N;MASC	N;NOM;INDF;MASC+FEM;PL
film	filmer	film	filma	N;MASC	N;NOM;INDF;MASC+FEM;PL
film	film	film	film	N;MASC	N;NOM;INDF;MASC+FEM;SG
film	film	film	film	N;MASC	N;NOM;INDF;MASC+FEM;SG
regia	regi	regia	regi	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
regia	regia	regia	regia	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
città	town	città	town	N;FEM	N;NOM;INDF;MASC+FEM;SG
città	stad	città	stad	N;FEM	N;NOM;INDF;MASC+FEM;SG
città	staden	città	stad	N;FEM	N;NOM;DEF;MASC+FEM;SG
città	staden	città	stad	N;FEM	N;NOM;DEF;MASC+FEM;SG
città	city	città	city	N;FEM	N;NOM;INDF;NEUT;SG
città	ort	città	ort	N;FEM	N;NOM;INDF;MASC+FEM;SG
città	stad	città	stad	N;FEM	N;NOM;INDF;MASC+FEM;SG
città	orten	città	ort	N;FEM	N;NOM;DEF;MASC+FEM;SG
città	städer	città	stad	N;FEM	N;NOM;INDF;MASC+FEM;PL
città	orter	città	ort	N;FEM	N;NOM;INDF;MASC+FEM;PL
città	resmål	città	resmål	N;FEM	N;NOM;INDF;NEUT;SG
città	städerna	città	stad	N;FEM	N;NOM;DEF;MASC+FEM;PL
solo	bara	solo	bara	ADV	ADV
solo	enbart	solo	enbart	ADV	ADV
solo	endast	solo	endast	ADV	ADV
solo	bara	solo	bara	ADV	ADV
loro	deras	loro	de	PRO;PL;3	PRO;DEF
loro	sina	loro	sig	PRO;PL;3	PRO;DEF;PL
loro	dem	loro	de	PRO;PL;3	PRO;ACC;DEF;PL
loro	dom	loro	de	PRO;PL;3	PRO;NOM;DEF;PL
loro	de	loro	de	PRO;PL;3	PRO;NOM;DEF;PL
loro	dom	loro	de	PRO;PL;3	PRO;NOM;DEF;PL
primo	första	primo	en	ADJ;MASC;SG	ADJ;NOM
nome	namn	nome	namn	N;MASC;SG	N;NOM;INDF;NEUT;SG
nome	name	nome	name	N;MASC;SG	N;NOM;INDF;NEUT;SG
poi	sedan	poi	sedan	ADV	ADV
poi	sen	poi	sen	ADV	ADV
poi	då	poi	då	ADV	ADV
voce	röst	voce	röst	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
voce	voice	voce	voice	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
dove	där	dove	där	ADV	ADV
quando	när	quando	när	ADV	ADV
anno	anno	anno	anno	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
anno	year	anno	yea	N;MASC;SG	N;NOM;INDF;NEUT;SG
anno	årsmodell	anno	årsmodell	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
anno	året	anno	år	N;MASC;SG	N;NOM;DEF;NEUT;SG
anno	år	anno	år	N;MASC;SG	N;NOM;INDF;NEUT;SG
durante	under	durante	under	ADP	ADP
mentre	medan	mentre	medan	CONJ	CONJ
voci	poster	voce	post	N;FEM;PL	N;NOM;INDF;MASC+FEM;PL
voci	röster	voce	röst	N;FEM;PL	N;NOM;INDF;MASC+FEM;PL
fino	tills	fino	tills	ADV	ADV
tre	tre	tre	tre	NUM	NUM;NOM
tre	tre	tre	tre	NUM	NUM;NOM
molto	mycket	molto	mycket	ADV	ADV
molto	mycket	molto	mycket	ADV	ADV
può	kan	potere	kunna	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
hanno	har	avere	ha	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
comune	vanligt	comune	vanlig	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
comune	gemensamt	comune	gemensam	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
comune	vanlig	comune	vanlig	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
stagione	årstid	stagione	årstid	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
stagione	säsong	stagione	säsong	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
stagione	säsongen	stagione	säsong	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
gruppo	gruppen	gruppo	grupp	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
gruppo	grupp	gruppo	grupp	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
contro	mot	contro	mot	ADP	ADP
tempo	tid	tempo	tid	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
tempo	tidpunkt	tempo	tidpunkt	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
tempo	dags	tempo	dags	N;MASC;SG	N;MASC+FEM
tempo	klockslag	tempo	klockslag	N;MASC;SG	N;NOM;INDF;NEUT;SG
tempo	tiden	tempo	tid	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
abitanti	invånare	abitante	invånare	N;PL	N;NOM;INDF;MASC+FEM;PL
abitanti	innevånare	abitante	innevånare	N;PL	N;NOM;INDF;MASC+FEM;PL
chiesa	kyrkan	chiesa	kyrka	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
chiesa	kyrka	chiesa	kyrka	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
grande	stor	grande	stor	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
grande	stort	grande	stor	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
grande	stor	grande	stor	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
grande	stort	grande	stor	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
grande	härligt	grande	härlig	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
secolo	sekel	secolo	sekel	N;MASC;SG	N;NOM;INDF;NEUT;SG
secolo	århundrade	secolo	århundrad	N;MASC;SG	N;NOM;INDF;NEUT;SG
secolo	århundradet	secolo	århundrad	N;MASC;SG	N;NOM;DEF;NEUT;SG
guerra	kriget	guerra	krig	N;FEM;SG	N;NOM;DEF;NEUT;SG
guerra	krig	guerra	krig	N;FEM;SG	N;NOM;INDF;NEUT;SG
guerra	krigföring	guerra	krigföring	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
sempre	alltid	sempre	alltid	ADV	ADV
fatto	done	fare	dö	V;MASC;SG;PST;V.PTCP	V;IMP;FIN;ACT
fatto	gjort	fare	göra	V;MASC;SG;PST;V.PTCP	V;V.CVB;ACT
volta	volta	volta	volta	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
storia	berättelse	storia	berättelse	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
storia	händelse	storia	händelse	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
storia	story	storia	story	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
storia	historia	storia	historia	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
storia	historia	storia	historia	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
storia	historik	storia	historik	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
storia	historiken	storia	historik	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
fine	slutet	fine	slut	N;FEM;SG	N;NOM;DEF;NEUT;SG
fine	end	fine	end	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
fine	slut	fine	slut	N;FEM;SG	N;NOM;INDF;NEUT;SG
aveva	haft	avere	ha	V;IND;SG;3;IPFV;FIN	V;V.CVB;ACT
album	album	album	album	N;MASC	N;NOM;INDF;NEUT;SG
album	musikalbum	album	musikalbum	N;MASC	N;NOM;INDF;NEUT;SG
album	albumet	album	album	N;MASC	N;NOM;DEF;NEUT;SG
album	album	album	album	N;MASC	N;NOM;INDF;NEUT;SG
già	redan	già	redan	ADV	ADV
alcuni	vissa	alcuno	vissa	PRO;MASC;PL	PRO;INDF;PL
alcuni	somliga	alcuno	somlig	PRO;MASC;PL	PRO;INDF;PL
ancora	igen	ancora	igen	ADV	ADV
ancora	återigen	ancora	återigen	ADV	ADV
ancora	fortfarande	ancora	fortfarande	ADV	ADV
ancora	ändå	ancora	ändå	ADV	ADV
senza	utan	senza	utan	ADP	ADP
francese	fransk	francese	fransk	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
francese	franskt	francese	fransk	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
finale	sista	finale	sista	ADJ;SG	ADJ;NOM;DEF;RL
finale	slutlig	finale	slutlig	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
vita	life	vita	life	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
vita	livet	vita	liv	N;FEM;SG	N;NOM;DEF;NEUT;SG
vita	livstid	vita	livstid	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
vita	liv	vita	liv	N;FEM;SG	N;NOM;INDF;NEUT;SG
vita	midjan	vita	midja	N;FEM;SG	N;NOM;DEF;MASC+FEM;SG
vita	midja	vita	midja	N;FEM;SG	N;NOM;INDF;MASC+FEM;SG
titolo	avd	titolo	avd	N;MASC;SG	N
titolo	avdelning	titolo	avdelning	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
titolo	titel	titolo	titel	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
titolo	rubrik	titolo	rubrik	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
shift	skift	shift	skift	N	N;NOM;INDF;NEUT;PL
shift	shift	shift	shift	N	N;NOM;INDF;MASC+FEM;SG
campionato	mästerskap	campionato	mästerskap	N;MASC;SG	N;NOM;INDF;NEUT;SG
campionato	championship	campionato	championship	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
campionato	mästerskapet	campionato	mästerskap	N;MASC;SG	N;NOM;DEF;NEUT;SG
mondo	mondo	mondo	mondo	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
mondo	world	mondo	world	N;MASC;SG	N;NOM;NEUT;SG
mondo	värld	mondo	värld	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
mondo	världen	mondo	värld	N;MASC;SG	N;NOM;DEF;MASC+FEM;SG
tutto	allting	tutto	allting	PRO;MASC;SG	PRO;INDF;NEUT;SG
settembre	september	settembre	september	N;MASC;SG	N;NOM;INDF;MASC+FEM;SG
nazionale	nationellt	nazionale	nationell	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
nazionale	nationell	nazionale	nationell	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
italiana	italienskt	italiano	italiensk	ADJ;FEM;SG	ADJ;NOM;INDF;NEUT;SG
italiana	italiensk	italiano	italiensk	ADJ;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
circa	ungefär	circa	ungefär	ADV	ADV
circa	cirka	circa	cirka	ADV	ADV
sotto	under	sotto	under	ADP	ADP
