dan	og	dan	og	CONJ	CONJ
untuk	for	untuk	for	ADP	ADP
tahun	år	tahun	år	N;SG	N;INDF;NEUT;SG
tahun	aars	tahun	aars	N;SG	N;INDF;MASC+FEM;SG
tahun	året	tahun	år	N;SG	N;DEF;NEUT;SG
tahun	år	tahun	år	N;SG	N;INDF;NEUT;SG
juga	også	juga	også	ADV	ADV
menjadi	blive	menjadi	blive	V;SG;ACT	V;NFIN;ACT
bagian	afdeling	bagian	afdeling	N;SG	N;INDF;MASC+FEM;SG
bagian	sektion	bagian	sektion	N;SG	N;INDF;MASC+FEM;SG
bagian	afsnittet	bagian	afsnitte	N;SG	N;DEF;NEUT;SG
bagian	afsnit	bagian	afsnit	N;SG	N;INDF;NEUT;SG
bagian	del	bagian	del	N;SG	N;INDF;MASC+FEM;SG
spesies	art	spesies	art	N;SG	N;INDF;MASC+FEM;SG
spesies	dyreart	spesies	dyreart	N;SG	N;INDF;MASC+FEM;SG
orang	person	orang	person	N;SG	N;INDF;MASC+FEM;SG
luar	udvendig	luar	udvendig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
mereka	dem	mereka	de	PRO;PL;3	PRO;ACC;PL;3
mereka	de	mereka	de	PRO;PL;3	PRO;NOM;PL;3
memiliki	har	menmiliki	have	V;SG;ACT	V;IND;PRS;FIN;ACT
memiliki	har	menmiliki	have	V;SG;ACT	V;IND;PRS;FIN;ACT
memiliki	have	menmiliki	have	V;SG;ACT	V;NFIN;ACT
kota	town	kota	town	N;SG	N;INDF;MASC+FEM;SG
kota	byen	kota	by	N;SG	N;DEF;MASC+FEM;SG
kota	by	kota	by	N;SG	N;INDF;MASC+FEM;SG
kota	byen	kota	by	N;SG	N;DEF;MASC+FEM;SG
kota	storby	kota	storby	N;SG	N;INDF;MASC+FEM;SG
kota	by	kota	by	N;SG	N;INDF;MASC+FEM;SG
pranala	link	pranala	link	N;SG	N;INDF;NEUT;SG
pranala	linket	pranala	linke	N;SG	N;DEF;NEUT;SG
pranala	link	pranala	link	N;SG	N;INDF;NEUT;SG
pranala	links	pranala	links	N;SG	N;INDF;NEUT;SG
pranala	hyperlink	pranala	hyperlink	N;SG	N;INDF;NEUT;SG
karena	fordi	karena	fordi	CONJ	CONJ
desa	landsbyen	desa	landsby	N;SG	N;DEF;MASC+FEM;SG
desa	landsby	desa	landsby	N;SG	N;INDF;MASC+FEM;SG
ada	eksisterer	ada	eksistere	V;SG	V;IND;PRS;FIN;ACT
ada	eksistere	ada	eksistere	V;SG	V;NFIN;ACT
ada	findes	ada	findes	V;SG	V;IND;PRS;FIN;ACT
lebih	mere	lebih	mere	ADV	ADV;CMPR
nama	betegnelse	nama	betegnelse	N;SG	N;INDF;MASC+FEM;SG
nama	navn	nama	navn	N;SG	N;INDF;NEUT;SG
kayu	træ	kayu	træ	N;SG	N;INDF;NEUT;SG
kayu	træ	kayu	træ	N;SG	N;INDF;NEUT;SG
bahasa	sprog	bahasa	sprog	N;SG	N;INDF;NEUT;SG
bahasa	sprog	bahasa	sprog	N;SG	N;INDF;NEUT;SG
bahasa	sproget	bahasa	sprog	N;SG	N;DEF;NEUT;SG
asteroid	asteroider	asteroid	asteroide	N	N;INDF;MASC+FEM;PL
asteroid	asteroide	asteroid	asteroide	N	N;INDF;MASC+FEM;SG
besar	stor	besar	stor	ADJ;SG	ADJ;INDF;MASC+FEM;SG
besar	stort	besar	stor	ADJ;SG	ADJ;INDF;NEUT;SG
besar	stor	besar	stor	ADJ;SG	ADJ;INDF;MASC+FEM;SG
besar	stort	besar	stor	ADJ;SG	ADJ;INDF;NEUT;SG
besar	fantastisk	besar	fantastisk	ADJ;SG	ADJ;INDF;SG
besar	fedt	besar	fedt	ADJ;SG	ADJ;INDF;NEUT;SG
besar	stor	besar	stor	ADJ;SG	ADJ;INDF;MASC+FEM;SG
besar	skønt	besar	skøn	ADJ;SG	ADJ;INDF;NEUT;SG
besar	herligt	besar	herlig	ADJ;SG	ADJ;INDF;NEUT;SG
film	folie	film	folie	N;SG	N;INDF;MASC+FEM;SG
kelas	klasse	kelas	klasse	N;SG	N;INDF;MASC+FEM;SG
kelas	klassen	kelas	klasse	N;SG	N;DEF;MASC+FEM;SG
kecamatan	distriktet	kecamatan	distrikte	N;SG	N;DEF;NEUT;SG
kecamatan	district	kecamatan	district	N;SG	N;INDF;NEUT;SG
kecamatan	distrikt	kecamatan	distrikt	N;SG	N;INDF;NEUT;SG
negara	landet	negara	land	N;SG	N;DEF;NEUT;SG
negara	land	negara	land	N;SG	N;INDF;NEUT;SG
negara	stat	negara	stat	N;SG	N;INDF;MASC+FEM;SG
negara	delstat	negara	delstat	N;SG	N;INDF;MASC+FEM;SG
negara	tilstand	negara	tilstand	N;SG	N;INDF;MASC+FEM;SG
biasanya	normalt	biasanya	normalt	ADV	ADV
biasanya	sædvanligvis	biasanya	sædvanligvis	ADV	ADV
biasanya	typisk	biasanya	typisk	ADV	ADV
biasanya	normalt	biasanya	normalt	ADV	ADV
kemudian	derefter	kemudian	derefter	ADV	ADV
kemudian	så	kemudian	så	ADV	ADV
kemudian	senere	kemudian	senere	ADV	ADV;CMPR
kabupaten	regency	kabupaten	regency	N;SG	N;INDF;MASC+FEM;SG
kabupaten	county	kabupaten	county	N;SG	N;INDF;MASC+FEM;SG
kabupaten	amtet	kabupaten	amt	N;SG	N;DEF;NEUT;SG
kabupaten	amt	kabupaten	amt	N;SG	N;INDF;NEUT;SG
kabupaten	amtskommune	kabupaten	amtskommun	N;SG	N;INDF;MASC+FEM;SG
kabupaten	distriktet	kabupaten	distrikte	N;SG	N;DEF;NEUT;SG
kabupaten	district	kabupaten	district	N;SG	N;INDF;NEUT;SG
kabupaten	distrikt	kabupaten	distrikt	N;SG	N;INDF;NEUT;SG
kumbang	mariehøne	kumbang	mariehøne	N	N;INDF;MASC+FEM;SG
kumbang	bille	kumbang	bille	N	N;INDF;MASC+FEM;SG
lalat	flue	lalat	flue	N;SG	N;INDF;MASC+FEM;SG
genus	slægter	genus	slægte	N	N;INDF;MASC+FEM;PL
genus	slægt	genus	slægge	N	N;INDF;MASC+FEM;SG
ordo	ordo	ordo	ordo	N	N;INDF;MASC+FEM;SG
isi	indhold	isi	indhold	N;SG	N;INDF;NEUT;SG
isi	indholdet	isi	indhold	N;SG	N;DEF;NEUT;SG
isi	indholdsfortegnelse	isi	indholdsfortegnelse	N;SG	N;INDF;MASC+FEM;SG
