ve	och	ve	och	CONJ	CONJ
daha	mera	daha	mycket	ADV	ADV;CMPR
daha	mer	daha	mycket	ADV	ADV;CMPR
sonra	sedan	sonra	sedan	ADV	ADV
sonra	sen	sonra	sen	ADV	ADV
sonra	då	sonra	då	ADV	ADV
sonra	efteråt	sonra	efteråt	ADV	ADV
sonra	senare	sonra	sen	ADV	ADV;CMPR
yer	mötesplats	yer	mötesplats	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
yer	lokalen	yer	lokal	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
yer	ställe	yer	ställe	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
yer	place	yer	place	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
yer	plats	yer	plats	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
yer	platsen	yer	plats	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
yer	läge	yer	läge	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
yer	plats	yer	plats	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
bağlantılar	anslutningar	bağlantı	anslutning	N;NOM;PL;3	N;NOM;INDF;MASC+FEM;PL
bağlantılar	förbindelser	bağlantı	förbindelse	N;NOM;PL;3	N;NOM;INDF;MASC+FEM;PL
bağlantılar	kopplingar	bağlantı	koppling	N;NOM;PL;3	N;NOM;INDF;MASC+FEM;PL
bağlantılar	länkar	bağlantı	länka	N;NOM;PL;3	N;NOM;INDF;MASC+FEM;PL
bağlantılar	kontakter	bağlantı	kontakt	N;NOM;PL;3	N;NOM;INDF;MASC+FEM;PL
bağlantılar	kontakterna	bağlantı	kontakt	N;NOM;PL;3	N;NOM;DEF;MASC+FEM;PL
center	centrum	center	centrum	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
center	center	center	cent	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
center	mitten	center	mitt	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
türk	turkiska	türk	turkisk	ADJ	ADJ;NOM;PL
türk	turkisk	türk	turkisk	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
türk	turkiskt	türk	turkisk	ADJ	ADJ;NOM;INDF;NEUT;SG
diğer	annan	diğer	annan	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
diğer	övrig	diğer	övrig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
diğer	övriga	diğer	övrig	ADJ	ADJ;NOM;PL
diğer	övrigt	diğer	övrigt	ADJ	ADJ;NOM;INDF;NEUT;SG
yeni	ny	yeni	ny	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
yeni	nya	yeni	ny	ADJ	ADJ;NOM;PL
yeni	nytt	yeni	ny	ADJ	ADJ;NOM;INDF;NEUT;SG
her	varenda	her	varenda	DET	DET;INDF;SG
her	varje	her	varje	DET	DET;INDF;SG
ilgili	relevanta	ilgili	relevant	ADJ	ADJ;NOM;PL
ilgili	relevant	ilgili	relevant	ADJ	ADJ;NOM;INDF;NEUT;SG
ilgili	intresserad	ilgili	intresserad	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ilgili	intresserade	ilgili	intresserad	ADJ	ADJ;NOM;PL;PST;V.PTCP
ilgili	relaterad	ilgili	relaterad	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ilgili	relaterat	ilgili	relatera	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
ilgili	närstående	ilgili	närstående	ADJ	ADJ;NOM
ilgili	relaterade	ilgili	relatera	ADJ	ADJ;NOM;PL;PST;V.PTCP
madde	substans	madde	substans	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
madde	ämne	madde	ämne	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
madde	klausul	madde	klausul	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
madde	material	madde	material	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
madde	materia	madde	materi	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
madde	artikeln	madde	artikel	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
madde	artikel	madde	artikel	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
sağlık	välmående	sağlık	välmående	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
sağlık	hälsa	sağlık	hälsa	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
sağlık	sjukvård	sağlık	sjukvård	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
sağlık	hälsovård	sağlık	hälsovård	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
genel	generiska	genel	generisk	ADJ	ADJ;NOM;PL
genel	generiskt	genel	generisk	ADJ	ADJ;NOM;INDF;NEUT;SG
genel	allmän	genel	allmän	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
genel	allmänna	genel	allmän	ADJ	ADJ;NOM;PL
adı	namn	ad	namn	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
adı	name	ad	name	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
ama	men	ama	men	CONJ	CONJ
içinde	inomhus	içinde	inomhus	ADV	ADV
içinde	inne	içinde	inne	ADV	ADV
üniversitesi	university	üniversitesi	university	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
üniversitesi	universitet	üniversitesi	universitet	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
üniversitesi	universitetet	üniversitesi	universitet	N;NOM;SG;3	N;NOM;DEF;NEUT;SG
üniversitesi	högskola	üniversitesi	högskola	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
zaman	tid	zaman	tid	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
zaman	tidpunkt	zaman	tidpunkt	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
zaman	dags	zaman	dags	N;NOM;SG;3	N;MASC+FEM
zaman	klockslag	zaman	klockslag	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
zaman	tiden	zaman	tid	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
bazı	några	bazı	någon	DET	DET;INDF;PL
aralık	december	aralık	december	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
aralık	dec	aralık	de	N;NOM;SG;3	N
aralık	intervall	aralık	intervall	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
yüksek	höga	yüksek	hög	ADJ	ADJ;NOM;PL
yüksek	hög	yüksek	hög	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
yüksek	högt	yüksek	hög	ADJ	ADJ;NOM;INDF;NEUT;SG
yüksek	högre	yüksek	hög	ADJ	ADJ;NOM;CMPR
sadece	bara	sadece	bara	ADV	ADV
