жлези	αδένες	жлез	άδενα	N;INDF;FEM;PL	N;NOM;MASC;PL
улицата	οδός	улица	οδός	N;DEF;FEM;SG	N;NOM;FEM;SG
улицата	δρόμος	улица	δρόμος	N;DEF;FEM;SG	N;NOM;MASC;SG
отразяват	αντικατοπτρίζουν	отразявам-(се)	αντικατοπτρίζω	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
маркетинг	μάρκετινγκ	маркетинг	μάρκετινγκ	N;INDF;MASC;SG	N;NOM;NEUT;SG
маркетинг	εμπορία	маркетинг	εμπορία	N;INDF;MASC;SG	N;NOM;FEM;SG
реклами	διαφημίσεις	реклам	διάφημιση	N;INDF;FEM;PL	N;NOM;FEM;PL
разрушени	καταστραφεί	разруша-(се)	καταστρέφω	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;NFIN;PASS
разрушени	καταστράφηκαν	разруша-(се)	καταστρέφω	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;IND;PL;3;PST;FIN;PASS
разрушени	κατεστραμμένα	разруша-(се)	κατεστρέφω	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
разрушени	κατεδαφιστεί	разруша-(се)	κατεδαφίζω	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;NFIN;PASS
нула	μηδέν	нула	μηδέν	N;INDF;FEM;SG	N;NOM;NEUT;SG
театри	θέατρα	театър	θέατρο	N;INDF;MASC;PL	N;NOM;NEUT;PL
театри	θέατρα	театър	θέατρο	N;INDF;MASC;PL	N;NOM;NEUT;PL
кризата	κρίση	криза	κρίση	N;DEF;FEM;SG	N;NOM;FEM;SG
кризата	κριση	криза	κριση	N;DEF;FEM;SG	N;NOM;FEM;SG
забележка	νότα	забележка	νότος	N;INDF;FEM;SG	N;NOM;FEM;SG
забележка	σημείωμα	забележка	σημείωμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
забележка	σημείωση	забележка	σημείωση	N;INDF;FEM;SG	N;NOM;FEM;SG
забележка	παρατήρηση	забележка	παρατήρηση	N;INDF;FEM;SG	N;ACC;FEM;SG
колекции	συλλογές	колекция	συλλογή	N;INDF;FEM;PL	N;NOM;FEM;PL
султана	σουλτάνα	султана	σουλτάνα	N;DEF;MASC;SG	N;NOM;FEM;SG
султана	σουλτάνος	султана	σουλτάνος	N;DEF;MASC;SG	N;NOM;MASC;SG
етика	δεοντολογία	етика	δεοντολογία	N;INDF;FEM;SG	N;NOM;FEM;SG
представено	παρουσιάστηκε	представя-(се)	παρουσιάζω	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
представено	υποβλήθηκε	представя-(се)	υποβάλλω	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
плод	καρπός	плод	καρπός	N;INDF;MASC;SG	N;NOM;MASC;SG
плод	φρούτο	плод	φρούτος	N;INDF;MASC;SG	N;NOM;NEUT;SG
имението	έπαυλη	имение	έπαυλος	N;DEF;NEUT;SG	N;NOM;FEM;SG
имението	μέγαρο	имение	μέγαρος	N;DEF;NEUT;SG	N;NOM;NEUT;SG
имението	αρχοντικό	имение	αρχοντικός	N;DEF;NEUT;SG	N;NOM;NEUT;SG
езиците	γλώσσες	език	γλώσσα	N;DEF;MASC;PL	N;NOM;FEM;PL
доктрина	δόγμα	доктрина	δόγμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
еволюцията	εξέλιξη	еволюция	εξέλιξη	N;DEF;FEM;SG	N;ACC;FEM;SG
еволюцията	εξελιξη	еволюция	εξελιξη	N;DEF;FEM;SG	N;NOM;FEM;SG
рицар	ιππότης	рицар	ιππότης	N;INDF;MASC;SG	N;NOM;MASC;SG
рицар	ιππότη	рицар	ιππότης	N;INDF;MASC;SG	N;NOM;MASC;SG
тото	τότο	тото	τότος	N;INDF;NEUT;SG	N
плаща	πληρώνει	плащам	πληρώνω	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
оригинален	αυθεντικό	оригинален	αυθεντικός	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
оригинален	αρχική	оригинален	αρχικός	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
оригинален	αρχικό	оригинален	αρχικός	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
оригинален	αρχικός	оригинален	αρχικός	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
твърд	δύσκολο	твърд	δύσκολος	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
твърд	σκληρός	твърд	σκληρός	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
твърд	σκληρό	твърд	σκληρός	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
твърд	σκληρή	твърд	σκληρός	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
твърд	άκαμπτο	твърд	άκαμπτος	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
твърд	άκαμπτη	твърд	άκαμπτος	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
умрял	πέθανε	умра	πεθαίνω	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
умрял	πεθανε	умра	πεθαίνω	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
значения	σημασίες	значение	σημασία	N;INDF;NEUT;PL	N;NOM;FEM;PL
значения	νοήματα	значение	νόημα	N;INDF;NEUT;PL	N;NOM;NEUT;PL
планети	πλανήτες	планета	πλανήτης	N;INDF;FEM;PL	N;NOM;MASC;PL
молекули	μόρια	молекул	μόριο	N;INDF;MASC;PL	N;NOM;NEUT;PL
молекули	μορίων	молекул	μορίο	N;INDF;MASC;PL	N;GEN;NEUT;PL
наляво	αριστερά	наляво	αριστερά	ADV	ADV
наляво	αριστερα	наляво	αριστέρα	ADV	ADV
