ve	y	ve	y	CONJ	CONJ
daha	más	daha	más	ADV	ADV
daha	mas	daha	mas	ADV	ADV
sonra	luego	sonra	luego	ADV	ADV
sonra	entonces	sonra	entonces	ADV	ADV
sonra	después	sonra	después	ADV	ADV
sonra	posteriormente	sonra	posteriormente	ADV	ADV
sonra	después	sonra	después	ADV	ADV
yer	lugar	yer	lugar	N;NOM;SG;3	N;MASC;SG
yer	lugar	yer	lugar	N;NOM;SG;3	N;MASC;SG
yer	place	yer	place	N;NOM;SG;3	N
yer	lugar	yer	lugar	N;NOM;SG;3	N;MASC;SG
yer	ubicacion	yer	ubicacion	N;NOM;SG;3	N;FEM;SG
yer	ubicación	yer	ubicación	N;NOM;SG;3	N;FEM;SG
yer	emplazamiento	yer	emplazamiento	N;NOM;SG;3	N;MASC;SG
yer	localización	yer	localización	N;NOM;SG;3	N;FEM;SG
dış	dis	dış	dis		
bağlantılar	conexiones	bağlantı	conexión	N;NOM;PL;3	N;FEM;PL
bağlantılar	acoplamientos	bağlantı	acoplamiento	N;NOM;PL;3	N;MASC;PL
bağlantılar	vínculos	bağlantı	vínculo	N;NOM;PL;3	N;MASC;PL
bağlantılar	enlaces	bağlantı	enlace	N;NOM;PL;3	N;MASC;PL
bağlantılar	links	bağlantı	link	N;NOM;PL;3	N;MASC;PL
bağlantılar	contactos	bağlantı	contacto	N;NOM;PL;3	N;MASC;PL
center	centro	center	centro	N;NOM;SG;3	N;MASC;SG
center	center	center	center	N;NOM;SG;3	N;MASC;SG
ayrıca	tambien	ayrıca	tambien		
türk	turca	türk	turco	ADJ	ADJ;FEM;SG
türk	turca	türk	turco	ADJ	ADJ;FEM;SG
yeni	nuevas	yeni	nuevo	ADJ	ADJ;FEM;PL
yeni	nuevos	yeni	nuevo	ADJ	ADJ;MASC;PL
yeni	nuevo	yeni	nuevo	ADJ	ADJ;MASC;SG
yeni	nueva	yeni	nuevo	ADJ	ADJ;FEM;SG
her	cada	her	cada	DET	DET;SG
aynı	mismo	aynı	mismo	ADJ	ADJ;MASC;SG
bağlı	até	bağlı	até		
