von	من	von	مِن	ADP	ADP
mit	مع	mit	مَعَ	ADP	ADP;ACC
auch	حتى	auch	حَتَّى	ADV	ADV
auch	ايضا	auch	أَيضًا	ADV	ADV
auch	ايضا	auch	أَيضًا	ADV	ADV
nicht	لا	nicht	لَا	PART;NEG	PART
nach	بعد	nach	بَعدَ	ADP	ADP;NOM
aus	من	aus	مِن	ADP	ADP
aus	خارج	aus	خَارِجَ	ADP	ADP;ACC
sie	هي	sie	هُوَ	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
durch	عبر	durch	عَبرَ	ADP	ADP;ACC
durch	خلال	durch	خِلَالَ	ADP	ADP;ACC
über	حول	über	حَولَ	ADP	ADP;ACC
über	عن	über	عَن	ADP	ADP
über	عبر	über	عَبرَ	ADP	ADP;ACC
wie	مثل	wie	مِثلَ	ADP	ADP;NOM
nur	فقط	nur	فَقَط	ADV	ADV
nur	فقط	nur	فَقَط	ADV	ADV
unter	تحت	unter	تَحتَ	ADP	ADP;ACC
vor	قبل	vor	قَبلَ	ADP	ADP;ACC
hier	هنا	hier	هُنَا	ADV	ADV
diskussion	مناقشات	diskussion	مُنَاقَشَة	N	N;NOM;INDF;PL
diskussion	المناقشات	diskussion	مُنَاقَشَة	N	N;NOM;DEF;PL
diskussion	النقاشات	diskussion	نِقَاش	N	N;NOM;DEF;PL
diskussion	مناقشات	diskussion	مُنَاقَشَة	N	N;NOM;INDF;PL
diskussion	مناقشة	diskussion	مُنَاقَشَة	N	N;NOM;INDF;SG
diskussion	المناقشات	diskussion	مُنَاقَشَة	N	N;NOM;DEF;PL
diskussion	نقاش	diskussion	نِقَاش	N	N;NOM;INDF;SG
diskussion	المناقشة	diskussion	مُنَاقَشَة	N	N;NOM;DEF;SG
diskussion	مناقشة	diskussion	مُنَاقَشَة	N	N;NOM;INDF;SG
diskussion	المناظرة	diskussion	مُنَاظَرَة	N	N;NOM;DEF;SG
diskussion	نقاش	diskussion	نِقَاش	N	N;NOM;INDF;SG
diskussion	المناقشة	diskussion	مُنَاقَشَة	N	N;NOM;DEF;SG
seit	منذ	seit	مُنذُ	ADP	ADP
jahr	عام	Jahr	عَام	N;NOM;NEUT;SG	N;NOM;INDF;SG
jahr	العام	Jahr	عَام	N;NOM;NEUT;SG	N;NOM;DEF;SG
jahr	السنه	Jahr	سَنه	N;NOM;NEUT;SG	N;NOM;DEF;SG
jahr	سنة	Jahr	سَنَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
jahr	سنه	Jahr	سنه	N;NOM;NEUT;SG	N;NOM;INDF;SG
jahr	السنة	Jahr	سَنَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
dann	اذن	dann	إِذَن	ADV	ADV
zwei	اثنين	zwei	اِثنَان	NUM	NUM;NOM;INDF;MASC
zwei	اثنتان	zwei	اِثنَان	NUM	NUM;NOM;INDF;FEM
zwischen	بين	zwischen	بَينَ	ADP	ADP;ACC
team	الفريق	team	فَرِيق	N;NOM;NEUT;SG	N;NOM;DEF;SG
team	فريق	team	فَرِيق	N;NOM;NEUT;SG	N;NOM;INDF;SG
gegen	ضد	gegen	ضِدَّ	ADP	ADP;ACC
gibt	يعترف	geben	اِعتَرَف	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
gibt	يقر	geben	أَقَرّ	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
gibt	ترجع	geben	رَجَع	V;IND;SG;3;PRS;FIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
gibt	يعطي	geben	أَعطَى	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
gibt	تعطي	geben	أَعطَى	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
deutscher	الالمانية	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
deutscher	الالماني	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
deutscher	الماني	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
deutscher	المانية	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
dort	هناك	dort	هُنَاكَ	ADV	ADV
drei	ثلاثة	drei	ثَلَاثَة	NUM	NUM;NOM;INDF;MASC
drei	ثلاث	drei	ثَلَاثَة	NUM	NUM;NOM;INDF;FEM
deutschen	الالمانية	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
deutschen	الالماني	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
deutschen	الماني	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
deutschen	المانية	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
anderen	اخرون	ander	آخَر	ADJ;NOM;PL	ADJ;NOM;INDF;MASC;PL
anderen	الاخرون	ander	آخَر	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;PL
später	لاحقا	spät	لَاحِق	ADJ	ADJ;ACC;INDF;MASC;SG
später	لاحق	spät	لَاحِق	ADJ	ADJ;NOM;INDF;MASC;SG
ihr	هي	ihr	هُوَ	PRO;NOM;MASC;SG	PRO;NOM;FEM;SG;3
gemeinde	البلدية	gemeinde	بَلَدِيَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
gemeinde	بلدية	gemeinde	بَلَدِيَّة	N;NOM;FEM;SG	N;NOM;INDF;SG
gemeinde	مجتمع	gemeinde	مُجتَمَع	N;NOM;FEM;SG	N;NOM;INDF;SG
gemeinde	المجتمع	gemeinde	مُجتَمَع	N;NOM;FEM;SG	N;NOM;DEF;SG
gemeinde	الجماعة	gemeinde	جَمَاعَة	N;NOM;FEM;SG	N;NOM;DEF;SG
selbst	حتى	selbst	حَتَّى	ADV	ADV
andere	اخرون	ander	آخَر	ADJ;NOM;FEM;PL	ADJ;NOM;INDF;MASC;PL
andere	الاخرون	ander	آخَر	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;MASC;PL
verlag	الناشر	verliegen	نَاشِر	N;NOM;MASC;SG	N;NOM;DEF;SG
steht	يقف	stehen	وَقَف	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
liste	قائمة	lassen	قَائِمَة	N;NOM;FEM;SG	N;NOM;INDF;SG
liste	القائمة	lassen	قَائِمَة	N;NOM;FEM;SG	N;NOM;DEF;SG
