nie	नहीं	nie	नहीं	PART;NEG	PART;NEG
center	मध्य	center	मध्य		
cest	cest	cest	cest		
dyskusja	परिचर्चा	dyskusja	परिचर्चा	N;NOM;FEM;SG	N;NOM;FEM;SG;3
dyskusja	चर्चा	dyskusja	चर्चा	N;NOM;FEM;SG	N;NOM;FEM;SG;3
też	भी	też	भी	PART	PART
też	भी	też	भी	PART	PART
miejsce	जगह	miejsce	जगह	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
miejsce	स्थान	miejsce	स्थान	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	प्लेस	miejsce	प्लेस	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
miejsce	स्थल	miejsce	स्थल	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	स्थान	miejsce	स्थान	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
linki	कड़ियाँ	linka	कड़ी	N;NOM;FEM;PL	N;NOM;FEM;PL;3
zewnętrzne	बाहरी	zewnętrzny	बाहरी	ADJ;NOM;NEUT;SG	ADJ;NOM
zewnętrzne	बाहरी	zewnętrzny	बाहरी	ADJ;NOM;NEUT;SG	ADJ;NOM
także	भी	także	भी	PART	PART
ale	लेकिन	ale	लेकिन	CONJ	CONJ
ale	मगर	ale	मगर	CONJ	CONJ
również	भी	również	भी	PART	PART
miejscowość	बस्ती	miejscowość	बस्ती	N;NOM;FEM;SG	N;NOM;FEM;SG;3
miejscowość	नगर	miejscowość	नगर	N;NOM;FEM;SG	N;NOM;MASC;SG;3
miejscowość	कस्बा	miejscowość	कस्बा	N;NOM;FEM;SG	N;NOM;MASC;SG;3
miejscowość	शहर	miejscowość	शहर	N;NOM;FEM;SG	N;NOM;MASC;SG;3
miejscowość	सिटी	miejscowość	सिटी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
miejscowość	नगर	miejscowość	नगर	N;NOM;FEM;SG	N;NOM;MASC;SG;3
tylko	सिर्फ	tylko	सिर्फ	PART	PART
tylko	केवल	tylko	केवल	PART	PART
tylko	सिर्फ	tylko	सिर्फ	PART	PART
maja	may	mieć	may		
maja	माया	mieć	माया		
zobacz	देख	zobaczyć	देख	V;PFV;IMP;SG;2;FIN;ACT	V;ACT
rok	वर्ष	rok	वर्ष	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rok	साल	rok	साल	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wieś	गांव	wieś	गाँव	N;NOM;FEM;SG	N;NOM;MASC;SG;3
później	बाद	późno	बाद	ADV;CMPR	ADV;NOM;MASC;SG;3
lutego	feb	luty	feb		
lutego	फर	luty	फर		
pierwszy	प्रथम	pierwszy	प्रथम	ADJ;NOM;MASC;SG	ADJ
pierwszy	पहली	pierwszy	पहला	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
pierwszy	पहला	pierwszy	पहला	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
znajduje	पाता	znajdować	पा	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;SG;V.PTCP;ACT
data	आँकड़ा	datać	आँकडा		
miasto	बस्ती	miasto	बस्ती	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
miasto	नगर	miasto	नगर	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miasto	कस्बा	miasto	कस्बा	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miasto	शहर	miasto	शहर	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miasto	सिटी	miasto	सिटी	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
miasto	नगर	miasto	नगर	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
lata	सालों	rok	साल	N;NOM;MASC;PL	N;NOM;MASC;PL;3
lata	वर्षों	rok	वर्ष	N;NOM;MASC;PL	N;NOM;MASC;PL;3
nazwa	नाम	nazwa	नाम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
obecnie	फिलहाल	obecnie	फिलहाल	ADV	ADV
dwa	दो	dwa	दो	NUM;ACC;MASC;PL	NUM
liczba	संख्या	liczba	संख्या	N;NOM;FEM;SG	N;NOM;FEM;SG;3
liczba	नंबर	liczba	नंबर	N;NOM;FEM;SG	N;NOM;MASC;SG;3
część	हिस्से	część	हिस्सा	N;NOM;FEM;SG	N;NOM;MASC;SG;3
część	हिस्सा	część	हिस्सा	N;NOM;FEM;SG	N;NOM;MASC;SG;3
mieszkańców	निवासियों	mieszkaniec	निवासी	N;ACC;MASC;PL	N;ACC;MASC;PL;3
mieszkańców	निवासियों	mieszkaniec	निवासी	N;ACC;MASC;PL	N;ACC;MASC;PL;3
iii	iii	iii	iii		
około	लगभग	około	लगभग	PART	PART
skład	संरचना	skład	संरचना	N;NOM;MASC;SG	N;NOM;FEM;SG;3
strona	पृष्ठ	strona	पृष्ठ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
strona	पेज	strona	पेज	N;NOM;FEM;SG	N;NOM;MASC;SG;3
strona	साइट	strona	साइट	N;NOM;FEM;SG	N;NOM;FEM;SG;3
strona	साईट	strona	साईट	N;NOM;FEM;SG	N;NOM;FEM;SG;3
zespół	बैंड	zespół	बैंड	N;NOM;MASC;SG	N;NOM;MASC;SG;3
zespół	टीम	zespół	टीम	N;NOM;MASC;SG	N;NOM;FEM;SG;3
zespół	टोली	zespół	टोली	N;NOM;MASC;SG	N;NOM;FEM;SG;3
kościół	गिरजाघर	kościół	गिरजाघर	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kościół	चर्च	kościół	चर्च	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kościół	गिरिजाघर	kościół	गिरिजाघर	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dwóch	दो	dwa	दो	NUM;ACC;MASC;PL	NUM
wynik	अंक	wynik	अंक	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	स्कोर	wynik	स्कोर	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	रिजल्ट	wynik	रिजल्ट	N;NOM;MASC;SG	N;NOM;MASC;SG;3
lista	सूची	list	सूची	N;NOM;FEM;SG	N;NOM;FEM;SG;3
bgcolor	bgcolor	bgcolor	bgcolor		
album	एलबम	album	एलबम	N;NOM;MASC;SG	N;NOM;MASC;SG;3
album	एल्बम	album	एल्बम	N;NOM;MASC;SG	N;NOM;MASC;SG;3
amerykański	अमरीकी	amerykański	अमरीकी	ADJ;NOM;MASC;SG	ADJ
wielu	कई	wiele	कई	DET;ACC;MASC;PL	DET
wielu	अनेक	wiele	अनेक	DET;ACC;MASC;PL	DET
wielu	अनेक	wiele	अनेक	DET;ACC;MASC;PL	DET
opis	कैप्शन	opis	कैप्शन		
czas	वक़्त	czas	वक़्त	N;NOM;MASC;SG	N;NOM;MASC;SG;3
czas	वक्त	czas	वक्त	N;NOM;MASC;SG	N;NOM;MASC;SG;3
czas	समय	czas	समय	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pierwsze	प्रथम	pierwszy	प्रथम	ADJ;NOM;NEUT;SG	ADJ
pierwsze	पहली	pierwszy	पहला	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
pierwsze	पहला	pierwszy	पहला	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
wiele	कई	wiele	कई	DET;ACC;MASC;PL	DET
wiele	अनेक	wiele	अनेक	DET;ACC;MASC;PL	DET
wiele	अनेक	wiele	अनेक	DET;ACC;MASC;PL	DET
kilka	कई	kilka	कई	DET;ACC;MASC;PL	DET
kilka	अनेक	kilka	अनेक	DET;ACC;MASC;PL	DET
trzy	तीन	trzy	तीन	NUM;ACC;MASC;PL	NUM
źródło	स्रोत	źródło	स्रोत	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
źródło	सोर्स	źródło	सोर्स	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
nawet	भी	nawet	भी	PART	PART
gęstość	घनत्व	gęstość	घनत्व	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kariera	कैरियर	kariera	कैरियर	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kariera	आजीविका	kariera	आजीविका	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kariera	करियर	kariera	करियर	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kariera	कैरियर	kariera	कैरियर	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kariera	करियर	kariera	करियर	N;NOM;FEM;SG	N;NOM;MASC;SG;3
miejsca	स्थितियाँ	miejsce	स्थिति	N;NOM;NEUT;PL	N;NOM;FEM;PL;3
profil	रूपरेखा	profil	रूपरेखा	N;NOM;MASC;SG	N;NOM;FEM;SG;3
profil	प्रोफाइल	profil	प्रोफाइल	N;NOM;MASC;SG	N;NOM;MASC;SG;3
profil	प्रोफ़ाइल	profil	प्रोफ़ाइल	N;NOM;MASC;SG	N;NOM;MASC;SG;3
często	अक्सर	często	अक्सर	ADV	ADV
często	अक्सर	często	अक्सर	ADV	ADV
często	प्रायः	często	प्रायः	ADV	ADV
