聖歌	التراتيل	聖歌	تَرتِيل	N	N;NOM;DEF;PL
塩素	الكلور	塩素	كُلُور	N	N;NOM;DEF;SG
パッチ	رقعة	パッチ	رَقعَة	N	N;NOM;INDF;SG
パッチ	الرقعة	パッチ	رُقعَة	N	N;NOM;DEF;SG
パッチ	رقعة	パッチ	رَقعَة	N	N;NOM;INDF;SG
筆記	كتابة	筆記	كِتَابَة	N	N;NOM;INDF;SG
筆記	الكتابة	筆記	كِتَابَة	N	N;NOM;DEF;SG
リハビリ	التاهيل	リハビリ	تَاهِيل	N	N;NOM;DEF;SG
苦情	الشكاوى	苦情	شَكوَى	N	N;NOM;DEF;PL
苦情	شكاوى	苦情	شَكوَى	N	N;NOM;INDF;PL
苦情	الشكوى	苦情	شَكوَى	N	N;NOM;DEF;SG
苦情	شكوى	苦情	شَكوَى	N	N;NOM;INDF;SG
代名詞	الضمائر	代名詞	ضَمِيرَة	N	N;NOM;DEF;PL
静脈	الوريد	静脈	وَرِيد	N	N;NOM;DEF;SG
チューン	اللحن	チューン	لَحن	N	N;NOM;DEF;SG
開示	كشف	開示	كَشَف	V	V;PFV;MASC;SG;3;ACT
エデン	عدن	エデン	عَدَن	N	N;NOM;INDF;SG
デザート	الحلوى	デザート	حَلوَى	N	N;NOM;DEF;SG
デザート	التحلية	デザート	تَحلِيَة	N	N;NOM;DEF;SG
デザート	صحراء	デザート	صَحرَاء	N	N;NOM;INDF;SG
デザート	الصحراء	デザート	صَحرَاء	N	N;NOM;DEF;SG
デザート	الحلويات	デザート	حَلوَى	N	N;NOM;DEF;PL
動脈	شريان	動脈	شِريَان	N	N;NOM;INDF;SG
動脈	الشريان	動脈	شَرِين	N	N;NOM;DEF;SG
動脈	الشرايين	動脈	شِريَان	N	N;NOM;DEF;PL
織物	النسيج	織物	نَسِيج	N	N;NOM;DEF;SG
織物	النسيج	織物	نَسِيج	N	N;NOM;DEF;SG
織物	قماش	織物	قِمَاش	N	N;NOM;INDF;SG
織物	القماش	織物	قِمَاش	N	N;NOM;DEF;SG
織物	المنسوجات	織物	مَنسُوج	N	N;NOM;DEF;PL
礼	اداب	礼	أَدَاب	N	N;NOM;INDF;SG
礼	مجاملة	礼	مُجَامَلَة	N	N;NOM;INDF;SG
礼	المجاملة	礼	مُجَامَلَة	N	N;NOM;DEF;SG
竜巻	اعصار	竜巻	إِعصَار	N	N;NOM;INDF;SG
竜巻	الاعصار	竜巻	عَصَر	N	N;NOM;DEF;SG
竜巻	الاعاصير	竜巻	الاعاصير	N	N;NOM;DEF;PL
唱える	يرددون	唱える	رَدَّد	V	V;IPFV;MASC;IND;PL;3;FIN;ACT
日没	غروب	日没	غُرُوب	N	N;NOM;INDF;SG
日没	الغروب	日没	غُرُوب	N	N;NOM;DEF;SG
ディナー	عشاء	ディナー	عَشَاء	N	N;NOM;INDF;SG
ディナー	العشاء	ディナー	عَشَاء	N	N;NOM;DEF;SG
白金	البلاتين	白金	بَلَاتِين	N	N;NOM;DEF;SG
コンタクト	للاتصال	コンタクト	للاتصال	N	N;NOM;DEF;SG
コンタクト	اتصال	コンタクト	اِتِّصَال	N	N;NOM;INDF;SG
コンタクト	الاتصال	コンタクト	اِتِّصَال	N	N;NOM;DEF;SG
コンタクト	التواصل	コンタクト	تَوَاصُل	N	N;NOM;DEF;SG
バスケット	السلة	バスケット	سَلَّة	N	N;NOM;DEF;SG
バスケット	سلة	バスケット	سَلَّة	N	N;NOM;INDF;SG
特製	التخصص	特製	تَخَصُّص	N	N;NOM;DEF;SG
特製	تخصص	特製	خَصَّص	N	N;NOM;INDF;SG
叔母	عمة	叔母	عِمَّة	N	N;NOM;INDF;SG
叔母	خالة	叔母	خَالَة	N	N;NOM;INDF;SG
叔母	العمة	叔母	عِمَّة	N	N;NOM;DEF;SG
空想	الهوى	空想	هُوَيّ	N	N;NOM;DEF;SG
パーソナル	شخصية	パーソナル	شَخصِيَّة	N	N;NOM;INDF;SG
段落	الفقرة	段落	فَقرَة	N	N;NOM;DEF;SG
段落	فقرة	段落	فَقرَة	N	N;NOM;INDF;SG
段落	الفقرات	段落	فَقرَة	N	N;NOM;DEF;PL
ハーモニー	الوئام	ハーモニー	وَئم	N	N;NOM;DEF;SG
ハーモニー	الانسجام	ハーモニー	الانسجام	N	N;NOM;DEF;SG
アイディア	الفكرة	アイディア	فِكرَة	N	N;NOM;DEF;SG
