les	els	le	el	DET;DEF;PL	DET;DEF;MASC;PL
catégorie	categoria	catégorie	categoria	N;FEM;SG	N;FEM;SG
pour	per	pour	per	ADP	ADP
qui	qui	qui	qui	PRO	PRO
que	que	que	que	CONJ	CONJ
avec	amb	avec	amb	ADP	ADP
plus	més	plus	més	ADV	ADV
pas	no	pas	no	ADV;NEG	ADV;NEG
sont	són	être	ser	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
elle	ella	elle	ell	PRO;FEM;SG;3	PRO;FEM;SG;3
avancement	progrés	avancement	progrés	N;MASC;SG	N;MASC;SG
mais	però	mais	però	CONJ	CONJ
cette	aquesta	ce	aquest	DET;FEM;SG	DET;FEM;SG
cette	aquest	ce	aquest	DET;FEM;SG	DET;MASC;SG
pop	pop	pop	pop	N;FEM;SG	N;MASC;SG
deux	dos	deux	dos	NUM	NUM;MASC;PL
deux	dues	deux	dos	NUM	NUM;FEM;PL
naissance	naixement	naissance	naixement	N;FEM;SG	N;MASC;SG
aussi	també	aussi	també	ADV	ADV
notes	notes	note	nota	N;FEM;PL	N;FEM;PL
entre	entre	entre	entre	ADP	ADP
être	essent	être	ser	V;NFIN	V;V.MSDR
nom	cognom	nom	cognom	N;MASC;SG	N;MASC;SG
nom	denominació	nom	denominació	N;MASC;SG	N;FEM;SG
français	francès	français	francès	ADJ;MASC;SG	ADJ;MASC;SG
lui	ell	lui	ell	PRO;SG;3	PRO;MASC;SG;3
lieu	lloc	lieu	lloc	N;MASC;SG	N;MASC;SG
lieu	localització	lieu	localització	N;MASC;SG	N;FEM;SG
lieu	ubicació	lieu	ubicació	N;MASC;SG	N;FEM;SG
lieu	emplaçament	lieu	emplaçament	N;MASC;SG	N;MASC;SG
cet	això	ce	això	PRO;SG;3	PRO;SG
autres	altres	autre	altre	PRO;PL	PRO;PL
autres	altres	autre	altre	PRO;PL	PRO;PL
décès	defunció	décès	defunció	N;MASC;SG	N;FEM;SG
références	referències	référence	referència	N;FEM;PL	N;FEM;PL
liens	enllaços	lien	enllaç	N;MASC;PL	N;MASC;PL
était	fou	être	ser	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
ville	ciutat	ville	ciutat	N;FEM;SG	N;FEM;SG
date	data	date	data	N;FEM;SG	N;FEM;SG
première	primer	premier	primer	ADJ;FEM;SG	ADJ;MASC;SG
première	primera	premier	primer	ADJ;FEM;SG	ADJ;FEM;SG
ans	anys	an	any	N;MASC;PL	N;MASC;PL
alors	aleshores	alors	aleshores	ADV	ADV
alors	llavors	alors	llavors	ADV	ADV
externes	externs	externe	extern	ADJ;MASC;PL	ADJ;MASC;PL
premier	primer	premier	primer	ADJ;MASC;SG	ADJ;MASC;SG
premier	primera	premier	primer	ADJ;MASC;SG	ADJ;FEM;SG
film	film	film	film	N;MASC;SG	N;MASC;SG
voir	visualitza	voir	visualitzar	V;NFIN	V;IND;SG;3;PRS;FIN
source	font	source	font	N;FEM;SG	N;FEM;SG
grand	gran	grand	gran	ADJ;MASC;SG	ADJ;SG
tout	tot	tout	tot	PRO;MASC;SG	PRO;MASC;SG
groupe	grup	groupe	grup	N;MASC;SG	N;MASC;SG
également	també	également	també	ADV	ADV
titre	títol	titre	títol	N;MASC;SG	N;MASC;SG
monde	món	monde	món	N;MASC;SG	N;MASC;SG
nord	nord	nord	nord	N;MASC;SG	N;MASC;SG
nord	northern	nord	northern	N;MASC;SG	N;SG
années	anys	année	any	N;FEM;PL	N;MASC;PL
contre	contra	contre	contra	ADP	ADP
liste	llista	liste	llista	N;FEM;SG	N;FEM;SG
équipe	esquadra	équipe	esquadra	N;FEM;SG	N;FEM;SG
équipe	equip	équipe	equip	N;FEM;SG	N;MASC;SG
club	club	club	club	N;MASC;SG	N;MASC;SG
sud	sud	sud	sud	N;MASC;SG	N;MASC;SG
partie	partit	partie	partit	N;FEM;SG	N;MASC;SG
partie	festa	partie	festa	N;FEM;SG	N;FEM;SG
non	no	non	no	ADV	ADV;NEG
très	molt	très	molt	ADV	ADV
trois	tres	trois	tres	NUM	NUM;PL
articles	articles	article	article	N;MASC;PL	N;MASC;PL
article	article	article	article	N;MASC;SG	N;MASC;SG
sans	sense	sans	sense	ADP	ADP
saison	temporada	saison	temporada	N;FEM;SG	N;FEM;SG
fin	aleta	fin	aleta	N;FEM;SG	N;FEM;SG
année	any	année	any	N;FEM;SG	N;MASC;SG
temps	temps	temps	temps	N;MASC;SG	N;MASC
plusieurs	moltes	plusieurs	molt	PRO;PL	PRO;FEM;PL
plusieurs	molts	plusieurs	molt	PRO;PL	PRO;MASC;PL
plusieurs	diversos	plusieurs	divers	PRO;PL	PRO;MASC;PL
mars	març	mars	març	N;MASC;SG	N
histoire	història	histoire	història	N;FEM;SG	N;FEM;SG
joueur	reproductor	joueur	reproductor	N;MASC;SG	N;MASC;SG
joueur	jugador	joueur	jugador	N;MASC;SG	N;MASC;SG
mai	maig	mai	maig	N;MASC;SG	N
tour	tour	tour	tour	N;MASC;SG	N;MASC;SG
