hän	她	hän	她	PRO;NOM;SG;3	PRO;3
vuonna	年度	vuosi	年度	N;FRML;SG	N
vuonna	年份	vuosi	年份	N;FRML;SG	N
vuonna	年	vuosi	年	N;FRML;SG	N
myös	還	myös	還	ADV	ADV
myös	也	myös	也	ADV	ADV
joka	誰	joka	誰	PRO;NOM;SG	PRO
kello	手錶	kello	手錶	N;NOM;SG	N
kello	鐘	kello	鐘	N;NOM;SG	N
kello	時鐘	kello	時鐘	N;NOM;SG	N
hänen	他	hän	他	PRO;GEN;SG;3	PRO;3
hänen	她	hän	她	PRO;GEN;SG;3	PRO;3
jälkeen	後	jälkeen	後	ADV	ADV
vuoden	年度	vuosi	年度	N;GEN;SG	N
vuoden	年份	vuosi	年份	N;GEN;SG	N
vuoden	年	vuosi	年	N;GEN;SG	N
kuitenkin	然而	kuitenkin	然而	ADV	ADV
vain	只	vain	只	ADV	ADV
vain	只	vain	只	ADV	ADV
lisäksi	還	lisäksi	還	ADV	ADV
lisäksi	也	lisäksi	也	ADV	ADV
tavua	音節	tavuta	音節	N;PRT;SG	N
kaksi	兩	kaksi	兩	NUM;NOM;SG	NUM
kaksi	兩	kaksi	兩	NUM;NOM;SG	NUM
kaksi	二	kaksi	二	NUM;NOM;SG	NUM
yksi	一	yksi	一	NUM;NOM;SG	NUM
yksi	一	yksi	一	NUM;NOM;SG	NUM
tulos	成果	tulos	成果	N;NOM;SG	N
tulos	結果	tulos	結果	N;NOM;SG	N
tulos	成果	tulos	成果	N;NOM;SG	N
tulos	結果	tulos	結果	N;NOM;SG	N
tulos	結果	tulos	結果	N;NOM;SG	N
tämä	這	tämä	這	PRO;NOM;SG	PRO
tämän	這	tämä	這	PRO;GEN;SG	PRO
php	php	php	php	N;NOM;SG	N
eri	不同	eri	不同	ADJ	ADJ
keskustelu	對話	keskustelu	對話	N;NOM;SG	N
keskustelu	辯論	keskustelu	辯論	N;NOM;SG	N
keskustelu	聊天	keskustelu	聊天	N;NOM;SG	N
vielä	仍然	vielä	仍然	ADV	ADV
vielä	依然	vielä	依然	ADV	ADV
vielä	然而	vielä	然而	ADV	ADV
kaikki	大家	kaikki	大家	PRO;NOM;SG	PRO
kauden	季	kausi	季	N;GEN;SG	N
kauden	季節	kausi	季節	N;GEN;SG	N
nimi	名字	nimi	名字	N;NOM;SG	N
nimi	名稱	nimi	名稱	N;NOM;SG	N
nimi	姓名	nimi	姓名	N;NOM;SG	N
vuotta	歲	vuosi	歲	N;PRT;SG	N
vuotta	年份	vuosi	年份	N;PRT;SG	N
seura	幫會	seura	幫會	N;NOM;SG	N
