להדגים	سمجھانا	הדגים	سمجھا	V;NFIN;ACT	V;MASC;SG;NFIN;ACT
ביות	کارگر.	ביות	کارگر.		
אומדן	حجم	אומדן	حجم	N;MASC;SG	N;NOM;MASC;SG;3
אומדן	حجم	אומדן	حجم	N;MASC;SG	N;NOM;MASC;SG;3
אומדן	اندازہ	אומדן	اندازہ	N;MASC;SG	N;NOM;MASC;SG;3
אומדן	تخمینہ	אומדן	تخمینہ	N;MASC;SG	N;NOM;MASC;SG;3
דיוויזיה	اقسام	דיוויזיה	اقسام	N	N;NOM;MASC;PL;3
דיוויזיה	جنس	דיוויזיה	جنس	N	N;NOM;MASC;SG;3
דיוויזיה	اختلاف	דיוויזיה	اختلاف	N	N;NOM;MASC;SG;3
מחט	بپھراہٹ	מחט	بپھراہٹ		
מחט	بپھراہٹ	מחט	بپھراہٹ		
כרוב	کاہل	כרוב	کاہل		
דוכן	کھوکھا	דוכן	کھوکھا	N;MASC;SG	N;NOM;MASC;SG;3
סגירה	خاتمہ	סגירה	خاتمہ	N;FEM;SG	N;NOM;MASC;SG;3
סגירה	اختتام	סגירה	اختتام	N;FEM;SG	N;NOM;MASC;SG;3
צניעות	عفت	צניעות	عفت	N;FEM;SG	N;NOM;MASC;SG;3
צניעות	انکسار	צניעות	انکسار	N;FEM;SG	N;NOM;MASC;SG;3
תרגול	رواج	תרגול	رواج	N;MASC;SG	N;NOM;MASC;SG;3
תרגול	معمول	תרגול	معمول	N;MASC;SG	N;NOM;MASC;SG;3
תרגול	رواج	תרגול	رواج	N;MASC;SG	N;NOM;MASC;SG;3
קטגוריית	قسم	קטגוריה	قسم	N;FEM;SG	N;NOM;MASC;SG;3
קטגוריית	قسم	קטגוריה	قسم	N;FEM;SG	N;NOM;MASC;SG;3
קטגוריית	درجہ	קטגוריה	درجہ	N;FEM;SG	N;NOM;MASC;SG;3
הסתמכות	اعتماد	הסתמכות	اعتماد	N;FEM;SG	N;NOM;MASC;SG;3
מגילה	دستاویز	הגיל	دستاویز	N;FEM;SG	N;NOM;MASC;SG;3
מגילה	پارچہ	הגיל	پارچہ	N;FEM;SG	N;NOM;MASC;SG;3
שיק	(	שיק	(		
זינוק	چھلانگ	זינוק	چھلانگ	N;MASC;SG	N;NOM;MASC;SG;3
לשרוף	بھڑکنا	שרף	بھڑک	V;NFIN;ACT	V;NFIN;ACT
הרוע	برائی	הרוע	برائی	N;MASC;SG	N;NOM;FEM;SG;3
הרוע	منحوس	הרוע	منحوس	N;MASC;SG	N;SG
הרוע	برائی	הרוע	برائی	N;MASC;SG	N;NOM;FEM;SG;3
הרוע	منحوس	הרוע	منحوس	N;MASC;SG	N;SG
לתלות	گرنے	תלה	گر	V;NFIN;ACT	V;ACC;NFIN
לתלות	جھکانا	תלה	جھکا	V;NFIN;ACT	V;MASC;SG;NFIN;ACT
הגזרה	مثال	הגזרה	مثال	N;FEM;SG	N;NOM;MASC;SG;3
הגזרה	نقشہ	הגזרה	نقشہ	N;FEM;SG	N;NOM;MASC;SG;3
הגזרה	خاکہ	הגזרה	خاکہ	N;FEM;SG	N;NOM;MASC;SG;3
הגזרה	زائچہ	הגזרה	زائچہ	N;FEM;SG	N;NOM;MASC;SG;3
מנוף	out	מנוף	out		
אינטנסיבי	زوردار	אינטנסיבי	زوردار	ADJ;MASC	ADJ
אינטנסיבי	پُرزور	אינטנסיבי	پُرزور	ADJ;MASC	ADJ
אינטנסיבי	قوی	אינטנסיבי	قوی	ADJ;MASC	ADJ
אינטנסיבי	پُرزور	אינטנסיבי	پُرزور	ADJ;MASC	ADJ
אינטנסיבי	قوی	אינטנסיבי	قوی	ADJ;MASC	ADJ
אינטנסיבי	شدید	אינטנסיבי	شدید	ADJ;MASC	ADJ
הכרחית	لازمی	הכרחית	لازمی	ADJ;FEM;SG	ADJ
הכרחית	جبری	הכרחית	جبری	ADJ;FEM;SG	ADJ
הכרחית	لازمی	הכרחית	لازمی	ADJ;FEM;SG	ADJ
הבזק	بہنا.	הבזק	بہنا.		
נקמת	on	נקמה	on		
מכרז	معذرت	מכרז	معذرت	N;MASC;SG	N;NOM;MASC;SG;3
מכרז	گداز	מכרז	گداز	N;MASC;SG	N;NOM;MASC;SG;3
מכרז	خیال	מכרז	خیال	N;MASC;SG	N;NOM;MASC;SG;3
מכרז	ٹینڈر	מכרז	ٹینڈر	N;MASC;SG	N;NOM;MASC;SG;3
מכרז	پیشکش	מכרז	پیشکش	N;MASC;SG	N;NOM;MASC;SG;3
מכרז	معذرت	מכרז	معذرت	N;MASC;SG	N;NOM;MASC;SG;3
מכרז	گداز	מכרז	گداز	N;MASC;SG	N;NOM;MASC;SG;3
מכרז	خیال	מכרז	خیال	N;MASC;SG	N;NOM;MASC;SG;3
מכרז	ٹینڈر	מכרז	ٹینڈر	N;MASC;SG	N;NOM;MASC;SG;3
מכרז	پیشکش	מכרז	پیشکش	N;MASC;SG	N;NOM;MASC;SG;3
מצפן	میدان	מצפן	میدان	N;MASC;SG	N;NOM;MASC;SG;3
מצפן	دائرہ	מצפן	دائرہ	N;MASC;SG	N;NOM;MASC;SG;3
עוגה	انڈا	עוגה	انڈا	N;FEM;SG	N;NOM;MASC;SG;3
חרטה	خجالت	חרטה	خجالت	N;FEM;SG	N;NOM;MASC;SG;3
חרטה	خجالت	חרטה	خجالت	N;FEM;SG	N;NOM;MASC;SG;3
חרטה	رحم	חרטה	رحم	N;FEM;SG	N;NOM;MASC;SG;3
לסכל	آرپار	סיכל	آرپار	V;NFIN;ACT	V;ACT
גולמי	اصلی	גולמי	اصلی	ADJ;MASC;SG	ADJ
גולמי	اصلی	גולמי	اصلی	ADJ;MASC;SG	ADJ
