رده	клас	رده	клас	N;SG	N;INAN;NOM;MASC;SG
از	від	از	від	ADP	ADP;GEN
این	цей	این	цей	DET	DET;NOM;MASC;SG
این	ця	این	цей	DET	DET;NOM;FEM;SG
یک	одна	یک	один	NUM	NUM;NOM;FEM
یک	один	یک	один	NUM	NUM;NOM;MASC
سال	рік	سال	рік	N;SG	N;INAN;NOM;MASC;SG
برای	для	برای	для	ADP	ADP;GEN
شهرستان	графство	شهرستان	графство	N;SG	N;INAN;NOM;NEUT;SG
شهرستان	повіт	شهرستان	повіт	N;SG	N;INAN;NOM;MASC;SG
شهرستان	жупанія	شهرستان	жупанія	N;SG	N;INAN;NOM;FEM;SG
شده	був	کرد#کن	бути	V;SG;3;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
شده	було	کرد#کن	бути	V;SG;3;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN
فهرست	каталог	فهرست	каталий	N;SG	N;INAN;NOM;MASC;SG
فهرست	перелік	فهرست	перелік	N;SG	N;INAN;NOM;MASC;SG
فهرست	список	فهرست	список	N;SG	N;INAN;NOM;MASC;SG
فهرست	каталог	فهرست	каталий	N;SG	N;INAN;NOM;MASC;SG
بود	був	بود#باش	бути	V;SG;3;PST	V;IPFV;MASC;IND;SG;PST;FIN
بود	була	بود#باش	бути	V;SG;3;PST	V;IPFV;FEM;IND;SG;PST;FIN
بود	було	بود#باش	бути	V;SG;3;PST	V;IPFV;NEUT;IND;SG;PST;FIN
دارد	має	داشت#دار	мати	V;SG;3;PRS	V;IPFV;IND;SG;3;PRS;FIN
او	вона	او	вона	PRO;SG;3	PRO;NOM;FEM;SG;3
او	його	او	він	PRO;SG;3	PRO;ACC;MASC;SG;3
او	нього	او	він	PRO;SG;3	PRO;ACC;MASC;SG;3
او	йому	او	він	PRO;SG;3	PRO;DAT;MASC;SG;3
او	ним	او	він	PRO;SG;3	PRO;INS;MASC;SG;3
او	його	او	він	PRO;SG;3	PRO;ACC;MASC;SG;3
