anita	anita	anittaa	anita	N;NOM;SG	N;MASC+FEM;SG
ohittaa	omzeilen	ohittaa	omzeilen	V;IND;SG;PRS;FIN;ACT	V;NFIN
ohittaa	overschrijven	ohittaa	overschrijven	V;IND;SG;PRS;FIN;ACT	V;NFIN
etäisyydet	afstanden	etäisyys	afstand	N;NOM;PL	N;PL
lego	lego	lego	lego	N;NOM;SG	N;MASC+FEM;SG
lindberg	lindberg	lindberg	lindberg	N;NOM;SG	N;MASC+FEM;SG
ilmaisee	aangeeft	ilmaista	aanveffen	V;IND;SG;3;PRS;FIN;ACT	V;SG;PRS;FIN
ilmaisee	uitdrukt	ilmaista	uitdrukken	V;IND;SG;3;PRS;FIN;ACT	V;SG;PRS;FIN
aamuna	ochtend	aamu	ochtend	N;FRML;SG	N;MASC+FEM;SG
sovi	passen	sovi	passen	V;IMP;SG;2;FIN;ACT	V;NFIN
rakenteita	structuren	rakenne	structuur	N;PRT;PL	N;PL
uhri	slachtoffer	uhri	slachtoffer	N;NOM;SG	N;NEUT;SG
vettel	vettel	vettel	vettel	N;NOM;SG	N;MASC+FEM;SG
beta	beta	beta	beta	N;NOM;SG	N;MASC+FEM;SG
beta	bèta	beta	bèta	N;NOM;SG	N;MASC+FEM;SG
kristus	christus	kristus	christus	N;NOM;SG	N;MASC+FEM;SG
pakottaa	forceren	pakottaa	forceren	V;IND;SG;3;PRS;FIN;ACT	V;NFIN
toivoi	gewenst	toivoa	wensen	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
toivoi	wenste	toivoa	wensen	V;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
toivoi	gehoopt	toivoa	hopen	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
toivoi	hoopte	toivoa	hoopte	V;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
sain	kreeg	saada	krijgen	V;IND;SG;1;PST;FIN;ACT	V;SG;PST;FIN
hannah	hannah	hannah	hannah	N;NOM;SG	N;MASC+FEM;SG
kohtalon	noodlot	kohtalo	noodlot	N;GEN;SG	N;NEUT;SG
kohtalon	lotsbestemming	kohtalo	lotsbestemming	N;GEN;SG	N;MASC+FEM;SG
kohtalon	lot	kohtalo	lot	N;GEN;SG	N;NEUT;SG
kohtalon	destiny	kohtalo	destiny	N;GEN;SG	N;MASC+FEM;SG
kohtalon	noodlot	kohtalo	noodlot	N;GEN;SG	N;NEUT;SG
kohtalon	lot	kohtalo	lot	N;GEN;SG	N;NEUT;SG
katkesi	brak	katketa	breken	V;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
katkesi	gebroken	katketa	breken	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
taiteellinen	artistieke	taiteellinen	artistiek	ADJ;NOM;SG	ADJ
taiteellinen	artistiek	taiteellinen	artistiek	ADJ;NOM;SG	ADJ
taiteellinen	artistiek	taiteellinen	artistiek	ADJ;NOM;SG	ADJ
erityisiä	specifiek	erityinen	specifiek	ADJ;PRT;PL	ADJ
erityisiä	specifieke	erityinen	specifiek	ADJ;PRT;PL	ADJ
galaxy	sterrenstelsel	galaxy	sterrenstelsel	N;NOM;SG	N;NEUT;SG
galaxy	melkwegstelsel	galaxy	melkwegstelsel	N;NOM;SG	N;NEUT;SG
galaxy	galaxy	galaxy	galaxy	N;NOM;SG	N;MASC+FEM;SG
galaxy	melkweg	galaxy	melkweg	N;NOM;SG	N;MASC+FEM;SG
koripallo	basketball	kori#pallo	basketball	N;NOM;SG	N;MASC+FEM;SG
koripallo	basketbal	kori#pallo	basketbal	N;NOM;SG	N;NEUT;SG
juttuja	spullen	juttu	spul	N;PRT;PL	N;PL
franco	franco	franco	franco	N;NOM;SG	N;MASC+FEM;SG
mason	metselaar	maso	metselaar	N;NOM;SG	N;MASC+FEM;SG
mason	mason	maso	mason	N;NOM;SG	N;MASC+FEM;SG
omaisuutta	eigenschap	omaisuus	eigenschap	N;PRT;SG	N;MASC+FEM;SG
omaisuutta	eigendom	omaisuus	eigendom	N;PRT;SG	N;NEUT;SG
omaisuutta	vastgoed	omaisuus	vastgoed	N;PRT;SG	N;NEUT;SG
tyhjä	leeg	tyhjä	leeg	ADJ;NOM;SG	ADJ
tyhjä	lege	tyhjä	leeg	ADJ;NOM;SG	ADJ
tyhjä	leeg	tyhjä	leeg	ADJ;NOM;SG	ADJ
kannet	deksels	kannet	deksel	N;NOM;PL	N;PL
kannet	oogleden	kannet	ooglid	N;NOM;PL	N;PL
kannet	covers	kannet	cover	N;NOM;PL	N;PL
kannet	omslagen	kannet	omslaan	N;NOM;PL	N;PL
naton	nato	natto	nato	N;GEN;SG	N;MASC+FEM;SG
naton	navo	natto	navo	N;GEN;SG	N;MASC+FEM;SG
orgaaninen	biologisch	orgaaninen	biologisch	ADJ;NOM;SG	ADJ
orgaaninen	organische	orgaaninen	organisch	ADJ;NOM;SG	ADJ
orgaaninen	organisch	orgaaninen	organisch	ADJ;NOM;SG	ADJ
hapen	zuurstof	happi	zuurstof	N;GEN;SG	N;MASC+FEM;SG
hapen	zuurstofgehalte	happi	zuurstofgehalte	N;GEN;SG	N;NEUT;SG
kiinasta	porselein	kiina	porselein	N;IN+ABL;SG	N;NEUT;SG
kohdat	items	kohta	item	N;NOM;PL	N;PL
kohdat	punten	kohta	punt	N;NOM;PL	N;PL
loma	feestdag	loma	feestdag	N;NOM;SG	N;MASC+FEM;SG
loma	vakantie	loma	vakantie	N;NOM;SG	N;MASC+FEM;SG
loma	vakantie	loma	vakantie	N;NOM;SG	N;MASC+FEM;SG
loma	vakantie	loma	vakantie	N;NOM;SG	N;MASC+FEM;SG
raportin	verslag	raportti	verslag	N;GEN;SG	N;NEUT;SG
raportin	rapport	raportti	rapport	N;GEN;SG	N;NEUT;SG
sisilian	sicilië	sisili	sicilië	N;GEN;SG	N;NEUT;SG
airbus	airbus	airbus	Airbus	N;NOM;SG	N;MASC+FEM;SG
koirat	honden	koira	hond	N;NOM;PL	N;PL
vahinkoa	blessure	vahinko	blessure	N;PRT;SG	N;MASC+FEM;SG
vahinkoa	letsel	vahinko	letsel	N;PRT;SG	N;NEUT;SG
vahinkoa	schade	vahinko	schade	N;PRT;SG	N;MASC+FEM;SG
vahinkoa	verwonding	vahinko	verwonding	N;PRT;SG	N;MASC+FEM;SG
vahinkoa	beschadiging	vahinko	beschadiging	N;PRT;SG	N;MASC+FEM;SG
vahinkoa	schade	vahinko	schade	N;PRT;SG	N;MASC+FEM;SG
määrätty	voorgeschreven	määrätä	voorschrijven	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
määrätty	toegewezen	määrätä	toewijzen	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
kristityt	christenen	kristityt	christenen	N;NOM;PL	N;PL
kristityt	christenen	kristityt	christenen	N;NOM;PL	N;PL
kerää	verzamelen	kerätä	verzamelen	V;IMP;SG;2;FIN;ACT	V;NFIN
kerää	verzamel	kerätä	verzamel	V;IMP;SG;2;FIN;ACT	V;SG;PRS;FIN
kerää	verzamelen	kerätä	verzamelen	V;IMP;SG;2;FIN;ACT	V;NFIN
halli	hal	halli	hal	N;NOM;SG	N;MASC+FEM;SG
halli	zaal	halli	zaal	N;NOM;SG	N;MASC+FEM;SG
halli	hall	halli	hall	N;NOM;SG	N;MASC+FEM;SG
halli	hangar	halli	hangar	N;NOM;SG	N;MASC+FEM;SG
promo	promo	promo	promo	N;NOM;SG	N;MASC+FEM;SG
aikakausi	tijdperk	aika#kausi	tijdperk	N;NOM;SG	N;NEUT;SG
aikakausi	era	aika#kausi	era	N;NOM;SG	N;NEUT;SG
aikakausi	tijdperk	aika#kausi	tijdperk	N;NOM;SG	N;NEUT;SG
vaunut	rijtuigen	vaunu	rijtuig	N;NOM;PL	N;PL
vaunut	wagons	vaunu	wagon	N;NOM;PL	N;PL
vaunut	wagens	vaunu	wagen	N;NOM;PL	N;PL
vaunut	karren	vaunu	karr	N;NOM;PL	N;PL
vuosituhannen	millennium	vuosi#tuhat	millennium	N;GEN;SG	N;NEUT;SG
salvador	salvador	salvador	salvador	N;NOM;SG	N;MASC+FEM;SG
kuukausia	maanden	kuu#kausi	maanden	N;PRT;PL	N;PL
epäilty	verdacht	epäillä	verdenken	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
epäilty	vermoedde	epäillä	vermoeden	V;NOM;SG;V.PTCP;PASS	V;SG;PST;FIN
epäilty	vermoede	epäillä	vermoeden	V;NOM;SG;V.PTCP;PASS	V;FIN
epäilty	verdacht	epäillä	verdenken	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
epäilty	verdachte	epäillä	verdenken	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
marina	jachthaven	marina	jachthaven	N;NOM;SG	N;MASC+FEM;SG
mainitsi	vermeld	mainita	vermelden	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
mainitsi	genoemd	mainita	noemen	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
mainitsi	vermeldde	mainita	vermelden	V;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
laitteiden	apparaten	laite	apparaat	N;GEN;PL	N;PL
vajaan	schuurtje	vajaa	schuur	N;GEN;SG	N;NEUT;SG
vajaan	schuur	vajaa	schuur	N;GEN;SG	N;MASC+FEM;SG
highway	snelweg	highway	snelweg	N;NOM;SG	N;MASC+FEM;SG
ratkaisi	opgelost	ratkaista	oplossen	V;IND;SG;3;PST;FIN;ACT	V;V.PTCP
taloja	huizen	talo	huis	N;PRT;PL	N;PL
pätkä	kleintje	pätkä	kleintje	N;NOM;SG	N;NEUT;SG
pätkä	shorty	pätkä	shorty	N;NOM;SG	N;MASC+FEM;SG
floridan	florida	florida	florida	N;GEN;SG	N;NEUT;SG
brandon	brandon	brandon	brandon	N;NOM;SG	N;MASC+FEM;SG
