que	че	que	че	CONJ	CONJ
con	със	con	със	ADP	ADP
categoría	категория	categoría	категория	N;FEM;SG	N;INDF;FEM;SG
para	за	para	за	ADP	ADP
como	като	como	като	CONJ	CONJ
fue	бе	ser	съм	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
más	повече	más	повече	ADV	ADV;INDF;PL
más	още	más	още	ADV	ADV
sus	техните	su	наш	DET;PL;3	DET;DEF;PL;3
también	също	también	също	ADV	ADV
entre	сред	entre	сред	ADP	ADP
entre	между	entre	между	ADP	ADP
este	това	este	този	PRO;MASC;SG	PRO;NOM;NEUT;SG
pero	но	pero	но	CONJ	CONJ
años	години	año	година	N;MASC;PL	N;INDF;FEM;PL
años	годините	año	година	N;MASC;PL	N;DEF;FEM;PL
dos	двама	dos	двама	NUM;PL	NUM;INDF;PL
dos	две	dos	два	NUM;PL	NUM;INDF;FEM;PL
son	са	ser	съм	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
sobre	относно	sobre	относно	ADP	ADP
año	година	año	година	N;MASC;SG	N;INDF;FEM;SG
año	годината	año	година	N;MASC;SG	N;DEF;FEM;SG
desde	от	desde	от	ADP	ADP
esta	това	este	този	PRO;FEM;SG	PRO;NOM;NEUT;SG
enlaces	връзки	enlace	връзка	N;MASC;PL	N;INDF;FEM;PL
externos	външни	externo	външен	ADJ;MASC;PL	ADJ;INDF;PL
ciudad	град	ciudad	град	N;FEM;SG	N;INDF;MASC;SG
ciudad	градът	ciudad	град	N;FEM;SG	N;DEF;MASC;SG
ciudad	градче	ciudad	градче	N;FEM;SG	N;INDF;NEUT;SG
ciudad	град	ciudad	град	N;FEM;SG	N;INDF;MASC;SG
ciudad	градът	ciudad	град	N;FEM;SG	N;DEF;MASC;SG
ciudad	сити	ciudad	сит	N;FEM;SG	N;INDF;MASC;SG
parte	парти	parte	парта	N;FEM;SG	N;INDF;NEUT;SG
parte	купон	parte	купон	N;FEM;SG	N;INDF;MASC;SG
parte	партия	parte	партия	N;FEM;SG	N;INDF;FEM;SG
parte	част	parte	част	N;FEM;SG	N;INDF;FEM;SG
sin	без	sin	без	ADP	ADP
san	сейнт	san	сейнт	N;MASC;SG	N;INDF;MASC;SG
san	свети	san	свет	N;MASC;SG	N;INDF;MASC;SG
san	светица	san	светица	N;MASC;SG	N;INDF;FEM;SG
san	светец	san	светец	N;MASC;SG	N;INDF;MASC;SG
nacional	национална	nacional	национален	ADJ;SG	ADJ;INDF;FEM;SG
nacional	национален	nacional	национален	ADJ;SG	ADJ;INDF;MASC;SG
primera	първи	primero	първи	ADJ;FEM;SG	ADJ;INDF;MASC;SG
team	тийм	team	тийм	N	N;INDF;MASC;PL
team	отбор	team	отбор	N	N;INDF;MASC;SG
team	отбора	team	отбор	N	N;DEF;MASC;SG
team	екип	team	екип	N	N;INDF;MASC;SG
nombre	името	nombre	име	N;MASC;SG	N;DEF;NEUT;SG
nombre	наименование	nombre	наименование	N;MASC;SG	N;INDF;NEUT;SG
nombre	име	nombre	име	N;MASC;SG	N;INDF;NEUT;SG
estados	държави	estado	държава	N;MASC;PL	N;INDF;FEM;PL
estados	щати	estado	щат	N;MASC;PL	N;INDF;MASC;PL
siglo	век	siglo	век	N;MASC;SG	N;INDF;MASC;SG
siglo	века	siglo	век	N;MASC;SG	N;DEF;MASC;SG
gran	голям	gran	голям	ADJ;SG	ADJ;INDF;MASC;SG
gran	голяма	gran	голям	ADJ;SG	ADJ;INDF;FEM;SG
estado	статус	estado	статус	N;MASC;SG	N;INDF;MASC;SG
estado	състояние	estado	състояние	N;MASC;SG	N;INDF;NEUT;SG
estado	положение	estado	положение	N;MASC;SG	N;INDF;NEUT;SG
estado	статут	estado	статут	N;MASC;SG	N;INDF;MASC;SG
estado	щат	estado	щат	N;MASC;SG	N;INDF;MASC;SG
estado	държава	estado	държава	N;MASC;SG	N;INDF;FEM;SG
estado	състояние	estado	състояние	N;MASC;SG	N;INDF;NEUT;SG
estado	състоянието	estado	състояние	N;MASC;SG	N;DEF;NEUT;SG
estado	условие	estado	условие	N;MASC;SG	N;INDF;NEUT;SG
lugar	място	lugar	място	N;MASC;SG	N;INDF;NEUT;SG
lugar	местоположение	lugar	местоположение	N;MASC;SG	N;INDF;NEUT;SG
lugar	място	lugar	място	N;MASC;SG	N;INDF;NEUT;SG
lugar	местонахождение	lugar	местонахождение	N;MASC;SG	N;INDF;NEUT;SG
lugar	локация	lugar	локация	N;MASC;SG	N;INDF;FEM;SG
primer	първи	primero	първи	ADJ;MASC;SG	ADJ;INDF;MASC;SG
población	популация	población	популация	N;FEM;SG	N;INDF;FEM;SG
población	население	población	население	N;FEM;SG	N;INDF;NEUT;SG
muy	много	mucho	много	ADV	ADV;INDF;PL
mismo	същият	mismo	същ	ADJ;MASC;SG	ADJ;DEF;MASC;SG
mismo	същата	mismo	същ	ADJ;MASC;SG	ADJ;DEF;FEM;SG
mismo	същото	mismo	същ	ADJ;MASC;SG	ADJ;DEF;NEUT;SG
nueva	нов	nuevo	нов	ADJ;FEM;SG	ADJ;INDF;MASC;SG
nueva	нова	nuevo	нов	ADJ;FEM;SG	ADJ;INDF;FEM;SG
fueron	бяха	ser	съм	V;IND;PL;3;PST;FIN	V;IPFV;IND;PL;3;PST;FIN;ACT
historia	приказка	historia	приказка	N;FEM;SG	N;INDF;FEM;SG
historia	история	historia	история	N;FEM;SG	N;INDF;FEM;SG
historia	историята	historia	история	N;FEM;SG	N;DEF;FEM;SG
historia	история	historia	история	N;FEM;SG	N;INDF;FEM;SG
club	клуб	club	клуб	N;MASC;SG	N;INDF;MASC;SG
club	клубът	club	клуб	N;MASC;SG	N;DEF;MASC;SG
cual	което	cual	който	PRO;SG	PRO;NOM;NEUT;SG
cual	която	cual	който	PRO;SG	PRO;NOM;FEM;SG
universidad	университет	universidad	университет	N;FEM;SG	N;INDF;MASC;SG
universidad	университета	universidad	университет	N;FEM;SG	N;DEF;MASC;SG
universidad	колежа	universidad	колеж	N;FEM;SG	N;DEF;MASC;SG
universidad	колежът	universidad	колеж	N;FEM;SG	N;DEF;MASC;SG
universidad	колеж	universidad	колеж	N;FEM;SG	N;INDF;MASC;SG
forma	формата	forma	форма	N;FEM;SG	N;DEF;FEM;SG
forma	форма	forma	форма	N;FEM;SG	N;INDF;FEM;SG
forma	формуляр	forma	формуляр	N;FEM;SG	N;INDF;MASC;SG
forma	форма	forma	форма	N;FEM;SG	N;INDF;FEM;SG
tres	три	tres	три	NUM;PL	NUM;INDF;PL
tres	трима	tres	трима	NUM;PL	NUM;INDF;PL
grupo	група	grupo	група	N;MASC;SG	N;INDF;FEM;SG
grupo	групиране	grupo	групиране	N;MASC;SG	N;INDF;NEUT;SG
general	генерал	general	генерал	N;SG	N;INDF;MASC;SG
guerra	войната	guerra	война	N;FEM;SG	N;DEF;FEM;SG
guerra	война	guerra	война	N;FEM;SG	N;INDF;FEM;SG
tras	след	tras	след	ADP	ADP
familia	семейство	familia	семейство	N;FEM;SG	N;INDF;NEUT;SG
familia	семейството	familia	семейство	N;FEM;SG	N;DEF;NEUT;SG
además	също	además	също	ADV	ADV
además	плюс	además	плюс	ADV	ADV
sur	южен	sur	южен	N;MASC;SG	N;INDF;MASC;SG
sur	южен	sur	южен	N;MASC;SG	N;INDF;MASC;SG
sur	юг	sur	юг	N;MASC;SG	N;INDF;MASC;SG
tiempo	времето	tiempo	време	N;MASC;SG	N;DEF;NEUT;SG
tiempo	времето	tiempo	време	N;MASC;SG	N;DEF;NEUT;SG
tiempo	време	tiempo	време	N;MASC;SG	N;INDF;NEUT;SG
provincia	провинцията	provincia	провинция	N;FEM;SG	N;DEF;FEM;SG
provincia	провинция	provincia	провинция	N;FEM;SG	N;INDF;FEM;SG
partido	парти	partido	парта	N;MASC;SG	N;INDF;NEUT;SG
partido	купон	partido	купон	N;MASC;SG	N;INDF;MASC;SG
partido	партия	partido	партия	N;MASC;SG	N;INDF;FEM;SG
partido	мач	partido	мач	N;MASC;SG	N;INDF;MASC;SG
partido	съвпадение	partido	съвпадение	N;MASC;SG	N;INDF;NEUT;SG
contra	срещу	contra	срещу	ADP	ADP
contra	против	contra	против	ADP	ADP
encuentra	намира	encontrar	намирам-(се)	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
municipio	община	municipio	община	N;MASC;SG	N;INDF;FEM;SG
bajo	под	bajo	под	ADP	ADP
serie	серия	serie	серия	N;FEM;SG	N;INDF;FEM;SG
serie	поредица	serie	поредица	N;FEM;SG	N;INDF;FEM;SG
serie	сериал	serie	сериал	N;FEM;SG	N;INDF;MASC;SG
serie	сериен	serie	сериен	N;FEM;SG	N;INDF;MASC;SG
serie	серия	serie	серия	N;FEM;SG	N;INDF;FEM;SG
fútbol	футбол	fútbol	футбол	N;MASC;SG	N;INDF;MASC;SG
fútbol	футбол	fútbol	футбол	N;MASC;SG	N;INDF;MASC;SG
equipo	оборудване	equipo	оборудване	N;MASC;SG	N;INDF;NEUT;SG
equipo	екипировка	equipo	екипировка	N;MASC;SG	N;INDF;FEM;SG
equipo	отбор	equipo	отбор	N;MASC;SG	N;INDF;MASC;SG
equipo	отбора	equipo	отбор	N;MASC;SG	N;DEF;MASC;SG
equipo	екип	equipo	екип	N;MASC;SG	N;INDF;MASC;SG
norte	север	norte	север	N;MASC;SG	N;INDF;MASC;SG
norte	северен	norte	северен	N;MASC;SG	N;INDF;MASC;SG
río	ривър	río	ривър	N;MASC;SG	N;INDF;MASC;SG
río	река	río	река	N;MASC;SG	N;INDF;FEM;SG
río	реката	río	река	N;MASC;SG	N;DEF;FEM;SG
méxico	мексико	méxico	мексико	N;MASC;SG	N;INDF;NEUT;SG
inglés	bulgarian	inglés	bulgarian	N;MASC;SG	N;INDF;MASC;SG
nuevo	нов	nuevo	нов	ADJ;MASC;SG	ADJ;INDF;MASC;SG
nuevo	нова	nuevo	нов	ADJ;MASC;SG	ADJ;INDF;FEM;SG
septiembre	септември	septiembre	септември	N	N;INDF;MASC;SG
octubre	октомври	octubre	октомври	N	N;INDF;MASC;SG
segunda	втора	segundo	втори	ADJ;FEM;SG	ADJ;INDF;FEM;SG
segunda	втори	segundo	втори	ADJ;FEM;SG	ADJ;INDF;MASC;SG
discusión	дискусия	discusión	дискусия	N;FEM;SG	N;INDF;FEM;SG
discusión	обсъждане	discusión	обсъждане	N;FEM;SG	N;INDF;NEUT;SG
gobierno	управление	gobierno	управление	N;MASC;SG	N;INDF;NEUT;SG
gobierno	правителство	gobierno	правителство	N;MASC;SG	N;INDF;NEUT;SG
condado	окръг	condado	окръг	N;MASC;SG	N;INDF;MASC;SG
condado	графство	condado	графство	N;MASC;SG	N;INDF;NEUT;SG
final	финал	final	финал	N;MASC;SG	N;INDF;MASC;SG
final	финал	final	финал	N;MASC;SG	N;INDF;MASC;SG
vida	живот	vida	живот	N;FEM;SG	N;INDF;MASC;SG
vida	живота	vida	живот	N;FEM;SG	N;DEF;MASC;SG
vida	лайф	vida	лайф	N;FEM;SG	N;INDF;MASC;SG
vida	животът	vida	живот	N;FEM;SG	N;DEF;MASC;SG
vida	вида	vida	вид	N;FEM;SG	N;DEF;MASC;SG
personas	лица	persona	лице	N;FEM;PL	N;INDF;NEUT;PL
centro	център	centro	център	N;MASC;SG	N;INDF;MASC;SG
centro	център	centro	център	N;MASC;SG	N;INDF;MASC;SG
julio	джулиъс	julio	джулиъс	N	N;INDF;MASC;SG
julio	юли	julio	юли	N	N;INDF;MASC;SG
lincoln	линкълн	lincoln	линкълн	N;MASC;SG	N;INDF;MASC;SG
país	държава	país	държава	N;MASC;SG	N;INDF;FEM;SG
país	страна	país	страна	N;MASC;SG	N;INDF;FEM;SG
mientras	докато	mientras	докато	CONJ	CONJ
web	уебсайт	web	уебсайт	N;FEM;SG	N;INDF;MASC;SG
web	сайт	web	сайт	N;FEM;SG	N;INDF;MASC;SG
web	web	web	web	N;FEM;SG	N;INDF;MASC;SG
web	уеб	web	уеб	N;FEM;SG	N;INDF;MASC;SG
internacional	международен	internacional	международен	ADJ;SG	ADJ;INDF;MASC;SG
internacional	международна	internacional	международен	ADJ;SG	ADJ;INDF;FEM;SG
oficial	официален	oficial	официален	ADJ;SG	ADJ;INDF;MASC;SG
oficial	официална	oficial	официален	ADJ;SG	ADJ;INDF;FEM;SG
mundo	свят	mundo	свят	N;MASC;SG	N;INDF;MASC;SG
mundo	света	mundo	свят	N;MASC;SG	N;DEF;MASC;SG
embargo	ембарго	embargo	ембарго	N;MASC;SG	N;INDF;NEUT;SG
mayo	майо	mayo	майо	N	N;INDF;MASC;SG
mayo	майонеза	mayo	майонеза	N	N;INDF;FEM;SG
algunos	някои	alguno	някой	PRO;MASC;PL	PRO;NOM;PL
temporada	сезон	temporada	сезон	N;FEM;SG	N;INDF;MASC;SG
temporada	сезона	temporada	сезон	N;FEM;SG	N;DEF;MASC;SG
luego	тогава	luego	тогава	ADV	ADV
marzo	март	marzo	март	N	N;INDF;MASC;SG
día	денят	día	ден	N;MASC;SG	N;DEF;MASC;SG
día	ден	día	ден	N;MASC;SG	N;INDF;MASC;SG
madrid	ливърпул	madrid	ливърпул	N;MASC;SG	N;INDF;MASC;SG
enero	януари	enero	януари	N	N;INDF;MASC;SG
número	брой	número	брой	N;MASC;SG	N;INDF;MASC;SG
número	число	número	число	N;MASC;SG	N;INDF;NEUT;SG
número	номер	número	номер	N;MASC;SG	N;INDF;MASC;SG
agosto	август	agosto	август	N	N;INDF;MASC;SG
agosto	август	agosto	август	N	N;INDF;MASC;SG
diciembre	декември	diciembre	декември	N	N;INDF;MASC;SG
artículo	статия	artículo	статия	N;MASC;SG	N;INDF;FEM;SG
artículo	член	artículo	член	N;MASC;SG	N;INDF;MASC;SG
artículo	точка	artículo	точка	N;MASC;SG	N;INDF;FEM;SG
artículo	елемент	artículo	елемент	N;MASC;SG	N;INDF;MASC;SG
artículo	артикул	artículo	артикул	N;MASC;SG	N;INDF;MASC;SG
noviembre	ноември	noviembre	ноември	N	N;INDF;MASC;SG
noviembre	ноември	noviembre	ноември	N	N;INDF;MASC;SG
abril	април	abril	април	N	N;INDF;MASC;SG
total	общ	total	общ	ADJ;SG	ADJ;INDF;MASC;SG
total	обща	total	общ	ADJ;SG	ADJ;INDF;FEM;SG
región	район	región	район	N;FEM;SG	N;INDF;MASC;SG
región	регион	región	регион	N;FEM;SG	N;INDF;MASC;SG
