catholicisme	katolilaisuus	catholicisme	katolilaisuus	N;MASC;SG	N;NOM;SG
rayons	säteet	rayon	säde	N;MASC;PL	N;NOM;PL
rayons	pinnat	rayon	pinta	N;MASC;PL	N;NOM;PL
linéaire	lineaarinen	linéaire	lineaarinen	ADJ;MASC;SG	ADJ;NOM;SG
commandé	tilasi	commander	tilata	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
commandé	määräsi	commander	määrätä	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
commandé	tilattu	commander	tilata	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
commandé	tilasi	commander	tilata	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
commandé	tilannut	commander	tilata	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
brevet	patentti	brevet	patentti	N;MASC;SG	N;NOM;SG
brevet	patentin	brevet	patentti	N;MASC;SG	N;GEN;SG
mémorial	muistomerkki	mémorial	muisto#merkki	N;MASC;SG	N;NOM;SG
mémorial	memorial	mémorial	memorial	N;MASC;SG	N;NOM;SG
engagée	palkattu	engager	palkata	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
engagée	sitoutunut	engager	sitoutua	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
engagée	sitoutui	engager	sitoutua	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
mythe	myytti	mythe	myyttää	N;MASC;SG	N;NOM;SG
manger	syömässä	manger	syödä	V;NFIN	V;IN+ESS;SG;NFIN;ACT
manger	syö	manger	syödä	V;NFIN	V;IND;SG;2;PRS;FIN;ACT
manger	syödä	manger	syödä	V;NFIN	V;SG;NFIN;ACT
manger	syö	manger	syödä	V;NFIN	V;IND;SG;2;PRS;FIN;ACT
bouches	suut	bouche	suu	N;FEM;PL	N;NOM;PL
prochaine	seuraava	prochain	seuraava	ADJ;FEM;SG	ADJ;NOM;SG
extérieure	ulkoisen	extérieur	ulkoinen	ADJ;FEM;SG	ADJ;GEN;SG
extérieure	ulkoinen	extérieur	ulkoinen	ADJ;FEM;SG	ADJ;NOM;SG
extérieure	ulkopuolinen	extérieur	ulko#puolinen	ADJ;FEM;SG	ADJ;NOM;SG
extérieure	ulkoinen	extérieur	ulkoinen	ADJ;FEM;SG	ADJ;NOM;SG
