van	från	van	från	ADP	ADP
het	de	het	de	PRO;3	PRO;NOM;DEF;PL
het	den	het	den	PRO;3	PRO;DEF;MASC+FEM;SG
voor	för	voor	för	ADP	ADP
met	med	met	med	ADP	ADP
zijn	är	zijn	vara	V;PL;PRS;FIN	V;IND;PRS;FIN;ACT
uit	från	uit	från	ADP	ADP
ook	också	ook	också	ADV	ADV
ook	även	ook	även	ADV	ADV
ook	också	ook	också	ADV	ADV
ook	alltför	ook	alltför	ADV	ADV
score	score	score	score	N;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
score	poäng	score	poäng	N;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
naam	namn	naam	namn	N;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
naam	name	naam	name	N;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
soort	typ	soort	typ	N;SG	N;NOM;INDF;MASC+FEM;SG
soort	art	soort	art	N;SG	N;NOM;INDF;MASC+FEM;SG
familie	familjen	familie	familj	N;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
familie	familj	familie	familj	N;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
familie	family	familie	family	N;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
familie	släkt	familie	släkt	N;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
eerst	först	eerst	först	ADV	ADV
deze	denna	deze	denna	PRO	PRO;DEF;MASC+FEM;SG
deze	detta	deze	denna	PRO	PRO;DEF;NEUT;SG
deze	dessa	deze	denna	PRO	PRO;DEF;PL
maar	men	maar	men	CONJ	CONJ
geldig	giltigt	geldig	giltig	ADJ	ADJ;NOM;INDF;NEUT;SG
geldig	giltiga	geldig	giltig	ADJ	ADJ;NOM;PL
geldig	giltig	geldig	giltig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
dit	denna	dit	denna	PRO;3	PRO;DEF;MASC+FEM;SG
dit	detta	dit	denna	PRO;3	PRO;DEF;NEUT;SG
over	över	over	över	ADP	ADP
heeft	har	hebben	ha	V;SG;PRS;FIN	V;IND;PRS;FIN;ACT
dan	sedan	dan	sedan	ADV	ADV
dan	sen	dan	sen	ADV	ADV
dan	då	dan	då	ADV	ADV
plaats	ställe	plaats	ställe	N;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
plaats	place	plaats	place	N;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
plaats	plats	plaats	plats	N;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
onder	under	onder	under	ADP	ADP
team	truppen	team	trupp	N;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
team	trupp	team	trupp	N;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
team	squad	team	squad	N;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
team	laget	team	lag	N;NEUT;SG	N;NOM;DEF;NEUT;SG
team	lag	team	lag	N;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
team	team	team	team	N;NEUT;SG	N;NOM;INDF;NEUT;SG
nog	fortfarande	nog	fortfarande	ADV	ADV
nog	ändå	nog	ändå	ADV	ADV
eerste	första	één	en	ADJ	ADJ;NOM
meer	fler	veel	mången	PRO	PRO;INDF;PL
andere	annan	ander	annan	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
andere	övrig	ander	övrig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
andere	övriga	ander	övrig	ADJ	ADJ;NOM;PL
andere	övrigt	ander	övrigt	ADJ	ADJ;NOM;INDF;NEUT;SG
andere	övriga	ander	övrig	ADJ	ADJ;NOM;PL
haar	hennes	haar	hon	PRO;ACC;3	PRO;DEF
haar	henne	haar	hon	PRO;ACC;3	PRO;ACC;DEF;MASC+FEM;SG
wel	väl	wel	väl	ADV	ADV
jaar	years	jaar	years	N;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
jaar	år	jaar	år	N;NEUT;SG	N;NOM;INDF;NEUT;SG
jaar	year	jaar	yea	N;NEUT;SG	N;NOM;INDF;NEUT;SG
jaar	årsmodell	jaar	årsmodell	N;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
jaar	året	jaar	år	N;NEUT;SG	N;NOM;DEF;NEUT;SG
jaar	år	jaar	år	N;NEUT;SG	N;NOM;INDF;NEUT;SG
twee	två	twee	två	NUM	NUM;NOM
inwoners	invånare	inwoner	invånare	N;PL	N;NOM;INDF;MASC+FEM;PL
inwoners	innevånare	inwoner	innevånare	N;PL	N;NOM;INDF;MASC+FEM;PL
inwoners	invånare	inwoner	invånare	N;PL	N;NOM;INDF;MASC+FEM;PL
wat	vad	wat	vad	PRO;3	PRO;INDF;NEUT;SG
deel	delen	deel	del	N;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
deel	del	deel	del	N;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
externe	extern	extern	exter	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
overleg	samråd	overleg	samråd	N;NEUT;SG	N;NOM;INDF;NEUT;SG
overleg	konsultation	overleg	konsultation	N;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
overleg	samråd	overleg	samråd	N;NEUT;SG	N;NOM;INDF;NEUT;SG
tussen	emellan	tussen	emellan	ADP	ADP
tussen	mellan	tussen	mellan	ADP	ADP
had	had	hebben	had	V;SG;PST;FIN	V;IMP;FIN;ACT
had	hadde	hebben	ha	V;SG;PST;FIN	V;IND;PST;FIN;ACT
had	hade	hebben	ha	V;SG;PST;FIN	V;IND;PST;FIN;ACT
had	haft	hebben	ha	V;SG;PST;FIN	V;V.CVB;ACT
zou	skulle	zullen	skola	V;SG;PST;FIN	V;IND;PST;FIN;ACT
waar	där	waar	där	ADV	ADV
hebben	har	hebben	ha	V;PL;PRS;FIN	V;IND;PRS;FIN;ACT
veel	många	veel	mången	PRO	PRO;INDF;PL
hun	deras	hun	de	PRO;ACC;3	PRO;DEF
hun	sina	hun	sig	PRO;ACC;3	PRO;DEF;PL
tegen	mot	tegen	mot	ADP	ADP
zie	see	zien	see	V;SG;PRS;FIN	V;IMP;FIN;ACT
zie	se	zien	se	V;SG;PRS;FIN	V;IMP;FIN;ACT
tijdens	under	tijdens	under	ADP	ADP
geslacht	kön	geslacht	kön	N;NEUT;SG	N;NOM;INDF;NEUT;SG
geslacht	kön	geslacht	kön	N;NEUT;SG	N;NOM;INDF;NEUT;SG
zoals	som	zoals	som	CONJ	CONJ
grote	stora	groot	stor	ADJ	ADJ;NOM;PL
grote	stor	groot	stor	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
grote	stort	groot	stor	ADJ	ADJ;NOM;INDF;NEUT;SG
grote	stora	groot	stor	ADJ	ADJ;NOM;PL
grote	stor	groot	stor	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
grote	stort	groot	stor	ADJ	ADJ;NOM;INDF;NEUT;SG
bar	bar	bar	ba	N;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
aantal	tal	aantal	tal	N;NEUT;SG	N;NOM;INDF;NEUT;SG
aantal	antal	aantal	antal	N;NEUT;SG	N;NOM;INDF;NEUT;SG
aantal	nummer	aantal	nummer	N;NEUT;SG	N;NOM;INDF;NEUT;SG
telt	räknar	tellen	räkna	V;SG;PRS;FIN	V;IND;PRS;FIN;ACT
