dan	ja	dan	ja	CONJ	CONJ
adalah	ovat	adalah	olla	V	V;IND;PL;3;PRS;FIN;ACT
adalah	ovatko	adalah	olla	V	V;IND;PL;3;PRS;FIN;ACT
tahun	vuotta	tahun	vuosi	N;SG	N;PRT;SG
tahun	vuoden	tahun	vuosi	N;SG	N;GEN;SG
tahun	vuosi	tahun	vuosi	N;SG	N;NOM;SG
tahun	vuonna	tahun	vuosi	N;SG	N;FRML;SG
juga	lisäksi	juga	lisäksi	ADV	ADV
juga	myöskin	juga	myöskin	ADV	ADV
juga	myös	juga	myös	ADV	ADV
menjadi	ryhdy	menjadi	ryhtyä	V;SG;ACT	V;IMP;SG;2;FIN;ACT
bagian	jakso	bagian	jaksaa	N;SG	N;NOM;SG
bagian	pääluokka	bagian	pää#luokka	N;SG	N;NOM;SG
bagian	osa	bagian	osa	N;SG	N;NOM;SG
spesies	laji	spesies	laji	N;SG	N;NOM;SG
orang	ihminen	orang	ihminen	N;SG	N;NOM;SG
orang	henkilö	orang	henkilö	N;SG	N;NOM;SG
orang	henkilöä	orang	henkilö	N;SG	N;PRT;SG
mereka	he	mereka	hän	PRO;PL;3	PRO;NOM;PL;3
satu	yks	satu	yksi	NUM	NUM;NOM;SG
satu	yksi	satu	yksi	NUM	NUM;NOM;SG
satu	yhden	satu	yksi	NUM	NUM;GEN;SG
memiliki	on	menmiliki	olla	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
kota	kaupunki	kota	kaupunki	N;SG	N;NOM;SG
kota	kaupunki	kota	kaupunki	N;SG	N;NOM;SG
kota	paikkakunta	kota	paikka#kunta	N;SG	N;NOM;SG
pranala	yhteys	pranala	yhteys	N;SG	N;NOM;SG
pranala	linkistä	pranala	linki	N;SG	N;IN+ABL;SG
pranala	linkkiä	pranala	linkki	N;SG	N;PRT;SG
pranala	linkin	pranala	linkki	N;SG	N;GEN;SG
pranala	linkki	pranala	linkki	N;SG	N;NOM;SG
karena	koska	karena	koska	CONJ	CONJ
desa	kylän	desa	kylä	N;SG	N;GEN;SG
desa	kylä	desa	kylä	N;SG	N;NOM;SG
desa	kylässä	desa	kylä	N;SG	N;IN+ESS;SG
ada	olemassa	ada	olla	V;SG	V;IN+ESS;SG;NFIN;ACT
lebih	lisää	lebih	lisää	ADV	ADV
lebih	enemmän	lebih	enemmän	ADV	ADV
nama	nimi	nama	nimi	N;SG	N;NOM;SG
nama	nimeä	nama	nimi	N;SG	N;PRT;SG
kayu	puu	kayu	puu	N;SG	N;NOM;SG
kayu	puuta	kayu	puu	N;SG	N;PRT;SG
kayu	puusta	kayu	puu	N;SG	N;IN+ABL;SG
kayu	puutavaran	kayu	puu#tavara	N;SG	N;GEN;SG
bahwa	että	bahwa	että	CONJ	CONJ
bahasa	kieli	bahasa	kieli	N;SG	N;NOM;SG
asteroid	asteroidit	asteroid	asteroida	N	N;NOM;PL
asteroid	asteroidi	asteroid	asteroidi	N	N;NOM;SG
besar	iso	besar	iso	ADJ;SG	ADJ;NOM;SG
besar	suuri	besar	suuri	ADJ;SG	ADJ;NOM;SG
besar	iso	besar	iso	ADJ;SG	ADJ;NOM;SG
besar	suuri	besar	suuri	ADJ;SG	ADJ;NOM;SG
