ve	et	ve	et	CONJ	CONJ
daha	davantage	daha	davantage	ADV	ADV
daha	plus	daha	plus	ADV	ADV
sonra	ensuite	sonra	ensuite	ADV	ADV
sonra	alors	sonra	alors	ADV	ADV
yer	lieu	yer	lieu	N;NOM;SG;3	N;MASC;SG
yer	place	yer	place	N;NOM;SG;3	N;FEM;SG
yer	endroit	yer	endroit	N;NOM;SG;3	N;MASC;SG
yer	lieu	yer	lieu	N;NOM;SG;3	N;MASC;SG
yer	localisation	yer	localisation	N;NOM;SG;3	N;FEM;SG
yer	emplacement	yer	emplacement	N;NOM;SG;3	N;MASC;SG
yer	localité	yer	localité	N;NOM;SG;3	N;FEM;SG
yer	lieu	yer	lieu	N;NOM;SG;3	N;MASC;SG
bağlantılar	raccordements	bağlantı	raccordement	N;NOM;PL;3	N;MASC;PL
bağlantılar	connexions	bağlantı	connexion	N;NOM;PL;3	N;FEM;PL
bağlantılar	liens	bağlantı	lien	N;NOM;PL;3	N;MASC;PL
bağlantılar	contacts	bağlantı	contact	N;NOM;PL;3	N;MASC;PL
center	center	center	center	N;NOM;SG;3	N;MASC;SG
center	centre	center	centre	N;NOM;SG;3	N;MASC;SG
türk	turques	türk	turc	ADJ	ADJ;FEM;PL
türk	turque	türk	turc	ADJ	ADJ;FEM;SG
türk	turc	türk	turc	ADJ	ADJ;MASC;SG
yeni	nouveau	yeni	nouveau	ADJ	ADJ;MASC;SG
yeni	nouvelle	yeni	nouveau	ADJ	ADJ;FEM;SG
yeni	nouvelles	yeni	nouveau	ADJ	ADJ;FEM;PL
yeni	nouveaux	yeni	nouveau	ADJ	ADJ;MASC;PL
her	chaque	her	chaque	DET	DET;FEM;SG
aynı	identique	aynı	identique	ADJ	ADJ;MASC;SG
aynı	mêmes	aynı	même	ADJ	ADJ;MASC;PL
ilgili	pertinente	ilgili	pertinent	ADJ	ADJ;FEM;SG
ilgili	pertinent	ilgili	pertenir	ADJ	ADJ;MASC;SG
ilgili	pertinentes	ilgili	pertinent	ADJ	ADJ;FEM;PL
ilgili	pertinents	ilgili	pertinent	ADJ	ADJ;MASC;PL
ilgili	connexe	ilgili	connexe	ADJ	ADJ;MASC;SG
ilgili	connexes	ilgili	connexe	ADJ	ADJ;MASC;PL
madde	substance	madde	substance	N;NOM;SG;3	N;FEM;SG
madde	clause	madde	clause	N;NOM;SG;3	N;FEM;SG
madde	matériel	madde	matériel	N;NOM;SG;3	N;MASC;SG
madde	matériau	madde	matériau	N;NOM;SG;3	N;MASC;SG
madde	article	madde	article	N;NOM;SG;3	N;MASC;SG
sağlık	sante	sağlık	sante	N;NOM;SG;3	N;FEM;SG
sağlık	santé	sağlık	santé	N;NOM;SG;3	N;FEM;SG
