קטגוריה	kategorija	קטגוריה	kategorija	N;FEM;SG	N;NOM;FEM;SG
עם	sa	עם	sa	ADP	ADP;INS
גם	također	גם	također	ADV	ADV
גם	takođe	גם	takođa	ADV	ADV
גם	previše	גם	previše	ADV	ADV
היא	ona	הוא	on	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
שיחה	razgovor	שיחה	razgovor	N;FEM;SG	N;NOM;MASC;SG
שיחה	poziv	שיחה	poziv	N;FEM;SG	N;INAN;ACC;MASC;SG
לאחר	nakon	לאחר	nakon	ADP	ADP;GEN
בין	između	בין	između	ADP	ADP;GEN
כי	jer	כי	jer	CONJ	CONJ
יותר	više	יותר	mnogo	ADV	ADV;CMPR
אך	ali	אך	ali	CONJ	CONJ
שם	tamo	שם	tamo	ADV	ADV
בית	kući	בית	kuća	N;MASC;SG	N;DAT;FEM;SG
בית	dom	בית	dom	N;MASC;SG	N;NOM;MASC;SG
בית	kuca	בית	kucati	N;MASC;SG	N;NOM;FEM;SG
בית	house	בית	house	N;MASC;SG	N;NOM;MASC;SG
בית	kuća	בית	kuća	N;MASC;SG	N;NOM;FEM;SG
הם	oni	הוא	oni	PRO;MASC;PL;3	PRO;NOM;MASC;PL;3
אחד	jedan	אחד	jedan	NUM;MASC;SG	NUM;NOM;MASC;SG
אחד	jedna	אחד	jedan	NUM;MASC;SG	NUM;NOM;FEM;SG
שמאל	lijeva	שמאל	lijevo	N;MASC;SG	N;NOM;FEM;SG
קישורים	poveznice	קישורים	poveznica	N;MASC;PL	N;NOM;FEM;PL
מספר	broj	מספר	broj	N;MASC;SG	N;NOM;MASC;SG
רק	samo	רק	samo	ADV	ADV
רק	jedino	רק	jedino	ADV	ADV
רק	samo	רק	samo	ADV	ADV
אותו	njega	None	on	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
אותו	ga	None	on	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
שני	dva	שני	dva	NUM;MASC;PL	NUM
שנים	godinama	שנה	godina	N;FEM;PL	N;INS;FEM;PL
אבל	ali	אבל	ali	CONJ	CONJ
אביב	aviv	אביב	aviv	N;MASC;SG	N;NOM;MASC;SG
אביב	proljeće	אביב	proljeće	N;MASC;SG	N;NOM;NEUT;SG
במאי	svibanj	במאי	svibanj	N;MASC;SG	N;NOM;MASC;SG
במאי	svibnja	במאי	svibanj	N;MASC;SG	N;GEN;MASC;SG
במאי	direktor	במאי	direktor	N;MASC;SG	N;NOM;MASC;SG
במאי	redatelj	במאי	redatelj	N;MASC;SG	N;NOM;MASC;SG
שנה	godine	שנה	godina	N;FEM;SG	N;GEN;FEM;SG
שנה	godina	שנה	godina	N;FEM;SG	N;NOM;FEM;SG
שנה	godine	שנה	godina	N;FEM;SG	N;GEN;FEM;SG
שנה	godina	שנה	godina	N;FEM;SG	N;NOM;FEM;SG
הערות	note	הערה	note	N;FEM;PL	N;NOM;FEM;PL
הערות	bilješke	הערה	bilješka	N;FEM;PL	N;NOM;FEM;PL
הערות	komentarima	הערה	komentar	N;FEM;PL	N;DAT;MASC;PL
הערות	komentari	הערה	komentar	N;FEM;PL	N;NOM;MASC;PL
הערות	komentare	הערה	komentar	N;FEM;PL	N;ACC;MASC;PL
הערות	komentara	הערה	komentar	N;FEM;PL	N;GEN;MASC;PL
חלק	dijelom	חלק	dio	N;MASC;SG	N;INS;MASC;SG
חלק	dio	חלק	dio	N;MASC;SG	N;NOM;MASC;SG
אחת	jedan	אחת	jedan	NUM;FEM;SG	NUM;NOM;MASC;SG
אחת	jedna	אחת	jedan	NUM;FEM;SG	NUM;NOM;FEM;SG
שוליים	rubovi	שול	rub	N;MASC;PL	N;NOM;MASC;PL
שוליים	margine	שול	margina	N;MASC;PL	N;NOM;FEM;PL
במקום	umjesto	במקום	umjesto	ADP	ADP;GEN
אותה	nju	None	on	PRO;ACC;FEM;SG;3	PRO;ACC;FEM;SG;3
ארצות	države	ארץ	država	N;FEM;PL	N;NOM;FEM;PL
ארצות	zemljama	ארץ	zemlja	N;FEM;PL	N;INS;FEM;PL
ארצות	zemlje	ארץ	zemlja	N;FEM;PL	N;NOM;FEM;PL
ראש	glavu	ראש	glava	N;MASC;SG	N;ACC;FEM;SG
ראש	glava	ראש	glava	N;MASC;SG	N;NOM;FEM;SG
ראש	rush	ראש	rush	N;MASC;SG	N;NOM;MASC;SG
ראש	navala	ראש	navasti	N;MASC;SG	N;NOM;FEM;SG
ראש	nalet	ראש	nalet	N;MASC;SG	N;NOM;MASC;SG
ערך	vrijednost	ערך	vrijednost	N;MASC;SG	N;NOM;FEM;SG
זמן	vreme	זמן	vreme	N;MASC;SG	N;NOM;NEUT;SG
זמן	vrijeme	זמן	vrijeme	N;MASC;SG	N;NOM;NEUT;SG
בעיקר	uglavnom	בעיקר	uglavnom	ADV	ADV
בעיקר	većinom	בעיקר	većinom	ADV	ADV
בעיקר	uglavnom	בעיקר	uglavnom	ADV	ADV
אתר	sajt	אתר	sajt	N;MASC;SG	N;NOM;MASC;SG
אתר	site	אתר	site	N;MASC;SG	N;NOM;MASC;SG
אתר	sajt	אתר	sajt	N;MASC;SG	N;NOM;MASC;SG
אתר	eter	אתר	eter	N;MASC;SG	N;NOM;MASC;SG
ללא	bez	ללא	bez	ADP	ADP;GEN
שונים	razne	שונה	razni	ADJ;MASC;PL	ADJ;NOM;DEF;FEM;PL
שונים	razni	שונה	razni	ADJ;MASC;PL	ADJ;NOM;DEF;MASC;PL
שונים	raznih	שונה	razni	ADJ;MASC;PL	ADJ;GEN;DEF;MASC;PL
אדם	osobi	אדם	osoba	N;MASC;SG	N;DAT;FEM;SG
אדם	osoba	אדם	osoba	N;MASC;SG	N;NOM;FEM;SG
אדם	adam	אדם	adam	N;MASC;SG	N;NOM;MASC;SG
אדם	covjek	אדם	covjek	N;MASC;SG	N;NOM;MASC;SG
אדם	čovjek	אדם	čovjek	N;MASC;SG	N;NOM;MASC;SG
אדם	čovek	אדם	čovek	N;MASC;SG	N;NOM;MASC;SG
עוד	više	עוד	mnogo	ADV	ADV;CMPR
דבר	stvar	דבר	stvar	N;MASC;SG	N;NOM;FEM;SG
אחרים	ostali	אחר	ostao	ADJ;MASC;PL	ADJ;NOM;DEF;MASC;PL
אחרים	druge	אחר	drugi	ADJ;MASC;PL	ADJ;NOM;FEM;PL
ספר	knjiga	ספר	knjiga	N;MASC;SG	N;NOM;FEM;SG
ספר	brijač	ספר	brijač	N;MASC;SG	N;NOM;MASC;SG
ספר	barber	ספר	barber	N;MASC;SG	N;NOM;MASC;SG
נגד	protiv	נגד	protiv	ADP	ADP;GEN
זכה	osvojio	זכה	osvojiti	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP;ACT
זכה	pobijedio	זכה	pobijediti	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP;ACT
