קטגוריה	kategooria	קטגוריה	kategooria	N;FEM;SG	N;NOM;SG
גם	samuti	גם	samuti	ADV	ADV
גם	ka	גם	ka	ADV	ADV
גם	liiga	גם	liiga	ADV	ADV
זה	see	זה	see	PRO;MASC;SG;3	PRO;NOM;SG
זה	selle	זה	see	PRO;MASC;SG;3	PRO;GEN;SG
זה	seda	זה	see	PRO;MASC;SG;3	PRO;PRT;SG
זה	see	זה	see	PRO;MASC;SG;3	PRO;NOM;SG
זה	seda	זה	see	PRO;MASC;SG;3	PRO;PRT;SG
היא	ta	הוא	tema	PRO;FEM;SG;3	PRO;NOM;SG;3
היה	oli	היה	olema	V;MASC;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
שיחה	vestlus	שיחה	vestlus	N;FEM;SG	N;NOM;SG
שיחה	kõne	שיחה	kõne	N;FEM;SG	N;NOM;SG
כי	kuna	כי	kuna	CONJ	CONJ
כי	sest	כי	sest	CONJ	CONJ
יותר	rohkem	יותר	rohkem	ADV	ADV
אך	aga	אך	aga	CONJ	CONJ
אך	kuid	אך	kuid	CONJ	CONJ
שם	seal	שם	seal	ADV	ADV
בית	kodu	בית	kodu	N;MASC;SG	N;NOM;SG
בית	koju	בית	kodu	N;MASC;SG	N;IN+ALL;LGSPEC1;SG
בית	kodus	בית	kodu	N;MASC;SG	N;IN+ESS;SG
בית	house	בית	hous	N;MASC;SG	N;NOM;SG
בית	majja	בית	maja	N;MASC;SG	N;IN+ALL;LGSPEC1;SG
בית	maja	בית	maja	N;MASC;SG	N;NOM;SG
הם	nad	הוא	tema	PRO;MASC;PL;3	PRO;NOM;PL;3
הייתה	oli	היה	olema	V;FEM;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
אחד	ühe	אחד	üks	NUM;MASC;SG	NUM;GEN;SG
שמאל	vasak	שמאל	vasak	N;MASC;SG	N;NOM;SG
קישורים	lingid	קישורים	ling	N;MASC;PL	N;NOM;PL
חיצוניים	välised	חיצוני	väline	ADJ;MASC;PL	ADJ;NOM;PL
מספר	number	מספר	number	N;MASC;SG	N;NOM;SG
מספר	arv	מספר	arv	N;MASC;SG	N;NOM;SG
היו	olid	היה	olema	V;PL;3;POS;PST	V;IND;PL;3;PST;FIN;ACT
רק	ainult	רק	ainult	ADV	ADV
רק	lihtsalt	רק	lihtsalt	ADV	ADV
כאשר	kui	כאשר	kui	CONJ	CONJ
כן	jah	כן	jah	ADV	ADV
כן	jah	כן	jah	ADV	ADV
שנים	aastad	שנה	aasta	N;FEM;PL	N;NOM;PL
אבל	aga	אבל	aga	CONJ	CONJ
אבל	kuid	אבל	kuid	CONJ	CONJ
אביב	avivi	אביב	avi=vi	N;MASC;SG	N;NOM;SG
אביב	kevad	אביב	kevad	N;MASC;SG	N;NOM;SG
במאי	mai	במאי	mai	N;MASC;SG	N;NOM;SG
במאי	direktor	במאי	direktor	N;MASC;SG	N;NOM;SG
במאי	režissöör	במאי	režissöör	N;MASC;SG	N;NOM;SG
במאי	lavastaja	במאי	lavastaja	N;MASC;SG	N;NOM;SG
שנה	aasta	שנה	aasta	N;FEM;SG	N;NOM;SG
הערות	märkmed	הערה	märkmed	N;FEM;PL	N;NOM;PL
הערות	märkused	הערה	märkus	N;FEM;PL	N;NOM;PL
הערות	kommentaarid	הערה	kommentaar	N;FEM;PL	N;NOM;PL
הערות	märkused	הערה	märkus	N;FEM;PL	N;NOM;PL
חלק	osas	חלק	osa	N;MASC;SG	N;IN+ESS;SG
אחת	ühe	אחת	üks	NUM;FEM;SG	NUM;GEN;SG
ארצות	riigid	ארץ	riik	N;FEM;PL	N;NOM;PL
ראש	pea	ראש	pea	N;MASC;SG	N;NOM;SG
ראש	rush	ראש	rush	N;MASC;SG	N;NOM;SG
תל	tel	תל	tel	N;MASC;SG	N
ערך	väärtus	ערך	väärtus	N;MASC;SG	N;NOM;SG
אלו	need	אלו	see	PRO;PL;3	PRO;NOM;PL
אלו	neid	אלו	see	PRO;PL;3	PRO;PRT;PL
זמן	kellaaeg	זמן	kella_aeg	N;MASC;SG	N;NOM;SG
זמן	aeg	זמן	aeg	N;MASC;SG	N;NOM;SG
זמן	aja	זמן	aeg	N;MASC;SG	N;GEN;SG
זמן	ajas	זמן	aeg	N;MASC;SG	N;IN+ESS;SG
זמן	aega	זמן	aeg	N;MASC;SG	N;PRT;SG
בעיקר	peamiselt	בעיקר	peamiselt	ADV	ADV
בעיקר	põhiliselt	בעיקר	põhiliselt	ADV	ADV
בעיקר	peamiselt	בעיקר	peamiselt	ADV	ADV
